8/1pp5/8/2P1p2k/1P2P2P/6K1/5N2/3b4 b - -,d1c2
1rb2rk1/q3pp1p/2np2p1/1pPN1n2/8/1P2PNP1/PQ3PBP/R4RK1 b - -,d6c5
r2qk2r/1ppnn1b1/p2p2pp/3Ppp2/4P3/2P1B3/PP1N1PPP/RN1QR1K1 w kq f6,f2f3
r1bq1rk1/1p3pbp/p1nN1np1/2p1p3/4P3/2P2N1P/PP3PP1/R1BQRBK1 b - -,d8c7
r1b2rk1/pp2pp1p/2np2p1/q7/4PP2/2N1Q3/PPP3PP/R3KB1R w KQ -,e1c1
8/p7/5k1p/1p1r2p1/1P1rp1P1/1PR2P2/P2pK2P/3R4 w - -,c3c6
2r4r/1p1b1p2/4pPpk/4q2p/p1pR3Q/P1N5/1P4PP/5R1K w - -,d4d7
8/4k3/8/1p1PP2p/pP5P/8/3K4/8 b - -,e7d7
3B2R1/8/p2K4/Pr6/4p1kP/3bP3/8/8 b - -,g4f3
r2qk2r/p1p1bppp/1p3n2/2nP1R2/2P1p3/4P3/PBQNB1PP/5RK1 b kq -,d8d6
2rq1rk1/1b2ppnp/3p2p1/p1pP4/Ppn1P3/1P4P1/2P2P1P/1RNQRBK1 w - -,f1c4
6k1/2Q4n/b3pp2/2p4P/4P3/2N5/P2qB1K1/8 w - -,h5h6
r1b2rk1/p1p3p1/1pnppq1p/8/2PP1P2/P1P1B1P1/7P/R2QKB1R w KQ -,f1d3
r2qkbnr/pp3ppp/2p5/3Pp3/2Bn2b1/5N2/PPPP1PPP/RNBQ1RK1 w kq -,c4e2
r1b2rk1/pp2ppbp/2n3p1/4P3/3PpP2/RqP3N1/2N3PP/2BQ1RK1 b - -,b3b5
3R4/1p4kp/pBb2p2/P3pP2/2r1P2b/7P/6B1/6K1 w - -,d8c8
5rk1/1pp2bp1/p5rp/3P1p2/2P1pN2/1B5P/P4qP1/4RNK1 w - -,g1f2
rnb1kb1r/pp2pp1p/q1p2np1/4N3/2pP4/2N3P1/PP2PPBP/R1BQ1RK1 b kq -,f8g7
8/5pk1/1R3P1p/7P/6P1/4K3/8/6r1 b - -,g7h7
r1b2rk1/ppqnbppp/2p1pn2/8/2PPp3/5NP1/PPQN1PBP/R1B2RK1 w - -,d2e4
6k1/7p/p1r1p1p1/RbP1B3/4p3/2R4P/Pr3PPK/8 w - -,e5d4
r2qk2r/pp2npb1/2npb1pp/2p5/2B1PB1P/2NP2N1/PPPQ2P1/R3K2R w KQkq -,c3d5
r5rk/p4p1p/1p3P1Q/6p1/2nPP1b1/7R/P3N1PP/6K1 b - -,g4h3
8/5p1k/3R3p/1p6/3p4/P4K2/1r4P1/8 b - -,b2b3
R7/6p1/8/P3p3/4k3/r6P/6K1/8 w - -,a5a6
8/2p5/2Pp1k2/4b3/7p/p6P/Br2R1P1/5K2 b - -,b2a2
4nr1k/1q2b2p/5p2/3pnP2/r3PB1P/Np2R3/1P2Q3/1K1R1B2 w - -,d1d5
2r3k1/4rppp/2pn1q2/1pQ5/3P4/1R1NP1P1/P4PP1/1R4K1 b - -,d6e4
rnbq1rk1/1ppp2pp/4pn2/p4p2/1bPP4/1QNBP3/PP2NPPP/R1B1K2R b KQ -,b7b6
4r1k1/6pp/2P1N3/3p4/1pn2P2/6P1/7P/1R4K1 b - -,g8f7
8/ppb2kpp/2p2p2/5P1P/1PP2r2/P1R1K3/4B3/8 b - -,f4f5
