8/6b1/8/1PPK4/8/4k3/2r1p3/4R3 w - -,b5b6
r4rk1/1bqnbppp/pp1ppn2/8/2P1PP2/1NNBB2Q/PP4PP/R4RK1 w - -,a1e1
2r3k1/5p2/6p1/p1pRQp2/1qP3rp/1P6/P3RPBK/8 w - -,e2d2
6k1/1r6/3pN1p1/7R/2P5/2b3P1/5PKP/1Q6 b - -,b7b1
r2qkbnr/pbpp1ppp/1p2p1n1/3PP3/2P2P2/2N2N2/PP4PP/R1BQKB1R b KQkq -,f8b4
2kr1b1r/1p3p1p/1pp3p1/3nn3/4B3/2N1PP1P/PP1BKP2/R6R b - -,d5f6
2r5/p2q1pkp/1p2p1p1/3n4/3P4/PQ3BP1/1P3P1P/3R2K1 b - -,d7c6
8/pp1qr1k1/2pNrnp1/2P2p1p/3P4/1P3QPP/P3R2K/4R3 b - -,f6e8
r3k1nr/p3bp2/q1p1p1p1/3nP1Bp/Pp1PN2P/1B6/1PQ2PP1/R4K1R w kq -,b3c4
8/5k2/6p1/4B2p/b3nN2/7P/5PP1/6K1 b - -,a4c6
8/1p2kp1p/2p3p1/2b5/4P3/3KN1P1/b4PBP/8 b - -,a2b1
8/8/p3k3/1p2p2p/1B2np2/1N1R3P/r7/6K1 w - -,b3a5
r1bqkb1r/p2p1ppp/2p2n2/n3p3/1p2P3/1B1P1Q2/PPP1NPPP/R1BNK2R b KQkq -,a5b3
1r1r2k1/1pq2pb1/p1n1b2p/2P1p1p1/4P3/P4NPP/1B2QPB1/R1R3K1 b - -,d8d7
1R6/3b4/p2kp2p/r5pP/3K4/5B2/8/8 b - -,g5g4
rn1qkb1r/pb1ppppp/1p3n2/8/2PN4/5P2/PP2P1PP/RNBQKB1R w KQkq -,e2e4
6k1/1p6/p1p4p/2Pr2p1/1P1p4/P2R3P/4KPP1/8 b - -,d5e5
8/6k1/2p1p3/1pP3P1/pP2B3/b1K5/8/8 b - -,a3c1
r1bqr1k1/pppnbppp/3p1n2/8/3P4/3B1NN1/PPP2PPP/R1BQ1RK1 b - -,e7f8
r1bq1rk1/pp2bppp/2n2n2/2pp4/3P1B2/2NBP3/PP2NPPP/R2QK2R w KQ -,d4c5:e1g1
1r2k2r/3b1pp1/p2p3p/1p5n/4Pp2/1P1P4/PB2N1PP/2R2RK1 w k -,c1c7
1R6/p2k4/1b4p1/5p2/5P2/1P1K4/P1P3r1/8 w - -,a2a4
1k6/1p3r1p/pP4p1/3p4/2p5/2P5/6P1/3R2K1 b - -,f7f5
r5k1/2b2r1q/2b1n1p1/p3p2n/1pPpP3/1P1P1PPP/3B2QK/R2R1NN1 w - -,d2e1
r6r/1p2bkpp/p1b1p3/8/P2P1B2/2nB4/4KPPP/1R5R w - -,e2d2
4R2Q/2p3r1/pq5k/4p3/3nPbB1/7P/P5P1/7K b - -,g7h7
5rk1/1b3rpp/pq2p3/1p1p4/1P1R1PB1/P1N4P/2PQ2P1/7K b - -,f7f6
3k4/p1p3p1/2Bp4/PP2pP2/2K1P3/2P2P1n/r7/1R6 b - -,a2f2
8/3q2k1/8/2Q5/2B3Np/1P3P1K/8/3r4 w - -,c5g5
2rr2k1/5p1p/1R3p2/3p4/1b6/5NP1/4PP1P/3R2K1 b - -,b4c3
2rr1bk1/5p1p/1p2p1p1/1N6/R2P1q2/1QP1R2P/1P3PP1/6K1 w - -,d4d5
r2q1rk1/pb1pppbp/1pn2np1/2p5/3P4/1P1BPN2/PBPN1PPP/R2Q1RK1 w - -,a2a3
8/p4p2/1b2bkp1/8/1P3P2/6KP/2R5/8 w - -,h3h4
8/5k2/R7/8/1r2NK2/8/8/8 b - -,f7e7
r1r5/2P2kpp/p1R1bp2/B3p3/8/8/6PP/3R2K1 w - -,d1d8
r3r3/ppp5/2p3p1/5k1p/5P2/P4BP1/1PP2N1P/2K4R w - h6,h1d1
r1r3k1/1p1npq1p/2npb1pb/1N6/p1P1NP2/4B3/PP3QPP/2RR1BK1 b - -,d7f6
3r2k1/4np1p/6p1/N2p1b2/3P4/qP3PP1/3QR1BP/6K1 w - -,e2e7
2r2rk1/pb2qpp1/1pp1p2p/4B1b1/2PP4/1P4P1/P1Q2PBP/3R1RK1 w - -,c2e4
3r4/p1k1bp2/1p2p1p1/2p1P3/5PKP/1P1rB2R/P7/4R3 b - -,d3c3
r5k1/1q2ppbp/3p2p1/2pPP3/4QP2/2B3PP/1P4K1/4R3 b - -,d6e5
r2rb1k1/ppq1bppp/2n1pn2/8/P2NP3/2P1B3/1P1NB1PP/R3QRK1 w - -,d4b5
6k1/R5Rp/3nrrp1/2p1p3/P1N1p3/2P3P1/5PKP/8 b - -,g8f8
4r1k1/pp2q1p1/2p3np/5p2/2P1p1n1/1P2P1PN/P2Q1PBP/3R2K1 b - -,g4e5
r1b2r2/1p2kp2/2pN2p1/p1n1p2p/P1B1P2P/5P2/1PPR2P1/2KR4 b - -,b7b6
rnbq1rk1/4p1bp/P2p1np1/2pP1p2/8/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,b8a6
r2qkbnr/ppp2ppp/2np4/3Pp2b/2B1P3/5N1P/PPP2PP1/RNBQK2R b KQkq -,c6e7
q3r1k1/5ppp/p7/4pP2/2ppb2b/P7/1PP1Q1PP/2BR1R1K w - -,e2g4
2br2k1/8/pp6/5pp1/3Pp2p/P3P1P1/1P3P1P/2R3K1 w - -,c1c6
r1bq1rk1/pp1p2bp/4p1pn/8/2Bpp3/3P2QP/PPP1NPP1/R1B1K2R w KQ -,d3e4
r3rnk1/p1q2p2/2p3pn/1pb1p1Np/4P2P/1P3PP1/PBP1Q1K1/R2NR3 w - -,d1f2
1r3k2/4p3/p2p1bp1/2pP4/2NnRPP1/1P6/2PR2K1/8 b - -,g6g5
6k1/p1R3p1/7p/8/r1p5/7P/P5P1/6K1 b - -,h6h5
r4rk1/1bqn1pp1/pp2p2p/2p1P3/2P3Qb/P2BR3/1B1P1PPP/R5K1 w - -,g4h4
4n1k1/4bpp1/p3p2p/1p3q2/1PrB4/P2NP2P/5PP1/1Q1R2K1 w - -,d3e5
r1bqr1k1/ppp3pp/3p1nn1/2b2p2/2P2P2/2NBPQ2/PP1BN1PP/2KR3R w - -,e2d4
5k2/8/6BP/4p1P1/8/1b2K3/8/8 b - -,f8g8
r1br2k1/p1qn3p/1pp2pn1/4p3/1PP1N3/2B3P1/P1B2P2/R2QR1K1 w - -,d1h5
r1b1k2r/2qnbppp/p2pp3/6P1/2pNP3/2N1BP2/PPPQ3P/1K1R3R w kq -,h2h4
r1br2k1/pp3p2/2n1pbpB/7q/3P4/1B2QN2/PP3PPP/R4RK1 b - -,c6d4
8/7p/4p1p1/3kPp2/8/5N1P/5PP1/5K2 b - -,h7h6
8/8/5k2/3b4/5RP1/4P1K1/2n5/8 b - -,f6e5
r2qk2r/pb1pnpb1/1pn1p1pp/2p5/2P5/2NP1NP1/PP1BPPBP/R2Q1RK1 w kq -,d1c1
8/8/4k3/pR6/r6p/7K/6PP/8 w - a6,g2g4
r2q1rk1/pp3ppp/2p1p3/3BBb2/3P4/1QP1P3/P4PPP/R3K2R b KQ -,d8d5
8/5r1p/4p1k1/1p1b4/pB1P4/2P1K1P1/8/6R1 w - -,e3e2
8/3k4/K7/P1R5/5P2/8/5r2/8 w - -,f4f5
rnbq1rk1/p4ppp/2pb4/8/Np1Qn3/1B6/PPP2PPP/R1B1K1NR w KQ -,c1e3
2rr1k2/pp3ppp/4pn2/2P5/8/P1PB3P/2P2PP1/1R3RK1 b - -,d8d7
r7/5kp1/1np2p2/p1N1p2p/Pn2P2P/2R2PP1/1P6/2N1K3 w - -,e1e2
5rk1/3p2pp/q1pbp3/3P1p2/1P6/1R3QP1/r1p2P1P/2B2RK1 b - -,a2a1
2rq1rk1/1p3pp1/2n1bb1p/p2pp3/1P6/P1NP1NP1/4PPBP/2RQ1RK1 w - a6,d1a4
5r2/6kn/3p3p/pPpP1bpB/N1P2p2/P7/6PP/4rRK1 w - -,f1e1
4k3/1p2pp2/1p4p1/6N1/n1R5/8/r1P2PPP/5K2 b - -,a4c5
3r4/r3bpk1/1p2q1pp/2pn4/p2p3P/P2P1BP1/1PRBPPQ1/1R4K1 w - -,b1e1
4nrk1/1r4bp/1q1p1np1/1p1Pp1B1/2p1P1BQ/2N4P/1PP3P1/R4R1K b - -,f6g4
r1br2k1/pp2ppbp/n1p2np1/2Pp4/3P4/1PN2NP1/1P2PPBP/R1B2RK1 w - -,c1f4
rn2kbnr/ppq2pp1/2p1b2p/3pp3/4P3/3P1NP1/PPPN1PBP/R1BQK2R w KQkq -,e1g1
r1bk4/pp5p/2r1p3/P1NpPp2/3P2p1/2R1K1P1/5P1P/1R6 w - -,a5a6
5k2/3Qbp1p/p5R1/2p1q3/1p4p1/8/PP6/5R1K b - -,e5e4
8/8/4k3/5RK1/6P1/8/7q/8 w - -,f5f6
8/1p2k1pp/5p2/4p3/8/2nN1P2/P3K1PP/8 w - -,e2d2
8/1p6/pr4P1/4k3/4p2N/P1PbR1K1/1P6/8 b - -,e5f6
r1bq1rk1/1p2n1bp/2Pp2p1/4pp2/PBP1Pn2/2N5/3NBPPP/R2QR1K1 b - -,e7c6
