8/8/7R/8/P2p4/4k2p/7r/4K3 w - -,h6e6
1Q6/p7/4q1kp/5b2/3r1p2/1P3P2/P3p1BP/4R1K1 b - -,d4d1
2rqk2r/pp1bbppp/2n5/1B1p4/3N4/4BP2/PPPQ2PP/2KR3R w k -,b5c6
8/4kpp1/4p3/p3b2p/PpB5/1Pr1P2P/4KPP1/3R4 b - -,h5h4
r3n2k/1ppbr3/p1n1p1Bb/3pP3/3P1P1N/2P3PP/PP6/R4RK1 w - -,g6d3
8/1p6/p1p3p1/2P2p1p/1P1Q1P1P/1k4PK/8/4q3 w - -,h3h2
r2q2k1/1p1n1ppp/5n2/pP1Pp3/N7/Q3P1PP/P1rNbPB1/RR4K1 w - -,b1b2
6k1/5pb1/2b3pp/3p4/3P3P/4B1P1/2R2P2/1r4K1 w - -,g1g2
2rq1k2/pp2prbQ/4b1pB/3n4/1n6/1NN2P2/PPP3P1/2KR1B1R w - -,h7h8
bn2kb1r/5ppp/4pn2/q2p4/2pN4/2P3P1/1PQ1PPBP/1NB1K2R w Kk -,b1d2
8/p4p2/1p1kbbp1/7p/8/1P1NKBP1/P6P/8 w - -,f3g2
q1r2bk1/5pp1/p4n1p/3n1N2/1p1N4/5PP1/P2B2KP/Q3R3 b - -,a6a5
7k/1b4rp/6p1/R2p4/4pr2/1PP4R/3KB3/8 b - -,g7f7
1r1brn2/1b1q1p1k/3p1PpP/p2Pp3/1p2P1RP/3BB1Q1/PP4N1/5R1K b - h3,b7c8
8/5pp1/3N2kp/4p3/2R1P3/5PP1/3K3P/8 w - -,f3f4
r4rk1/4q1pn/1p1p2n1/pPpPpN2/P1P4p/R5PP/4QPBK/4R1N1 b - -,f8f5
rq2r1k1/p4ppp/2pbbn2/3p4/5B2/1P1B1Q1P/P1P1NPP1/R3R1K1 b - -,e6d7
8/3P4/6kp/8/1P3Qp1/3q4/6PK/8 w - -,f4g4
r2q1rk1/2pb2b1/1p1p2p1/pP1Ppn1p/2P3B1/2N1B1PP/P2Q1P1N/R2R2K1 w - h6,g4f5
3r1rk1/1p3p2/1p5p/PPp2bb1/2P2Np1/2B3P1/5K1P/R3RB2 w - -,a5b6
r1bqk1nr/ppp2pp1/2np3p/2b5/2BpP3/2P2N2/PP3PPP/RNBQ1RK1 w kq -,b2b4
r4rk1/p5qp/1pp3n1/2p1pb2/5p2/2NP1N1P/PPP2PPK/R1Q1R3 w - -,c3e4
6k1/1p3pp1/p6p/3p1n2/5P2/1P1K1N2/P2R3P/2r5 b - -,g8f8
