8/8/7K/4p1pP/5kP1/8/8/8 b - -,e5e4
8/R2Nppk1/5n1p/2pP4/5p2/2P2PPK/1r5P/8 w - -,d7f6
r4r2/1ppb2kp/p4pp1/3qp3/7Q/1P1P1N1P/1PP2PP1/R4RK1 w - -,h4c4
8/8/8/6p1/4p1kp/R3Pr2/6K1/8 b - -,h4h3
r7/P4R2/8/8/3Kp3/7p/4k3/8 w - -,d4e4
8/1p4k1/6p1/1b1Bpp1p/3bP3/3N1P2/P2K2PP/8 b - -,b7b6
4r2k/3q1pbP/3p2p1/2p5/1p1p3r/1P1R1RN1/3Q1PKP/8 w - -,g3f1
6B1/8/1n1k3p/6p1/pP2p3/2K1P1PP/5P2/8 w - -,c3d4
2r2rk1/1bq1bppp/p2pp3/1pp1n2P/3nPP2/P1NPB1P1/1PPQ2BN/R3R1K1 b - f3,e5c6
r2q1rk1/ppb2pp1/2p3np/4p3/2B1P1n1/2P1NNPb/PP2QP1P/R1BR2K1 b - -,d8f6
rnbqk2r/pp2ppbp/5np1/3pN3/3P4/2N1P3/PP3PPP/R1BQKB1R b KQkq -,e8g8
2r3k1/r4pp1/pp3n2/n3N2p/1NP5/6P1/PRR2PKP/8 w - h6,h2h3
5k2/R7/7p/3p3P/3P2pr/2qQP3/6K1/4N3 b - -,c3b2
2b1r3/1p5k/1R6/P1nP1p2/5PpP/Q3p3/2q1P2P/3R2K1 w - -,d1f1
8/4k3/2r3pQ/5p1p/2B5/7P/5P2/7K w - -,h6g7
r5k1/1p3r1p/p1q2bpB/2pp1P2/3pp1Q1/7P/PPP3P1/4RRK1 b - -,f6g7
8/p2b1k1p/1p3b2/5p2/P4P2/4B3/4B1PP/6K1 w - -,e2d1
1r2qrk1/2pb1pb1/3p1np1/3Pp2p/PPp1P3/2N1BP2/3QN1PP/1R2R1K1 b - a3,d7a4
2rq1rk1/pb1nbppp/1p2pn2/2pP4/3P4/1PNBPN2/PB2QPPP/R4RK1 b - -,e6d5
r1bqk2r/1p1p1p2/2pP2np/1p2P1p1/8/5QB1/PPP3PP/R3KB1R w KQkq -,f1d3
