8/8/6p1/1p1k1pB1/1P3P2/3K2nP/8/8 w - -,g5e7
r2r2k1/pp2ppb1/1n4pp/2n2b2/3N4/2P2N2/PP1BBPPP/R4RK1 b - -,f5d3
8/4Kp2/4p3/5rp1/6k1/R5P1/8/8 w - -,a3b3
r2qk2r/p1p2pb1/2ppbnpp/8/4PB2/2N5/PPPQBPPP/R3K2R w KQkq -,e1g1
Q7/pp2kpp1/5p2/1Pp1b3/8/8/PP1q1PP1/4RK2 w - -,a8b7
8/5pp1/p1R3kp/1p6/r7/1K4P1/P6P/8 b - -,f7f6
r2qkb1r/ppp1pppp/1nnp4/4P3/3P4/5B1P/PPP2PP1/RNBQ1RK1 b kq -,d6e5
4r3/r2n4/3Pp1k1/2p5/B1P5/1P2B3/p4PP1/R5K1 b - -,e8c8
5rk1/bpp2pp1/p2p2qp/8/3Nr1nN/2PR2Q1/PP3P2/3B1RK1 b - -,g6g5
3r4/1b2kp2/p5pp/3P4/PpB2P2/1P5P/5K2/3R4 b - -,e7d6
r1bqk2r/1pp3p1/p1np1B1p/2b1pp2/4P3/2NP2P1/PPP1NPBP/R2Q1RK1 b kq -,d8f6
rnq2rk1/pp2p2p/2p2npb/4Nb2/2PP1P2/4P3/PB1N2BP/2RQ1RK1 w - -,d1f3
r2q1rk1/1b2bppp/n1p1p3/p3P2Q/1pP1N3/1P4P1/PB3PBP/R4RK1 b - -,g8h8
r3rbnk/1p1n1p1b/p1pp3p/3PpN1q/2P1P1N1/5Q2/PP3PB1/R1B1R1K1 w - -,g4e5
8/8/8/2b1k3/B5pP/3p2P1/4n3/3K4 w - -,a4d7
r1r3k1/1bq1bpp1/p2p3p/1P2P3/2PBP3/6R1/3Q2PP/2R2BK1 b - -,d6e5
4R3/8/5r2/8/8/3kn1K1/8/8 w - -,e8a8
2r5/1p3pk1/P3p1p1/3n3p/4RP2/1PrB3P/2P3PK/R7 b - -,b7a6
2r1k2r/1p2bpp1/p1bp4/B3p3/2P1P3/4q1P1/PP3PB1/R3R1K1 w k -,e1e3
rnbqk2r/ppp1ppbp/6p1/3p4/2PP3B/2n2N2/PP2PPPP/R2QKB1R w KQkq -,b2c3
1br1r1k1/1b2qppp/pp2nn2/3p4/7Q/1PN1PNP1/PB3PBP/2RR2K1 w - -,f3d4
r2q1rk1/1p3pbp/2n1p1p1/pN1pP3/P3n3/1P6/1P3PPP/R1BQRBK1 w - -,f2f3
r1bqk2r/4bppp/ppnppn2/8/2P1P3/N1N5/PP2BPPP/R1BQ1RK1 b kq -,c8b7
r7/8/3k4/2p1pp2/2Pr2n1/PK4R1/3NR2P/8 w - -,d2e4
r3r1k1/1bp2pp1/7p/2pPP1Q1/8/1P4PP/6B1/3RR1K1 b - -,h6g5
2b2rk1/p4pp1/2q4p/3pP3/1B1P1Q2/P7/5PPP/1R4K1 b - -,f8e8
2b5/4k1p1/2r4p/7P/6P1/5K2/1R3P2/8 b - -,c6c4
r1bqk1nr/1ppp1ppp/p1n5/2b1p3/4P3/2N3P1/PPPP1PBP/R1BQK1NR w KQkq -,g1e2
r1qb1r1k/pp2n1pp/2n2p2/1PNp4/2pP2b1/P3BNP1/3QPPBP/2RR2K1 b - -,c6a5
8/p5k1/6q1/2p5/2QnK3/7P/PP6/5R2 w - -,e4d5
2r2r1k/1p4p1/1p1q1p1p/pPb5/3pPP2/PQ1P2PP/1B3RK1/R7 b - -,f8e8
1k6/1r5p/p6p/Bp3p2/1P1Q1Pq1/4P3/6P1/6K1 w - -,d4h8
5Bk1/p5np/4p3/b2pP3/2r3P1/3N1N1P/Pn4K1/5R2 w - -,d3b2
8/8/1bP5/1P6/3kpp2/7B/4K3/8 w - -,h3g2
3r1rk1/p1R2pp1/4q2p/1Q6/3pB3/P5PP/4PP1K/5R2 b - -,e6e4
rn1qk2r/1bp1bppp/p3pn2/1p6/8/4NNP1/PP1PPPBP/R1BQ1RK1 w kq -,b2b3
r5k1/q4pb1/rppBp1p1/4P2p/P1P5/1Q4P1/5P1P/RR4K1 w - h6,g1g2
r1b1r1k1/pp3pb1/1qpp1npp/2n5/2PNP2B/1PN5/P4PPP/1BRQ1RK1 w - -,f2f3
6k1/8/6p1/7p/N2R3P/Pp6/1Pr3p1/1K2Rr2 w - -,d4d1
r1bq1rk1/1p1nppbp/2pp1np1/p7/2PP4/2NBPN2/PP3PPP/1RBQ1RK1 w - a6,c1d2
8/5bk1/4p3/p2pP1Pp/2pP3P/P1P1K3/2B5/8 w - -,c2a4
1r4k1/4ppqp/4b1p1/p1r5/P3PPP1/4Q2P/8/2R2BK1 w - -,c1c5
r1b1r1k1/p1q1nppp/1pP5/3p4/8/B1P2PP1/P4P1P/R2QKB1R w KQ -,f1e2
rqb1k2r/1p1p1nb1/p3pnBp/8/2pN4/BPP5/P2PQ1PP/R4RK1 b kq -,h6h5
8/8/pQ4pk/P4p2/1P2p3/6P1/2q2P2/6K1 w - -,b6a6
8/5p1p/2p1k1p1/8/8/P2R1P2/2K3PP/1r6 b - -,b1b7
8/1p2rpk1/2p2np1/p3q2p/P3P2P/1PN2QP1/2P1R3/7K b - -,b7b5
4r3/1p3kpp/p1pQnp2/2P1P3/8/Pb4PB/4qP1P/B1R3K1 b - -,b3d5
r2qk2r/pp2bppp/1nn1p1b1/3pP3/3P1NP1/2N1BP2/PP5P/R2QKB1R w KQkq -,c3e2
2r1r1k1/5pp1/2pn3p/R2p4/3P4/3NP3/P4PPP/2R3K1 b - -,d6c4
3r1k2/p1r2pp1/7p/R6P/4P1P1/4KP2/8/1R6 w - -,e3f4
R7/P5k1/7p/8/8/6P1/r4PK1/8 w - -,g2h3
8/7p/5k2/1p6/1N2bPK1/8/8/8 b - -,f6g6
8/8/2p4p/7P/3PK3/2k5/8/8 w - -,e4e5:d4d5
3r1rk1/5p2/p3b1p1/2p1P1Qp/1p5P/1P6/P4PP1/R5K1 w - -,a1c1
rn2k2r/pbqpbppp/1p2pn2/2p1P3/3P4/2PB1N2/PP2QPPP/RNB2RK1 b kq -,f6d5
1r3rk1/1p4bp/2pqppp1/2N3n1/pP1PP3/5PP1/P2BQ1KP/2RR4 b - -,d6e7
r6r/1Q4p1/2p1ppkp/4B3/p3p1PP/P7/1PP1q3/2K4R w - -,h4h5
3r2k1/p4p2/2P1bQ2/3r4/7P/2R5/P4PP1/6K1 b - -,g8f8
bqr2rk1/3n1pp1/pb1p1nP1/1p2pPN1/2P5/2N1B2B/PP2Q3/2R1R1K1 w - -,g6f7
2r2rk1/1p1b2p1/p6p/3pb3/1P6/P2B4/4NPPP/2R1R1K1 w - -,c1b1
1r1q1rk1/p1nb1ppp/1p6/n5B1/1b1NN3/6P1/4PPBP/2RQ1RK1 b - -,f7f6
3N3k/2r3p1/7p/8/5q2/1Q5P/p5P1/B5K1 w - -,d8e6
2r2rk1/pp1bbppp/1qn1p1n1/2ppP3/3P4/P1PB1NPP/RP3P2/1NBQR1K1 w - -,d3c2
8/2r5/4p1p1/1p1pk2p/3R3P/1PP2P2/1K4P1/8 w - -,d4b4
3r4/6bk/pn2Q1qp/2p1p3/2p5/2P1BR2/P2N2PP/6K1 w - -,e6e7
r5k1/1q1n1pbp/6p1/p2pp3/Nn1P4/1P2PNP1/3B1P1P/RQ3K2 b - -,e5e4
4R2Q/1p1q4/6kp/5r2/p2p4/Pn4P1/1P4PK/8 w - -,e8g8
r4rk1/3q1pp1/pp1pbnnp/1p2p3/3PP3/1BP2NNP/PP3PP1/R2QR1K1 b - -,a8d8
r1bqr1k1/pp2bppp/2p2nn1/3pN1B1/3P4/2NBP3/PPQ2PPP/R4RK1 w - -,h2h3
8/8/6k1/4pp2/6K1/3n4/4N3/8 w - f6,g4f3
r1bqkbnr/1p1npp1p/p2p2p1/2p5/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 w kq -,c2c3:f1e1
4r1k1/p6p/1p4p1/3R4/5PP1/2N4P/PPP2q1K/6R1 w - -,h2h1
r4rk1/1p4pp/p1n1pp2/1n5B/3q4/6BP/PP1Q1PP1/3R1RK1 w - -,d2e2
2br2k1/5p2/3r1np1/NBq1p1b1/1R2P3/2P2QNP/5P2/R5K1 w - -,b5f1
rnbqkb1r/ppp2p1p/5pp1/3p4/3P4/4P3/PPP2PPP/RN1QKBNR w KQkq d6,g2g3:c2c4
8/6pk/PQ5p/2p1p3/3pP3/q2P2P1/5PKP/8 b - -,c5c4
4r1k1/pp1b2p1/2pBpp1p/2Pr3q/3P1P2/3QR3/PP4PP/4R1K1 b - -,h5f5
8/8/P5KP/kP6/2P5/4b3/8/8 b - -,a5b4
r1bqr1k1/1p1n1pb1/p2p1np1/2pP3p/P3P3/2NB2NP/1P3PP1/R1BQ1RK1 w - h6,c1g5
8/8/3kbp2/p7/3KP2p/1P6/P7/5N2 w - -,f1h2
r1bqk2r/pp2ppbp/2np1np1/8/4P3/2PBBN1P/PP3PP1/RN1Q1RK1 w kq -,c3c4:d1d2
8/P7/1Q5p/2K3q1/6pk/4P3/1P6/8 w - -,c5c4
3rbrk1/ppq1b1pp/2p1p3/4Pp2/2PPp1P1/4B3/PP1QP1BP/3R1RK1 w - -,e3f4
8/5p2/6kp/1R6/1p6/3K1Pn1/8/8 w - -,d3e3
2r2rk1/1b2qppp/1p2p3/pP2p3/PbP1P3/5PPP/2QN3K/2RR1B2 w - -,d2b3
2bqkb1r/r3p1n1/p2P2pp/1p6/7B/2N2Q2/PP3PPP/R4RK1 w k -,c3d5
r1b1kb1r/pp1n1p2/2pp1np1/3Pp1Bp/N1P1P3/3B1P2/Pq2N1PP/R2QK2R b KQkq -,b2b4
1r1q1rk1/2pbppbp/p1np2p1/1p6/2PP3N/Q1P1B1P1/P3PPBP/R2R2K1 w - b6,a1b1
r5k1/1p1rbppp/p1q1pn2/8/2PP2b1/1Q1B4/PB1N1PPP/R3R1K1 w - -,e1e3
3r2rk/2qn1pbp/p1bp1np1/P1p1p3/1pP1P1P1/1P1PNN2/3B1PBP/R2QR1K1 b - -,d7f8
8/5p1k/r4npp/8/rp6/4PBP1/PR1R1P1P/6K1 w - -,f3d1
r2qk2r/1bp2pb1/pp3npp/4p1B1/P3P3/2NB3P/1PP1QPP1/R4RK1 w kq -,g5h4
r1bqr1k1/p4pp1/2Nb1n1p/1p1p4/2pP1B2/P3P2P/1PQ2PP1/1BR2RK1 b - -,d8c7
rn1q1rk1/1b1pbppp/4pn2/p1p5/1pPP4/PP3NP1/1BN1PPBP/R2Q1RK1 b - d3,d7d6
r2qkb1r/1bp4p/pn2p1p1/1p2p2n/3P4/PP2B2P/2PQN1P1/1NKR1B1R b kq -,f8g7
B5k1/8/1p4pp/8/6P1/5P2/4r1K1/1R6 w - -,g2g3
1r3rk1/p3p2p/3p2p1/1B2bp2/PP2P2P/2P5/3K2P1/3R3R w - f6,e4f5
r1bq1rk1/pppn1ppp/5n2/2b1p3/2B1P3/2N2N2/PPP2PPP/R1BQ1RK1 w - -,c1g5
r1bq1rk1/ppb1n1pp/2p5/2P1p3/3pN3/4P1P1/PP3PBP/R1BQ1RK1 w - -,e3d4
1k1r1b1r/pp2pppp/5n2/3n2B1/2Np4/1P3BP1/1P2PP1P/R4RK1 w - -,c4e5
r4rk1/p4pb1/1pq2np1/n1p1p1Bp/4P2P/2P2QN1/PP3PP1/R3RNK1 b - -,f6g4
r1bqr1k1/p4pbp/2pBn1p1/2Pp4/3Pn3/2N2NP1/P1Q2PBP/R4RK1 w - -,c3e4
8/1pkr2pp/2p2pn1/p7/P1B1PP2/5KP1/1P1R3P/8 w - -,d2d7
r7/p1rknpp1/2n1p2p/1pRpP2P/1P1P4/P5N1/1B2KPP1/2R5 b - -,a7a6
rn1qkb1r/pbpp1p1p/1p3pp1/8/2P5/1P2PN2/P2P1PPP/RN1QKB1R b KQkq c3,f8g7
3N3k/4R3/5r2/8/4B3/1P3P2/1K6/8 b - -,f6d6
r4k1r/1p1n1ppp/p7/2N5/8/P1p5/5PPP/R4RK1 w - -,c5d7
2k2r1r/1bn2p2/2p1p2p/1PR1P1p1/8/1q1BB3/3Q1PPP/4R1K1 w - -,e1b1
7k/8/1n1B2rp/1p2P3/2bP2P1/R4P2/8/2K5 w - -,c1d2
