8/8/8/4R3/8/6KP/8/3rqk2 w - -,e5e1
r2qr1k1/1b1n1pbp/p1pp1np1/1p2p3/3PP3/2PBBP2/PP1QN1PP/2RN1R1K b - -,a8c8
1r3rk1/1b2bppp/1p2p3/p2QP3/8/P3P3/1B2BPPP/R4RK1 b - -,b7d5
r3k2r/pb1pppbp/1p2q1p1/2n1P3/2P1n3/2N2N2/PP1B1PPP/R2QRBK1 w kq -,c3e4
1rbqkb1r/2pn1ppp/p1B1p3/1p2P3/2pQ4/2N3P1/PP2PP1P/R1B2RK1 b k -,c8b7
r1b2rk1/pp4qp/2n1p1p1/3p3n/3P4/3B1NP1/PP2NPP1/2RQR1K1 b - -,c8d7
r1bqk1nr/1p1p1pbp/p3p1p1/2p5/P1BNP3/2N5/1PPP1PPP/R1BQ1RK1 b kq -,c5d4
2r3k1/3q1bb1/1Q1p1n1p/1N1Pn1p1/P1P5/P1B3P1/5PBP/4R1K1 b - -,e5c4
r2q4/pp5k/6pp/2pPpr2/2Pb4/3N2P1/PP4KP/R2QR3 w - -,a1c1
r1bq1rk1/pp2ppbp/6p1/3PN2n/2B5/1QNPB3/PP3PPP/R3R1K1 b - -,g7e5
4r3/R4p1p/4p1k1/3pPp2/3P1K2/5P2/5P1P/8 w - -,h2h4
r3r1k1/pp1nbppp/2pp1n2/q7/3BPP2/2NB1Q1P/PPP3P1/4RRK1 w - -,a2a3
8/1B5k/P7/r5p1/8/3KP3/8/8 w - -,d3c4
8/k1p4Q/pp5p/6p1/1P1p2P1/P1rP3P/5r1K/8 w - -,h2g3
rnbr2k1/ppp1qppp/4pn2/8/2BP4/2N1PN2/PP1Q1PPP/2R1K2R w K -,e1g1
6R1/8/8/p3b1pk/7P/r7/2R3K1/4r3 b - -,h5h4
3rr3/3bkp2/p5p1/1p2PnNp/3P1R1P/P1P5/3K4/R2B4 b - -,d7e6
r1bqkb1r/1p1pnppp/p1n1p3/1Bp5/4P3/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,b5c6
2q1r1k1/3nr2p/1p1pN1pb/1P1Pn3/2pB4/Q1P3PP/5RB1/5RK1 b - -,e5f7
8/5pk1/6p1/8/Q5P1/P1p2K2/3q4/8 w - -,a4e4
1r3rk1/p4p1p/4p1p1/2p5/4PP2/P2Pq1P1/2Q1n1BP/1R3R1K w - -,b1e1
2rr2k1/1bq1bppp/p3pn2/1P6/3pPP2/1P1N2P1/2PBQ1BP/R1R3K1 b - -,a6b5
r4rk1/p3ppbp/1p3npB/1BpP4/4QP2/8/PP3P1P/1R1R2K1 b - -,f6e4
r1r5/p5kp/6p1/2n1P3/2B5/P4N2/1P3PPP/1K5R w - -,h1e1
8/2R5/7p/4k1p1/1b3p2/1P5P/5K2/8 w - -,f2f3
8/2B2n2/5Pp1/4p1PP/5k2/3b4/5K2/8 b - -,g6h5
4r1k1/bpr3p1/p3p2p/2NpPb2/1P1P4/P5P1/5B1P/2R1R1K1 b - -,e8c8
r5k1/1p2bppp/r1p1pn2/1p6/P2PP3/1P4P1/1B1N1PKP/R4R2 b - a3,b5a4
r1b2r1k/p2n2bp/1q1pN3/4p3/1pBP1pn1/1P3NB1/2PQ1PPP/R3R1K1 w - -,g3h4
r1b2rk1/pp3p1p/4pbp1/q7/3NQP2/2PB4/P1P3PP/3R1RK1 w - -,c3c4
8/2r1kp2/8/4N1p1/2pP2Pp/1b5P/1P3Kn1/7R w - -,f2g2
6k1/3b2rp/2p1p3/2P1Rpq1/5Q2/N5PP/8/6K1 w - -,f4g5
6k1/1pqnrpp1/p3p1p1/3pb3/2P5/P6P/1P1Q1PP1/3RRB1K b - -,d5c4
