k3r3/P5R1/1P6/1K4p1/8/3p4/8/8 b - -,e8e1
4r2k/6p1/pp5p/5p2/2P5/1P1rp3/P3R1PP/5R1K w - -,g2g3
4r1k1/3b1p1p/p4qp1/2p1nn2/Pp1p4/1P1P1NP1/1NPQ1PBP/1R4K1 w - -,f3e5
r3k2r/pb1q1ppp/1p2p3/1p1pP3/1P1P4/1Rb1BN2/2P1QPPP/5RK1 b kq -,a8c8
rnq2rk1/pp2ppb1/2pp1npp/8/2PP4/1P3NPb/PB2PP1P/RN1QR1KB w - -,e2e4
r3k2r/1bq1npb1/p2p1p2/1p2pP1p/4P1B1/PNNQ4/1PP3PP/R4RK1 w kq h6,g4f3
8/5ppp/2k1p3/2P5/2nP4/3rB3/4KPPP/4R3 b - -,d3a3
r3k2r/pp4b1/4npp1/2pqp2p/7P/3PBPP1/PPPQ3K/R4RN1 w kq -,g1e2
r1bqkb1r/ppp2ppp/1nn5/4p3/8/2N1P1P1/PP1PNPBP/R1BQK2R b KQkq -,c8e6:g7g6:f8e7:c8f5
r1bqk1nr/pp2bp1p/2n3p1/2p1p3/2PpP3/3P1NN1/PP1B1PPP/R2QKB1R b KQkq -,g8f6
r2q1r2/1ppb1pbk/3pn1pp/n2Np3/p2PP3/1PP1BN1P/P1BQ1PP1/3RR1K1 b - -,a4b3
1kr5/pp3ppp/6q1/2NpP3/3K4/2P1RP2/PP6/R1B2n2 b - -,c8c5
4b3/p7/2p2k2/2Pp1p1p/5Pp1/2PKP3/P5BP/8 b - -,h5h4
2r4r/1p2kppp/p2bpnb1/4N3/1n1P2P1/1BN1B2P/PP3P2/2R2RK1 w - -,f1d1
8/6p1/4k2p/1p1R3P/1P2P3/2p2P2/3pK1P1/2r5 b - -,c1e1
1k2R2r/2p5/8/PP6/3P2p1/2P2bpq/5Q1P/4R1K1 b - -,b8b7
3r2k1/p1q2pp1/2p4p/2N5/2P1b3/1P5P/PB3PPb/R2Q1B1K b - -,d8d1
3qn3/1p2bp1k/pN1p2pp/3Pp3/1P2P1P1/P2QBP1P/7K/8 b - -,e7g5
r1bqr1k1/pp3ppp/2p5/8/1P1P4/P1nQ2P1/5PBP/R1B2RK1 b - -,d8d4
8/Q2k4/p7/1p1Pr1p1/2r5/2P5/P5P1/6K1 b - -,c4c7
1r1r2k1/pp1q1ppp/2p2b2/3n4/2BP1P2/1Q6/PP2N1PP/3R1R1K b - -,d5b6
r3r2q/1pp1knR1/n2pN3/p2P1p2/2P2B2/2P4P/P2Q4/2K4R w - -,f4g5
8/p7/2p2k2/Npp1p3/4P3/1PnP4/P1PK3R/6r1 b - -,c3a2
2r5/k1P2R2/5P2/8/7p/7K/6P1/8 w - -,f7e7
rq3rk1/pp1n1ppp/2pb1n2/1N1p1bB1/3P4/4PN2/PP2BPPP/2RQ1RK1 w - -,b5d6
4k1nr/1pp1q1bp/p1b1pPp1/8/3R1B2/1NN4P/PPPQ1PP1/6K1 b k -,g7f6
r5k1/2qn1pp1/2p1pn1p/2Pp4/3P4/1N2P2P/N1Q2PP1/1R4K1 b - -,e6e5
8/8/p4p1k/7r/5P2/4PK2/8/6R1 w - -,f3e4
2r2rk1/p3bppp/1n2p3/Q2p4/2pP1q2/5N2/PP2PPBP/2RR2K1 w - -,a5a7
r2k1b1r/pp2p1pp/1n1q4/4N3/6b1/1BPpB3/PP3PPP/RN1Q1RK1 b - -,g4d1
r2r1b2/k1p4p/1p1n1p2/p1nRpNpP/2P1P1P1/1PB2B2/P1K3P1/3R4 w - -,c3b2
2r1q1k1/1bp1nrpp/1p1p1p2/p2PpN2/PnP1P1PP/4BP2/1P1Q4/R2BK2R w KQ -,h1g1
r4k2/4bpp1/pp2pn1p/8/4P3/1PN2PP1/PB4KP/3R4 b - e3,a8d8
2B5/4k3/8/1P4pp/P4p2/4r2P/1KP1b3/1R6 b - -,e7d8
r4rk1/pp2bppp/2p1b3/q3p3/2P5/3BB3/PPP1QPPP/1K1R3R b - -,a8d8
2B2n2/5p2/P4k2/7p/3R1P2/r6P/3K4/8 w - -,f4f5
2kr2r1/ppp2p1p/5R2/2q1p3/2N1Pn2/1QP3P1/PP5P/5R1K b - -,f4d3
8/p7/p6P/2Pk1pK1/2R5/8/8/1r6 w - -,h6h7
8/8/2K2k2/5p1p/5P2/5NP1/5n1P/8 b - -,f2g4
3Rn2N/pp4k1/4pp2/r7/2P2P1B/7P/6PK/8 b - -,a5h5
r2qk1nr/pbppbppp/1pn1p3/6B1/3PP2P/2NB4/PPP2PP1/R2QK1NR w KQkq -,g1f3
8/1pr1q1k1/5bpp/p7/3pBP1P/PR1Q2P1/1P5K/8 b - -,g7f8
r5k1/pb1q2bp/4p1p1/1p1p4/1B1P4/1Q2P2P/PP2B1P1/5RK1 w - -,b4c5
1r6/3Q1pk1/2p3p1/p1q4p/P6P/1P1R2P1/5PK1/8 w - -,d7c7
r1q1r1k1/pp1nppbp/3p2p1/3N4/2P1P3/1P2BPP1/P1Q3KP/2R2R2 b - -,c8c6
r1bq1rk1/1pp1bppp/p1np1n2/6B1/4P3/2N2N2/PPPQ1PPP/2KR1B1R w - -,f1d3
8/R5k1/8/5p1p/4rPp1/6P1/3K4/8 b - -,g7f6
3r1r1k/p4pb1/6bp/4N3/1P3Q2/q4B2/5PPP/2R1R1K1 b - -,a3b2
8/6b1/1Np5/5kp1/2rP3p/P4P2/1P1R2K1/8 b - -,c4d4
2r1k2r/1pq2ppp/p1npp3/8/2P1Q3/1P3N2/PR3PPP/3R2K1 b k -,c8d8
8/6p1/3k4/2pR3P/K1P5/P3r2P/8/8 b - -,d6c6
r5k1/3N1p2/2p3p1/3pP3/1Rnq3p/6P1/2Q2P1P/6K1 w - -,e5e6
6R1/kp2qbR1/4p3/p2pPp2/P2P1r2/2P2N2/3K4/3B4 w - -,f3g5
r2qk2r/1b1nbppp/p1n1p3/1p2P3/4N3/P2B1N2/1PQ2PPP/R1B2RK1 w kq -,f1d1
r5k1/r1n4p/1q4p1/2p1PpP1/1pPp1P2/3P1Q2/1P1B3K/1R5R b - -,b6b7
r2qk2r/1p1bppb1/p1np1np1/2p4p/P1P1P3/2NPB1PP/1P2NPB1/R2QK2R b KQkq a3,a8b8
3r4/pp3pk1/2b1p1p1/2R1P2p/P2P1R1P/1P6/1K6/8 b - -,g7g8
8/6rk/3p4/4qp1p/p4Q2/5R1P/1P3P1K/8 b - -,g7f7
4qrk1/p5pp/1pbpp3/2r2p2/2P1n3/1Q2PN2/PP2BPPP/1K1R1R2 w - -,d1c1
8/3k4/8/4R2P/3K2p1/2p3P1/8/5n2 w - -,d4c3
8/p5p1/2pk3p/4rP2/5KPP/8/P1R5/8 b - -,e5a5:e5d5
r4rk1/pp1bppbp/2np1np1/q7/4P3/2N2N2/PPPB1PPP/R2QRBK1 b - -,a5h5
R7/6pk/3Nppbp/pr6/r2PPn2/4NP1P/2R3PK/8 b - -,b5b6
4B3/5p2/4b1p1/7p/2p3PP/3k1P2/8/2K5 w - -,g4h5
3R4/5pk1/1r1p2pp/8/5KPP/4PP2/8/8 b - -,b6b4
2q1r1k1/3n1ppp/p3pb2/3p4/3P4/BP3N2/P4PPP/2R2RK1 w - -,c1c8
rnb2rk1/ppq2ppp/4pn2/2p5/2BP4/P1P1P3/4NPPP/R1BQK2R w KQ -,c4a2:c4d3
rnbqk1nr/1p1pppbp/p5p1/2pP4/4P2P/2N5/PPP2PP1/R1BQKBNR b KQkq -,b7b5
5R2/6k1/4p3/3p4/1r3P2/8/4K2P/8 w - -,f8e8
1rr3k1/pp2pp1p/3p2p1/3P3q/3P4/1P4Pb/P2Q1PBP/R2R2K1 w - -,g2h3
8/3k3r/5p2/3B1P2/2PPp3/2P3K1/8/8 b - -,e4e3
r2qr1k1/pb3p1p/2p3n1/1p1pP3/3P1R2/3B4/PPQN2PP/R5K1 w - -,f4f6
1rb2rk1/4bppp/4p3/p4PP1/2q1P3/1BN3R1/1PP4P/2KR4 w - -,b3c4
r3qr2/1p4bk/p2p1n1p/2pPpbp1/2P1P1P1/1P5P/P3QNK1/2R2RB1 w - -,e4f5
8/2p5/2p2pkp/1p3Np1/p1bP2P1/2PK1P2/1P4P1/8 w - -,d3e3
r1b2rk1/pp1n1pp1/4p2p/4q3/7Q/2NB4/PPP3PP/4RR1K b - -,e5g5
1r2n1k1/2pq1pp1/4p2p/1R2P3/3P3P/1p1Q2P1/3N1PK1/2R5 b - -,b8b5
3r1rk1/6p1/pPp1R2p/R1p5/8/2P5/1P3PPP/5nK1 w - -,g1f1
R7/3r2kp/5p1n/R5p1/6P1/5P2/5K2/8 b - -,g7g6
4r1k1/7p/p5p1/3pB3/5P1R/8/r3b1PP/2R4K w - -,h2h3
r1bq1rk1/p3p1bp/2pp2pn/4P3/3P1p2/2N2N2/PP3PPP/R1BQR1K1 w - -,d1b3
5bk1/3n3p/4p1p1/2rp2P1/2P2P2/1P3B2/3B3P/5R1K w - -,d2b4
1k1r3r/1p3p1p/p3p1p1/P1qb4/5P2/R2B4/1PP1Q1PP/1R5K b - -,d8c8
r2r2k1/1bq3bp/p2np1p1/2p1Np2/N1P1nP2/4P3/P1B3PP/B2RQRK1 w - -,e1e2
r1bqkb1r/pp3ppp/1P2p3/3pP3/3n4/3B4/1PP2PPP/RNBQ1RK1 b kq -,a7a6
8/n5pk/P1K5/3R3p/8/1r6/8/8 w - -,c6c7
8/1k3N2/1p4p1/pK1nP2p/8/PP4PP/8/8 w - -,a3a4
r3r1k1/1pq2pbp/p5p1/P7/1BP2p2/N2b1N1P/3Q2P1/2R4K b - -,a8d8
1r3nk1/6p1/2p1pqp1/2P4n/pP1PQ3/B2B1P2/6R1/6K1 w - -,g2g4
6N1/8/6b1/4K1P1/8/8/3k4/8 b - -,d2e3
rnbqkbnr/pp3ppp/2p1p3/3p4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq -,e1g1:b2b3:d2d4:d2d3
