2R4r/BR2bk2/7p/8/4n3/8/1PP2P1P/2K5 b - -,h8c8
3R1bk1/1p1P1p2/p5p1/P3N2p/4P2P/1P3KP1/3r4/8 b - -,g8g7
2r3k1/pbr2ppp/8/1p2p3/4p2P/NPPnN1P1/P3RPK1/3R4 b - -,a7a6
8/8/1K4k1/P6p/1R3p1P/8/5r2/8 b - -,g6f5
8/7p/6p1/2bk1p2/3r1P2/6P1/4P1KP/1R6 b - -,d4e4
2r5/4Rpkp/1q4p1/2pQ4/2P2P2/5KP1/7P/8 b - -,b6f6
r1bqk2r/1ppnbppp/p3pn2/3p4/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 b kq -,e8g8
7k/Qp1qr1p1/2p4p/8/2P1pP2/1P3nP1/P4P1P/5BK1 w - -,g1h1
rn1qnr2/1b2bp1k/ppp4p/3pPN1Q/3P4/2N3P1/PP3PBP/R4RK1 b - -,b7c8
r2qr1k1/pp1b1pbp/1n4p1/3P1p2/1Q6/2NB1N1P/PP3PP1/3R1RK1 w - -,d3b5
3r2k1/pp2rppp/2nqbn2/2N5/3p3N/P2Q1PP1/1P2P1BP/2RR2K1 w - -,f3f4
r4rk1/pp3pp1/1qn4p/6N1/3p2b1/6P1/PP1QPPBP/2R2RK1 w - -,g5e4
8/5ppk/4p2p/2Q5/7P/1q4P1/1P3P1K/8 w - -,c5a3
r7/3k1ppp/1n3b2/2Np4/5B2/P1P5/1P4PP/4R2K b - -,d7c6
r2qnrkn/1p1bbppp/p2p4/2pPp2P/2P1PP2/2NBB1P1/PPQ4N/R3K2R b KQ f3,e8f6
rnbqkb1r/ppp3pp/4Pn2/3p1p2/8/4PN2/PPP2PPP/RNBQKB1R b KQkq -,c8e6
r1bq1rk1/pp1n1ppp/2p1pn2/8/PbpP4/2N2NP1/1PQ1PPBP/R1B2RK1 b - -,d8e7:d8a5:d8c7:a7a5
r2r2k1/2R2pb1/pp2p1pp/8/P1RP2P1/4PN2/4K2P/8 w - -,c4c6
2r1k2r/p4qpp/1pn1p1n1/3pPp2/3p3P/P2N2Q1/1PPB1PP1/R3R1K1 w - -,b2b4
6K1/5R2/2p5/1p1k4/pP1p4/8/P7/8 w - -,f7d7
2r3k1/p1q2p1p/2p1p1p1/8/Q7/2P1P1P1/P4P1P/3R2K1 b - -,a7a5
6k1/5p1p/6p1/3p4/P7/2q2nP1/2r1BbKP/1R1Q4 w - -,e2f3
rnbq1rk1/5ppp/2p1pn2/pP6/2pP4/6P1/1PQNPPBP/RN3RK1 b - -,f6d5
7r/5k1P/2N3p1/5p2/1pp5/2B5/8/R5K1 b - -,b4c3
r6N/ppkn3p/2bbQnp1/2p5/3P4/2P1B1R1/PP1N1P1q/2KR4 w - -,g3h3
2r5/4bk2/2P4p/6pP/1p1NNpP1/3P4/2P3K1/8 w - g6,h5g6
2r2bk1/R3B1pp/1p4q1/4p3/5RP1/2P2Q2/P4PKP/8 b - -,e5f4
1r3rk1/pp3pbp/1npNb1p1/4p3/P7/1P4P1/1BPRPPBP/R5K1 w - -,a4a5
3rn1k1/5ppp/2pq1P2/4p1PQ/1r2p3/3B3R/P1P4P/5R1K b - -,g7f6
8/kp6/p5p1/2qP1p1p/7P/6P1/1P1Q1b2/1K1B4 w - -,d5d6
Q2q1r2/p3k1r1/2B1Pb2/8/P1pP4/2P3p1/1P6/R4RK1 w - -,a8a7
4k3/8/5K2/5P2/6r1/8/3R4/8 w - -,d2h2
8/1b3pk1/p6p/1p2q1p1/1P1pP3/P2B3P/2Q2PP1/6K1 b - -,e5d6
8/7p/3p1pp1/3P4/pk3PP1/nn5P/B2K4/4R3 w - -,a2b3
r1bq1rk1/2p2ppp/1pn1pn2/3p4/2PP4/PQ3NP1/3NPPBP/R4RK1 w - -,e2e3
5rk1/1B4pp/4p3/6P1/3p1q2/7P/2R3RK/8 w - -,h2h1
r1b1kb1r/pp2nppp/2n5/q3P3/3p1B2/5N2/PP1NPPPP/R2QKB1R b KQkq -,e7d5
rnbqk1nr/pp3ppp/1b2p3/3p4/4P3/1N6/PPP2PPP/R1BQKBNR w KQkq -,e4d5
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/5NP1/PP1NPP1P/R1BQKB1R w KQkq -,f1g2
5Q2/4r3/1p3R2/p2pP1qk/1p6/6P1/1P6/6K1 w - -,f8h8
7r/8/pB2k3/1p2pn2/2p5/P1P1K1P1/5P2/3R4 w - -,e3f3
r2r2k1/p1B2ppp/b7/3P4/3b1Q2/q1p3P1/3p1PBP/2R1R1K1 w - -,d5d6
r1b2rk1/p3bp1p/2p1p1p1/3q4/3P1B2/1Q3N2/PP3PPP/R1R3K1 w - -,f3e5
r1bqkb1r/pp2pppp/1nn5/3pP3/3P1P2/2N5/PP4PP/R1BQKBNR w KQkq d6,g1f3
r4n2/6k1/4r1p1/1pp1N3/4R3/P2P1P2/1PPK2P1/7R b - -,e6d6
8/6R1/8/1k3KP1/p1r2P2/8/8/8 w - -,g7a7
rnb1r1k1/2q2pbp/pp1p1np1/2pP4/P4B2/2N2NPP/1P2PPB1/2RQ1RK1 b - -,b8d7
1k6/1p5p/p2p4/3Pr1b1/5P2/4p3/PPR3K1/3R4 b - -,g5f4
3r1rk1/4bp2/4p2p/p4p2/p3b3/1B3N2/1PP2PPP/3RR1K1 w - -,b3a4
1k1rrb2/1Nq2p2/Bnp1p1bp/3pP1p1/1P1P4/1QP5/5PPP/R1B1R1K1 b - -,c7b7
2r1kb1r/ppq1pppp/5n2/n2p4/3P4/1QPBBN2/PP3PPP/R3K2R w KQk -,b3c2
8/8/6pp/7r/5k1N/5P1P/4K3/8 w - -,h4g6
r1bqk2r/2p1bppp/p1np4/1p1np3/4P3/5N2/PPPP1PPP/RNBQR1K1 w kq -,e4d5
q1r3k1/pb4pp/1pr1p3/2pp1p2/3P1P2/1QP1P2P/PP4P1/2RR1BK1 w - -,b3c2
6k1/6B1/r3N1KP/8/7P/8/8/8 w - -,h6h7
8/5pk1/6p1/P1R4p/7P/r5P1/6K1/8 b - -,g7h6
r2qrnk1/5pb1/1Bn3p1/p2Np3/4P1B1/2P5/PP4PP/R2Q1R1K b - -,d8g5
r1b1k2r/1pqp1ppp/p1n1pn2/8/2P1P3/2N1BP2/PPN1B1Pb/R2QK2R w KQkq -,d1d2
3rkb2/p1r1N2R/1p1p2p1/8/2PBbP2/1P6/P5PP/K3R3 b - -,c7e7
r3kq1r/pppb1pp1/1bn2n1p/1N1B4/3pPB2/1Q3N2/PP3PPP/2R2RK1 b kq -,a8c8
2b2rk1/r3npp1/p3p2P/1p6/4P3/P1N5/1PP1BP1R/2K4R b - -,g7g6
r1b2k1r/pp3ppp/2p5/2bpP1B1/1q6/6Q1/PPP1NPPP/1R3RK1 w - -,e2f4
rnbqk2r/ppp2p2/5n1p/3p2p1/1b1P4/2N1P1B1/PP3PPP/R2QKBNR b KQkq -,f6e4
rn1q1rk1/p1pp2pp/1p2pn2/5pB1/1bPPb3/1QN2NP1/PP2PPBP/R3K2R b KQ -,b4c3
rnb2rk1/ppq2pbp/2pp1np1/4p3/3PP3/2N1BN1P/PPPQBPP1/R4RK1 b - -,e5d4
4r1k1/1b3p1p/6p1/1p6/3R4/7P/r5PK/3R1B2 w - -,d1b1
6k1/pprr1pp1/2p2bp1/8/1R1P4/PR2P1P1/1P4BP/6K1 w - -,b4c4
rnbq1rk1/ppp3bp/3p4/3Ppp2/2P2n1N/2N3PP/PP3P2/R1BQKB1R w KQ -,g3f4
r4rk1/pppn1qp1/2n2p1p/4p3/4N3/PbQPPNP1/1P3PBP/2R2RK1 w - -,e4d2
r4rk1/p1qp3p/1pn1p1p1/2P2p2/P1b1PP2/2P1B1N1/5RPP/R2Q2K1 b - -,a8b8
r2qkb1r/1b1p1ppp/p3pn2/1p6/3pPP2/3P2P1/PPP1Q1BP/R1BNK2R b KQkq -,a8c8
8/2P1pk1p/p4r1q/p2Q1p2/6pN/1P2PnP1/P4PK1/2R5 b - -,f7g7
8/8/R4p2/6k1/8/1r6/5K2/8 w - -,a6a5
8/3q2kp/2b3n1/b1P1p1Bn/4P2P/1R1p1P2/P5QP/3R3K b - -,d3d2
r3kbnr/1bqp1pp1/4p3/1pp3Bp/3nP3/2NP2PN/1PP2PBP/R2Q1RK1 w kq -,a1a8
8/2b5/7p/p3k3/Bp3p2/1P3K1P/8/8 b - -,e5f5
7r/pp1b1k2/5pp1/4p3/1P2P1P1/P1PK2R1/3N4/8 w - -,d2f1
r5k1/p3qpp1/1p3n1p/4P3/3R4/2NQPP2/PP4KP/8 b - -,e7e5
8/2p2p1p/4k1p1/2p5/4KP2/8/P1P3PP/8 w - -,a2a4
2r2k2/p4p2/1p2p1b1/2p4p/3r1P2/R4B1P/P1P3RK/2B5 b - -,c8c7
8/5p2/4p3/4PPK1/8/5k2/8/8 b - -,f3e4
r4rk1/p1p3pp/2p2q2/2b5/3Np3/2P1B3/PP3PPP/R4QK1 b - -,f8f7
8/4nk1K/8/6PP/4B3/8/8/8 w - -,g5g6
6k1/p2q1pp1/7p/1b6/1P1pr3/P2N3P/1Q3PP1/3R2K1 b - -,d7d5
r5k1/3R2pp/b1p1rp2/1p6/2p5/P4PB1/1PP2KPP/3R4 w - -,d7d6
r7/2kp3p/p3p1r1/R3Ppp1/1P1N4/2P3P1/7P/6K1 w - -,d4b5
r4rk1/pbp2ppp/1p1qpn2/4N3/1P1P4/3BP3/P1Q2PPP/R4RK1 b - b3,g7g6
6k1/3B1p2/6pb/2BbP2p/R4P2/6rP/8/5K2 w - -,a4d4
r2q1rk1/p2nppbp/b5p1/2p5/3PP3/1BQ1BN2/P4PPP/3RK2R w K -,b3d5
r1b3k1/ppq3b1/2p4r/2P1p3/5pB1/1PN3PP/P4P2/2RQ1RK1 w - -,c3e4
2b5/p2k2pp/1p1b4/3Pp1B1/2B3p1/5P2/PP2K2P/8 w - -,f3g4
8/1pBBn3/p4ppp/2k5/4K1P1/2P4P/PP6/8 b - -,b7b5
1r3k2/p2n1ppp/3b4/8/1p1pP3/1P1B1P2/2PBK1PP/7R b - -,d6c7
3r1r1k/ppp3pp/2n5/3Pp3/2B2bN1/1P5q/PB2QP2/3R1RK1 b - -,h7h5
r1b2rk1/1p1nqppp/p1p2n2/2Pp4/3P4/1PN3PP/P2QNPB1/R4RK1 w - -,a1e1
4r1k1/p4pp1/1p4p1/2p5/4n3/PP1rP2P/1R3PP1/2R1N1K1 b - -,d3d7
r3k1nr/3b1p2/p5p1/1pp1b3/B1Pp4/8/PP4PP/RNB1R1K1 b kq -,f7f6
8/1pk2p2/4b1p1/2P1n2p/1P2p2P/4N1P1/r3BP2/1R1K4 b - -,e5d3
1r3rk1/1bq1n1b1/3p2p1/NppPppBp/4PP1P/3P4/1P1QB1P1/R4RK1 w - -,a1a2
4r1k1/pp1r1pp1/8/1P6/3bpB2/P1N2pP1/7P/R4K1R w - -,a1d1
1k2qr2/1pb1r1p1/p1p3p1/P2p2P1/1Pn1PpB1/2PQ3P/5RK1/2B2R2 w - -,c1f4
8/pp4pk/3Bb2p/1P5q/3R2nP/5QP1/P4P2/2r2BK1 w - -,d4d1
8/6R1/p3P3/2kp2pP/2pb4/P7/8/1K6 b - -,c5d6
r4r1k/4p3/pR3p1b/q1NpNb2/3P1P1p/8/P1P1Q1PP/5RK1 w - -,f1b1
5r1k/3q2pp/1p2p3/2bpP3/3Np3/2Q1P2P/5PP1/R5K1 b - -,h7h6
r3r1k1/1p1n1ppp/1qp2n2/p7/2PpP1b1/PPB3P1/2Q2PBP/R3RNK1 w - -,c3b2
8/3k3R/p7/p2P1p2/4rp2/4N3/4K3/8 b - -,d7d6
8/5p2/pbk2N2/1p6/3K1P2/1P6/2P5/8 w - -,d4e4
r1b2rk1/p1n1qppp/1p1p1n2/2pPp3/P1B1P3/2P2N1P/2PB1PP1/R2QR1K1 w - -,c4d3
r5k1/B4p1p/3p1np1/1b1P4/p3PP2/3N4/1PR1K1PP/8 w - -,a7d4
8/4k3/2B1Pp1p/5P2/1K5P/2n5/8/8 b - -,c3e2
r1r3k1/1p1qppbp/p1np1np1/8/2PNP3/1PN1BP2/P5PP/R2Q1RK1 w - -,a2a4
5rk1/2RP1n1p/1p2pBp1/6P1/p7/b6P/3N1PK1/8 w - -,c7c8
