8/4p3/3k2B1/6BP/r2p4/6K1/5P2/8 w - -,h5h6
4nk2/pb2p2p/1p3N2/6p1/Pq6/1B1rBP2/1Q4PP/1R4K1 b - -,e8f6
2qr2k1/r3bppp/ppnp1n2/2p5/P3PB2/2N3P1/1P3PBP/R2Q1RK1 w - -,h2h3
8/p7/5rp1/8/4kPQ1/6K1/8/8 w - -,g4e2
8/4R1p1/4p1kp/4P3/p3P3/8/5KPP/r7 b - -,g6g5
2kr1b1r/1b2n3/2n1R2p/qN1p2p1/2p5/P4N2/5PPP/R1BQ1BK1 w - -,a1b1
r2qk2r/1b2bppp/p1n1pn2/3pN1B1/PP1p4/4P3/1P1NBPPP/R2Q1RK1 w kq -,e5c6
8/p5p1/1p1nk2p/1P2p3/2P3PP/3KB3/8/8 b - -,d6e8
8/8/5K2/2q5/5RP1/1k6/8/8 b - -,c5d6
r1b2rk1/3n1pb1/1p4qp/pNpPp2P/PnP1P1p1/1R3N2/3BBPP1/1R1Q2K1 b - -,g6h5
8/5pk1/1R2p1p1/3P3p/1p2KP1P/1r4P1/5P2/8 b - -,e6d5
2rrqbk1/1p3pp1/p3p2p/1b1nN3/3P4/P4Q2/1P3PPP/1BBRR1K1 b - -,e8e7
r1b1k2r/pppn1pp1/5q1p/3p4/3P4/2PBPN2/P4PPP/R2QK2R b KQkq -,e8g8
rn1qkb1r/pp2pppp/5n2/3p4/3P2b1/4PN2/PP3PPP/RNBQKB1R w KQkq -,d1b3:b1c3
r1bqk2r/pp3pb1/2n2np1/3pN1P1/2PPp3/2N5/PP3P2/R1BQK2B b Qkq -,f6h5
8/5p2/3p4/p1pPk1p1/PpP1Pp1p/1P1R1P1r/6r1/4KB2 w - -,f1g2
1r2r2k/6bp/p2Pb3/q1N1P1N1/1nQ2pP1/6nP/1P1B3K/R3R3 w - -,g5e6
5k2/p6p/1p2Q1p1/1q3p2/3PpP2/1P2P1P1/P1r4P/3N1RK1 w - -,e6e5
r1b2rk1/2q1bppp/p1p1pn2/3p4/N3P1P1/7P/PPP2PB1/R1BQR1K1 w - -,e4d5
r2qk2r/pb2n1pp/1p2ppn1/8/2P2P2/P1Q3N1/2B3PP/R1B2RK1 b kq -,e8g8
5rk1/1r3pbp/4b1p1/1pnN4/8/P1P3PP/1PB1NP2/2KR3R b - -,f7f5
r2r4/ppb1Rkp1/2pn2N1/3p4/1P1P1p2/2P4B/1P3P1P/R5K1 b - -,f7g6
4R3/6pk/p6p/1p5r/nP6/3N1P2/2K3P1/8 b - -,h5h2
r3k2r/2qbbppp/p2ppn2/1p2n3/4PBP1/PNN2P2/1PPQB2P/2KR3R b kq -,a8b8
r4rk1/4Rpb1/p2p2pp/3p1b2/q2P3B/P1Q2N1P/1P3PP1/3R2K1 w - -,d1d2
r1q3k1/3nnrpp/p4p2/2Pp4/2p2P2/P3P2P/3BB1P1/1R1Q1RK1 w - -,e2h5
r2qr1k1/pb2bppp/1pn1pn2/8/3P4/P1N2N2/1PB2PPP/R1BQR1K1 w - -,d1d3
5rk1/2r2pp1/7p/P3p3/1p1P4/b1pBP3/2R2PPP/1R4K1 w - -,d4d5
2b3k1/3q4/1Q3P1p/P2p2P1/3P4/5N2/5K2/8 b - -,h6g5
3Q4/8/7p/1k2K1p1/6P1/7P/p7/8 b - -,a2a1q
r3r1k1/pppqbppp/b2p1n2/3Nn3/4PN2/1P4PP/P1P2PB1/R1BQR1K1 b - -,e7d8
r1b2rk1/1q2npbp/p2ppnp1/P7/1p1PPP2/1N1BBN2/1P1Q2PP/R4RK1 w - -,d2c2
3rr1k1/2b2p1p/1p1pb3/pPp1p3/P3P3/4N3/1B1R1PPP/1R4K1 b - -,e8f8
r3rbk1/3n3p/2p1bpp1/p1p1p3/N1P1P3/1P1N3P/P3BPP1/1R1R2K1 w - -,b1b2
r7/P7/2N4k/8/2KPnp2/6p1/8/2R5 b - -,f4f3
1rkb4/2p5/1pQ1R3/4P3/1pP3q1/8/P4B1K/8 b - -,g4h5
4rk2/3Rpp2/3p2pp/2pPPP2/4rP2/5K2/3R3P/8 b - -,g6f5
