6rk/5p2/7p/1p6/5q1P/pPR2Q1K/P5P1/8 b - -,f4f3
8/7p/2n5/Pk2p1p1/2N1P3/2K5/5P1P/8 b - -,h7h5
6k1/p1p5/1p1rR1pp/3P2q1/3b1r2/1B6/PP2QPP1/5RK1 b - -,g5f5
rnb1kb1r/pp3ppp/1q2p3/2ppP3/3Pn3/5NN1/PPP2PPP/R1BQKB1R w KQkq -,f1d3
3r1rk1/pb4pp/1pn5/2N2p2/P1P4P/6P1/1PP2PB1/3RR1K1 b - -,b6c5
1B6/P6p/1N6/1pK2p2/8/1k6/7P/1q6 w - -,a7a8q
5r1k/1p3ppp/pq2p1n1/7N/5n2/P1Pr1N1P/1P3PP1/1R2RQK1 b - -,f4h3
2bqr1k1/Br1n1pbp/p2p2p1/4p3/1pP1PN2/7P/PP1QBPP1/2RR2K1 w - -,d2d6
rn1qkbnr/1b3ppp/p3p3/2p5/Np2pP2/3P1N2/PPP1B1PP/R1BQ1RK1 w kq -,f3g5
5b1k/5b1p/1p6/1Pp5/5N2/1P1R2PP/r2r2B1/5RK1 w - -,f1d1
8/2p5/6p1/Np1kp1np/1P6/3KP1P1/1P5P/8 w - -,a5b3
3r2rk/1p3pbp/2p2q2/2B1pP1n/p1B1Pn2/P3NP1P/1PP2Q1K/6R1 b - -,d8d7
6k1/5ppp/pp1p1bn1/3P4/P1P5/1q6/1P3QPP/R3r1K1 w - -,f2e1
8/p5k1/1p1PQ3/2pPn2p/2P5/2P4K/P7/6q1 w - -,e6e5
r1k1r3/pp1n1pp1/2p1bn1p/2b5/3NPB2/2N4P/PPP1B1P1/2KR3R w - -,e2f3
8/8/7R/p3k1p1/8/5P2/r3nBPK/8 w - -,f2e3
1n1k4/3p2pp/3n1b2/3B4/1P6/r4P2/4R1PP/2R3K1 w - -,e2a2
r5k1/3bn2p/3q1pp1/1p1p1n2/1PpP2B1/r1P3P1/1R1N1PPN/2RQ2K1 w - -,d1c2
r4rk1/1bq1bppp/ppn1pn2/6B1/P2p4/N1P2N1P/1P2BPP1/R2QR1K1 w - -,c3d4
2rq1k1r/5p2/b3p1p1/p1p1P3/3n1P1b/Q2P4/P3N1BP/1RBR2K1 w - -,a3b2
3k1r2/8/3q4/Q7/8/1P5P/1P2r1P1/4R2K b - -,d8c8
8/8/4k3/1qP2p1p/4p2P/2Q3P1/5K2/8 w - -,f2e3
r3r1k1/5pb1/p4n1p/1pq1pnp1/4N3/1PP2PP1/PB4BP/R4RK1 w - -,e4c5
RRb1r1k1/3pBp1p/2p3p1/8/Q1P1Pqn1/5N2/5PPP/6K1 w - -,a4a1
r4rk1/1bqnbppp/pp2pn2/2p5/P7/NQ1P1NP1/1P1BPPBP/R4RK1 w - -,f1c1
r2r2k1/p4ppp/Bp3n2/2p5/3q2b1/Q3N3/PP3PPP/R4RK1 b - -,d4d7
r3rqk1/1b3pbp/p2p1np1/Pp1P4/1Pp1P3/R5NP/1BBQ1PP1/4R1K1 b - -,a8c8
r1bq1rk1/1p2ppbp/p1np1np1/8/2P1P3/2N1B3/PPN1BPPP/R2QK2R w KQ -,f2f3
r2qr1k1/1b1nbp1p/p2p2p1/npp1p3/4P3/2PPBNN1/PPB2PPP/R2QR1K1 b - -,c5c4
8/p7/1p5k/5Bp1/P3N3/1P4P1/5RKP/2r3r1 w - -,g2f3
3Q4/6q1/1p3Npk/1r3p1p/3p3P/3R1PPK/8/8 w - -,d3d4
1r4k1/3np1b1/2R4p/6p1/5p2/4PN1P/P4PPB/6K1 w - -,c6c1
3k2r1/pN1b4/p2b1p2/3P3Q/2P3r1/q3B1P1/P1R2P1P/2R3K1 b - -,d8c7
r3kb1r/1b3ppp/p2np3/1pp5/5P2/1PN3NP/PBPP2P1/R4RK1 b kq -,h7h5
rn1q1rk1/pbpp1ppp/1p2p3/8/2PPn3/P3PN2/1PQ2PPP/R1B1KB1R b KQ -,d7d6
r1b1k1nr/pppnqpbp/3p2p1/4p3/2PP4/4PNB1/PP2BPPP/RN1QK2R b KQkq c3,g8f6
2rqk2r/np1b1pp1/p3p3/2PpPn1p/1P6/P4N2/1B2BPPP/2RQ1K1R w k -,a3a4
r1b1nrk1/1p1nppbp/2pp2p1/p3P3/PqPP1P2/2N1BN2/1P1Q2PP/3RKB1R w K -,f1d3
r2qk2r/1pp1nppp/p1np4/2b1pb2/2P5/1PN1P1P1/P2PNPBP/R1BQK2R w KQkq -,d2d4
rn4r1/ppn2k2/2ppN2p/6p1/2B2p2/B1P3P1/P1P4P/R4RK1 b - -,c7e6
8/7p/p2k2p1/1p5P/4P3/P1P1bR2/1PP2pP1/1K6 w - -,h5g6
r3r1k1/p1bq1pp1/1pn1b2p/2pnp3/P1N5/2PP2N1/1PQ1BPPP/R1B1R1K1 w - -,c1d2
5bk1/1b3p2/p5pn/1p1p2q1/1P1P4/P1N3P1/4QP2/3R1BK1 b - -,f8d6
r2q2k1/1p2bpp1/6b1/1P1P3p/p1n1p3/P6B/1Q2NPPP/3R1RK1 w - -,b2d4
r1b2rk1/p4ppp/1pq1p3/8/3P4/bQP2N2/P4PPP/R4RK1 w - -,b3a3
r5k1/pp1q1rbp/2n3p1/3p1b2/3Pp3/1Q2B1PP/PPN1RPBK/R7 b - -,a8f8
rn1qk2r/p2nbppp/bp2p3/2ppP3/3P4/2PB1N2/PP1N1PPP/R1BQ1RK1 w kq -,f3e1
3r1k2/bp3pp1/p1n4p/5q2/3pRB1P/1PP2KP1/3Q4/3R4 w - -,g3g4
6k1/1p4p1/p2p1n1p/3q1p2/1P3P2/P1Q4P/1B4K1/8 w - -,g2h2
R3n3/2p1Bk2/1p2pPpP/4P3/3PK3/8/8/1r6 w - -,a8d8
8/p2r1kq1/6p1/5b2/7Q/P7/1P6/K1R5 b - -,d7b7
r1bq1rk1/1ppnppbp/1n4p1/p2pN3/P2P1P2/N1P3P1/1P2P1BP/R1BQ1RK1 b - f3,d7e5
r1r5/1p1k4/2pnp3/P1R2p1p/1P1P1B2/4P3/6PP/2R2K2 w - -,f4d6
8/1B2kpp1/1p2p3/p1b5/2Pq3P/1P4P1/P3QPK1/8 w - a6,b7c6
4kbnr/p1qN1ppp/1rP1p3/1p2n2P/8/1Q2BP1B/PP2PP2/3RK2R b Kk -,b6c6
8/6k1/7p/p4K2/P5PP/3B4/8/8 w - -,g4g5
r3bk2/2q2p1Q/4pp1p/8/2PR1P2/p6P/1rB3P1/3R2K1 w - -,c2g6
BR1B1nk1/p5pp/2P2p2/3p4/3P4/5bK1/4rrP1/8 w - -,d8e7
8/p5rk/1p3p2/2qP1R1p/P1p4P/3n1Q2/6P1/7K b - -,c5e7
r4bk1/1p3ppp/p1n5/2p2P2/q3B1P1/7P/2PQ1P2/3RR1K1 b - -,g7g6
r7/1kp2p2/1pn1b1p1/2p1P2p/5P1P/PP4P1/R2N1K2/2N5 w - -,f2e3
r3r3/ppn2kbQ/6p1/2q1pp2/2Pp4/1P1B3R/P4PP1/2B1R1K1 w - -,h3g3
5r2/p5kp/1pp5/4P2R/2P1N3/3r1nP1/P6P/5R1K b - -,h7h6
5k2/2p2Pp1/1p6/p1p4p/P1P5/2qPr1PP/2P3K1/1R1Q4 w - -,g2h1
4rrk1/5p1p/pNR5/2Pp2Pp/6bP/3Q4/PP2q1P1/2R3K1 w - -,d3e2
4r1k1/6b1/p2qp1Q1/1p5p/3P3P/2P2n2/P1BR1P2/7K w - -,g6e8
r5k1/1r3p1p/5Rp1/pp2P3/4P3/2P1n3/1P2N1PP/R5K1 w - -,e5e6
6k1/1p3r2/p2Qp1p1/3b3p/5P1P/1P2K1P1/P7/8 w - -,e3d4
2N3r1/1p1Pb1k1/2p2q1p/p1p1p2Q/2P1Pp1p/1P6/P4PP1/6RK b - -,e7d8
8/3Npk1p/p1p3p1/2N3P1/2P2P2/7P/Pr1nRK2/7b w - -,d7e5
5r1k/1p1r3p/pbn1Bp2/7R/7R/1N3P2/PP3P1P/6K1 b - -,d7g7
r4rn1/1bp1qpbk/1p1p1npp/p2Pp2P/PP2P3/2P1B1N1/2BN1PP1/R2QR1K1 w - -,b4a5
2rq1rk1/1p1bbppp/3p1n2/p1nPp3/4P3/BPN5/P2NBPPP/R2Q1RK1 w - -,a1c1
5r1k/1p4pp/2p1Q1n1/1q4B1/1b2P3/6NP/2P3P1/3R3K w - -,g3f5
2r2rk1/p2nb1pp/1qp2pb1/3pp3/1P1P4/P1Q1PP2/1N2NBPP/2R2RK1 b - -,a7a5
3r1r2/1p3pkp/p2p2p1/2nP4/PR6/3B4/1PP3PP/5RK1 w - -,b4b6
8/6pk/3R4/7p/8/5PK1/8/7r w - -,g3g2
3r2k1/7p/4p1p1/q7/p1b1P3/1Pb1B3/2Q2PP1/3R2KR b - -,c4b3
