2k5/7p/8/p7/P3r3/8/1PP5/2K4R w - -,h1h7
r6r/2pbk3/p1Ppn3/1p6/1P2PppP/3P4/P1RN1BK1/6R1 b - -,d7c8
r1b1kb1r/pp3pp1/1qnppn2/6B1/3NP3/2N5/PPPQ1P1P/R3KB1R w KQkq -,d4b3
8/3B4/8/8/8/4K3/8/5qk1 w - -,d7g4
4r3/1pk4p/2bn1pp1/2p5/4PP2/1PNBR1P1/3K3P/8 b - -,e8e7
b3r3/2Q2pbk/p5p1/P3n2p/3Nq3/1N5P/5PP1/2R2BK1 w - -,c1d1
2bq1k1r/4np2/p2p4/p1pPp1Pp/PrN1P3/1P3PP1/2PN4/R1Q2RK1 b - -,e7g6
R1r3k1/6bp/2R3p1/p7/4P3/P1p1B1P1/P4P1P/6K1 b - -,c8a8
8/8/8/8/R5KP/2rp2P1/2p4R/2kr4 b - -,d3d2
3q1r2/1p3pkp/p2p1np1/b2P4/5NPQ/2P5/PPB1r2P/3R3K w - -,f4e2
3r1k2/3P1p1p/1Nb1n3/8/8/5P2/5KPP/2R5 w - -,c1c6
2r5/5pk1/1p3p2/5Pp1/6N1/8/n5PP/1R4K1 b - -,c8b8
8/6p1/4pb1p/R2b3Q/4kq1P/7K/PP4P1/8 w - -,a5a4
r2q1r2/2p1npbk/p1bp1npp/1p2pP2/3PP3/2P3NP/PPB3PN/R1BQ1RK1 w - -,h2g4
rn1qkb1r/1b3ppp/p2ppn2/1pp3B1/4P3/1PNP1N2/P1P1BPPP/R2Q1RK1 b kq -,f8e7
6rk/pb4qp/6r1/2p1Pp2/5R2/5B2/PP3Q1P/R6K w - -,f3b7
2r1k2r/1bq1bppp/pp1p1n2/4pP2/1NP1P3/1PNQ4/P5PP/R1B2R1K b k -,b6b5
8/8/p7/1p4p1/6k1/P2R2P1/r7/5K2 b - -,g4h3
r4rk1/1ppbqppp/p1np1n2/8/3NP3/2N1Q3/PPP2PPP/1K1R1B1R w - -,d1e1
2k2r1r/pp1bn3/2n5/3pp1BN/2p4P/P1q3P1/2P2PB1/R2Q1RK1 w - -,h5f6
r3qrk1/2p2pbp/n2p1np1/1b1Pp3/1P2P3/2N1BP2/2B1N1PP/R2Q1RK1 w - -,c3b5
2r5/p1q1kpp1/4pn1p/1p5P/1P3QP1/2P1N3/1P3P2/2KR4 w - -,f4f3
r3r1k1/2pq1ppp/p2p2bb/npnP4/2PB4/1B4N1/PP2NPPP/R2QR1K1 w - -,c4b5
3rn1k1/1p3r1p/p1qpp1p1/4b3/P1P1N3/1P2BP2/3Q2PP/2RR2K1 w - -,d2f2
7k/7p/P7/8/4p3/1P1pR3/3K2P1/r7 b - -,a1a2
5R2/8/8/pK2k1p1/8/r6P/8/8 w - -,f8g8
r2qkb1r/pp3ppp/4p3/3nN3/PPQ5/2P5/5PPP/R1B1K2R b KQkq -,a7a6
8/p3k3/1p1N1n1p/6p1/P3N3/1P1P1KP1/8/2r5 w - -,d6f5
5rk1/5pbp/p2p2p1/n1pP4/q4P2/5NP1/7P/1R1Q1RK1 b - -,a4d7
r2r2k1/pb2qp1p/1p2pbp1/2n5/2P5/1N2P3/P1B1QPPP/B1RR2K1 b - -,f6a1
8/8/6b1/3p2k1/2p2rp1/2P1K3/4B3/4R3 b - -,g6e4
r1bqr1k1/pp2bppp/5n2/3pN3/2pP3n/2N1P2P/PPQ1BPPB/R4RK1 w - -,g2g4
1rbq1rk1/pp2ppbp/3p2p1/2n5/2P5/1PN1Q1P1/P3PPBP/R1B2RK1 w - -,c1d2
8/4k1p1/1bp2pp1/pp6/4KP2/1P4PP/8/3R4 b - -,b6c7
3rr1k1/1b2qpp1/7p/p1n2R2/Pp1pP1Q1/1P6/3N2B1/B3R1K1 w - -,g4g3
3r4/2Rb2p1/1p5p/1Pkpp3/8/6P1/4BP2/4K3 b - -,c5b4
r4rk1/1nq2pbp/p3p1p1/6P1/Pp1n1P2/4N2Q/2P2BBP/3R1R1K b - -,d4f5
4k3/1p2rpp1/p3r3/2bp3p/P7/2PRN3/1P3KPP/4R3 w - -,b2b4
8/b1p2k1p/p7/5Nr1/2p1P3/1PP2pP1/PBR2P1K/5r2 w - -,b2c1
R7/1P4pk/8/1r3p2/8/P6K/r6P/8 w - -,b7b8q
8/8/1p1k1pp1/3p3p/1P1NbP1P/4P1P1/4K3/8 w - -,e2d2
4k1nr/1bp4q/pp2pb1B/8/6N1/2NR2p1/PPP1QPP1/6K1 b k -,h7f5
r3k2r/pp1bbppp/1qn1pn2/3p4/4PP2/1NN2B2/PPP1Q1PP/R1B1K2R w KQkq -,e4d5
2bq1r1k/2n1bppp/pr6/2pp1P2/5B2/1BNP2Q1/1PP3PP/R4RK1 b - -,e7d6
8/pb3p2/1p1k1Np1/3P2P1/5K1r/P7/5P2/3R4 w - -,f4e3
8/1R3k2/5p1p/5Kb1/8/8/6P1/8 b - -,f7e8
2n2rk1/p3bp1p/R3p1p1/1P6/8/2q5/P3QPPP/1B2R1K1 w - -,a2a4
r5k1/1p3p1p/p1rnp3/P2p2pq/1PPb4/6P1/Q1RB1P2/2R2BK1 w - -,c4d5
8/5pk1/1p4pp/p2B4/2P5/1PbK3P/5PP1/8 b - -,c3b4
3r1b1k/1p4p1/p3np1p/4p3/2N5/2P2PPP/1Pb2N2/4RBK1 b - -,b7b5
2rqr1k1/1b3ppp/p1np1b2/2p1p3/PpP1P3/3PBN1P/1P1Q1PP1/R2B1RK1 b - -,c8c7
1r6/4kpp1/4p1p1/pP6/3P1P1P/4K1P1/1P6/4R3 w - -,e1c1
2rq1rk1/pb3Npp/1p2Bn2/n7/3P4/2N1B3/1b3PPP/R2QR1K1 b - -,f8f7
1r2r1k1/pp2qpb1/3pbnn1/PPp1p2p/2P1P1pP/2NP2P1/4QPBN/2BR1RK1 w - -,c1g5
6k1/3r4/p1qPr1pp/P4pb1/2N5/1PP1p2R/5QPP/3R3K w - -,c4e3
r4r2/pbp2pkp/1p2p1p1/n7/3P3N/2P3P1/P3PPBP/1R3RK1 w - -,g2b7
8/2q1bpk1/4p1pp/pBp1P3/P1PnQPP1/7P/3B4/5K2 w - -,f1e1
3r2k1/5pp1/4b2p/1R2p1b1/4P3/3B2QP/1q2N1PK/8 b - -,b2d2
r1b1k2r/2qnbpp1/pp1ppn2/7p/4PP2/1N1BB3/PPPNQ1PP/1K1R1R2 b kq -,c8b7
8/8/1n2k3/5p2/2PR1P2/3B2P1/3K4/2r5 b - -,c1g1
1r6/3Pkpp1/1P6/p1r3p1/1pP1P3/1R6/6PP/2R3K1 w - -,c1d1
2br1r2/pp3qkp/2pPn1p1/6P1/P3NP2/7P/1P1Q2B1/3RR1K1 b - -,g7h8
r1bq1rk1/pp1pnpbp/2n1p1p1/2p5/2PP4/2N1PNP1/PP3PBP/R1BQ1RK1 b - d3,c5d4
8/p1k4p/8/1P1p1p1P/8/4P3/PPK5/8 b - -,c7b6
2k1r3/1pr1bp1p/pR4p1/3pP3/P2P4/4B3/5PPP/1R4K1 b - -,e7f8
4r1k1/1p2p1bp/p1rpbnp1/q7/3BP1P1/P1N2P1B/1PPQ4/1K1R3R b - -,e6f7
3q1rk1/p4ppp/1pb1pn2/2r5/8/PQ3BP1/P3PP1P/R1BR2K1 b - -,d8a8
r4rk1/1pqb1pb1/p5pp/P1pnp3/2N5/2PP4/1PB2PPP/R1BQR1K1 b - -,a8d8
8/2R4p/7k/2pNP1p1/2BbP3/1P4n1/3BK2p/6r1 w - -,e2d3
8/4k2p/3np1p1/p1Np2P1/P2P1P2/3KP3/8/8 w - -,d3c3
2r2bk1/1R3pp1/4p2p/3p4/3P1BPP/1p3B2/1P2PP2/1b4K1 b - -,b1c2
2r1r1k1/1p1n1ppp/p1pB1n2/P1Pp1b2/3P4/2N4P/1P1K1PP1/R4B1R b - -,d7f8
7r/2q2pk1/p1r1p1p1/1pb1PnQ1/2Pp1P2/PP1R4/3NN1KP/2R5 w - -,e2g3
2r2rk1/p2q4/2pp2pp/8/Q1PbBn2/B2P1R2/P5PP/4R2K b - -,g8g7
8/1p1R1pk1/p7/Pr6/2r3P1/1nP4P/R6K/4B3 b - -,c4e4
4r1k1/1p1b2p1/q1p3Qp/1pr1Pp2/1R6/P2B2P1/7P/5RK1 w - -,d3f5
8/3b2k1/1p6/2p2PPp/P1P1B2P/1P5K/5b2/8 b - -,f2e1
4r1k1/2n2p2/p2p2p1/1bp5/1p2P1N1/2bB3P/6PK/3R1R2 b - -,g8g7
8/p6R/4kp2/3p1n2/2p2B2/P1P3P1/5PKP/1r6 b - -,f5e7
2rr2k1/1b3p2/p2b3p/2p1q1p1/4p1B1/P3P1PP/1PNR1P2/3Q1RK1 b - -,c8b8
r1r3k1/p2n1ppp/Nbp1q3/1p1p1b2/3PnB2/PN1BP3/1P3PPP/2RQ1RK1 b - -,e6g6
r2k1bnr/pp1bpppp/3p4/1N6/P2NP3/4B3/1PP2PPP/R3K2R b KQ a3,g8f6
1r1q1rk1/3b1pbp/p2p1np1/nppPp3/2P5/1PN3PP/PBQNPPB1/1R2R1K1 b - -,f6h5
rq4k1/4ppbp/p5p1/Q4P2/2Pp1NP1/3P3P/2N2K2/R7 b - -,b8f4
r1bq1rk1/ppp1npbp/2n3p1/3p4/3P1B2/2N2NP1/PP2PPBP/R2Q1RK1 b - -,c8e6
2r3k1/1r2bp1p/n2p2p1/1p1Pp1PP/pP2P3/P1NKBP2/8/R6R w - -,a1c1
r2qr1k1/pp1b1p2/7p/4p1p1/2Pnn3/P1N3B1/1P3PPP/R2QR1K1 w - -,e1e4
r7/3b1pk1/1p1n3p/2bP1Pq1/4pQP1/pP5P/P1R1B3/1K5R w - -,f4g3
