8/8/5k2/5pp1/8/5P1K/3r4/R7 b - -,f6e5
r2qkb1r/pp2pppp/1nn3b1/3pP3/3P2P1/2N1BP2/PP5P/R2QKBNR w KQkq -,g1h3
5k2/3b1n1p/6p1/1pP3P1/8/8/P5BP/4R2K b - -,f7g5
5rk1/1pqb1ppp/1b2p1n1/r7/2PN4/P2Q1N2/1B3PPP/1R2R1K1 b - c3,a5c5
3r1bk1/1pqnnpp1/2p1r2p/p3pN2/P1Q1P2P/2N1B1P1/1PP2P2/R2R2K1 b - -,e7f5
5rk1/pp1r2p1/2p2b1p/N2n1p2/8/P4PP1/1P2RBKP/R7 b - -,f8d8
5rk1/p1p4p/1p6/4P1p1/3P2pb/P3P3/1P5P/R1B3K1 w - -,c1d2
2rq1rk1/4npbp/p2p2p1/1p1Pp3/n3P2P/4BN2/PP3PP1/1R1QRBK1 w - -,h4h5
r3r1k1/pp3pbp/1n3np1/8/2p1PN2/1P2BPP1/P6P/R2R1BK1 b - -,g6g5
r1bqk2r/pp1p1pb1/4nnp1/2pNp1B1/2P5/3P2Pp/PP2PP1P/R2QNRKB w kq -,g5f6
4r1k1/5ppp/p1R1p3/1p1R4/nP6/P5P1/N3PPKP/8 b - -,e6d5
4b1k1/pp2q1pp/4pb2/3p4/1P1P2P1/P3P2Q/2B4P/1N4K1 b - -,g7g6
r2qrbk1/1b3pp1/p2p1n1p/1p2n3/1P1NP3/P3NP2/1BB3PP/R2QR1K1 b - -,a8c8
8/5p1p/5kp1/8/4KP2/6P1/3b3P/8 b - -,f6e6
8/2r5/6R1/2p5/P1N1k3/8/6K1/8 b - -,e4d4
r2qnrk1/pp3pp1/2n1p1b1/2bp2Pp/3P1B1P/4PP2/PP1Q4/2R1KBNR w K -,c1c5
r1bqkb1r/pp3ppp/2n2n2/2Ppp3/4P3/2P1BP2/PP4PP/RN1QKBNR w KQkq e6,f1b5:e4d5
2kr3r/1bp1bppp/1n1pq3/2p1P3/2P5/1PB1Q3/3NBPPP/3RK2R w K -,e1g1
r2r2k1/p4pb1/1qpBb1p1/4p1Pp/2B1Nn1P/1P3P2/P1P4R/2KRQ3 w - -,c4e6
1r2r3/2pq1pbk/p1bp1npp/4p3/2P1P3/1B1P1N1P/P1QB1PP1/1R2R1K1 w - -,d2c3
1k1r3r/pp1n1pbp/2p4n/4q3/P2NNp2/6PP/1PQ1PPB1/2KR3R w - -,g3f4
6k1/5p1p/6pb/3n2N1/2ppp2P/2n3P1/4PP2/4BBK1 w - -,e1d2
R1Q5/2p3p1/2B3pk/3P3p/2p2p1q/1rN5/4PP2/2R3K1 w - -,c8h8
6k1/p3rpb1/1p4p1/5b1p/QPPq3P/3p1BP1/P2N1P2/5RK1 b - -,f5h3
1R3rk1/p4nbp/2r1qpp1/2pNp3/2N1P2Q/P1P3P1/5P1P/1R4K1 w - -,b8b7
8/2nb2nk/p2q3p/1p1Prpp1/1PpQ4/P1N3P1/6BP/R4R1K w - -,a1e1
r1bq1rk1/1pp1bppp/4pn2/3n4/N3p1P1/PP5P/1BPPQPB1/2KR2NR w - -,g2e4
3r1r1k/1p1b2pp/p4n2/2pp3q/8/2PB1P2/PP1Q2PP/R3RNK1 w - -,f1g3
5r2/6pp/pkb1p3/3pPp2/PPpK1P2/2R5/6PP/2R5 w - -,c3h3
3r1rk1/2q2pbp/p3p1pn/1p2p3/P2B1P2/2PB3R/1P2Q1PP/R5K1 w - -,d4e5
r2r2k1/pbb1np1p/1pP1p1p1/4P3/5P2/Q1P5/P3B1PP/3R1R1K b - -,e7c6
1r2r1k1/p5bp/2pn2p1/2npp3/8/6BP/PPPN1PP1/1NKRR3 w - -,f2f3
2k3r1/pbqpb1r1/1pn1p3/3n1p2/Q6p/P1PB3P/1P2NPP1/R1BRN1K1 b - -,c6a5
8/6P1/5R2/6k1/p1bBr2p/P1P5/8/6K1 w - -,f6f8
1n1qr3/5ppk/2p1bn1p/1p1ppN2/4P3/1BPP1Q1P/1P1N1PP1/3R2K1 w - -,b3c2
3r4/pp1r1p1p/2k3p1/3n4/8/3R1P2/PPP1NP1P/3R1K2 b - -,b7b5
r4bk1/pp2Nppp/5n2/2p5/2q2B2/1PP3N1/P4PPP/4R1K1 b - -,f8e7
r6r/pp5p/2ppk3/4p3/4P3/P7/1PP2PPP/2KR3R w - -,d1d3
8/5p2/6kP/5rP1/7K/6R1/8/8 b - -,f7f6
8/kb2N3/1p6/p7/2p3K1/2Pr4/PP2RRP1/r7 w - -,a2a3
2r2rk1/3n1pp1/p2pb3/bp1Np1qp/4P3/1BN2Q1P/PPP2PP1/3R1RK1 w - -,a2a4
r3k2r/1bq1bpp1/p1p2n2/1p2pP1p/P3P3/2NBB3/1PP1Q1PP/R4RK1 w kq h6,h2h3
r2qkb1r/pp2ppp1/2p1b2p/3n4/PnN5/2Q2NP1/1P1PPPBP/R1B1K2R w KQkq -,c3b3
2r1r1k1/3bbnpp/3p4/q2Ppp2/P1p1P3/2N3PP/3B1P2/R2QRBK1 b - -,f5f4
5rk1/rppnqpp1/3p1n1p/p2Pp3/1PP1P2N/P5PP/2Q2PB1/R4RK1 b - -,g7g6
rn1qkb1r/ppp3pp/5p1n/8/2b1pN2/1P2P3/PB1P1PPP/RN1QK2R w KQkq -,b3c4
5k2/R4p2/P2K2p1/r3p1P1/7P/5P2/8/8 w - -,a7a8
8/8/5p2/5k2/3b2p1/R5P1/5P2/4nK2 b - -,e1f3
3rr2k/1b3ppp/5b2/ppq1pP2/2p1P3/P1N2B1Q/1PP3PP/3RR2K b - -,b5b4
