8/3k4/4Np1p/2pKpP2/1bP5/7P/8/8 w - -,e6f8
2b2rk1/rp2bppp/p7/2pBB3/2P2P2/1P2P1P1/1P4KP/3R1R2 w - -,e5b8
8/3k4/8/1Q1pp1p1/4q3/7P/6P1/2r1N2K b - -,d7e7
3r2k1/1p3p1p/4r1p1/1pP1B3/P4Pbq/2Q1R3/7P/4R1K1 w - -,a4b5
rnb2rk1/1pq1bppp/p2ppn2/8/P2NP3/2N1B3/1PP1BPPP/R2Q1R1K b - -,b7b6
8/4kppp/br2p3/8/2p1P3/3r1P2/1PR3PP/R2N2K1 w - -,g1f2
8/kN5R/p5n1/2r5/2P5/4K3/6P1/8 b - -,c5g5
8/5r1p/6p1/8/8/1k3PKP/1p4P1/4R3 w - -,g3g4
rnb2rk1/p3ppb1/1npp2p1/q5Pp/1p1PPP1P/1P2B2B/P1PQN3/R3K1NR b KQ -,c6c5
rnb1k2r/ppp2ppp/8/3p4/1b2q3/5N2/PPPPBPPP/R1BQK2R w KQkq d6,e1g1
3rkb1r/1p1q1ppp/p3pn2/8/Q2N4/2P5/PP3PPP/R1B2RK1 w k -,a4b3
8/7k/2bP1P2/2p1p3/2P3B1/6K1/8/8 w - -,d6d7
6R1/1p3r2/p3pk1B/4np1P/P2n4/2N2P2/1P3K2/8 w - -,g8d8
r4qk1/ppn1nrbp/2p1p1p1/2Pp4/3P1PP1/1P1BB2P/P2N4/2R1QRK1 b - -,c7b5
5rk1/8/p1p1qr2/6pp/P2Q4/2B1N1P1/5P1P/5RK1 w - -,h2h4
r1b2rk1/2q2pbp/1p2p1p1/n7/4P3/2PBB3/P3NPPP/2RQ1RK1 w - -,c3c4
8/2pk4/1p2qQp1/p3Pp1p/2P2P2/KPBn2P1/7P/8 w - -,a3a4
r4r1k/1p1n2pp/p1p1bb2/4p3/6P1/1PN1BN1P/1PP2P2/3RR2K w - -,d1d6
4k3/4bpK1/6p1/2P1p1P1/8/4B3/8/8 b - -,e7d8
r1bqk2r/ppp2ppp/2n5/2bnp3/8/3P1NP1/PPP2PBP/RNBQK2R w KQkq -,e1g1
8/8/8/3K4/8/4Qrk1/8/8 w - -,e3g5
2r2rk1/pb4b1/1pnpp1pp/2p5/Q1P1B2q/2N1P1PP/PP3P2/R1BR2K1 b - -,h4h3
8/p5p1/1p1n1p2/1P1p1k1p/P2P3P/3K1PP1/3N4/8 b - -,g7g5
6k1/1bN2rb1/1p1Bp3/p3Pqpp/8/3PR2P/1P4P1/4Q1K1 w - -,c7e8
