8/p7/1p1p4/3PbB2/P1K1Pk1p/1P6/8/8 b - -,f4g3
2rr2k1/1p3pp1/pqnpbn1p/4p3/2P1P3/1PNQ3P/P1NRBPP1/2R3K1 b - -,b6a7
1r1q1rk1/pbn1ppbp/1pn3p1/2p5/NP6/P2P1NP1/3BPPBP/2RQ1RK1 b - b3,c5b4
8/6p1/5n1p/3p1P2/2pK4/1kN3P1/7P/8 w - -,h2h3
r3R1k1/pb1n1ppp/1pp2n2/3p4/1b1P4/2NB1N1P/PPPB1PP1/2KR4 b - -,a8e8
3r1rk1/pp2npp1/2n1q2p/3p4/8/P2BPN2/1PQ2PPP/2RR2K1 w - -,c2a4
8/8/8/5pk1/1R3P2/7p/2r5/6K1 b - -,g5g4
2r3k1/6bp/r4np1/4Np2/5P2/1P2B1PK/P1R4P/3R4 b - -,c8c2
r5k1/p5p1/1p2r3/4Np2/3P2p1/BP1n1nP1/P5KP/R4R2 b - -,d3e5
6k1/p5pp/bp6/8/3Pp3/P2p2PP/1Pr2PK1/3RB3 w - -,d1d2
2r2k2/B2rp2p/4nppb/1p6/1P4q1/1Q1PPNPb/4PK1P/R3R2B b - -,g4h5
2r2r2/1p2b1k1/p1n2p2/4p1p1/4P1qp/PQR2N1N/1P3PP1/5RK1 b - -,c8c7
4r1k1/p5pp/8/p1pN1p2/3b4/PP1P4/2P2PPP/1R3K2 b - -,e8e5
rnb1k2r/1pp1qpb1/p2pp2p/P5pn/3P4/2P1PNB1/1P1N1PPP/R2QKB1R w KQkq -,f1e2
8/5ppk/4n2p/1r6/2N3PP/4RP2/1PK5/8 w - -,c2c3
3r2k1/5p1p/pbq3p1/3p4/2r5/3R1N1P/P4PP1/2RQ2K1 w - -,c1c4
r1k5/2pqbpp1/r2p1nb1/2p1p2p/4P1P1/P1QPBP1P/1PPN4/2KR3R b - -,f6h7
4k2r/6pp/N7/1P1R3P/5p2/4bP2/1P4K1/8 w k -,b5b6
r2q1rk1/pp2bppp/1np1pn2/8/3P4/2PB1N1P/PP3PP1/R1BQR1K1 b - -,c6c5
3k1b1r/pp3p1p/4pPp1/6N1/b1B5/2P5/PP4PP/2K4R b - -,d8e8
