8/8/8/8/8/1K6/1bpB4/1k6 w - -,b3c4
8/p3rpk1/1p4p1/n1rBq2p/3R3P/5QP1/P4PK1/3R4 b - h3,e5c7
8/5Rp1/3k4/4p3/5p1P/3Kr3/8/8 w - -,d3d2
r3r1k1/4bpp1/p1qpbn1p/np2p3/P3P3/2P2NNP/1PB2PP1/R1BQR1K1 w - -,f3h4
8/4kp1R/2b5/2P5/3K1B1P/8/8/3r4 w - -,d4c3
8/8/5k1p/7P/6P1/5K2/8/8 b - -,f6f7
1kb5/p1pq1p2/1p6/P2PBn1p/5Q1P/2N2P2/1P6/2K5 b - -,d7e7
3rr1k1/ppb2pp1/2p4p/6q1/1P1P2nR/P1BQP1P1/4NPK1/3R4 w - -,e2f4
5rk1/pp1rpp1p/3q4/2nP1p2/8/1P4P1/P4PBP/2QRR1K1 w - -,g2h3
r4rk1/1p3ppp/p4n2/q1Rp1b2/3P4/PQ3NP1/1P1N1PP1/4R1K1 b - -,b7b5
7N/8/p2rpk2/1pb2pp1/7p/2nR1P2/PP4PP/1K2R3 w - -,d3c3
8/p7/k1p5/7r/P5RB/6Pr/4PK1P/8 b - -,h3h2
5r2/1p5k/1P1Kp3/6Q1/2b2P2/8/8/8 w - -,g5h4
1n2r1k1/1qp3pp/r1bpp3/p4p2/N2Pn3/PP2Q1P1/4PPBP/1RR1N1K1 b - -,e4f6
r4rk1/pp4pp/2n1bq2/2p5/4Bb2/2PP1N2/P2N2PP/R2Q1RK1 w - -,a1b1
3r1rk1/p3qppp/1p3b2/nQpP1b2/2P5/P3B3/3NBPPP/2R2RK1 b - -,f6d4
2k3r1/ppN2r1p/8/2b5/PP2QP2/7P/2Pq3P/R4R1K b - -,f7e7
r1bq1rk1/2ppbppp/8/1p1nP3/p2P4/P1N2N2/1P1B1PPP/R2Q1RK1 b - -,c8b7
8/n2k2b1/1B2p2p/1P2Pp2/P1K2Pp1/6P1/7P/8 b - -,a7c8
r2q1rk1/pb2ppbp/2n3p1/1p1pP3/3Pn3/1B3N1P/PP1N1PP1/R1BQR1K1 w - -,b3c2
5r1k/3r3p/1q1pb1pb/pNn1pp2/2P1P3/1PN2B2/2Q2PPP/3R1RK1 w - -,e4f5
r4rk1/pppbqpp1/2n1pn1p/1BPp4/3P4/P1N1PN2/1P3PPP/R2Q1RK1 b - -,b7b6
1r1q2k1/p3pb1p/3pPp2/2rP1p2/PpNQ1P2/1P6/6PP/R4R1K b - -,f7g6
r3kb1r/pp3ppp/2n1pn2/4N3/1q1P4/1Q2B3/1P2BPPP/1R3RK1 w kq -,b3c2
rn1qkb1r/ppp2ppp/1n2p3/4Pb2/2PP4/2N1B3/PP4PP/R2QKBNR b KQkq -,f8b4
r4k2/1p3rpp/p1p1b3/2RpPp2/PP1P1P2/4P3/6BP/R5K1 w - -,a1b1
1rR3k1/1q2bpp1/4p1p1/Q2pP3/p2N4/P2nBP1P/1P4P1/2R3K1 b - -,b8c8
r2r2k1/ppp2p2/4q2p/3n1NpQ/4p3/4P1P1/PP4PP/2R2RK1 b - -,d8d6
r1bqkn1r/ppp1pp2/6pb/3pPn1p/3P1P2/2NB1N2/PPP2BPP/R2QK2R w KQkq -,d1d2
2rr4/1p3p1k/p1p3pb/2P1p2p/3nP2P/4BPP1/PP4B1/2R1R1K1 w - -,g1f2
r4rk1/pp2qppp/2pb1n2/5b2/3Pp3/1PN1P1P1/PBQ2PBP/R3R1K1 b - -,f5g6
8/6k1/6p1/7p/3Q3P/5KP1/5P2/2q5 b - -,g7h7
1rb1kb1r/1pqp1ppp/5n2/4p3/2Q5/1P2P3/P1P2PPP/RN2KBNR b KQk -,c7a5
r1r4k/pp3pbp/q1n3p1/2p1p3/8/1P4P1/PBPP1PBP/R1Q1K2R w KQ -,d2d3
