8/p7/2R5/3k1p2/PP3Kb1/6P1/4r3/8 w - -,c6a6
rnb1r1k1/pp4bp/1q2p1p1/2pP2B1/6n1/2N2N2/PP2B1PP/R2QK2R w KQ -,d1d2
r1b1rbk1/1p1nqpp1/p2p1n1p/2pP4/P3P3/2N2N1P/1P3PP1/R1BQRBK1 w - -,c1f4
r1b1r1k1/p4pp1/3pn2p/2p1P2N/2P1BP1q/2Q4P/P5P1/4RRK1 b - -,a8b8
3k4/K2P2R1/1r4p1/4p2p/4P3/p7/8/8 w - -,a7b6
1r2rbk1/1pp1n1pp/p3p3/8/2P1NBP1/P6P/1P2nP2/3RR1K1 w - -,e1e2
8/5ppp/1pp2k2/2p5/4n3/2P2P2/rP2RKPP/8 w - -,f3e4
8/6R1/4kp1p/r6P/8/5K2/6P1/8 w - -,g2g4
8/p1pk1p2/1p6/3PR2P/6P1/2r2K2/8/8 w - -,f3g2
3r2k1/1p2q1b1/pP1p2P1/3PpPp1/4P2Q/2pP2P1/P5K1/2B5 w - -,c1g5
3r1r1k/5ppp/p3p2b/q2bP2N/P6R/1p1P1P1P/3P1NP1/1R2Q2K w - -,f3f4
Q2rk1r1/5p1p/pq1p1PnB/1p2p3/6P1/2P4P/PP1R3K/3R4 w - -,a8e4
1q2r1k1/1b1nbppp/1p6/3pP3/1P1B4/1Q4P1/3N1PBP/r3R1K1 w - -,d4a1
r1b1k2r/1p1n2b1/p2Qp2p/q3n1p1/8/1RN3B1/P1P1B1PP/4KR2 b kq -,e8d8
1k5r/pp2qppn/2pbpnp1/7r/2PP3P/P3BNP1/1P1Q1P2/R3RNK1 w - -,b2b4
2r1kb1r/1bq2ppp/p1nppn2/1p5P/3NP1P1/2N1BP2/PPPQB3/R3K2R b KQk -,c6e5
8/2p1k3/1pn1bbpp/5p2/p1P1pPPP/P1N1P1K1/1P1NB3/8 b - -,f6c3
8/K3k3/8/3PN1p1/4n2p/8/6P1/8 b - -,e7d6
r3r1k1/1bqnbp2/pppp1nNp/4p3/P1BPP3/2N3B1/1PP1QPPP/R2R2K1 w - -,g6e7
1r2k2r/1bqnbppp/pp1ppn2/5P2/P2NP3/2N1BB2/1PP3PP/R3QRK1 b k -,e6e5
1r2qr1k/6p1/2Q3np/pPbn1pB1/5P1P/P3PB2/3K4/R6R w - -,c6c5
2rq1rk1/1p1bppbp/p1np1np1/8/2P1P3/2N1B3/PP1NBPPP/2RQ1RK1 b - -,h7h5
8/8/6K1/P6p/1n2N2k/8/8/8 b - -,h4g4
5r1k/1p4pp/p3p3/3pb3/8/1PPR3P/P3N1P1/6K1 b - -,e5c7
r6r/pp1k1ppp/q1nNp3/2pnP2b/2Q2B2/2PB3P/PP3PP1/R4RK1 w - -,c4e4
1k6/7R/K7/8/8/P7/7b/8 b - -,h2g1
2b5/8/3k1p2/2p1p1p1/1KP1P1P1/1P2NP2/8/8 w - -,b4b5
r1r5/pp3kb1/4ppp1/3p1n1p/bP3P1P/3B1N2/PBP2KP1/2RR4 b - -,g7f8
r1b1kb1r/1pqn1ppp/p1p1p3/4P3/5B2/3B4/PPP1QPPP/RN3RK1 b kq -,d7c5
4r2k/p2R3p/1p4p1/2p1P3/8/8/P5PP/6K1 w - -,d7a7
8/8/6P1/r3p3/5pPK/5k2/P2p4/7R w - -,h4g5
1r3rk1/R5b1/4p3/6p1/2P2P2/1p2B1KP/2P1R3/8 w - -,c2b3
6k1/1q3ppp/p7/1pRrp3/1P1B4/P3PPPb/3N3P/4Q1K1 b - -,e5d4
4r2k/p5pp/1b6/6q1/P1r1P3/5BB1/1Q4PP/3R3K w - -,b2a3
r2q1rk1/1n1b1p1p/pn1p1bp1/1ppPp3/P3P3/1PP2N1P/2BBQPP1/RN2R1K1 w - -,a4b5
2kr3r/1p1n1pbp/2p1q1p1/Q7/P3P3/4BP2/1nN1B1PP/R4RK1 w - -,c2d4
1r6/R5bk/3p2pp/1pp1n3/4P1P1/2P1B2P/P3B3/6K1 b - -,g6g5
3r2k1/1pq1b2p/p3p1p1/PP2p3/R3Q1P1/2rB4/2P4P/5R1K b - -,a6b5
r2qkb1r/pp2pppp/1np1bn2/8/3P4/5NN1/PPP1BPPP/R1BQ1RK1 b kq -,e6c4
8/3r4/4k3/4p3/4P3/3P2RK/5P2/8 b - -,e6d6
8/8/8/p4K2/1p6/1P3k2/P4R2/8 b - -,f3f2
8/7p/2pk1p2/2Nb2p1/8/5PK1/r5PP/2R5 w - -,c5d3
