8/8/1pBp4/p7/1rPk4/1P1n4/P4R2/6K1 w - -,f2f6
5b2/2k2P2/6K1/8/8/4RN2/8/7r w - -,e3e8
1k2r2r/ppq2pp1/2p2n2/3p1PP1/2nP4/P1NB3P/1P4Q1/1K1RR3 b - -,f6h5
r2k2nr/ppp2p1p/2p1b1p1/8/4P3/2N5/PPP2PPP/R3KB1R w KQ -,e1c1
r2q2k1/p3p1bp/1p1pP1P1/3n4/8/P2BB3/1P2Q1PP/5RK1 b - -,d5e3
r3rbk1/pp3p1p/1n4p1/q2pP1B1/2pP3N/P1Nb4/1P1Q1PPP/R4RK1 w - -,b2b4
5k2/R7/7p/3p2pP/3P3r/2qQPK2/8/4N3 b - -,g5g4
r3r1k1/ppp2ppp/2q5/4p3/1PP1P1b1/P4N2/4QPPP/R4RK1 w - -,e2e3
8/p1p3pp/3k4/2R5/r3P2P/P3R3/5PPK/3r4 w - -,c5g5
8/r5k1/p4rp1/2p5/2P1B1Q1/6P1/Pq4K1/5R2 w - -,g2h3
2q2rk1/p2b1ppn/3b3p/n1p1p3/2PpP2N/P2P2PP/4QPBK/1NB1R3 b - -,a5c6
r4rk1/pbq1p2p/4P1p1/1ppnbp2/Q1P5/6P1/PP3PBP/R1B1RNK1 w - -,a4b5
2R5/5kp1/2Np1b1p/1r1n1p2/1P6/6PP/3B1PK1/8 w - -,c8a8
8/7k/4n1pp/8/5P2/3qpNP1/1Q4KP/8 w - -,b2b7
r1r3k1/4qppp/pp1ppn2/2n5/2PNP3/6PP/PP1NQPK1/2RR4 b - -,e7b7
2k4r/ppp1n1pp/8/4P3/2Pq4/6P1/P3rR1P/R4QK1 b - -,e2f2
rnb1k2r/3pbppp/pp2pn2/2q5/2P5/1PN1PNP1/P2B1P1P/R2QKB1R b KQkq -,c8b7
2k5/1pP2p1p/p5r1/P3np2/1P6/4B1P1/5PKP/3R4 b - -,c8c7
8/8/8/8/8/8/K1k5/1nb5 b - -,b1c3
r4rk1/pp2bppp/2pp1n2/2qPp3/2P1P3/1QN3P1/PP3PKP/R1B2R2 b - -,c6d5
r5k1/7p/5ppB/4p3/3p4/b1p2P1P/5NPK/8 w - -,f2d3
8/3B1k2/5p1p/6p1/5P2/2r1PKPP/8/8 b - -,c3d3
5r1k/6p1/p2pq2p/1p2p3/3RQ3/P1P4P/1P3PP1/6K1 b - -,f8f4
2r3n1/p3p1k1/1p1p1pp1/r7/2PPP1q1/P1RQ2P1/5PB1/3R2K1 b - -,g8h6
3rq2k/p5bp/bpn3p1/2p2p2/P7/1QPp2BP/1P3PP1/1B1RN1K1 b - -,c5c4
r4rk1/1ppqnppp/p5n1/b2p4/3P1B2/2P3Q1/PPN1NPPP/R4RK1 w - -,c2e3
r3k2r/pppqnppp/2nbb3/3p4/3P4/2PBB3/PPQN1PPP/R3K1NR w KQkq -,e1c1
1r1q1rk1/p2bppbp/3p2pB/1p1P4/2nN4/1B3P2/PPPQ2PP/2KR3R w - -,b3c4
2r2rk1/2q1bppp/p2p4/1p1bp3/4P1P1/3RB3/PPP1QP1P/1K5R w - -,d3d5
rn1qkb1r/ppp2ppp/4pn2/8/2PP4/8/PP2NPPP/RNBQ1RK1 w kq -,b2b3
4rk2/pp4pp/2B3p1/b7/1pPp1PP1/P2P3P/5B2/R4K2 b - -,b7c6
8/8/8/2R3p1/6k1/1r4P1/4K3/8 w - -,e2f2
8/p7/6pp/5p2/1Pr1p1kP/6P1/PR3PK1/8 w - -,a2a4
r1bqk2r/pp1nb1pp/2p1p3/3n1p2/3P4/5NP1/PPQBPPBP/RN2K2R b KQkq -,d7f6
1r4k1/2R3p1/1p1npn1p/p2pNp2/3P1P2/P3PN2/1P3P1P/6K1 w - -,c7c6
4rrk1/p1q3pp/1p1p1p2/2pP4/4PP2/2PQ2P1/P3R1KP/4R3 w - -,c3c4
8/1p1k3p/3r1p2/1r3P2/2pp4/P7/1P2RKPP/3R4 w - -,g2g4
2r5/5p2/pkn1p1p1/1p1pP3/3P1PpP/1P2K3/1P2B3/2R5 w - -,e2g4
6k1/3r1qr1/1p1b1pR1/2p2P1Q/1p1p3R/1P1P2PP/5P1K/8 b - -,g8f8
4B3/8/1p6/8/P4n2/1k2p3/8/4K3 b - -,b3b4
8/5pk1/7p/1p4p1/p2q2P1/P4B1P/1P2RPK1/8 b - -,b5b4
