3k4/4Rp2/r2P1Pp1/3P3p/8/8/7P/7K w - -,e7f7
8/5ppk/4p3/r6p/8/3R3P/6P1/7K b - -,e6e5
rnb2rk1/1p3ppp/p2qpn2/3p4/3P1P2/2NBPN2/PP4PP/R2QK2R b KQ -,b7b5
r1b2rk1/pp1n1ppp/2p1p3/q2p4/1bPPnB2/1QNBPN2/PP3PPP/2R1K2R b K -,d7f6
6r1/1R6/N1pp1k1p/P3br2/2P2P1p/3n4/P3R2P/2B3K1 w - -,e2g2
r1bqr1k1/pp3pp1/2pbpn1p/8/2PP4/5NP1/PP2QPBP/R1BR2K1 w - -,f3e5
6k1/1p3pp1/1p2r1n1/3p4/7p/1PP2P1P/P1n1BKP1/R3R3 w - -,e2d3
5rk1/1b1npp1p/p2p1npQ/1p6/4P3/qNPB3P/2P2PP1/2KRR3 w - -,c1d2
2rq1rk1/pb2ppbp/1pn3p1/3p4/Q2P1B2/2P3P1/P2NPPBP/2RR2K1 b - -,c6a5
r2q1rk1/pb1n1ppp/1p3n2/3pb3/3N4/1P4P1/PB1NPPBP/R2Q1RK1 b - -,f6e4
r1q2rk1/pp1b1p1p/4pbp1/3p4/2nNP3/2PB2B1/PPQ2PPP/R4RK1 b - -,c8c5
4k3/2p1bp1p/p6r/3RP3/4KP2/1P4B1/P6P/8 b - f3,h6c6
r1bn1rk1/pppqppbp/6p1/3PN3/5P2/2N4P/PPPQ2P1/4RK1R b - -,d7d6
3rr1k1/pbq2pb1/1pp1n1pp/8/3P4/B2NP1P1/P1Q2PBP/1R1R2K1 w - -,d3f4
r2qk2r/pp2bppp/2n1bn2/8/2Pp1P2/1N4P1/PP4BP/RNBQ1RK1 w kq -,b1a3
r4k2/8/8/2pNp3/2N5/p3K3/PP5r/5R2 b - -,f8g7
7r/3Pk2P/8/5B2/8/3KPp2/8/8 b - -,e7f6
8/2k2p2/P4np1/2K1p2p/6P1/4N3/6P1/8 w - -,g4h5
3r4/1b3kpp/1p3p2/pP1P1n2/P2R4/6PB/2r2P1P/3R2K1 w - -,h3f5
