8/8/3Q3p/p7/8/K1k5/3q4/8 w - -,d6c6
2rqrnk1/pb2bppp/1p1ppn2/8/3PP3/4BNNP/PPB2PP1/R2QR1K1 b - -,d8c7
rnbq1rk1/pp3pbp/3p1np1/2pPp3/P3P3/2PB1N2/1P1NQPPP/R1B1K2R w KQ -,d2c4
2rr2k1/3q1ppp/1pp1p1b1/4P3/1bBP3n/1N5P/1P3PP1/R1RQN1K1 w - -,e1c2
8/6p1/5pk1/7p/2q4P/5PP1/3RR1K1/8 b - -,c4c3
r4rk1/2qnbppp/pp1p4/3Ppb2/P7/4BB2/1PPN1PPP/R2Q1RK1 w - -,c2c4
5r2/2k1r3/5pR1/p2B3p/PP1KP3/2P5/6PP/8 b - -,a5b4
r2nk2r/2q1b2p/p1bpp1pn/2p2pN1/P3PP2/1QPPB1PP/4N1B1/1R3RK1 b kq -,e7g5
8/3b2p1/pp5p/k2pPp2/P2P1N1P/1P2K3/6P1/8 b - -,g7g5
kr3r2/p3q1p1/2p1p2p/3n3P/6Q1/1PN3P1/PK1B1P2/3R4 w - -,f2f4
2r5/pp1k1pp1/4p2p/3pP3/2r3PP/P1P2K2/1P1R1P2/3R4 b - -,h6h5
3qr1k1/3rpp1p/1pbp2p1/p1n1b1B1/2P1P3/1PN2P2/P2Q2PP/2RR1B1K w - -,c1b1
2r1r1k1/pbpnqpbp/1p2pnp1/3p4/2PP4/1PN2NP1/PBQ1PPBP/2RR2K1 w - -,e2e3
8/7p/2R5/p3Ppnk/5p2/4q3/P4RBP/6K1 w - -,h2h4
2rq2k1/2r2p1p/p1p1n1p1/1p1p4/PPnP4/2QBPN1P/2R2PP1/2R3K1 w - -,c2a2
3rbrk1/1p2bppp/p1nqpn2/4N3/3P4/P4NR1/BP3PPP/R1BQ2K1 w - -,c1e3
2rqk2r/1b1nbppp/5n2/p3p3/Pp1Q4/4PN2/1P1BBPPP/R1N2RK1 w k -,d4h4
r1b2rk1/1p2nppp/2pq1n2/p5B1/P3pp1N/1BPP4/2P3PP/R3QRK1 w - -,g5f4
2R5/6pk/p4n2/P1b3q1/3pp1Pp/2p4P/4Q1NK/8 w - -,e2f2
q3k1nr/5ppp/2nb4/3p1b2/2BP4/5N2/2PN1PPP/2BQ1RK1 b k -,d5c4
r1q3k1/p3r2n/1ppQp1p1/2P2pP1/1P1P2n1/1B3N2/P4P2/3RR1K1 b - -,g8f7
2bnk1r1/2q1b3/pR1p1p2/2pPB2p/P1P1P2P/3B4/1Q2KN2/3N4 b - -,f6e5
2rqk2r/5pp1/p1bp1b2/2p4p/1pP1PPnP/1P1P2Q1/P3R1B1/2BN1R1K w k -,d1e3
2r3k1/4ppbp/2rp1np1/q7/bp1BP3/1B3P2/PPPQ2PP/1KNRR3 b - -,c6c2
4r3/p4pkp/1p1q2p1/3bp1P1/3nP3/2R1Q1P1/PP3PB1/6K1 w - -,e4d5
3r1rk1/p3qpp1/1pbp3p/2p1p3/P1P1P2P/1P1PQ1PB/5P2/1R2R1K1 w - -,e1f1
r2k1b1r/pp1n1ppp/2p1bn2/1B2p1B1/4P3/2N5/PPP2PPP/2KR2NR w - -,b5a4
4r1k1/pp3q2/2pPBp1p/8/3N1Q2/8/PP5P/6K1 b - -,e8e6
8/2p4p/pp2k1p1/5p2/2P2P2/3n1KPP/P2N4/8 b - -,e6d6
r1b1r3/pp1nqpbk/2p3pp/8/2PNP1P1/2N1Q2P/PP2BP2/R2R2K1 b - -,d7c5
1k1r1b1r/1p4p1/1Qp5/5qp1/3p2N1/5P2/PP4PP/2R2RK1 b - -,f8d6
r4rk1/pp2pp1p/2n1b1p1/4q3/8/Q1P1B2P/P1P1BPP1/3RK2R b K -,f7f5
8/p5k1/2nPbrp1/2p2p2/4p3/4Q3/P1P3PP/6K1 b - -,e6d7
3qr1n1/1pp2pbk/2n3pp/8/1PPpbB1P/3N2P1/4PPB1/N2QR1K1 w - -,a1b3
r2q1rk1/ppp2ppp/5n2/3Pp3/1b6/2N2QPP/PPPP1P2/R1B2RK1 w - -,a2a3
rnbqk2r/pp2npbp/2p1p1p1/3pP3/3P1P2/2N2N2/PPP3PP/R1BQKB1R w KQkq -,f1d3
8/8/2kb4/Bp3K2/8/3P4/P7/8 w - -,f5e6
r4rk1/4bpp1/3pbn1p/4p3/pq2P3/1PNQN3/PB3PPP/2RR2K1 w - -,c3d5
