1k6/p6n/K5pP/1P2p3/4P3/4P3/1P5P/8 b - -,h7f6
2bq1rk1/rpp3p1/p2p3p/3Pp2N/5n2/1BP2p1P/PP3PP1/R2QR1K1 w - -,h5f4
r3r1k1/pp1bppbp/1q1p1np1/8/2n1PP1B/1NP5/PP1NQ1PP/R4R1K w - -,d2c4
1k1r1b1r/pp4p1/2pppq1p/2n5/4PP2/2N5/PPQ1N1PP/1K1RR3 w - -,c3a4
R7/6k1/8/4KP2/p3N3/8/8/r7 w - -,e5e6
3N4/8/p2b1k2/P2Pp1p1/4K1P1/7P/8/8 w - -,d8c6
8/7p/3k1p2/1p3P2/1Pp1P3/5N1P/2K2b2/8 b - -,f2e3
r4rk1/p1q2pbp/bpn1p1p1/2ppPn2/5B1P/2PP1NP1/PP1NQPB1/R3R1K1 b - h3,h7h5
r1bqk2r/ppp2p1p/2n2b2/3N1p2/8/6P1/PPP1NP1P/R2QKB1R b KQkq -,f6b2
r2qkb1r/1bpn1ppp/p3pn2/1p6/3P4/1N3NP1/P1Q1PPBP/R1B2RK1 b kq -,a6a5
8/8/5R2/k2N4/3K4/8/8/7r b - -,h1g1
5rk1/6b1/R4n1p/p1rp2p1/1p4Pn/4B1NP/PPP5/1K1R3B b - -,c5b5
8/p6r/2p3p1/R2bk3/6p1/1P2K1P1/P5R1/8 b - -,e5d6
r1bq4/p2pp1k1/2p3pp/4Pr2/2PRNp1Q/8/PP3PPP/5RK1 w - -,e5e6
8/R5k1/5p2/N2p2pp/1p6/1P3PP1/4r1PK/8 b - -,g7f8
r5k1/1p2np1p/p2r2p1/3p4/1Pn3P1/2B1P2P/5PB1/R2R2K1 w - -,b4b5
4b3/7p/3nkpp1/rp6/1R1KP2P/P1N3PB/1P6/8 b - -,e6e7
3n1rk1/4b1pp/1q1ppr2/p3p3/1pP1P1QP/1P2N3/P1NR1PP1/R5K1 w - -,g2g3
3qnbk1/5r1p/1p4pQ/3Np3/3rP1B1/8/5PPP/R4RK1 w - -,h6h3
3r1r2/pp2kp1p/4p2R/8/1P1pP3/P2P4/6PP/5RK1 b - -,f8h8
r1b2rk1/1pq1bppp/p2ppn2/4n3/2PNP3/2N1B3/PP2BPPP/2RQ1RK1 w - -,b2b3
8/6p1/3pk2p/1P2p3/4P3/1K6/2R3PP/r7 b - -,a1b1
2kr4/ppp3pp/1n1rb3/1B2p3/4Pp2/1PP2P2/P1K3PP/R2R1N2 w - -,d1d6
r4rk1/q3ppbp/bn1p1np1/2pP4/4P2N/1PN3P1/P2B1PBP/1R1QR1K1 b - -,f6d7
1r1q1rk1/RP3ppp/1p1pp3/1p6/3P3b/2P1P2P/1P1Q1PPB/4K2R w K -,d2e2
6k1/n4ppp/1p2p3/pP1p4/Pb1P3P/1q2PNP1/R3QPB1/2r3K1 w - -,g1h2
2r3k1/Rp3pp1/4p1p1/8/2rP2P1/4P2P/8/3R2K1 b - -,c4b4
4b1k1/3q1pbp/4p1p1/1p1n4/p3Q2B/2P1N2P/PPB2PP1/6K1 w - -,e3d5
3r1rk1/3q2b1/6pp/p2Ppp2/PpB4Q/1P4R1/5PPP/5RK1 b - -,f5f4
r3k2r/1bq1ppbp/p2p1np1/1p3P2/3P4/2PBPN2/1P1N2PP/R2Q1RK1 b kq -,g7h6
r3qrk1/ppnnb1pp/2p1b3/4pp2/3PP3/2N2NP1/PP3PBP/R1RQB1K1 b - -,f5e4
3r2k1/p1R2rb1/1p5p/4p1p1/4N1P1/1P2PpBn/P4P1K/2R5 b - -,h3f4
8/1p6/4k3/3N3p/pPP2K2/8/2b5/8 w - -,b4b5
2r2rk1/1pq1bppp/p1b1pnn1/8/2P2PP1/1NN1B2P/PP1RBQ2/3R2K1 w - -,f4f5
2rRr1k1/5pbp/6p1/7n/8/5BBP/5PP1/3R2K1 w - -,d8c8
r1b3rk/4b2p/3pqp2/p3p2B/1pP1P3/4B1R1/PP4PP/R2Q2K1 w - -,g3g8
