8/4r1k1/5p2/5K2/6P1/3Q4/8/8 w - -,d3d6
8/p2r3p/2pk1np1/3p1p2/1P1P4/R4P2/P2KB1PP/8 b - -,d7b7
r2q1rk1/pbpnbppp/1p2pn2/3p4/2PP4/1PNBPN2/PB3PPP/R2Q1RK1 b - -,c7c5:f6e4:a8c8:a7a6
6k1/p4np1/1p2pq1p/3p3P/3P1QP1/1P1N1PK1/P7/8 w - -,b3b4
6kr/p1p2P2/1p1p1P1p/n3pP1Q/7P/2Pq4/P3R3/5RK1 b - -,g8f8
2r5/p4pkp/1p1pp3/1Rr2p2/P1P5/3P2P1/4PPKP/1R6 b - -,g7f6
4r1k1/3R1pb1/1p4pp/p2pP3/Pp5P/1P2R1P1/5P2/6K1 b - -,g7f8
3q2k1/1prn2p1/p1p1pr1p/P7/1n1PQP2/1N4P1/1P5P/1BR2RK1 b - f3,d7f8
7k/6p1/3pr2p/p4r2/1pPR1P2/1P1R3P/P7/6K1 w - -,g1f2
r4bk1/2r4p/p4pp1/1p1p1P2/3Pn3/P1PN4/1P2R2P/4BRK1 b - -,g6g5
2rq1rk1/1b1n1ppp/pp2p3/8/3PP3/1B3N2/P2Q1PPP/3RR1K1 w - -,d2f4
rnbqkb1r/p3pppp/2p5/1p1nP1N1/2pP4/2N5/PP3PPP/R1BQKB1R b KQkq -,h7h6
rnbq1rk1/1p2bppp/p1p1pn2/8/2BP1B2/2N1PN1P/PPQ2PP1/R3K2R b KQ -,b7b5
r1r3k1/p2n1pbp/1p2p1p1/8/3PP3/1N2B3/P3KPPP/2RR4 w - -,f2f3
1k2r1r1/pppqbpp1/3p4/3P4/2PQ1P2/1P2P1Pp/PB3R1P/4R1K1 w - -,d4d3
r1br2k1/1pp3p1/p2pnp2/5Np1/4P3/1BP1P2P/PP4P1/3R1RK1 b - -,g8f8
rnbq1rk1/ppp3b1/3p1Bpp/5p2/2PPP3/2N2NP1/PP4BP/R2Q1RK1 b - -,d8f6
1r6/ppp1k1p1/3p1p2/PP1Bpbn1/4P1P1/2PPKP2/8/7R w - -,g4f5
2r5/2r5/4pb2/3p1p1k/Pp1P1P1p/1P1RN3/4N2K/8 b - -,h5g6
r5k1/2p1r1p1/1p3qQp/2nPpB2/p1P2p2/P1R5/1P3PPP/4R1K1 b - -,f6g6
