1K1Q4/8/1P6/7k/2q5/8/8/8 w - -,d8d1
2kr3r/1pp1qpp1/p2p1nn1/2bPp1Bp/4P2P/2NQ1PPR/PPP1N3/1K1R4 b - -,d8g8
1r1qr3/1p3pkp/2b3p1/2P1p3/1p1pB3/P2P2P1/4RP1P/3QR1K1 w - -,a3b4
r1bq1rk1/pp3ppp/3b1n2/n2p4/3P4/B2QPNP1/P4PBP/RN3RK1 b - -,a5c4
2rr2k1/pbq2Np1/1pp1pn1p/2P5/3P4/PBQ5/1P3PPP/3RR1K1 b - -,g8f7
8/p2r1k2/bpR1pbp1/5p1p/4P3/1P2BPN1/P1K2P1P/8 w - h6,e4f5
1r2qrk1/p1n1p1b1/3p2p1/1ppPnB2/2P2N2/2N3P1/PP2QP2/R1B2RK1 b - -,f8f5
4rrk1/p1pq2pp/3p4/2pP4/2P1Pb2/1PBR4/P4PQP/5R1K b - -,d7e7
rn1qr1k1/pp2npb1/3p2pp/2pP1b2/2P2B1P/2NB4/PP2NPP1/R2Q1RK1 b - -,b8d7
2rq1rk1/1p1nbppp/2p2n2/p2Pp3/P1p1P3/2N2BPP/1P2QP2/R1BR2K1 b - -,c6d5
r4rk1/1p2qpbp/2b3p1/2n1p3/p1Pp4/Pn1P2P1/2NNPPBP/BR1Q1RK1 w - -,c2b4
7k/3bnpp1/4p2p/2qpP3/1p3P2/1P1BPN2/4QKPP/8 b - -,e7c6
2r1k1r1/1p3p2/pBn1p3/6Pp/7n/1B6/PP6/1K1R3R b - -,h4f3
4k3/1p2n3/3r1p1p/pP2p3/P1B1R1PP/2P5/2K5/8 w - -,c4b3
2n5/3b4/5kp1/1ppPp1Np/4P2P/4K3/PP6/5B2 b - -,c8d6
2rk3r/pp2p2p/3pp1p1/qB6/6P1/2b5/PPP1Q2P/2KR3R w - -,b2c3
8/p2rk1pp/4np2/2p5/R6P/P3P1B1/5PPK/8 w - -,h2g1
3r2k1/p5bp/1p1P2p1/2p1p3/2Pr3q/Q5N1/P4PPP/3R1RK1 w - -,a3a7
r2qk1nr/pp2bppp/2npb3/4p3/4P3/1BN2N2/PPP2PPP/R1BQK2R b KQkq -,g8f6
2r1r1k1/6pp/Q1p2q2/3p1p2/1Pn5/4P1P1/P4PBP/2RR2K1 w - -,b4b5
r1q2r2/2p2pk1/p4np1/3Qp1N1/1p2P1p1/1P2B1P1/1PP1N3/R5K1 w - -,d5e5
8/4pp1k/pn4qp/2rn4/8/1B3Q2/PP1B1P1P/4R2K b - -,d5f6
r3k2r/ppq1ppb1/2bp1npp/2p5/4PP2/P1NP1N1P/1PP3P1/R1B1QRK1 b kq -,e7e6
8/8/3R4/8/1P2KpP1/7r/3p4/3k4 w - -,e4f4
2b5/8/1kn1p1p1/pp1pPp2/1P3P1P/PNPK1B2/8/8 b - -,c8d7
5rk1/1p3pp1/p3b2p/4p3/3rP3/7P/PPBR1PP1/3R2K1 w - -,d2d4
r1bqkbnr/ppp2ppp/2n5/4p3/2P5/5N2/P1QPPPPP/RNB1KB1R w KQkq -,b1c3
r1bq1rk1/pp1n1ppp/2p1pn2/3p4/2PP1b2/5NP1/PPQ1PPBP/RN3RK1 w - -,g3f4
r1bq1rk1/pp2p1bp/3p1np1/2pPnp1P/5N2/2N3P1/PPP1PPB1/R1BQK2R w KQ -,h5g6
2qr2k1/1pb3p1/p2P1pp1/PnQ1p3/7P/3P2P1/5PB1/2R3K1 w - -,d6c7
8/5ppk/r3p1bp/P2pP3/2rP3q/2B3R1/3Q3P/R5K1 b - -,h4d8
8/pp6/3P4/4R1pr/5p2/2K5/PP4k1/8 b - -,h5h7
3r1rk1/p1q5/3N2p1/2P5/1P1Q3p/P7/4PP2/1R4K1 w - -,d4h4
3r2k1/5pp1/p1p2bbp/1pPrq3/4pRPP/1P2P3/P4Q2/2B1RBK1 b - h3,d5c5
