2k5/1pp3p1/p7/2R5/8/2P2K2/PP5P/1r6 w - -,b2b4
8/p3kb1p/1pn2pp1/3p3P/3P2P1/2N1KP2/PPB5/8 b - -,g6h5
6k1/7p/p5p1/5p2/PP3R1P/1r6/8/6K1 w - f6,g1f2
5rk1/p1rq1p2/2p1p3/3p1bNp/3PP2P/Q7/PP4P1/2R2RK1 b - -,d5e4
4r3/1p1bq1kp/2p3p1/r2pPp2/p2P1P1Q/P2BP1P1/1PR5/2R1K3 b - -,e7h4
r2qkb1r/pp1bpppp/5nn1/3P4/3Q4/2N1B3/PP3PPP/R3KBNR b KQkq -,a7a6
r2q1rk1/ppp1bppp/1nn5/4p2b/2B1N3/2PP1N1P/PP2QPP1/R1B2RK1 w - -,c4b3
1r1rn3/3q2kp/5pp1/2bPp3/pnB1P3/4BP2/1P2QPKP/R5R1 w - -,e3c5
3k4/1p5p/p3p3/2Pq4/Q5p1/3p2P1/P4P1P/4K3 b - -,h7h5
r2q1r1k/1p1nbppb/p3p2p/P1pnP3/3P2Q1/1N1B4/1P1B1PPP/2R1NRK1 w - -,d3h7
r2q1rk1/ppp2ppp/2nbp3/1B3b2/3PP3/2P2N2/P3QPPP/R1B1K2R b KQ -,f5g6
8/4P3/8/8/5K2/8/pk6/N7 b - -,b2a1
rn3rk1/1p1bq1pp/2p1pn2/p2p1p2/P1PP4/1P3NP1/2N1PPBP/R2Q1RK1 w - -,a1b1
2r1r1k1/1R3pp1/2p2n1p/p2p4/3P4/3NP3/P4PPP/2R3K1 b - -,f6e4
r4rk1/5p2/3p2p1/2p1n3/1q1nPNPp/1bNP3P/1P1Q1RB1/2R1K3 w - -,e1f1
8/8/3k4/3P4/4K1R1/P7/3r4/8 b - -,d2d5
2r3k1/p4ppp/4p3/3p4/3P1B2/1P2P3/Pr2bPPP/R1R3K1 b - -,c8c2
2Q5/p5kp/6p1/8/8/1P2P1P1/P4PPK/3q4 w - -,c8c7
7R/8/8/1p1r4/8/4K1kp/8/8 w - -,h8g8
7r/1p2rpk1/2p3p1/p3b3/P2NP1bq/2QPB3/1P4P1/2R2NK1 w - -,f1d2
r2qr1k1/ppp2p1p/2n3pb/8/3P4/N1P2N1P/bPB2QP1/R4RK1 w - -,f3e5
r4rk1/pb2qppp/1p3nn1/1P2p3/R3P3/2N1BP2/1P2B1PP/3Q1RK1 b - -,g6f4
r3r1k1/pp3p1p/2p1q1p1/4N2n/2QPpP2/4P2P/PP4P1/3R1RK1 b - -,h5g3
8/2R2pkp/3r4/1r2n3/6p1/4R1PP/4NPK1/8 b - -,h7h5
8/4k1p1/4P2p/1pbB4/p4P1P/5KP1/P7/8 b - -,e7d6
2rq1rk1/pp2ppbp/2np2p1/3N4/2PNP1b1/4B3/PP1Q1PPP/2R2RK1 b - -,g4d7
rn2r1k1/p1p1b1pp/1p6/3p1p2/3P4/2BN2P1/PP2PPKP/2R2R2 b - -,b8d7
r1bqkb1r/pp1ppp1p/2n2np1/8/3NP3/4B3/PPP2PPP/RN1QKB1R w KQkq -,b1c3
r3rnk1/pp1nqpb1/2p3p1/P3P1Pp/4NNbP/1P2B3/2P2QB1/4RRK1 b - -,g7e5
1k1r2r1/pb1qb3/1p2p1pp/3pPn1P/3P1N2/P2BBQ2/1P3P2/2KR3R b - -,f5e3
r2qr2k/p7/1p3P1p/3pn1p1/8/P7/3QP1BP/R2NB1K1 w - g6,e1g3
r1br2k1/1p3nbp/p1pp2p1/q4p1n/N1P1PP2/1P2B1PP/P1Q1N1BK/3R1R2 b - -,c6c5
r4rk1/q2bppbp/pn1p1np1/2pP4/4P2P/1BN5/PP2NPP1/1RBQ1R1K b - h3,d7b5
r1bq1rk1/1p2bpnp/1np3p1/p2pP3/P2N1N2/1P6/1BP2PPP/R2QRBK1 b - -,f7f6
8/7k/R7/4r1pP/6K1/7P/P7/8 w - -,a2a4
r1bq1r2/1p2npbk/p1np2pp/2p1p3/4P3/3PBN1P/PPPQNPP1/R3RBK1 b - -,f7f5
1k1r1r2/1b1n3p/pq2p1p1/3pP3/RP1N4/2PB4/R5PP/4Q1K1 b - -,f8f4
b1r1r1k1/5pp1/7p/p1n5/Pp1pPP1q/1P6/3N2B1/B2QR1KR b - -,h4f4
5rk1/p3pr1p/1p1pB1pP/4b1P1/1PP1p3/4B3/P1K5/5R2 b - b3,e5h8
6k1/3n1p2/5P2/6PP/5P2/4K3/8/8 b - -,d7f8
2N5/6pp/4pp2/3p4/8/2k4P/P4PP1/5K2 w - -,c8d6
r3r1k1/1p6/2pn1ppn/3p1q2/p2P1N2/4PQ2/PP1N1PP1/2R2RK1 w - -,f3g3
3q1rk1/Q2n1pp1/4pn2/7p/2pP4/2N3P1/Rr2PP1P/2R2BK1 b - -,d8b8
8/1br2p1k/p3q1pp/1p6/1P2PRP1/P2Q1P2/4NK2/8 w - -,d3d4
r4rk1/1p3ppp/2bppn2/Q7/3P3P/pP1B1N1R/P1P2PP1/2K1R3 b - -,a8a5
5r2/8/5qk1/1p1p2p1/p2N2Rp/P1P1p2P/1P2Q3/6K1 w - -,g4g2
r2q1rk1/pp3ppp/n1pbbn2/4p3/4P3/5NPP/PPPN1PB1/R1BQ1RK1 w - -,b2b3
3r4/1p4p1/1kp1B2p/p1b1p2P/2P3P1/1P3P2/4K3/3R4 b - -,c5d4
3q2k1/1p3pb1/p1p4p/2P1n1p1/1P2Q3/P3P2P/1B2BPP1/6K1 b - -,e5f3
3r2k1/1Q3ppp/5n2/2bpq3/8/P3P1PB/2rN1P1P/3RR1K1 w - -,b7b1
8/5k1p/8/5KP1/1p6/7P/2B5/8 w - -,h3h4
r3k2r/3bbppp/1q2p3/3pP3/p1nP4/2B1NN2/1Pn2PPP/1R1QR1K1 w kq -,e3c4
r4rk1/1q1nbppp/pp1ppn2/7b/2PP1B2/1PN1QN1P/P3BPP1/2R1R1K1 w - -,g2g4
r1bq1rk1/p1p1n3/1p1p2p1/3P1p1p/2PBpPnP/P1N3P1/1P3PB1/R2Q1RK1 b - -,g8h7
5k2/5p2/5n2/5P1p/2BK1P1P/6P1/8/8 w - -,c4e2
6k1/q7/p2p1b2/3P1N2/2P2pP1/1P6/8/4rK1Q w - -,f1e1
