7k/R6p/8/5p2/3p4/2r5/P1P3PP/6K1 b - -,c3c2
8/8/5N2/7p/pK4p1/6k1/4n3/8 w - -,f6h5
r4k2/6p1/1p2p2p/2b1p3/Pp6/4P2P/1P3PP1/2RR1K2 w - -,b2b3
8/1p2r1k1/2pR2b1/3p3p/1p1P3P/P4K2/8/8 w - -,a3b4
8/1rN4p/2R1Pkp1/8/4n3/7P/6P1/6K1 w - -,c7d5
r1b1r1k1/pp1nqpb1/2ppn1pp/8/1PP1P3/2N1BN1P/P1Q1BPP1/3RR1K1 w - -,d1c1
2b5/2k3p1/8/3Pn3/4P3/2N1KP2/6Pr/1R6 w - -,e3d4
r1bq1r2/ppp2kpp/8/3p4/1Q1Pn3/5N2/PP3PPP/RN3RK1 b - -,f7g8
r4rk1/1bq2ppp/5n2/2P1p3/1pNP4/pBn1P3/5PPP/R1BQR1K1 w - -,d1c2
6k1/pp1b1pp1/2pn3p/4n3/4P3/1PN3PP/PB3PB1/6K1 w - -,c3b5
8/6k1/pB6/P4pp1/1bB4P/rN6/4KP1P/8 b - -,g5h4
r2q1rk1/1b2bppp/p2p4/1p2n1P1/4PBQP/2N5/PPP3B1/R3K2R w KQ -,g4g3
r5k1/np3ppp/4p3/pq1pP1PN/2rR4/7P/1P2QP2/2R3K1 w - -,c1c4
5r2/p3bpk1/4p1p1/P2nP2p/qpR2P1P/1N1Q2P1/1P1B4/6K1 w - -,g1g2
2r4k/2rn1R1p/p2q1bpB/1p1Bp3/1Pp5/P6P/3Q2P1/3R3K w - -,f7h7
r1b1rbk1/2p1npp1/p2p4/1p2p2p/4PqPP/2PPN3/PPB2P2/R2QK1NR w KQ -,g4h5
r2qkb1r/pp1n1ppp/2p1pn2/6B1/3PN3/5Q1P/PPP2PP1/R3KB1R w KQkq -,f1d3
3r2k1/2r4p/Q2Np1p1/p1p1b3/5q2/1P3N1P/P5P1/5RK1 w - -,d6c4
2rq1rk1/p3p1b1/3n2pp/3Ppp2/2p1P2B/4QP2/PP2B1PP/2R2RK1 w - f6,h4e1
1rbqr1k1/p4pbp/p2p1np1/2pP4/P3PP2/2NQ1N2/1P4PP/R1B2RK1 w - -,a1b1
r5k1/1nq2p2/p4bp1/1ppQp2p/4P2P/2P2NPB/PP3P2/3R2K1 w - -,d5b3
r2qkbnr/pp1b2pp/2n1p3/2ppP3/8/P1PB1N2/1P3PPP/RNBQK2R b KQkq -,d8c7
