R7/2k5/p7/4Kp1p/6bP/1P2P3/P2n4/8 w - -,a8a6
r1b1k2r/pp4p1/2p1npB1/q3B3/3P2pb/2N1P3/PPQ2PPP/2R1K2R b Kkq -,e8e7
4r1k1/p4nbp/2pB2p1/q1P2p2/NP6/8/P3r1PP/1R1Q1R1K b - -,a5b5
r3k1nr/ppqb2pp/2n1p3/4P3/N2p4/5N2/PP1QBPPP/R3R1K1 b kq -,g8e7
1r1q2k1/3b1p1p/p5p1/2pN4/P1pbN1P1/7P/1P1Q2K1/4RR2 b - -,b8b2
3r3r/1kq3pp/pp2p1n1/5pN1/1nP4P/4PN2/PP2Q1P1/1K1R3R b - -,d8d1
r2kr3/3n2p1/1pQ2n2/3p4/p2P3p/qP4P1/P1RN1PBP/1K5R b - -,a4b3
r2q1rk1/ppp3p1/1bnppn1p/4p3/P3P3/2NPBN1P/1PP2PP1/R2Q1RK1 w - -,d3d4
4r1kb/pp2pp1p/1n4pB/8/4PP2/1b3B2/PP4PP/1K5R w - -,a2b3
2r3k1/nr2pp1p/3p2pb/q2Pn3/1p3PP1/PPN4P/1B1QB3/2R2RK1 w - -,a3b4
r4r1k/1ppb3p/p2p3b/3Ppq2/2P1Nn2/2N1BPR1/PP1Q3P/2KR4 w - -,e4f2
Q4n2/4npk1/1p1q2p1/p2pp2p/8/2NPP2P/5PP1/2N3K1 b - -,d5d4
5n2/1bN2k1p/8/4KpB1/2p5/5P2/6PP/8 b - -,b7c8
r4rk1/pp3pp1/2n1b2p/2Pp1p2/1P1P3q/P1N2B2/5PPP/R2Q1RK1 w - -,c3e2
2rqkb1r/1b1n1ppp/p3p3/3p4/1pnNPPPP/4B1N1/PPP1B3/1KQR3R w k -,e4d5
r2qk2r/pp2bppp/4pn2/2ppn3/3P2b1/2P3P1/PP2PPBP/RNBQ1RK1 w kq -,d4e5
r2q1rk1/ppp1bppp/4p3/3nNn2/4NP2/2PP4/PP1B2PP/2KR1Q1R w - -,f1e2
1k2r3/1pp3p1/1p1q1pb1/3p4/1P1P3P/P4B2/1KPQ1P2/7R w - -,h1g1
8/5pk1/2R3p1/7p/5P2/1r6/5KPP/8 w - -,c6a6
r1b1r1k1/p4pp1/2p1qn1p/3p4/Q1PB4/6P1/P3PPBP/R2R2K1 b - -,c8d7
6k1/4qp1p/8/2p2Qp1/P4p2/2bB1P1P/6PK/8 w - -,f5h7
2rr2k1/pp1b1p1p/4nnp1/Pp2p3/2P5/R1N1P1P1/4NPBP/3R2K1 w - -,c4b5
8/rp1k2pp/2n5/3pP3/r7/PR1R1N2/6PP/6K1 b - -,d7e6
r7/5Rk1/1Qpq2p1/p1Npp2p/P3P1bP/1P1N2P1/2P5/1K6 b - -,g7f7
2r2r1k/2nb2pp/pb3p2/1ppB4/4P3/2P1BN2/PP3PPP/3RR1K1 w - -,d5b7
2r2rk1/3nqpp1/p1p1p2p/1p6/P2Pb3/1Q2PN2/1P2BPPP/2RR2K1 w - -,f3d2
r3kb1r/2qp1ppp/p1b1pn2/8/N3PP2/P2P1N2/4Q1PP/R1B2RK1 w kq -,e2c2
r4r1k/pp5p/3p2p1/3Qp2q/5bB1/1N4B1/PP2PP2/R4RK1 b - -,h5g4
rn2kb1r/pp3p1p/2p1pp2/5b2/3P4/2P1BNP1/PPq2PBP/R2QK2R w KQkq -,d1c2
5r2/1p2p1qk/3p4/p2P1b2/8/5Nb1/PP2Q1B1/2rR2K1 w - -,d1c1
r1b1r1k1/4qppp/p1p1pn2/1pP5/3P1P2/3B4/PP1N1QPP/3R1RK1 w - -,d2f3
r1b1kb1r/ppqp1ppp/4n3/1B2P3/4Q3/2N5/PP3PPP/R1B2RK1 b kq -,f8c5
r3kb1r/ppq2pp1/1np1p2p/3nP3/2N5/5B2/PPP1QPPP/R1B1R1K1 w kq -,a2a3
3rr1k1/pp3ppp/2p4q/4PBnP/5pPN/P3n3/PB5Q/6RK b - -,e3f5
8/3B4/1p5p/1P4p1/4k3/6P1/2n2K1P/8 b - -,c2d4
2r3k1/5p1p/6p1/5q2/4p2Q/4P2P/2r2PP1/1R2R1K1 b - -,h7h5
r3rk2/1p3pp1/p2Rpn1p/8/5P2/5N2/PPP3PP/1K5R b - -,f6d5
4Q3/r3n2k/3pqp2/2p2Np1/4P3/1PP2P2/r7/1KNR4 w - -,d1h1
5r1k/1B2p2p/1p1p1b2/5p2/5P2/P1P3P1/1P4KP/4R3 b - -,h8g7
r4k2/p4r1p/3p4/1pnP4/5p2/4R1PB/P4P1P/4R1K1 w - -,g3f4
2r2bk1/p1qn1p1p/1pN2np1/8/2PB4/6PQ/P4PBP/R3r1K1 w - -,a1e1
8/pp3Qpk/5n1p/4p3/4P3/7P/PP3PP1/3R2K1 w - -,f2f4
5rk1/pp3ppp/3b4/1q1p4/3P4/1P2BQ1P/P4PP1/2R3K1 w - -,e3f4
r1bq1rk1/p1p1ppbp/1p1p1np1/n2P4/2P5/2NQ1NP1/PP2PPBP/R1B1K2R w KQ -,f3d2
r3r3/1pp2ppk/p1qp1nnp/4pN2/P3P3/2PPN2P/1PQ2PP1/3RR1K1 w - -,c2b3
2rq1rk1/4bp1p/p1p1pp1Q/1p1b4/2nPN3/5NP1/PPP2PBP/3RR1K1 b - -,c4b2
5rk1/3n2pp/2qQ2n1/1p1p1N2/2pPP3/2P1BP2/7P/5RK1 b - -,c6d6
1rbq1rk1/pp1pppbp/2n2np1/2P5/3N4/2N3P1/PP2PPBP/R1BQ1RK1 b - -,c6d4
2rr3k/1p3qpp/3p1pb1/pP6/Pb3N2/4P1PP/1Q1R1PB1/R5K1 w - -,g2d5
r1bq1rk1/pppn1pbp/2np2p1/4p3/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 w - e6,e2e3
1r2r1k1/p1p3bp/2pq2p1/3np1B1/8/1P3N2/P3QPPP/2R1R1K1 w - -,f3d2
r2q1rk1/pp1nppbp/2p3p1/2p5/P3PP2/2NPB3/1PPQ1P1P/R3K2R b KQ -,d8a5
1r6/2k1p3/3b3p/p5p1/P1B2PP1/2P1PKP1/1P1R4/8 b - -,b8c8
r7/3b1kbp/1q1p1n2/pp6/3NP3/5P2/PPPQ2P1/R3K2R b KQ -,f6e4
6k1/3Qbppp/q7/4P1P1/1pr4P/p4P2/P1P5/1KNR4 b - -,e7f8
R7/2r4k/1rpNp1pp/4PpqP/1p1P2P1/pPnQ4/P4P2/K1R5 w - -,h5g6
2b2r1k/8/4r2p/1p1qpp2/1P5Q/3PRP2/5NP1/4RK2 b - -,h8h7
6k1/p4pp1/1p3b1p/1Pq5/P1R1Q3/5PB1/5P1P/3r2K1 w - -,g1g2
rnbq1knr/pp3ppp/3pp3/bNP5/1p6/P5Q1/3PPPPP/R1B1KBNR w KQ -,g3d6
br1rn1k1/1qp1bppp/p3p3/1p4P1/2pPPB1P/PnN2N2/1P2QPB1/3RR1K1 b - -,a6a5
r3rk2/q5pQ/4p2p/p2p4/6N1/2P5/PP3PPP/5RK1 b - -,e6e5
5r1k/3r4/P5p1/2R4p/4b3/5pP1/5P1P/R4BK1 w - -,c5e5
3r2k1/pp1n1ppp/3P4/2pR2P1/8/2P1Q3/P7/1q3NK1 b - -,b1a2
r1bq1rk1/1p2bppp/p2p1n2/2n1p3/P3PP2/2NB1N2/1PP3PP/R1BQ1R1K b - -,e5f4
8/6pk/7p/PR6/8/6PK/r6P/8 b - -,a2a3
r4rk1/3n1ppp/Bp1p1q2/4p1b1/P7/2P1BP1P/2P1QP2/R2R2K1 w - -,a6b5
8/7p/1p2R3/pPp2k2/8/1P1r2P1/6K1/8 w - -,e6b6
2r2rk1/1b2ppbp/pq4p1/2n5/3Nn3/4PN1P/PPQ1BPP1/R1R1B1K1 b - -,f8d8
r2q1rk1/ppp1bp1p/6p1/3n1b2/P2PQ3/5N2/3B1PPP/RB3RK1 w - -,e4e2
1r4k1/3n1pbp/p1q2np1/2p5/NpP5/1P1B2QP/P4PP1/2BR2K1 b - -,b8e8
4k3/1p2b3/1n2p3/3pPp2/pP1P1Pp1/P1N3P1/4K3/2B5 b - -,e8f7
rr4k1/4ppbp/3p2p1/q1pP4/4P3/P1N3PP/1PQn1PK1/1RR5 w - -,c2d2
6k1/2r1b3/8/4pp2/R2p2p1/3P4/4K3/N7 w - -,a4a5
2r1r1k1/5pbp/3qp1p1/p1p3P1/4PP2/2P3Q1/P5BP/3R1R1K b - -,d6a6
8/4B3/8/2pk1b1p/1p3P2/4K3/8/8 w - -,e3d2
3rr1k1/p2q1npp/1p2pb2/1np2p2/P1N2P2/1P1P2P1/1BP3QP/4RRK1 w - -,b2f6
r7/p5k1/3N2p1/2p2b2/2P2P2/1P6/P2R4/7K b - -,g7f6
r3k2r/1pq2pp1/p2pbn1p/2B1p3/4P3/2N3P1/PPPQ1PBP/3R1RK1 b kq -,d6c5
6k1/p1p4p/1p1p2p1/P2Ppn2/1PP5/5r2/5P1P/3RR1K1 w - -,a5b6
2rqn1k1/pp4pp/3p4/7r/bP1QPP2/P4P2/1B1R3P/R4BK1 b - -,c8c7
r4rk1/1pnq2bp/2ppn1p1/4p3/1PPP4/2N1BPP1/3QN1KP/2R2R2 b - -,a8d8
2rk1b1r/1b1nnp2/1q2p1p1/1p1pP2p/pPpN1P2/B1P1NBP1/P2PQ2P/1R3R1K b - -,d8c7
r3k2r/pp1n2pp/2p5/5b2/8/P1P1BP2/6PP/R3K1NR w kq -,g1e2
2kr1qnr/pbpp2pp/np6/2bNPp2/2P2P2/P5PN/1PQB3P/2KR1B1R b - -,c7c6
4Rrk1/7p/2p3p1/3b4/8/1P4Q1/Pq3P1P/4R1K1 b - -,f8e8
r1k4r/2p1bpp1/1p2b3/2p1PnN1/5P1p/1PN4P/1BP2KP1/3R1R2 b - -,e7g5
1rbq3r/p1p1npk1/3p2p1/1B5P/4PP2/2N2p2/PPPQ4/2KR3R w - -,d2d4
2q1k2r/1npb1p2/1p1p2n1/3Pp3/1PP1P3/r1N2PP1/4B1K1/1RQN1R2 b - -,d7h3
r1bqkb1r/5ppp/pnp1pn2/1p4B1/3PP3/2NB1N2/PP3PPP/R2QK2R b KQkq -,f8e7
3r1k1r/2qnb1p1/5p1p/1ppnpP2/4N1PP/2PP1N2/1P2Q1K1/R1B2R2 b - -,f8f7
rnb1kb1r/ppp1pppp/5n2/4q3/8/2N2Q2/PPPP1PPP/R1B1KBNR w KQkq -,g1e2
3r4/3r1nkp/q1p1bpp1/p3p3/P3P3/B2PN2P/2Q2PP1/1R1R2K1 b - -,d7d3
r1bq1rk1/pp1nbppp/2p2n2/3p2B1/2PP4/2N2N2/PPQ2PPP/2KR1B1R w - -,c4d5
r2qk2r/pb2bp2/1p2p3/1P1pPB2/2nP2pp/PQB5/1NN2PPP/R4RK1 b kq -,e6f5
1r6/p2r1ppp/4p3/RkP5/1P5P/6P1/1R2KP2/8 b - -,b5c6
r2q1r1k/ppp1N1pp/3pbn2/1Bb1p1B1/4P2N/7P/PPP2PP1/R2Q1RK1 b - -,d8e7
4k3/7R/1p6/1N1P1pp1/P4b2/3K4/1P1r1P2/8 w - -,d3c4
6r1/pp3p1R/2p1p3/8/3P4/2P1kP2/PPK5/8 b - -,g8f8
5b2/8/p1k1bp1p/1p2p1P1/1Pn1P3/P1NB1PP1/5K2/2B5 b - -,h6g5
2kr3r/pp1bnpp1/2n1p3/3pP3/q1pP1NBp/P1P3P1/1QPB1P1P/R4RK1 b - -,h8h7
8/2n5/8/3kP1p1/3P1pP1/3K4/8/4B3 b - -,c7e6
r2qk1nr/pp2ppbp/6p1/1B1b4/3p1P2/3P4/PPP1N1PP/R1BQ1RK1 b kq -,e8f8
r1r3k1/1p3p1p/1q1npbN1/pbNn3Q/3P4/P7/1P1B1PPP/1BR1R1K1 b - -,h7g6
5rk1/1prbq2p/p3pbp1/3pN1P1/3N1P2/3PQ3/PP3R1P/R5K1 b - -,f6g7
1r6/6p1/p1p1kb2/3rp2p/RPN2p2/2P2P1P/2R1K1P1/8 w - -,a4a6
1k1r4/1pp3p1/2nb3p/p6q/3p4/P4N1P/1PPBQPP1/4R1K1 b - -,h5f5
3rrnk1/1p1q1pp1/1bp1p1p1/p3BnP1/P1PP1N1P/1P2QB2/5PK1/3R3R w - -,e3e4
6k1/4q1pp/3p1p2/p1pPrP2/2Pb4/1P1B2P1/P1Q1R1KP/8 w - -,e2e5
3r1r2/2p3pk/1p3qpp/p7/P5P1/1P3n1P/5B1Q/3RR2K w - -,h2c7
3r4/1pk1r1pp/n1p2p2/8/1PB1NP2/4P1P1/4K2P/1R2R3 b - -,e7e4
r2q1rk1/ppp1b1pp/4p1b1/3pBp2/3Pn3/2PBP2P/PPQN1PP1/R4RK1 b - -,c7c5
r4k1r/pp2nppp/2p5/3n4/3N1B2/P4P1b/1PP1B2P/2KR3R w - -,f4d2
r4rk1/3qnpb1/n2pb1pp/1p2p3/1P2P3/2NP1NP1/1B2QPBP/3R1RK1 w - -,e2d2
4k3/1Q3pp1/7p/p3PK1P/P5P1/1P6/5P2/6q1 w - -,b7c8
1r1r2k1/p2q1pbp/6p1/2p1p3/2Nn2b1/1P1PB1P1/P2QPPBP/2R1R1K1 b - -,b8b5
r2rb1k1/1pq2pp1/4pn1p/p3N3/P2R4/1B1Q4/1PP2PPP/3R2K1 b - -,d8b8
r3kbnr/pp1b1ppp/1q2p3/n2pP3/2pP4/P1P2N2/1P1NBPPP/R1BQ1RK1 b kq -,g8e7:h7h6
8/5pkp/8/2n1r1P1/P6P/5BK1/8/R7 b - h3,h7h6
8/1R3pk1/P3p1pp/8/rn1P4/3BP1P1/4KP1P/8 w - -,d3c4
