3r3Q/6K1/8/6k1/8/8/8/8 b - -,d8h8:d8d7
2rr2k1/4pp1p/4b1p1/q3P3/pn2BB2/Q7/P4PPP/R3R1K1 w - -,a1d1
1rr3k1/R2b1pp1/3p3p/3Pp1b1/4P3/2NK2PP/1PP3B1/7R b - -,d7e8
r4rk1/p3qppp/1ppbnn2/4p3/2P1P3/1P3BPP/PBQRNP2/5RK1 b - -,c6c5
r2qkbnr/pp1bpppp/6n1/3P4/4Q3/2N5/PP3PPP/R1B1KBNR w KQkq -,c1e3
rnq2rk1/pb2bpp1/1pp1pn1p/8/2pPPB2/2N2NPP/PPQ2PB1/R2R2K1 b - -,b6b5
r1bq1rk1/1p1n1ppp/p2bpn2/2p5/P1BP4/2N1PN2/1P2QPPP/R1B2RK1 b - a3,b7b6
rn2k1nr/pbpp2pp/1p6/3B4/1bP4q/2NQ4/PP3PPP/R1B1K1NR b KQkq -,b7d5
r4bk1/7p/2r3p1/2P1pp2/1p6/1b2BPP1/4NK1P/2RR4 w - -,d1d7
rn1qkb1r/pp1bpppp/5n2/2p1p3/8/2P2N2/PP1PBPPP/RNBQK2R w KQkq -,f3e5
3r4/pb4pp/6k1/4P3/2Bn1P2/1P6/1P2K1PP/R6R w - -,e2f2
6k1/1p3p1p/6p1/nP1N4/8/6P1/1b3PBP/6K1 w - -,g1f1
1r3rk1/2q1bp1p/p1bpp1p1/4P2n/2PB1PQ1/P2B4/4N1PP/3R1R1K b - -,b8d8
1q3r1k/6pp/b7/p1pB2P1/P3Rp1P/1P2bQ2/2P5/3R3K w - -,e4e6
4R3/8/p1p2b2/3P1k2/1P3P2/3KB2r/P7/8 b - -,c6d5
2rq1rk1/pp3pbp/2P3p1/2P1P3/8/2N1p3/P4PPP/R2Q1RK1 b - -,c8c6
rbb1r1k1/1p3p1p/5qp1/p6Q/2BPp3/1P2P3/PB1P1P1P/R3K1R1 b Q -,c8d7
r4rk1/1pp1q1pp/2n1b3/p2npp2/8/PP1PPN2/2Q1BPPP/R1B1K2R w KQ f6,e1g1
3r1r1k/pp1qbpp1/1npp1n1p/4pP2/1PP3P1/PQNPB2P/5PB1/2R2RK1 b - -,d6d5
1k1r2r1/pp1bq3/2np1pp1/2p1p2p/4PP1P/P1PPQ1PN/1P4B1/2KR3R b - -,e7e6
r2q1rk1/pp1nnppp/2pbp3/3p3b/4P3/3P1NPP/PPPN1PB1/R1B1QRK1 w - -,f3h2:g3g4
3r1bk1/1r5p/p2P2p1/5p2/1PN5/R1P4P/6P1/1K1R4 b - -,d8c8
1rr5/4qpk1/3p3p/1b1RpPpP/4P1P1/1P2QB2/8/1R4K1 w - -,b1d1
r3rbk1/1b4p1/p2p1qpp/1pp1pN2/P3P3/2PP4/1PB2PPP/R2QR1K1 w - -,f5e3
r7/p6k/2pp2p1/7q/1p2PP2/P1bK2Qb/7P/1R5R b - -,a7a5
r2q1r1k/1pp3pp/2npb3/p4n2/P3QP2/1NN3P1/1PP3BP/2KR3R b - -,d8f6
8/8/6p1/7p/P6P/4k1PK/2qp4/6Q1 b - -,e3e4
7k/6p1/Q7/P6P/8/6qP/8/5K2 b - -,g3h3
8/8/P7/1K6/6k1/8/1R5p/8 b - -,h2h1q
7b/1pk2p2/n1pn3N/P6p/1P6/6PB/N3PP2/6K1 b - -,h8g7
7r/p4pk1/1p1qp3/2p2bp1/2Pr4/1P4P1/P3PQ1P/2R2RKB b - -,d6e5
r1bqrnk1/pp3ppp/2pb1n2/8/2PP4/P1N2NP1/1B3PBP/R2Q1RK1 w - -,d1c2
r1b1kb1r/2qn1ppp/pp2pn2/2p5/3P1B2/2N2NP1/PPQ1PPBP/R3K2R b KQkq -,f8d6
1k6/1p1r2p1/1R3p2/4n3/1q6/7P/PR2BPPK/2r5 w - -,b6b4
rnbqkbnr/pp2pppp/3p4/8/3N4/6P1/PPP1PP1P/RNBQKB1R b KQkq -,e7e5
3r3r/p3k3/1p2p3/6Rp/2P1QPpP/P7/5qB1/7K w - -,e4b7
3Q4/3r4/3k1r2/3n1p2/2P1p3/8/1P3PP1/1K6 w - -,d8h8
2r2rk1/ppq2pbp/4p1p1/2n2n2/1NP3b1/P4N1P/1P2BPP1/1RBQ1RK1 b - -,g4f3
3r2k1/1p3pp1/4nb1p/1PP5/2R2Pq1/8/2Q1NB1P/5K2 b - -,f6h4
1rn3k1/1p6/3p1br1/q2Pp2p/4Ppp1/1QN2P2/P3B1PP/1RR3K1 b - -,a5c5
2r1rbk1/p4pp1/1p2nn1p/3p1N2/P1q4Q/2N1B2P/1PP2PP1/3RR1K1 w - -,h4g3
1r4k1/nq3pp1/r2ppb1p/2p1P3/p1P5/2N2NP1/PP1RQP1P/2R3K1 b - -,f6e5
8/2R2p2/1p1kp1p1/1b1p2P1/p2P1P2/P2N2K1/1P6/8 b - -,d6c7
3rr3/p4pkp/1p1p1np1/2p1q3/2P2N2/1P2P1P1/P2R1P1P/3Q1RK1 b - -,g6g5
r2q1rk1/1bpnbppp/pn2p3/Bp4N1/3P4/6P1/PPQ1PPBP/RN3RK1 b - -,e7g5
8/pr2bk2/7R/7p/1P5P/2B3P1/4KP2/8 b - -,b7b5
5rk1/1bqnb1p1/rn1p3p/1p1PpP2/1Bp5/2P1NN1P/P1BQ1PP1/R3R1K1 b - -,f8a8
r1b2rk1/6q1/p1Np1b2/3Pp2P/1p2Q2P/1P3P2/1PP5/2KR3R b - -,g8h8
1rbq1rk1/5p1p/p2p2pb/nppP4/2P2pn1/1P4P1/PBQNP1BP/3NRRK1 w - -,c2c3
5rk1/prp2bb1/2Npq2p/1P4p1/2P1P3/1R1QP1P1/7P/4R1KB w - -,e1c1
8/5k2/8/2K3p1/2P1R1P1/8/8/2r5 w - -,c5d5
r2q1rk1/1pp1npb1/4b1pp/1P1Pp2n/8/2NPPNP1/1B3PBP/1R1Q1RK1 b - -,e7d5
8/1Q6/1p3r2/P3p1k1/1P5p/4K3/8/8 b - -,b6a5
r2q1rk1/p2nppbp/1p4pn/2pp1b2/3P1P2/2PBPN2/PP1NQ1PP/R1B2RK1 w - -,a2a4
r3kbnr/1ppq2pp/p1p2p2/4p2b/4P3/3PBN1P/PPPN1PP1/R2Q1RK1 b kq -,e8c8
8/pp1r2k1/1b4pp/5p2/8/5P2/PPB1KP1P/3R4 b - -,d7d1
4r1k1/5pbp/1q2p1p1/p2p4/Pr1P4/Q4NP1/1P1R1PP1/3R2K1 b - -,e8b8
r1b2rk1/q4pp1/p2pp1np/5P2/Np1RP3/1B2Q3/PPP3PP/4R1K1 b - -,e6f5
r1bq1rk1/p3pp2/1pn3pp/2p1P2n/4N2B/2bB1N2/P1P2PPP/1R1Q1RK1 b - -,c3e5
r3r1k1/3nqppb/2pb1n1p/p3p3/P3P3/3N2P1/NP2QPBP/R1BR2K1 w - -,c1d2
5k2/2r2pp1/5n1p/p1ppN3/P7/1P2P3/5PPP/2R2K2 w - -,f1e2
8/p4p1p/r4P2/2P3p1/6k1/6P1/8/B1R3K1 b - -,a6c6
3q1r2/5rkp/2p3p1/1PR1Pb2/3P4/P3Q1P1/6BP/2R3K1 b - -,c6b5
7k/5pp1/P3p2p/2B5/1P1P3P/6P1/4nPQK/3q4 w - -,a6a7
3r2k1/5p2/3r2p1/Q2P4/8/2N3P1/6K1/8 w - -,c3e4
1r1q2k1/3b1p1p/p4np1/2pP4/P1pb2P1/2N4P/1P1Q1NK1/4RR2 w - -,f2e4
r5k1/pb2q2p/1pp1p1p1/4P1b1/2PPprB1/P1Q4P/1P3PP1/3R1RK1 w - -,g2g3
6k1/5p2/5qpQ/7p/5B2/3N1P1P/P5PK/2q1r3 w - -,d3c1
Qn1b4/2q2pkp/2p1pnp1/2Pp4/3P1P2/3BP3/N2B1P1P/6K1 b - -,f6d7
r7/7p/4k1p1/p4p2/8/3pP1P1/5P1P/R3K3 b - -,e6d5
8/3k1p2/4bP2/Q2p2P1/4q3/8/3B4/3K4 b - -,e4b1
rq2r1k1/1b1n1pp1/p1pb1n1p/1p6/3pP3/P1NBBN1P/1P2QPP1/2RR2K1 w - -,f3d4
8/p2r2pp/1p3p2/5k2/P4P2/2PrRK2/1P2RP1P/8 b - a3,a7a5
8/1q6/2R5/6k1/6p1/4R3/5PK1/8 w - -,e3c3
rn1q1r1k/p3p1bp/bp3pp1/3p4/1nNP3P/1B2PNB1/PP2QPP1/R3K2R b KQ h3,d8c8
5bk1/5ppp/1r6/2p5/p1PB4/1N6/PK4bP/2R5 w - c6,d4e5
8/8/1p1r4/1Pp3pp/4R3/3P1Pk1/4K3/5N2 b - -,g3h3
r5qk/1p1bn1bp/2p2r2/1P1p3Q/3N1P2/3BP3/1B4RP/2R4K b - -,d7e8
6k1/pb2bp2/4p3/1p2P1p1/2p1P3/4KPB1/PP4P1/3B4 w - -,e3d4
r2q1rk1/1b2b1pp/p2ppp2/2n3Pn/1p2PP2/3P1N1P/PP2QNBK/R1B2R2 w - -,g5g6
1kr2r2/1p1b4/p1n1p2q/4P2p/4BP2/P1B3P1/1P2QR1K/6R1 w - -,e2e3
1r1qr1k1/2p2p2/1pnp2p1/2nN3p/1pP1P2P/P5PB/2Q2P2/3RR1K1 w - -,a3b4
3k3r/p2p1ppp/2n5/8/3q4/1P3P2/1PQ3PP/R1B2K2 w - -,c1g5
3b2k1/1nB4p/6pP/3Pp1p1/P3P3/5P2/4K3/2R5 b - -,d8e7
r1bqk2r/1pp2ppp/p2b1n2/2p1p3/4P3/1P3N2/PBPP1PPP/RN2QRK1 b kq -,d8e7
5R2/5Rp1/1k3rp1/p2p4/P1rP4/5P2/6PP/6K1 b - -,f6f7
8/r7/8/1p1k2pp/2b2P2/2R1K1P1/1R6/8 b - -,a7e7
8/1b2b3/p1k1p1p1/Pp1n1r2/2p1N2p/1P3PB1/5PKP/2RR4 w - -,b3c4
8/6k1/8/r5KR/4B1P1/8/8/8 w - -,e4f5
1kb5/3r1p1p/p4p2/1p3P1N/3b4/8/PPB3PP/1K1R4 w - -,c2b3
r4rk1/1q3ppp/4p3/np1nN3/3P4/2P5/3BQPPP/R4RK1 b - -,a5b3
