5n2/4k3/2p5/pp2PK1N/7P/1P6/P7/8 w - b6,h5f4
r2r2k1/1p3p1p/5p2/nBRp4/P7/8/2b1NKP1/1R6 b - -,c2b1
r5k1/p1qnrpp1/2p1pn1p/7P/1pPP4/3Q1N2/PP1B1PP1/1KR1R3 w - -,d2b4
2r3k1/5ppp/p3p3/1pPp4/1P4QP/PR6/5qPK/8 w - -,b3f3
3r2k1/5p1p/p2r1bp1/3b4/1p6/1P3NP1/P1R2PBP/4R1K1 w - -,h2h4
5rk1/pbp1rpp1/1pnq3p/3p4/1P1P1N2/P1Q1P3/5PPP/1BR2RK1 b - -,c6b8
3r1k2/p3bppp/2n2n2/1Bp2N2/1p2PB2/1P3P2/2P3PP/2K4R b - -,c6d4
8/8/8/4Rp2/4b3/2K5/k7/8 w - -,e5b5
rn2k2r/ppq1bpp1/4pnp1/3p4/3P4/1QN1PPP1/PP5P/R1B1KB1R w KQkq -,e3e4
4r1k1/1qr2pp1/p3pn1p/1p2Q3/3R4/P1N3P1/1PPR1P1P/6K1 b - -,e8c8
6B1/ppp5/2kn2b1/7p/3B3P/5K2/PP3P2/8 b - -,d6f7
8/p1b1r3/6pk/2R2p2/5P2/1B2PK2/P4P2/8 b - -,c7d6
8/6k1/4Q2p/6p1/p2p1r2/3P4/4K2P/8 b - -,f4h4
3rr1k1/pp2qpp1/2p1b1p1/2N5/3nR3/2QB3P/PP3PP1/1R4K1 b - -,e7f6
bq1r1r1k/p2n2b1/1p4pp/2pNp3/2P1PnP1/5P2/PPBNQ2B/R4R1K w - -,e2e3
7n/8/p1p1k3/P1Bp2P1/3P2K1/8/8/8 w - -,c5b6:c5a3
1R6/2pr1k2/p3r2p/4nNp1/2b5/P3R2P/5BP1/6K1 w - -,f5h6
r7/pp3k2/4p3/3n2p1/1P1P1p2/P4P2/3B1PK1/2R5 w - -,g2f1
r1r5/1p3p1k/5qp1/p2pPn1p/2P5/1P6/P2Q1RPP/3R1B1K b - -,f6e5
r4rk1/1pqbbppp/p1n1pn2/2Pp4/1P1P4/P1NB1N2/5PPP/R1BQR1K1 b - -,f8e8
r1b2rk1/6b1/2np3p/P1q1pp2/2P1n2N/R4QPB/3B1P1P/3NK2R w K -,f3d3
5r2/1p4pk/1p3np1/2b3P1/7P/4B3/BP3K2/3R2R1 b - -,f6d5
2r2rk1/pp1nppbp/2bp2p1/q7/2PNP3/1PNQB3/P4PPP/2R2RK1 b - -,a5h5
8/r1p1k3/2R2p2/6pp/3N4/4KPP1/7P/8 w - -,e3e4
2k1r3/1pp5/p7/P1B4n/1PB2pbP/8/1KPR4/8 w - -,d2d5
2bb3k/r5r1/1q1p1p1p/p1pPp1p1/1nP1P1P1/RP1BN1NP/3Q1PK1/R7 b - -,g7h7
6k1/1r3p2/R6P/5PPK/8/8/8/8 b - -,b7b5
