8/5k2/1N1p4/p1p5/P1P2PK1/1n6/8/8 w - -,b6c8
N4r2/ppN1k1p1/2n1p2p/4q3/1b6/3Q2P1/PP3PKP/2R2R2 w - -,d3e3
rnb1k2r/p2pbpp1/1q5p/1ppP4/P3P3/5N2/1PQ2PPP/RN2KB1R b KQkq a3,b5a4
2rr2k1/Bp2ppbp/2bp1np1/6q1/4P3/1BNQ3P/PPP2PP1/3RR1K1 b - -,f6h5
r1b3r1/ppp1kp1p/3Npn2/4n3/4pN2/2B5/PPP2PPP/2KR1B1R b - -,c7d6
rn4k1/p2q1ppp/1p1b4/1R1p4/3P2b1/2PB1N1P/P4PP1/2BQ2K1 b - -,g4h5
1Rb3k1/p1r2p1p/4n1p1/R7/8/P5P1/4PP1P/6K1 w - -,f2f3
4R3/8/5p1k/5P2/1r4PK/8/8/8 b - -,h6g7
3q2k1/5pp1/p3pb1p/8/Pp2B3/4PP2/1PQ3PP/6K1 b - -,a6a5
rn2k2r/pp3p2/2p1pp2/5b1p/1bPP1N2/1B6/PP3PPP/R1B1R1K1 w kq -,e1e2
4r1k1/1Rbb1p2/2p2n1q/p2p2p1/P2P3P/3QPP2/5BBP/2R3K1 b - -,c7d6
8/4p2p/r2p1k1P/2p2bp1/2P5/1r4P1/4qPBR/2Q1R1K1 b - -,e2b2
r4r1k/pb3p1p/1p2p2q/2pn2p1/3P3b/5N1R/PPPBBP1P/2K2QR1 b - -,d5f4
2r1r1k1/3q1pb1/2N3pp/p1nP4/PpB1bP2/5N2/1P1Q2PP/3R1RK1 b - -,c5a4
r7/1p3q1k/7p/p2P1r2/2P4B/1PQ2pP1/P4P1K/4RR2 w - -,e1e7
r2qr1k1/ppp2p1p/2n3pP/3n4/3P1Pb1/5N2/PP1BBPP1/R2Q1K1R w - -,a1c1
3rr3/1p4bk/2pp1p1p/p2Pn1p1/1q2P3/1PN1R1PP/P1PQ1RBK/8 b - -,c6c5
r2r2k1/pb4pp/p2b4/5p2/3Pp3/P1N1P3/1P1B1PPP/2R2RK1 b - -,g7g5
r1br2k1/ppqp1ppp/2n2R2/4p3/4P3/PNB5/1PP1QPPP/2K2B1R b - -,g7f6
rnbq1rk1/ppp3bp/3p1np1/3PppB1/2P5/2N3PP/PP2PPB1/R2QK1NR b KQ -,h7h6
2q1r1k1/pp3r1p/1b1R1Pp1/4P3/2p2B2/6Q1/P1P3P1/3R3K b - -,b6c7
1k1r4/pp1bqpp1/2p1p3/2P5/1Q1PN3/3B4/PP3P1b/1K1R4 b - -,d7c8
1k1r1b1r/pb1p1ppq/1pn1p3/4P1P1/Q2P1P1p/2N2B1P/PP2N1K1/R4R2 w - -,f3e4
5rk1/3b2n1/p2qpr1p/1p1pR1p1/3P4/2N3PB/PP2RP1P/4Q1K1 w - -,a2a3
2r1rbk1/1p3p2/p3N1pp/3pP3/5Q2/7P/Pq3PP1/1B1R1RK1 b - -,e8e6
rnb2rk1/ppq2ppp/8/8/2BPQ3/P1P5/6PP/R1B1K1NR b KQ -,c7c4
r1n2rk1/p4ppp/R3pb2/RP1q4/1NpP4/4B1P1/1PQ1PP1P/6K1 b - -,d5b7
r7/1b4p1/1k1p1p1p/1Pp4P/2PpP1P1/3B1P2/4K3/R7 w - -,a1a8
rnb2rk1/2q1n1pp/p1p1pp2/8/2PP4/B2N2P1/2Q1PPBP/R4RK1 w - -,f1c1
r1b1r1k1/ppp1qp1p/3pnnp1/3Np3/2PPP3/2P2PP1/P2QBR1P/R1B3K1 b - -,e7d8
8/8/3Q4/7p/8/5k2/5q2/3K4 w - -,d6f6
8/Pb6/8/5k2/7K/1p5P/8/2B5 b - -,b7f3
r1b1k2r/p2n1pp1/1ppB4/2n1p2p/2P1P3/1P6/P2NBPPP/R4RK1 w kq -,f2f4
2r2rk1/2R1ppbp/3p1np1/Pp1P4/1P4b1/4P1PP/1B1QpPB1/6K1 w - -,c7c8
r3k2r/1pq1b2p/p1p2pb1/P3n1p1/3QN3/4N1P1/1P2PPBP/R4RK1 b kq -,e8g8
4r1k1/ppp1qppp/2n5/5b2/1b4n1/2N2N2/PB1PB1PP/R3QK1R b - -,b4c5
1r2qk2/1b2nNp1/pp2Pn2/3p1N2/P7/Q7/5PPP/1BR3K1 w - -,f5d6
r1b2rk1/1q2npp1/1p2pn1p/p1bp4/2P1P3/P1NB1NB1/1PQ2PPP/1K1R3R w - d6,e4e5
8/3k4/p6R/1p4p1/4B2P/Pn1PK3/1r4n1/4R3 w - -,e4g2
r1bqk2r/pp1nbppp/2p2n2/4p1B1/2B1P3/2N2N2/PPP1QPPP/R3K2R b KQkq -,b7b5:d8c7
8/6r1/5n2/1pk1p2p/p4p1R/PBP2P2/1P3P2/2B2K2 b - -,a4b3
rnbq1rk1/p4ppp/1p1bp3/3p4/1PPp4/P3P1B1/3N1PPP/1R1QKB1R w K -,e3d4
7r/4kp1p/3Nb2b/4p3/3n4/2pB4/P4PPP/3RK2R w - -,d6e4
r2q1rk1/pp2bppp/2n1p3/3pP3/3N2B1/2P5/PP3PPP/R2QR1K1 b - -,e7c5
5rk1/pp3ppp/1nr5/4P3/3RN3/1P6/P5PP/3R3K b - -,c6e6
2rr2k1/pp3ppp/4p3/q7/b1RPP3/PR3N2/Q4PPP/5BK1 b - -,a4b3
4qnk1/p4pp1/7p/Qr2PP2/2p5/1P3NP1/P4K1P/3R4 w - -,a5a4
r3k2r/pp3ppp/2n5/3p4/3P4/B1R2P2/PP4P1/4R1K1 b kq -,e8d7
4rrk1/1bq3pp/p3pn2/1p6/2pbP3/P1N4P/1PBBQPP1/R3R1K1 w - -,e1f1
3r4/pp5k/2p1b1pp/4p1q1/P3P3/1PN4P/2P1QPP1/3R2K1 w - -,d1d8
8/6p1/1pk1p2p/1pp4n/4PP1P/PP1NKP2/2P5/8 w - -,d3e5:d3b2
r2qkbnr/pp1npppp/2p3b1/8/3P4/6N1/PPP1NPPP/R1BQKB1R w KQkq -,e2f4
3r2k1/1pp5/7p/5rp1/R6P/3P2R1/6P1/6K1 w - -,h4g5
8/5pk1/8/4P2p/5nr1/5K2/8/R7 b - -,f4e6
8/6kp/1p1q2p1/p1p2p1P/2Pnp3/PP2Q3/5PP1/5BK1 b - -,d6e5
r7/1r1pkp1p/4pp2/1Bn5/1R6/4P1P1/1P3P1P/1K1R4 b - -,a8b8
5rk1/1Q3bp1/p4n1p/P3q3/4p3/r5PP/4NPB1/1R2R1K1 b - -,a3a5
rnbqk1nr/pp4pp/2pbp3/3p1p2/2P5/5NP1/PP1PPPBP/RNBQ1RK1 w kq f6,b2b3
1qr1r3/p5nk/bp4pp/nN2Bp2/P1P5/3Q2PP/3NBP2/2RR2K1 b - -,b8e5
5k2/5p2/4P1p1/p1np3p/P4p2/1P6/2B3PP/7K b - -,c5e6
4k3/5p2/4p2p/3p2p1/1R1P4/4K1P1/2r2PP1/8 b - -,c2c1
r4r1k/pb1q2bp/1ppP2pN/5p2/3n4/5QP1/P4PBP/1RBR2K1 w - -,f3d3
3r1k2/RR2npp1/5b1p/1P2P3/P7/6P1/5PKP/8 b - -,f6g5
r4rk1/p2n1ppp/1p1qp3/2p5/2PP4/P3Qb2/1P2BPPP/3R1RK1 w - -,e2f3
