8/P7/1K6/4pk2/5n2/8/1P1R4/r7 b - -,e5e4
1r2k1r1/4p2p/pq1p1n2/1p3P2/8/4Q3/PPP4P/1K1R1B1R w - -,e3e6
r1b2rk1/pp2qppp/1bn2n2/3p4/1P6/P3PN2/1B1NBPPP/R2Q1RK1 b - -,c8g4
3r4/2R1n3/p2pk3/P3n3/3B2p1/6P1/1P2R3/3K4 w - -,d4e5
1rr3k1/1p1bp1b1/p2q2pp/2nP1p2/PQ1N4/2N1P3/1P2BPPP/1R3RK1 b - -,g8h7
r2qkb1r/5ppp/p1bppn2/1p4B1/4PP2/2NB4/PPPQ2PP/2KR3R b kq -,b5b4
r2q2k1/1p4pp/p2pp3/2p1n2b/P3Pr2/1PP1RN2/5PBN/2R1Q1K1 b - -,e5f3
1rbq1rk1/pp3ppp/2nbp3/8/3P1B2/5NP1/P3PPBP/R2Q1RK1 w - -,f3e5
1r4k1/3r1p2/p3pQp1/2B1PN2/7p/1Pq3nP/P5RK/4R3 b - -,e6f5
2b2rk1/1p3pp1/1n3q1p/N2n4/8/PQ1B4/5PP1/3RR1K1 w - -,a5c4
3k2N1/1p2R3/p4N2/2p2p2/2n5/2K5/PP6/2r5 w - -,c3b3
1r2k1r1/p1pq2b1/Q2p2Np/3Npb1n/2Pn1p2/3P2P1/PP3PB1/R1B2RK1 w - -,a6a7
r2r2k1/1pp3pp/p1p1b3/q7/4Pp2/P1N2P2/1PP2QPP/1R1R2K1 b - -,a5e5
r1bq1rk1/pp1n1pp1/2pbpn1p/3p2B1/3P4/2PBPN2/PPQN1PPP/R3K2R w KQ -,g5h4
4k3/qp2n3/p1prp3/3nR2p/P2P1prP/1P3Q2/3R1PPB/1B4K1 b - -,g4h4
r1bq1rk1/pp2bp2/7p/n1P1p3/1Q1pN1p1/P2P2P1/2N1PPBP/RR4K1 b - -,c8e6
rnbq1rk1/ppp3b1/3p1npp/3Ppp2/2P5/2N3PP/PP1BPPB1/R2QK1NR b KQ -,b7b6
r2r2k1/1b2bppp/p3pn2/1pp5/5q2/1PNB2R1/PBPPQPPP/3R2K1 b - -,a8c8
q6r/p2k1p2/Qp1B4/3pPp2/5P1p/1Pr4P/P5PK/6R1 w - -,d6b4
r7/1p3p1k/1P4pp/3pP3/8/7P/1R4P1/r3BK2 w - -,b2b5
3r2k1/pp5p/3bR1p1/3P4/3p1pP1/3P3B/PP5P/6K1 w - -,g4g5
r5k1/1p3p1p/2n3p1/1R6/4R3/1B3P2/P1Nr1b1P/5K2 b - -,c6a5
8/8/8/R6p/3k1pr1/4pKN1/1PP4P/8 w - -,g3e2
5k2/1b1r1pb1/1p5p/4pN2/8/1B1nPN1P/P4PP1/3R2K1 b - -,b7f3
r4rk1/pp1nn1p1/2p1pp1p/1PPp1b2/3P4/2N1PN2/1P3PPP/R3KB1R w KQ -,f1e2
4k3/4rpp1/1pR4p/pP2p3/P1P2P2/5KP1/7P/8 w - -,f4e5
rn1q1rk1/1pp1bpp1/p3bn1p/3p4/3P1B2/2NBPN2/PP3PPP/R2Q1RK1 b - -,b8d7
