8/5R1p/5Rpk/2b5/8/1P1n2PP/3r1PK1/8 b - -,d2b2
6k1/5pp1/7p/1pn1p3/1p2P2P/2P3P1/3N1P2/6K1 w - -,c3b4
2k4r/p1pp1p1p/b1p5/r5P1/2P2nP1/1P3N2/1K1R1P2/5B1R w - -,d2d1
8/8/8/1pk5/pNn5/P7/1P2B3/1K6 b - -,c4d6
2r3rk/3bp1bq/1p3p2/p1p5/8/P1NP2QP/1P3PB1/2R3RK w - -,c1e1
2rrbk2/1pq2pp1/p3pn1p/4N3/8/1BP1Q3/PP3PPP/3RR1K1 b - -,c7e7
r5k1/3npp1p/3p2p1/2q5/1pQ1P3/1B3P2/P5PP/2R3K1 w - -,g1f1
r4rk1/pp2ppbp/1np1bnp1/8/1P1P1BP1/2N1PN1P/1P3P2/R3KB1R w KQ -,b4b5
4r1k1/p2R1p1p/1p3Bp1/4b3/4q3/1Q4P1/5PKP/8 w - -,g2g1
8/8/5R2/3r3k/6pp/8/6P1/6K1 b - -,h5g5
rn1q1rk1/1p2bppp/p2pbn2/4p3/4P3/1NN1BP2/PPPQ2PP/2KR1B1R b - -,b8d7:a6a5:d8c7
6k1/pb1nrp2/1pq2b1p/2p3p1/8/2PQ1NBP/P1B2PP1/4R1K1 w - -,e1e7
1nbq1rk1/2p3np/3p1b1B/1B1Pp3/N3Ppp1/8/P2N1PPP/1QR3K1 w - -,f2f3
7r/2p3pp/4kb2/8/4B3/Bb1P2P1/3P3P/5RK1 w - -,f1c1
1rb1rk2/2q1b1p1/pppp3p/4p1pn/P1BPP3/2N4P/1PP1QPPB/3RR1K1 b - -,b6b5
r1bq1rk1/p5bp/1pn1pPp1/3p4/3P2P1/4PN2/PP4BP/RN1Q1RK1 b - -,g7f6
r3k2r/ppqb1ppp/2nb1n2/3p4/3N4/1NPB1P2/PPQ3PP/R1B2RK1 b kq -,d6h2
r6r/1pk1q1pp/p1bNpp2/3pP3/2PQ1P2/8/PP4PP/2R2RK1 b - -,c7b8
3Q4/pr4bk/6pp/1P3p2/8/5RP1/4qB1P/6K1 w - -,f3e3
4r3/2q2pkp/4pPpn/3pn1N1/2r3PN/P6P/P1p5/4RRQK b - -,g7h8
