8/8/8/2k4p/6bP/4R1P1/rrB2R2/2K5 b - -,b2b4
r5k1/3p1rpp/2p1p3/2BnPpq1/1PQ5/6P1/4PPKP/2RR4 w - -,f2f4
1r3rk1/pppb2p1/3p1n2/4p3/2P1P1P1/2PPKBB1/P7/1RR5 w - -,g4g5
r1q1r1k1/1p3ppp/p2p1b2/N2P4/P1p2PP1/3b1B2/1PnB1R1P/R2Q2K1 w - -,a1c1
r4rk1/6b1/2p1q1pp/1p1p4/pP1Pp3/2P3Q1/P1N3PP/4RRK1 b - -,h6h5
8/1r4kp/1pbR4/p3p1p1/P5P1/2P5/1P3P2/6K1 w - -,d6c6
r3k3/pp3p1p/2p1pp1b/3n4/3P2rN/1PP3B1/P4PPP/R4RK1 w q -,c3c4
1b2r2k/pp4p1/2q3rp/5p2/3B4/3Q1P2/P1P3PP/3R3K b - -,c6e6
2r2rk1/1p2ppb1/p4npp/n7/P4B2/4PN1P/NP1R1PP1/1R4K1 b - -,a5b3
r3k2r/ppp2ppp/8/3n1p2/3P4/2N1P3/PP3PPP/R3K2R b KQkq -,e8c8
r3k2r/ppqn4/2p1ppb1/2Pn3p/4N2P/1B2BQ2/PP3PP1/R4RK1 b kq -,g6e4
r2qrbk1/1b1n1pp1/ppp2n1p/3p4/3P4/1PN1PNPB/PBQ2P1P/2RR2K1 w - -,c3a4
r4rk1/qb2bppp/n2pp3/NBpn4/8/1QN1P3/PP1B1PPP/R4RK1 b - -,d5c3
1R6/8/8/8/1P1kp3/8/r3KP2/8 w - -,e2f1
2r1r1k1/pp1q1p2/4bn1p/4R1p1/2pP4/2P2P2/P2NQ1PB/4R1K1 b - -,f6d5
6k1/1p3pp1/3N3p/r2pn3/p7/2P2PP1/PP3P2/3R2K1 b - -,e5f3
2kr4/p1p5/1p3p2/3Pn1pp/4r3/P3B1P1/2P2P1P/R2R1K2 w - -,h2h3
3rr1k1/pb2bppp/1pnqp3/3n4/3P4/P1NBBN1P/1P2QPP1/3RR1K1 w - -,c3e4
r3k2r/1ppqnppp/4p3/p1b5/P1N1P1n1/2P2N2/1P3PPP/R1BQ1RK1 w kq -,d1e2
r1bq1rk1/3nbppp/p1pp1n2/1p2p1B1/3PP3/3B1N2/PPP1NPPP/R2QR1K1 b - -,f8e8
r2r2k1/1pb2p1p/p1n1bqp1/8/Q7/2P2N2/PP1N1PPP/3BRRK1 w - -,d2e4
rn1qkb1r/pp2pppp/2p2n2/3p4/2P5/1P2Pb2/P2PBPPP/RNBQK2R w KQkq -,e2f3
n1r3k1/1p2ppbp/r2p2p1/p1nP4/2P2P2/1PN3PP/P5BK/2RR2B1 w - -,g1c5
r1bq1rk1/1p2b1pp/2n1np2/pP6/8/P2p1NP1/1B3PBP/R1NQ1RK1 b - -,d8b6
r1b2r1k/p1p1q3/1p5b/2pPpnN1/2P1Np2/2QB1P2/PP5P/2KR2R1 w - -,g5e6
3q2k1/5pp1/3p3p/3P4/1P2Rp2/5P1P/2Q3P1/r5K1 w - -,g1h2
6k1/pp3N2/5Pp1/4n2p/7P/3Q2K1/P5P1/8 b - -,e5d3
5r1k/pbpqb2p/1p3r2/3p2p1/3P1p2/2N1PBP1/PPR1QP1P/3R3K w - -,e3f4
R3Q3/5rb1/4pqpk/3p3p/3p3P/3P1BP1/4PPK1/8 w - -,a8a6
rnbr2k1/1p2qpbp/p2p1np1/2pP4/P1N2B2/2N4P/1P2PPP1/R2QKB1R w KQ -,e2e3
2kr3r/pp3qpp/2p1p3/2P3P1/2NP1P1b/7b/PP1B3P/2RQ1RK1 w - -,f1f3
3r2k1/1p3pp1/1np1pn1p/2R1N3/rP1P4/p2RN1P1/P3PPKP/8 w - -,e3c2
4r2k/6pp/1Qpqrn2/R4p2/2P1p2P/3P2P1/2P2PB1/R5K1 w - -,b6c5
r1b1k2r/1pqn1ppp/p3pn2/2bp2B1/3NP3/2PB4/PP1NQPPP/R4RK1 b kq -,d5e4
3q1b1k/4n1r1/3p4/1NpPp3/Q1P1PpB1/2B5/6P1/5RK1 b - -,g7g4
8/p3np1k/4r3/PP3q2/3Q1Bp1/3P2Pp/1R2PP1K/8 w - -,d4a7
4n3/pp2P1p1/5k1p/5N2/6P1/8/PP1K3P/8 b - g3,h6h5
rnbqk2r/2pp1ppp/1p2pn2/p7/1bPP4/1QN2NP1/PP2PP1P/R1B1KB1R b KQkq -,c8b7
r1bq1rk1/1pp2pb1/3p3p/p1nPp1pn/2P1P3/2N1B2P/PPBQNPP1/R3K2R w KQ -,g2g3
r2r1bk1/1bq2p1p/pp1pp1p1/4n1Pn/2P1N1Q1/1P3N1P/PB2PPB1/2RR2K1 w - -,f3e5
3r4/1p3pbk/6pp/1ppq4/3P4/P1Q1B1P1/1P1R1P1P/6K1 w - -,c3c5
6k1/8/5Rp1/4p2p/4P3/5B1P/5BPK/2q5 b - -,c1g5
3r4/1R4b1/3PBkpp/p4p2/P4P2/4P3/6PP/6K1 b - -,f6e6
rnb1kb1r/pp3ppp/3qpn2/8/3P4/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1d3
5r2/p5k1/2pp1rpp/2p1p3/2PnP2P/2NP1PK1/PP3R2/5R2 b - -,d4e6
6k1/p5p1/1p6/3qrPP1/3N4/1KP5/1P5Q/8 w - -,b3c2
4rr2/2p3pk/p1n1qn1p/1p3P2/4p2N/1PP1Q2P/1P1N2P1/4RRK1 b - -,e6d5
rnbqk2r/pppn1ppp/4p3/3pP3/1b1P4/2N5/PPP1NPPP/R1BQKB1R w KQkq -,a2a3:f2f4
rnbqr1k1/pp3pbp/2pp2p1/7n/2PNP1P1/2N2P2/PP2B2P/R1BQ1R1K b - g3,h5f6
2r2rk1/1pqbppbp/p2p1np1/4n3/2PNP3/1PN1BP2/P2QB1PP/2R2RK1 w - -,f1e1
8/4pk2/1r6/2pP2Pp/p1P2KbP/1P6/P7/1R6 b - -,f7e8
2r4k/bR3p2/P3bNpp/4pn2/3p4/3P2P1/2P1NPBP/6K1 b - -,c8c2
r2q1rk1/pp1b2pp/2n1p3/3pPp2/1P3P2/P1PBb3/2N3PP/R2Q1RK1 w - -,c2e3
8/7p/4nkp1/1Nb2p2/1p6/3KN3/P4PPP/8 b - -,f6e5
3r2k1/1p4pB/1N1p3p/1P1P2q1/3B2Rn/6pP/5r2/2RQ2K1 b - -,g8h7
r4rk1/1bq2pbp/pp2p3/n2pPp2/3Q1P2/1P2B1P1/P1P1NKBP/R6R b - -,b6b5
r2q1rk1/1p2npp1/p1nb3p/3p1b2/NP1P4/P2B1N1P/5PP1/R1BQ1RK1 w - -,c1b2
r4rk1/p2qnpb1/2b1p1pp/1Npp4/P1P5/3P1PP1/3B1PBP/1R1QR1K1 w - -,d1c1
6r1/p4r1k/1p1R4/3p1p1p/3Pp2P/8/PP2R3/6K1 w - -,e2g2
6k1/5ppp/2p1bn2/2P5/8/q2PP2P/Nr1K1PP1/Q2R3R w - -,d2e1
r3rbk1/1bqn1pp1/p4n1p/1p2p3/P1p1P2B/2P1QNNP/1PB2PP1/R2R2K1 b - -,c7c6
r1r3k1/3b1ppp/3Np3/p2n4/1b6/6B1/PP2BPPP/2RR2K1 b - -,c8c1
r2q1rk1/1p2ppbp/1Np3p1/p2b4/P2P4/1P2P1P1/1B3PBP/2RQ1RK1 b - -,d8b6
r4bk1/1p3qr1/p3p2Q/3pPp2/3N1P1p/4P2P/5P1K/R5R1 b - -,a8e8
6k1/1p2bppp/8/2P1P3/1p2R1b1/4PNP1/2r3BP/5K2 b - -,g4f5
r7/r1q2k2/3p4/nPpPp1Qp/4R1p1/1P1P4/2B2PP1/R5K1 b - -,a8h8
3r4/5pk1/5p1p/2bp1P2/1p5R/1B2P1P1/P1K2P2/8 b - -,d5d4
2r1r1k1/p5bp/6p1/2p2pPP/1pPnqP2/1P2N3/P6K/1RBQ1R2 w - -,c1d2
r2r4/p4kp1/2p1p2p/bp1nB3/2pRB3/P5P1/1P2PP1P/3R2K1 w - b6,e4c2
1r2kr2/1qQnb1p1/p2p4/3Rp1P1/1p2P3/4BP2/PPP5/1KN4R w - -,c7c4
2r2bk1/5q1p/3pRPp1/1ppn4/8/3N2P1/rP3Q1P/2B1R1K1 b - -,a2a1
