8/8/1p6/1P4p1/2Bb1k1p/7P/R5K1/4r3 w - -,c4e2
2n5/pp3kpn/3p3p/P2P4/2PB4/1P4P1/6BP/7K w - -,g2h3
2r1r1k1/1pq2ppp/p2pp1n1/8/2P1PbQ1/1PN4R/PB3PPP/5R1K w - -,g4h5
3r2k1/5q1p/1p1r1Pp1/p1n1p3/P3N2R/5Q2/1P3PPP/4R1K1 b - -,c5e4
8/4b3/1p1n1k2/2pPp3/2P1PpnP/2BB1N2/8/5K2 b - -,g4e3
8/5p2/4p1p1/R5k1/5r1p/4K2P/5PP1/8 b - -,f4f5
r2r2k1/2qnbpp1/pp1ppN1p/6B1/2PQ4/2N3P1/PP2PP1P/2RR2K1 b - -,d7f6
2rq1rk1/1b1nbppp/p1p1pn2/1p6/P3P3/2NP1NP1/1PQ2PBP/R1BR2K1 b - e3,d8b6
rn1qkbnr/pp3ppp/4p3/2PpPb2/8/1N6/PPP2PPP/R1BQKBNR b KQkq -,f8c5
1r6/2rn1k1p/Rp1pp1p1/1Pp5/4PP2/R5P1/P5BP/6K1 w - -,a3d3
r1bqk2r/p2nb1pp/4p3/3pPpBP/1ppP4/2P2N2/PPBQ1PP1/R3K2R b KQkq -,b4c3
r2Q2k1/1p3pp1/p1b3p1/8/2N2n2/1P5P/P4PP1/2R1N1K1 b - -,a8d8
6q1/5pk1/p1R2r1r/4Q1p1/P3p3/4PbP1/3R1PB1/6K1 w - -,c6f6
R1kb2R1/8/p3p3/5p2/2pP1p2/2P2r2/PP5K/8 b - -,c8b7
8/k5p1/P2K1b1p/1B2p2P/P5P1/5P2/8/8 w - -,a4a5
1rr3k1/1b2bppp/p2p2q1/4p3/1nP1P3/4BB2/1P3PPP/RQ2NRK1 w - -,b2b3
r2qk2r/pp2npbp/2n1b1p1/2pPp3/8/2NP2P1/PPN1PPBP/R1BQ1RK1 b kq -,e7d5
3r1q1k/1Q4p1/3p1p2/b2PpB1p/4P2P/1R4P1/1P3P2/6K1 w - -,f5g6
r1b2rk1/pp2ppbp/2n3p1/8/2BPP3/4B3/P2KNPPP/1R5R b - -,f8d8
2rr2k1/2q2pp1/p2bpn1p/8/Pp1N1P2/4BQ2/1PP3PP/3R1R1K w - -,e3g1
r4rk1/1q2bpp1/3p1n1p/p2P4/1pBB1Pb1/8/PPPQ2P1/1KN1R2R b - -,f8c8
r4rk1/1pnqbpp1/1B5p/p2p4/4PP2/P2P3P/1P2Q1B1/2R2RK1 b - -,a8c8
4n3/2n2k2/1R1p3r/p1p5/P3Pp2/1PB2P2/2KR4/8 w - -,e4e5
