8/K3k3/P7/8/8/3R4/8/1r6 w - -,d3h3:a7a8
6k1/pb1r2p1/1pp1q1p1/2P2p2/PP3R1P/2Q1P3/1B4P1/6K1 b - -,g8h7
4r2r/1pq5/p3pkp1/4bp2/2Pp2P1/3P1R2/PP2Q1B1/4R1K1 b - -,e5f4
2r1k2r/3n1pp1/pqb1p2p/1pb5/5Bn1/2N1PNP1/PP1Q1PBP/3R1RK1 b k -,b6b7
r1r5/3knpp1/2n1p1b1/pBRpP2p/Pp1P4/1N5N/1P3PPP/2R3K1 b - -,f7f6
8/3k1p1R/4pB2/2npPn2/p7/8/4KP2/8 b - -,d7c6
8/p2R1p2/1b2pk2/5p1p/1r3P1P/5BPK/8/8 b - -,f6g6
4k3/RP4p1/4p3/4b3/1B6/K7/8/1r6 w - -,a7a8
r2q1rk1/1b2bpp1/p1n1pn1p/1p6/3P4/P1NBBN2/1P2QPPP/R2R2K1 b - -,d8c7
r4rk1/1p1nbppp/p1b1p3/q2pP3/P2Q1P2/2N1B3/1PP1B1PP/R4R1K w - -,d4d2
7R/1k1bnqr1/1p1p2pQ/p1pP1pP1/P1P1pP2/1PN1P2B/8/3K4 b - -,g7g8
r3r1k1/5p1p/1p4p1/3b2P1/p1nn4/3R1P2/PPPB3P/1KNB1R2 b - -,d4f3
6k1/3q1p1p/p2b4/1p4P1/2p2B1P/P1Pr4/1P2RQPK/8 b - -,d6f8
5rk1/Q3ppbp/1p4p1/n7/3P4/4PNB1/q4PPP/5RK1 b - -,a2e6
8/5pk1/4pp1p/7P/5PP1/r3PK2/8/3R4 b - -,a3a5
2k5/p1rrq3/R1p1npp1/1pP1p2p/1P2P3/1P2P3/4QNPP/R5K1 b - -,e7d8
r1bq1rk1/pp2bppp/2n1pn2/2p5/2BP4/2N1PN2/PP2QPPP/R1BR2K1 b - -,c5d4
1r4k1/p2qn1bp/2np2p1/2p1p3/1p2P1P1/2PP3P/PP2N1B1/R1B2QK1 w - -,f1d1
8/1p5p/p2r1kp1/5p2/2Pnp3/1P6/P4PPP/R3NK2 w - -,a1d1
4rb2/p6p/1p2B1pk/3p4/1n1P1Q2/8/PP2PPKP/8 b - -,g6g5
rnbqk2r/pp2ppbp/5np1/2pPP3/8/2N5/PPP3PP/R1BQKBNR b KQkq -,f6g4
5r1r/1qn1k1pP/p2ppbQ1/8/1P2P3/2NPB3/1P5P/2R2RK1 b - -,b7b4
r1b1k2r/pp3p2/4p3/2P1n2p/8/P1pB4/2P2PPP/R3K1NR w KQkq -,g1e2
3rr1k1/bp1q1ppp/8/3p4/P2Nn3/2PQ1NP1/1P3PP1/R4RK1 b - -,d7g4
r1b1k1nr/1p2qpp1/p1p5/4pP1p/4P3/2NB4/PPP3PP/R2QK2R w KQkq -,d1d2
8/8/6k1/8/4pPqp/4P3/5B2/5BK1 w - -,g1h2
r3k2r/pp1qb3/1np1ppb1/3n3p/3PN2P/1B2BQN1/PP3PP1/R4RK1 b kq -,d7c7
r2q1rk1/3nbppp/p1bpp3/6P1/N3P3/4BP2/1PPQ2BP/R4RK1 b - -,d8c7
8/5k2/5p2/p1n2P2/2r3P1/P3RK1P/2p5/2B5 b - -,a5a4
1rnqr1k1/3nppb1/ppbp2p1/7p/1PPNP3/P1N1BP2/3QB1PP/2RR2K1 b - -,c6b7
r2q1rk1/p4pp1/4bn1p/3p2B1/1b6/2NB1Q2/PP3PPP/R4RK1 w - -,g5h4
3r2k1/pqp2pbp/6p1/1pBrP1N1/3P2n1/1PQ3P1/P4P1P/R3R1K1 b - -,h7h6
r1br2k1/1pp1qp1p/pn2p1pQ/n2P4/4P3/2NB1P1N/PP4PP/1K1R3R b - -,e6e5
rr3nk1/4q2p/4p1p1/2p1N1P1/2pPQ3/7R/Pp3P2/1K5R b - -,a8a2
2k4r/ppqb1prP/2n1p3/4Pn2/3p1P2/P1pQ2P1/2P1N3/1RB1KB1R w K -,f1g2
8/p2r4/1pq5/3kpQ2/b1np3P/2B5/2P3P1/KR2R3 b - -,d4c3
2b2r2/3pk3/1pp1p2p/1p6/r7/P2B1PP1/1PP4P/2KR1R2 b - -,e6e5
3r3k/1b5p/8/5p2/1P2pP2/4N1P1/1P2B2P/7K w - -,h1g1
4r2k/2b3r1/p1p5/2Pp1p2/3P1P1p/PR2P3/7P/1R3NK1 w - -,g1f2
1r4k1/1bq2Np1/ppn1Pn1p/3p1N2/P7/8/1Q3PPP/1B1R2K1 w - -,f7h6
2q1r1k1/3n1p2/p5p1/Pp1N3p/3b4/1Q6/1P3PPP/3RB1K1 w - -,b3b4
rn1q1rk1/pp3ppb/2pbpn1p/7N/2BP1N1P/8/PPP2PP1/R1BQR1K1 b - -,f6h5
Qnbq1r1k/4bpp1/p1n1p3/1p2P3/3pB3/2N2N2/PP3PPP/R1B2RK1 b - -,d8b6
2r1r1k1/pb1q2pp/np2pp2/1P1p4/P2P1N2/6P1/3RPPBP/RQ4K1 b - -,a6c7
2q1r1k1/1p3pp1/p4b1p/4pb2/1PPN2P1/P6P/1B2QPB1/3R2K1 b - -,e5d4
8/4bk2/1p3pp1/1Pq1p2Q/8/5PP1/3NK2P/8 w - -,h5h7
r2q1rk1/3nppbp/bn1p2p1/1BpP4/4PN2/1PN1BP2/P2Q2PP/R3K2R w KQ -,b5a6
r2qr1k1/p1n2p1p/3pp1p1/2pP4/1pPbPP2/3B1NQP/PP4P1/1R2R2K b - -,d4g7
8/2Q5/p4pk1/3p1q2/1Pp5/P1P1BP2/5K2/3b4 w - -,c7g3:c7f4
r2q1rk1/1p1bbppp/p1pp1n2/3P4/2P1p3/1P2P1N1/PB1N1PPP/R2Q1RK1 w - -,d2e4
5rk1/4b2p/p1b3pP/1p1pB1q1/3P4/1BP3Q1/PP6/4R1K1 w - -,g3g5
8/5k2/1p2pp2/p5p1/1b1P3p/1r2PP2/2R1KBPP/8 w - -,e3e4
8/1p3p1k/pq1r4/2p1P1Q1/3n4/1b4P1/6BP/2B2R1K b - -,d6g6
1r2r1k1/2p4p/p2np1p1/1pNB4/5PP1/PP2R2P/2P5/3R2K1 b - -,e6d5
r5k1/2pq1rp1/b2p3p/1p2pN1n/4P3/2P1QPB1/P5PP/R2R2K1 b - -,d7c6
r4rk1/1pp1qpbp/p5p1/4P3/3pBP2/6PP/PP6/2RQR1K1 w - -,e4b7
rnbqk1nr/1pppppbp/p5p1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,b7b5:d7d6
r3r1k1/1bqn1pbp/pp1pp1p1/6P1/Pn2PP1Q/1NN4R/1PP3BP/R1B3K1 w - -,h4h7
r7/5p2/3N2kp/8/5K2/1R6/8/8 w - -,d6e4
8/1pp5/5p1p/P1Pk2p1/P5R1/3r2P1/6PP/6K1 b - -,d3b3
r4rk1/3qppbp/p1np1np1/1p1N4/2PNP3/1P2BP2/P5PP/R2Q1RK1 b - -,f6d5
r4rk1/1bq3b1/3pp1pp/2p2p2/1pP1PPP1/1P1PB3/4Q1BP/4RR1K w - -,e3c1
r5k1/1pp2pp1/3p2b1/p1PP2qp/Q4b2/2B4P/PP3PP1/4RNK1 b - -,d6c5
6k1/p5pp/2N1p1b1/4P3/3r4/1PQ1R1PP/P1Pr1P2/6K1 b - -,d4d7
r1qkr3/1ppbnp2/3p1Bp1/p4P2/5PP1/PP2R3/1Q2P1B1/3R2K1 w - -,f6e7
8/7p/6p1/5pk1/8/5K1P/2r5/5B2 b - -,c2c3
3q2k1/4b1r1/3p2n1/1NpPpQ2/2P1Pp2/2B4R/6P1/6K1 b - -,g6h4
8/1k3p2/8/6Rp/4K1Pr/4PP2/8/8 b - -,h5g4
1r1r2k1/5ppp/Qp2p3/p2qbn2/3P4/P1B4P/1P3PP1/2RR2K1 w - -,d4e5
8/5k2/2R5/4pN2/1r6/6P1/5bKP/8 b - -,b4b2
r1bq1rk1/ppp1n2p/3p1np1/2PPpp2/1PN1P3/2N2P2/P3B1PP/R1bQ1RK1 w - -,a1c1
1b6/8/8/2k5/1n6/1K6/8/8 w - -,b3c3
8/r7/P2q1pkp/2p2R1p/2BpPP2/1P3K2/2P5/R7 w - -,a1g1
rnb1k2r/ppq2ppp/2pbpn2/3p4/3P4/4PNB1/PPPN1PPP/R2QKB1R w KQkq -,f1d3
rn1qkb1r/pp3ppp/3ppn2/1B4B1/4P3/2N5/PPP2PPP/R2QK2R b KQkq -,b8c6
8/8/8/5K2/1p1k4/8/P7/8 b - -,d4c3
r1b1rnk1/2qn2bp/p2p1p2/1p1P1Pp1/2p1P3/2N3B1/PP1QN1PP/1B2RRK1 b - -,d7c5
r3r1k1/1b3p2/p2q3p/1pp5/7P/P1N1B2n/1PQ1BPP1/2R3K1 w - -,g1h1
1n2k2r/5pp1/pR5p/PbqBp3/4Q1PP/8/2P1KP2/8 w k -,c2c4
2r1kb1r/pp3ppp/q1b1p3/4Pn2/1PpPN3/P4N2/1B3PPP/2RQ1RK1 w k -,e4c5
2r5/5pk1/6p1/2P4p/2Q5/5N1P/1bR3P1/q6K w - -,h1h2
r2q1r1k/pb1nb1pp/1pn1B3/2pp4/3P4/5NP1/PP1N1P1P/R1BQR1K1 w - -,b2b3
8/1k6/1p6/2p5/2P1q3/KQ5P/8/8 w - -,a3b2:a3a4:b3c3:a3a2
1rr3k1/1b1qbppp/p2p4/N1nPp3/2Q1P3/2P1BN1P/5PP1/RR4K1 w - -,a5b7
br1r2k1/q4pp1/4p1n1/p6p/3PN2P/2N2PQ1/PP1R2PK/4R3 b - -,b8b4
3n4/8/1pB2pNp/1P2k3/3b2P1/5K1P/8/8 b - -,e5e6
8/3R1pk1/6p1/2p1p1bp/4Pn2/2PP1Q1P/1r1N1P1K/4rN2 w - -,d3d4
4r3/6pk/7p/p2qpr2/1p2R3/1P2Q2P/P3R1PK/8 b - -,d5d6
rnbqkb1r/pp2pp1p/2p3p1/8/P1pPn3/5NP1/1P2PPBP/RNBQ1RK1 b kq -,f8g7
8/p4r2/1pR5/3PP2k/5B2/6P1/PP4b1/4K3 w - -,c6h6
3r2k1/p2qbrpp/1p6/2p1Pp2/2Pp1P2/1P1PnQ2/PB1NR2P/6RK b - -,d7e6
r7/4Rpbk/4p1pp/p1p5/2P3PP/1P4B1/P6K/8 b - -,h7g8
r2qkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/1P1QPN2/P2N1PPP/R1B1K2R b KQkq -,f8e7
2q1k3/1p1bbprp/p2ppp2/4rP2/1PP1PRB1/1PN4Q/6PP/R6K b - -,c8d8
r2r4/2k4p/2pbbpp1/4p3/1P2P3/7P/3NBPP1/RR4K1 w - -,b4b5
r1bqk2r/1pp2p1p/p1n3p1/4p3/4P1n1/2N5/PPPQ1PPP/2KR1BNR w kq -,d2d8
1rk5/3r1p1q/4p3/2P2n1p/R1N3p1/2p3P1/2Q4P/4R1K1 w - -,c4b6
r1bq1r1k/1pp1npb1/p1n3pp/4p3/4N3/1BPP1N2/PP2QPPP/R1B1R1K1 b - -,e7f5
3r3k/2p3p1/1pp3qp/4n3/P4R1P/2N1QPK1/1P3P2/8 w - -,g3h2
6k1/2p2r2/3p3p/6r1/1P1PBR2/4P2P/3B1K2/8 w - -,f4f7
rr4k1/p4pb1/2n1p1pp/2B5/3Nb3/2P5/P3BPPP/3RR1K1 w - -,e2c4
r1b1rnk1/1p2q1pp/1np2p2/p2p4/3P1P2/2NBPN1P/PPQ3P1/4RRK1 w - -,e3e4
8/5R2/p1krp3/6N1/1p6/8/P1P5/2K5 w - -,f7e7
6k1/6bp/1q2p1p1/3pn3/1p1N2P1/1N6/1r2QR1P/6K1 w - -,e2b2
4r1k1/1p1r1p1p/p1p1bbp1/4p3/2P1P3/BP4P1/P4PBP/R2R2K1 w - -,d1d7
2rq1rk1/5pbp/b1n1p1p1/1pP2n2/1P1p4/3P1NP1/2Q1NPBP/1RBR2K1 b - -,f5e7
5rk1/1b2rp2/p2p1np1/1p1qb3/3N1B1P/P1PB4/1P3QP1/4RRK1 w - -,e1e2
5k2/8/5B2/p2KP3/P1B5/2b5/2n5/8 w - -,c4e2
r2bnnk1/2qb1p1p/p2p2p1/2pPp3/2P1P3/PrNBBN1P/1Q3PP1/1R4K1 w - -,b2b3
r2nr1k1/pp1qnpp1/2p2bbp/2Pp4/1P1P2P1/P1N1B2P/3QBP1N/2RR2K1 b - -,e7c8
