2r5/8/4p1k1/1R4p1/1P2N3/7P/6P1/6K1 b - -,g5g4
rnbq1r1k/pp4bp/5p2/3p1np1/2BP4/2N3B1/PPQ1NPPP/R3K2R w KQ -,c3d5
2b1r3/r5nk/p4q2/3pN1Qp/3N1P2/1PP4P/1P4RK/6R1 b - -,e8f8
1r5r/4qpk1/3R3p/3QP1pP/1p4P1/pP6/P7/1K1R4 b - -,h8e8
r3kb1r/ppp1qn1p/3p1p1n/8/2BPPBpP/2N5/PPPQ2P1/R4RK1 b kq -,f8g7
r1bqr1k1/1pp2nbp/p3pnp1/2B2p2/2P1P3/1QN3PN/PP3PBP/R4RK1 w - -,a1d1
8/1k4pp/4p3/3pN3/3r4/1P3K2/2r3PP/R3B3 w - -,b3b4
r2qkb1r/1p3ppp/p4n2/3b4/2N5/8/PP2BPPP/R1BQ1RK1 b kq -,a8c8
8/p5r1/8/4p3/R4k1P/3P2p1/P5K1/8 b - -,f4f5
8/6pk/5p1p/ppB5/2p5/Pr4PP/2R3K1/8 b - -,c4c3
6k1/pp3ppp/2ppr2q/8/5Pb1/1P1P2P1/PBP4P/4RQK1 w - -,b2c3
r1bqr1k1/ppp2pp1/2np1n1p/8/2PNp3/P1BP2P1/1P2PPBP/R2Q1RK1 b - -,c6e5
2rqr1k1/5pbp/3p2p1/ppnP4/b1p1PN2/P3R1P1/R4PBP/2N1Q2K b - -,b5b4
r4rk1/2p3pp/bpn2qn1/3p4/P2P1pP1/2B2N1P/1P3PB1/R2QR1K1 w - -,b2b4
3r2k1/p3b1p1/1p2b2p/2p2p2/2P5/B3P2P/P3BPP1/2Rr2K1 w - -,e2d1
8/8/5n2/6p1/4p3/6P1/3kBK2/8 b - -,e4e3
r1bqkb1r/pp2pppp/2np1n2/2p5/4PP2/2N2N2/PPPP2PP/R1BQKB1R w KQkq -,f1b5:f1c4
r4b2/3q3k/p3p1pp/1p2P3/2p2P2/P2p4/1PbQ2PP/R3NR1K b - -,c2b3
2r1rk2/1b3p1p/p2p1ppQ/1pq5/4P3/1P1B4/1PP2PPP/1K1RR3 b - -,f8g8
r1bq1rk1/5ppp/p2b1n2/2np4/8/2N1PN2/PBQ1BPPP/R2R2K1 b - -,c8e6
r1bq1rk1/ppp1np1p/3p2pb/8/2BP4/PPN1PN2/2P1Q1PP/R3K2R b KQ -,d6d5
rn1q1rk1/pb2ppbp/1p3np1/3p4/2PP4/2NBBN1P/PP3PP1/R2QK2R w KQ -,e1g1
4rrk1/2b2pp1/p2q1n1p/3P4/1PB1p1bQ/P4P2/3N2PP/2BRR1K1 b - -,e4f3
r2qkb1r/pp2nppp/2n1b3/1Bpp4/8/1PN2Q2/PBPP1PPP/R3K1NR w KQkq -,g1e2
r5k1/pp1bp1r1/n2p3q/2pP1P1B/2P1R2P/PP4N1/4Q2K/5R2 b - -,d7e8
r5k1/P1R2pp1/b2p4/2pP4/2P2P2/6P1/3B2K1/8 b - -,a6c4
3n4/p4k2/1bp2p1p/1p2p1p1/4P3/2P2PB1/PP4PP/2NK4 w - g6,c1d3
6k1/4p1n1/3p3Q/1p4P1/4q3/2r5/P7/K2R3R b - -,e4e5
1R6/6pp/2k2p2/p3r3/Pp6/4P1P1/2K2P1P/8 b - -,e5c5
1q2r3/pp3k1p/n1rbnpp1/8/8/2N1BN2/PP1RQPPP/3R2K1 b - -,d6e7
8/p4pk1/7p/1p4p1/1n4P1/8/P2R1K1P/8 w - b6,f2e3
b4rk1/4bppp/2r5/3np3/N2p4/1N1B1P2/3B2PP/RR4K1 w - -,b3a5
rn2kb1r/1pqb1pp1/4p2p/1pPpP2P/3Q1PP1/P1N1BN2/1PP5/2KR3R b kq -,c7a5
3r2k1/r1n4p/2B1p3/1p3p2/1P2P2P/p1b1Q1P1/5P2/2R3K1 b - -,c3d2
6k1/b5p1/P2N3p/5p2/1p2p2P/r5P1/R5K1/8 w - -,a2b2
2b1r3/r3qkn1/3p1pp1/p1pP2n1/PpP1PQ2/1P1N2N1/5R1P/5BRK w - -,f4g5
8/2r3k1/3p1bp1/3P3p/4B2P/pPp5/P1K3R1/8 b - -,g6g5
