8/4N3/6RP/4p1kr/8/8/6K1/8 b - -,g5f4
3r2k1/pp1b3n/1R5p/4r1p1/7N/3Q3P/P5P1/3R3K b - -,a7b6
r3kb1r/pppqp2p/1nnpp1p1/6N1/2PP4/8/PP2NPPP/R1BQK2R w KQkq -,d1d3
rnbqk2r/ppp1bppp/5n2/3pN3/3P4/2N5/PPP2PPP/R1BQKB1R w KQkq -,f1d3
8/1b4N1/pP6/Pk4pp/8/1P2K3/7P/8 w - -,g7h5
5qk1/5p1p/1p2pQp1/3pP3/3P2P1/1P4K1/2n1P1B1/8 w - -,f6f4
rnbr2k1/pp2qpp1/4p2p/2b5/2B5/P1N1PN2/1PQ2PPP/2R2RK1 b - -,c8d7
5rk1/1pqb2pp/r2bp3/3p4/P3nP2/3N3P/3N2PB/R2Q1RK1 b - -,e4d2
r1b2q1k/pp2p2p/3pn1p1/2pPb3/8/P7/1PP1QPPP/R1B2RK1 w - -,d5e6
r1b1k1nr/pp3ppp/2n1p3/3pP3/q1pP4/P1P5/2PBNPPP/RQ2KB1R w KQkq -,g2g3
r2r1bk1/1p3ppp/1qp2nb1/p3pN2/2P1P3/PPB3P1/2QN1K1P/RR3B2 w - -,f2g2
1r2r1k1/1pqn1pbp/p1pppnp1/8/P1PP1P2/2N1B1PP/1PQ2PB1/R3R1K1 w - -,b2b4
r2q1r1k/4n1bp/ppn1bpp1/2pp4/4NB2/P1NP4/BPP2PPP/R2Q1RK1 b - -,c6d4
8/8/8/3K1p2/8/7k/4r3/5R2 b - -,h3g4
1rbq1rk1/pp2ppbp/2np1np1/2p5/4PP2/2NP1NP1/PPP3BP/R1BQ1RK1 w - -,f3h4:h2h3:a2a4
8/5pp1/4k2p/1p1p4/1P1P4/6P1/5PKP/8 b - b3,e6f5
rn5r/p3kppp/2p1p3/1Nn5/8/3R1NP1/PP2P2P/3R3K w - -,b5c7
8/3B3p/4p3/3bPp1P/4pP2/4P3/1k1K4/8 b - -,h7h6
8/6pp/p3kp2/8/1pb5/1P1P1P1P/6P1/6K1 w - -,d3c4
2r2rk1/3n1ppp/bq2p3/p2pP1PQ/1pp2B2/3P2P1/PPn2PBN/3RR1K1 w - -,h2g4
8/1Pb2pk1/4p1p1/4P2p/5P2/3B4/7K/8 w - -,h2g3
1q3r1k/R5pp/3PB1bn/2p5/Qb2PB2/8/1P4PP/3R2K1 b - -,c5c4
r2q1rk1/5pbp/b1np2p1/1pp5/1p1PP3/1P1Q1N2/PB2NPPP/3RR1K1 b - -,d8a5
8/8/3k4/4R3/4p1r1/6PK/8/8 w - -,e5e8
r2qk2r/p1p1nppp/np2p3/3pP3/3P3P/P1P5/2P2PP1/R1BQK1NR w KQkq -,h4h5:d1d3
5R2/3r4/2p1k1p1/pp2p3/P7/2P3P1/1P2KP2/8 w - -,f8c8
r2q1rk1/3bbpp1/p3pn1p/1pn1P3/3N3B/1BN2Q2/PPP3PP/R3R1K1 b - -,f6h7
2R5/8/8/8/5PK1/4r3/2p5/2k5 b - -,c1d2
r2b1k2/n1p2rpQ/bp2p1Bp/p2pP3/7q/2P1B2N/PP3PPP/R3R1K1 w - -,h3f4
8/5Q2/1p1k4/p5Kp/P5qP/1P6/8/8 w - -,g5h6
8/8/4pp2/4k1p1/2B1PnR1/4KP2/1r6/8 b - -,b2b4
2r1k2r/3qppb1/b2p2p1/p1nNnPPp/Pp1NP2P/1P2B2R/2PQ2B1/2KR4 b k -,c5b3
r1bq1rk1/ppp2pb1/n2p3p/3Pp1p1/2P1P2P/2N2Nn1/PP2BPP1/R2QK2R w KQ -,f2g3
8/3k4/p4b2/8/1p1pbp2/2P5/PP4PP/2KR4 w - -,c3d4
r4rk1/pb1qbpp1/1pnppn1p/2p5/3P3B/2P1PN1P/PP1NBPP1/R2QR1K1 w - -,a2a4
3r4/4Q3/p4p1k/1p6/4PP2/1P1rRK1q/P5p1/4R3 w - -,f3f2
3r2k1/1bqnrpbp/pp1p1np1/2pP4/P1B1PP2/2N2N1P/1PQ3P1/R1B1R1K1 b - -,d8e8
b2r1rk1/p1q1npb1/1p4p1/1P1p3p/3pPN1P/P2P1PPB/3QN2K/1R3R2 w - -,f1c1
r1bqk2r/1p2bp2/p1n1pn2/4P3/6pp/1NNBB3/PPP1Q1PP/R4RK1 b kq -,c6e5
r1bqk2r/pp1nnpbp/3p2p1/2pPp3/2P1P3/2N2N2/PP1B1PPP/R2QKB1R w KQkq -,h2h4
5rk1/p3p1bp/1pn3p1/5r2/1P3P2/2P1BPNQ/q6P/4RRK1 w - -,g3f5
rn2kbnr/pp1b1ppp/1q2p3/2ppP3/3P4/1QP2N2/PP3PPP/RNB1KB1R b KQkq -,b8c6:b6b3
r3k2r/1b1nbp2/1qn1p3/pp1pP2p/2pP1Pp1/P1P5/1PNN2PP/RBBQ1R1K b kq f3,b5b4
4rrk1/1p1n1pnp/2pp2p1/qp4P1/4PP1P/P1PB1Q2/1P2N3/3R1R1K b - -,d7b6
2b5/p2k1p1p/1pn1p1p1/8/Pb1PP3/3BBP2/2K1N1PP/8 b - -,b4d6
r1b1r1k1/pp6/2n2q1p/3p1pp1/8/P2B1PN1/1PP3PP/R2Q1RK1 w - -,c2c4
2r3k1/p4p1p/1p2p1p1/b2pPn2/P2P1P2/1RrBB2P/2P1KP2/1R6 b - -,c8c7
1rbq1r2/5pkp/2np2pb/p2Np2P/R1B1P3/1PP1N3/5PP1/3QK2R w K -,c4d3
r1b2rk1/ppppqppp/8/4n3/2P5/5NP1/PP1QPPBP/2R2RK1 b - -,d7d6
3rk2r/1b3pb1/p3p1p1/1pp1n2p/4PN1P/P1P1NP2/1P2B1P1/R3K2R w KQk -,a1d1
r3qrk1/p3bppp/1p2p3/2n1P3/5B2/5QP1/PP3P1P/RN1R2K1 w - -,b1c3
r3kb1r/pp3ppp/1qn1b3/2ppPp2/3P4/P1P2N2/1P3PPP/RNBQ1RK1 w kq -,d4c5
8/8/K6p/4NppP/8/P1n1k3/8/8 b - -,g5g4
3r2k1/1R6/p2p1bpp/4p3/1n5P/4P1P1/P4PB1/3R1K2 b - -,b4c2
1Rr3k1/5pp1/3Q3p/3p4/2qPp3/4P2P/3r1PP1/5RK1 b - -,c8b8
3rr1k1/2R1n1p1/p2P3p/1p6/1B2pPbq/3B4/3Q2P1/2R3K1 w - -,d3e4
2r1k2r/pp1nbpp1/4p1p1/1q6/2pPBB2/2P4P/PPQ2PP1/R3K2R w KQk -,a2a4
3r2k1/pp3p2/4q2p/6p1/2Q5/6PN/4BP1P/6K1 w - -,c4c7
rn1qkb1r/pp3p1p/2p1pp2/8/3P1Bb1/2P2N2/PP3PPP/R2QKB1R b KQkq -,f8d6
r2q3k/pp3bbp/3p4/1P1P2p1/PQ1p1p2/3N1P2/4rNPP/2R2RK1 w - -,b4c4
4k3/ppr5/4pP2/6P1/3P3Q/P1P5/1Pq4P/2B2RK1 b - -,c7h7
2r2r1k/pp2qpbp/2pp1np1/2n5/2PNP3/4BP2/PP1QB1PP/R3R1K1 b - -,f8e8
r7/2r1kp2/1R2p2R/pb2P3/2p1PK2/8/P6P/8 b - -,c4c3
