8/8/8/4kpPB/4pn2/8/5K2/8 w - -,h5e8
5kr1/2qrb3/pp2p1Pp/1P2Pp2/P3p3/2P1B1Q1/5PP1/R2R2K1 b - -,f8g7
r3kb1r/pp1q1pp1/1np1p3/3nPbBp/3P3P/1BN3N1/PP3PP1/2RQK2R b Kkq -,d5c3
2b5/1p3kp1/1B4p1/PR6/r2p4/2p2P2/2P2PKP/8 b - -,c8f5
r3kb1r/pp1n1ppp/2p1pnb1/q7/2NP2P1/2N4P/PPP1BP2/R1BQ1RK1 b kq -,a5c7
2nk1r2/pp3p2/4p2p/3pP1rP/2pP3N/2P4R/P1b1B1P1/5RK1 w - -,f1f6
8/3N1p2/3k3p/2p3p1/2K1P3/1P3PnP/8/8 w - -,d7c5
r2r1bk1/ppq2pp1/2n1bn1p/4pN2/2p1P3/2P1BNP1/PPQ2PBP/R3R1K1 b - -,f6g4
1r3rk1/pb2q1pp/4pn2/2p2p2/1NPp1P2/Q4N2/PP2PPBP/2RR2K1 b - -,b7f3
r7/pp1n4/2p2k1r/3p2R1/3P1N2/4P3/PP3P2/2KR4 w - -,d1g1
2r5/pp5k/6pp/3NR3/1PPn3q/3Q4/P5PP/5rK1 w - -,d3f1
1r6/1B6/1P2rk1p/1Rp1p3/2P3pP/3P2P1/5P2/5K2 w - -,b7e4
r2qr1k1/pp2ppbp/1np1b1p1/6B1/3PP3/Q1P2N2/P3BPPP/3R1RK1 b - -,d8d6
1R6/5pk1/3p1q1p/2b3p1/1p2P3/r5P1/4QPP1/3R2K1 w - -,b8b5
r4rk1/3n1ppp/pn1p1q2/1p6/3NP1b1/1P6/P1BN1PPP/RQ2R1K1 w - -,b1b2
r6k/2p5/3p2p1/1p1Ppn2/1Pn1N3/2N2P2/P6P/1K4R1 b - -,f5h4
8/1R5p/p1r1kpp1/n3p3/8/4B2P/4KPP1/8 w - -,b7h7
r7/1k3p2/2pbrpp1/1p1n3p/3P3P/1BP1BP2/1PK2P2/R3R3 w - -,c2d2
8/8/2k5/5pK1/8/2B2P2/1P1n4/8 b - -,d2f3
4r1k1/pp3ppp/2p3q1/3p1n2/P2P2B1/2P2Q1P/1P3B2/R6K b - -,f5d6
8/5p2/3k3P/p2P2P1/P3BP2/2b2K2/1p6/8 b - -,c3h8
2rr1nk1/pb2qppp/1ppbp3/8/2PPQ3/1P1B1N2/PB3PPP/3R1RK1 w - -,e4g4
r2r2k1/1b3ppp/pq6/1p2b3/3NP3/P3P3/1PB1Q1PP/R2R2K1 b - -,e5d4
3r1rk1/1pp1qp2/p1n2nbp/6p1/2BP4/P1N3PP/1P1QN1PK/4RR2 b - -,e7d6
r2qnr2/2p3bk/1p5p/p1pPpb2/2P5/2NB1N1P/PPQ2P2/2K3RR b - -,e8d6
8/4r1k1/p2N2p1/2p1P2p/2B2R2/8/7K/1r6 b - -,e7e5
1kr4r/1p2b1pp/pqn1p3/R3P1P1/8/5B2/Q2B3P/3R3K w - -,d1b1
8/4kp1N/6p1/8/8/2r4P/5PPK/8 b - -,f7f6
3r2k1/4qpp1/pb5p/1p6/2P1nP2/4P2B/PPQ2B1P/2R4K w - -,h3g2
r3r1k1/3R2pp/pq1Bpb2/1pp2p1Q/2P5/1P4P1/P4P1P/5RK1 w - -,f1e1
rnbqkb1r/p3pp1p/3p1np1/1PpP4/4P3/2N5/PP3PPP/R1BQKBNR b KQkq -,a7a6
8/5p2/2k5/ppn2P2/7b/8/B1KB4/8 b - -,b5b4
1rr3k1/1bqn1ppp/pp1p1n2/4p3/1PPP4/1Q2PNP1/2RN1PBP/R5K1 w - -,a1c1
3r4/8/1p4pk/6Q1/2p4P/2PqPN2/PP1N2P1/2K2n2 b - -,h6h7
4r1k1/8/1p4pp/3B4/6P1/5PK1/8/1R6 b - -,g8g7
5rk1/3Rrppp/pp6/2p1q3/PbB5/5QP1/1P3PP1/R5K1 w - -,a1d1
8/8/4k2p/p3pp1P/P2bP3/3N1P1K/8/8 w - f6,d3c1
8/8/1p4b1/p1B1p2p/2P1p2P/1P4Pk/P4K2/3B4 b - -,b6c5
r2q1rk1/p3bppp/1nbp1n2/p3p3/4P3/2NBBN2/1PP2PPP/R2QR1K1 b - -,a5a4
rn1qk2r/pb1p1ppp/1p2pn2/2b5/2P5/5NP1/PP2PPBP/RNBQK2R w KQkq -,e1g1
5rk1/6pp/4p3/2Ppq3/4r3/2RQ2PP/5P2/1R4K1 w - -,c3c2
8/3R1kpp/8/pP2p3/P3Pn2/B4P2/6PP/6K1 b - -,f7f6
r2qk2r/ppp1bppp/2bp1n2/8/3QPP2/2N2N2/PPP3PP/R1B1K2R w KQkq -,c1d2
4Q3/5p2/2p3pk/1p1p4/p2P4/P1P4P/1P3PP1/3q2K1 w - -,g1h2
rn2k2r/4ppQp/1qp3p1/p2nP3/1p1P2b1/5NN1/PPP3PP/R3KB1R b KQkq -,h8f8
rn1q1rk1/pbp2ppp/1p2pb2/8/3P4/2PBBN2/PPQ2PPP/R3K2R b KQ -,h7h6
r2q1rk1/1p1bpp1p/p2p2p1/5P1B/P2QP3/2N4P/1PP3P1/R4RK1 b - -,g6h5
rnbqk2r/1p2bp2/p2pp2p/4n1PQ/3NP2B/2N5/PPP3PP/R3KB1R w KQkq -,h4g3
8/P3k3/1K4p1/4pp2/1PB5/8/4P3/r7 w - -,c4a6
4k3/pp6/3P3p/6p1/8/1B2BK1P/P5P1/1r6 b - -,b7b6
8/4kp1p/5p2/p6r/2K5/R3PP1P/P4P2/8 b - -,h5h3
2b3r1/2P2q1k/5p2/3p3p/5R1P/2Q3B1/6PK/8 b - -,g8g6
6r1/p7/3p1kr1/1PpPp3/P3Pn2/4NPR1/4B2P/6K1 w - -,e3g4
1r1q1rk1/1p1nbpnp/p2p4/2pPp1pb/2P1P3/3Q1PPB/PP1BN2P/R2N1RK1 b - -,b7b5
r1b3k1/5pp1/2pq1n1p/1p1p1P1N/3P4/1p1Q1B2/P1P3PP/5R1K w - -,a2b3
2r1qrk1/1b2bppp/pp2p3/1N2n3/1P6/PQ2P3/4BPPP/R2RB1K1 w - -,b5d6
4k2r/1r6/6pp/R4p2/2P4P/2K2B2/5PP1/8 b k -,b7b8
3r1k2/p3bpp1/1p3n1p/2p5/2P2BP1/5B1P/PP2KP2/3R4 b - -,f6e8
8/6p1/1b3k1p/p3p3/P1B1P1K1/7P/1P6/8 b - -,g7g6
rnbqk2r/pp2bppp/4p2n/3pP3/8/2P2N2/3P1PPP/RNBQKB1R w KQkq -,d2d4
6k1/1prr2pp/p3Bn2/3p4/5b2/1P4P1/P1PR1P1P/3R2K1 b - -,g8f8
r2qkbr1/pp2pp2/2p3pp/3n2B1/2Q5/5PPB/PP3P1P/R2R2K1 w q -,g5e3
r1r3k1/p1Bqpp2/p3b1p1/2R1P2p/8/P1Q1P3/5PPP/2R3K1 b - -,a6a5
8/8/3k4/1p3p2/3P2n1/3K2P1/3N4/8 b - -,d6d5
r1b1kn1r/ppq1bpp1/2pp1n1p/4p3/P2PP3/2N1B2P/1PPNBPP1/R2Q1RK1 b kq -,g7g5
rn1qk2r/pbpp1p1p/1p3ppb/8/2PPP3/5P2/PP4PP/RN1QKBNR w KQkq -,g1h3
rnbqk2r/4bppp/p2ppn2/1p2P3/3N1P2/1PN5/PBP3PP/R2QKB1R b KQkq -,d6e5
r1b2rk1/3n1pp1/pP1b1n1p/2pP4/2B4B/2N2N2/1P3PPP/R4RK1 b - -,d7b6
8/p7/1p5p/1PpPkbp1/2B4P/PP3PK1/8/8 b - -,g5h4
2rnkb2/Bq1b1pp1/3pp3/pN4P1/1p2PP2/8/PPPQ4/2K2B1R w k -,b5d6
r1bq2k1/5r1p/2nbp1p1/1p1p4/2pP4/2P1B1N1/1P1Q1PPP/1B1R1RK1 b - -,b5b4
r2qkb1r/ppnb1ppp/2n5/2p1p3/8/2NP2P1/PP1NPPBP/R1BQK2R w KQkq -,d2c4
r1b2rk1/1pp3p1/pb3pp1/3Pp3/2B5/2PP4/PP4PP/R1B1R2K w - -,d5d6
8/2p3p1/3k1p2/2p2P1p/2b1PK2/2P1B1P1/7P/8 b - -,c4d3
8/k7/8/PQ6/4n3/1PP5/2KP2q1/8 w - -,b5d7
1r4k1/R5p1/p3p3/P1R2p1p/1P1BbPrP/2P5/8/4K3 b - -,b8b7
7r/pk1rBppp/1bp1pn2/8/3P4/1N4P1/P3PP1P/2RR2K1 w - -,e7f6
8/1p1kb1p1/p1n1pp1p/3p4/3P4/3NP1BP/PP2KPP1/8 b - -,b7b6
4r3/5p2/Bk2p3/4P3/1P2R3/7p/P2r1P2/6K1 w - -,a6c4
8/4k2p/3p4/3n1PK1/3Bp3/4P2P/8/8 w - -,h3h4
r1b1nr2/pp1n1pbk/1q1p2pp/2pPp3/2P1P3/1PN1BNPP/P2Q1PB1/R4RK1 w - -,f3e1
4qrk1/1p2bppp/p3p3/3pNn2/PP1P4/2B2Q2/2rN1PPP/R4RK1 w - -,f3d3
1r1r1k2/1bRn1p1p/pp2p1p1/3pP3/N7/3BP3/PP3PPP/2R3K1 w - -,f2f4
r1bq1rk1/pppnbppp/4p3/8/2BP1P2/P1N2N2/1P3PPP/R2QK2R w KQ -,e1g1
r2qr1k1/1ppn1pp1/2npb2p/2bNp3/p1P1P2N/P1BP2P1/1P3PBP/R2Q1RK1 b - -,c6d4
r2q1rk1/pb3ppp/1pn1pn2/8/1b1P4/2NB1N2/PP3PPP/R1BQR1K1 w - -,a2a3
5k2/7R/8/4KN2/1r3n1p/7P/8/8 b - -,f4h3
r3kB1r/pp1q1ppp/2n1p1n1/3pP3/3P4/1P3N2/P3QPPP/RN3RK1 b kq -,g6f8
rnbq1rk1/4bppp/p2p1n2/1p2p3/P3P3/1NN3P1/1PP2PBP/R1BQ1RK1 b - a3,c8b7:b5b4
1rn2rk1/6b1/pp1qb1pp/2p1p3/P1N1P3/2PP1PP1/1RQ1BB2/1R4K1 b - -,e6c4
8/6k1/1p1Np2p/p2nP2q/P2PQ3/6PK/8/8 w - -,h3g2
1r5k/2Q3n1/6p1/6p1/8/Pq2P1P1/3P1P1P/2R3K1 w - -,c7d6
r3r1k1/1pp1qpbp/1n2p1p1/3nP3/p2PQ2P/5NP1/PP3PB1/R1B1R1K1 b - h3,b6d7
6R1/8/4K3/4P2k/8/r5P1/8/8 w - -,e6f6
8/R4pB1/4p2p/3n1k1P/8/4P1P1/2r2b2/6K1 w - -,g1g2
8/4k3/4np1p/pp1B4/5P1P/1P2K1P1/P7/8 b - -,e6c5
8/5pk1/5q2/1Q5p/P5n1/3P4/8/3K4 b - -,f6a1
4rnk1/2r3pp/p2q1p2/2bPp3/Pp5R/1P4PP/1BPQ2BK/5R2 w - -,c2c3
b1r1r3/p4k2/Pp4p1/1P4p1/1R2p1P1/4B2P/6K1/7R w - -,h1f1
q6k/5r1p/3Q1p1B/4p3/2b1P3/8/Pr4PP/R4RK1 b - -,c4f1
1r6/1r1nppk1/q2p2pp/3P4/2p1P3/1PNn3P/P1Q1NPP1/1R1R2K1 w - -,b3c4
5rk1/4p3/p1n3p1/3NPn1p/P4P2/B7/6PP/4R1K1 w - -,e1c1
8/p6p/Pkp3p1/5p2/1PPp4/6P1/4KP1P/8 w - -,e2d3
2rr3k/2q4p/1n3Pp1/pp1p2Q1/3pb1N1/2P5/PP4BP/R4RK1 b - -,d4c3
r1bqkb1r/1pp2ppp/p1n1pn2/8/2pP4/2N2NP1/PP2PPBP/R1BQ1RK1 b kq -,f8e7:f8b4:a8b8
1r2r3/bpp1qk2/p1np1p2/4pB1Q/1PP5/P2PP1P1/1B3P1P/R3R1K1 b - -,f7g8
8/4k3/8/2N3pp/1p1Pp3/4PpP1/1r3P1P/2R3K1 w - -,c5e4
r1b1k2r/pppn1pQp/4pp2/8/3Pq3/2P5/P1P2PPP/R3KBNR w KQkq -,e1d1
7R/ppk5/2p2rp1/8/1P2pP2/2P5/1P2K3/8 b - -,f6f4
3r3k/5p1p/p3ppr1/1p1q4/3p1Q2/1N3P2/PP2P2P/R2R3K b - -,e6e5
r2qkb1r/3b1ppp/p1n1p3/2P5/2BPpB2/8/P4PPP/1R1QK1NR b Kkq -,f8e7
3rr1k1/8/2p1qp1p/1b2p1p1/4Pn2/4R1BP/1Q3PPK/R3N3 b - -,f4d3
4k3/5p2/4p3/2pqPp2/5P2/2Q3KP/3n4/8 w - -,c3a3
B4rk1/2q1bppp/p3p3/2p1p3/1nP2P2/1Pp1P1P1/P3Q2P/R1BR2K1 b - -,f8a8
r1bqk2r/pp1p1pp1/2nb1n1p/4p3/4P3/2N5/PPP2PPP/R1BQKB1R w KQkq -,d1d6
r1b1k2r/1pp1qnbp/p2p1n2/P3pp2/8/1QPP1NP1/1P1N1PBP/R1B2RK1 w kq -,f3h4
2rq1k1r/5p2/b3p1p1/p1p1Pn2/3P1P1b/Q2P4/P3N1BP/1RBR2K1 b - -,f5d4
4b1k1/p5pp/1p3p1q/4Bn2/5P2/PP5P/4B2K/3R2R1 w - -,e5b8
1qrr2k1/5ppp/4p1n1/pp6/P2P1b2/1QR1NN1P/1n3PP1/4R2K w - -,c3c8
r4rk1/pp3pp1/1q3np1/5n2/1P1p1P2/P2B1Q2/2PB2PP/R4RK1 b - -,f8e8
6k1/5pp1/1qr4p/8/1P1R4/2PQ4/r6P/3R3K b - -,c6g6
4r1k1/3q1ppp/1p6/p1p1nb2/P1PpB3/1P1P2P1/2QB1P1P/4R1K1 b - -,f5g4
1rb2r2/4ppbk/3p1npp/1ppPn3/1qP1P3/1PN1BPN1/2Q3PP/2R1KB1R w K -,c4b5
r1b3k1/pp4b1/2p2npp/5p2/2P5/BP2qPPN/P1Q3BP/5RK1 w - -,c2f2
r1b1kbnr/pp4pp/1qn1pp2/3pP3/2pP4/P1PB1N2/1P3PPP/RNBQK2R w KQkq -,d3c2
r1bq1rk1/pp2bpp1/2nppn1p/8/3NP1P1/2N1B2P/PPPQ1P2/R3KB1R w KQ -,e1c1
r3k2r/1pp1n1pp/p2p1pq1/1b3N2/2B1PPP1/2P1B3/P1PQ3P/2KR3R b kq -,b5c4
2rr2k1/pp2bpp1/3np2p/nP1p4/N2P1B2/1P1BP2P/2R2PP1/2R3K1 w - -,c2c8
7k/3b2q1/5p2/2Q3p1/1PB1P2p/5P2/6PP/6K1 w - -,c5d6
2rqr1k1/pp2bpp1/2npbn1p/3Np3/1P2P3/2PBNP2/P5PP/R1BQ1R1K b - -,f6h5
6n1/p3k3/1pp1p3/2p1Pp1b/2P2P2/2NP2P1/PP1K3N/8 w - -,h2f1
2r1nrk1/2q1bp1p/p1bpp1p1/1p2P3/3B1P2/P1NB2Q1/1PP3PP/4RR1K w - -,f4f5
r1b1kb1r/p2p2pp/q1nP1p2/1p1Q4/2N5/2P2N2/PP3PPP/R3KB1R w KQ -,c4a3
2r1r1k1/p3np1p/1p6/5Q2/1P5P/P1b3P1/4PPB1/2R3K1 w - -,f5g4
q3kbnr/1pp3pp/2n1b3/1QP1p3/1P6/3pPN2/3P1PPP/1N2KB1R w Kk -,f1d3
8/1kp4R/1p5P/8/p3PK2/8/8/2r5 w - -,h7d7
3r4/1k3pp1/p3p3/1p2P3/3q1PP1/1P1p2N1/P1nQ1K1P/2R5 w - -,f2f3
8/1p3k2/p1p3p1/2Pn3n/P1BB2KP/8/2P5/8 w - -,g4f3
8/R5p1/6kp/P1N2p2/3Pp3/3nP1P1/4bPPK/8 w - -,h2g1
r2q1rk1/pp2ppbp/2n2np1/3p1b2/3P4/2PB1N1P/PP3PP1/RNBQR1K1 w - -,c1f4
r2q2k1/p2b1rbn/np1p2p1/2pPp1Pp/1PP1Pp1P/P1NN1P2/3BB3/1R1QK2R b K -,d8c8
r1bqk2r/ppp1bppp/3p4/4n3/1PP5/P1N1P3/3B1PPP/R2QKB1R b KQkq -,c8e6
5n1r/4k1p1/4PR2/2pP4/B7/1P1K2R1/8/8 b - -,e7f6
rn1qk2r/pp2bppp/2n1b3/1NPp4/8/3B1N2/PPP1QPPP/R1B1K2R b KQkq -,e8g8
r4rk1/3bq1bp/p2ppnp1/1pp3N1/2PnPP2/2NBB1Q1/PP4PP/R4RK1 w - b6,e4e5
r1bq1rk1/1p2npbp/2np2p1/p1p1p3/2P5/P1NPP1P1/1P2NPBP/R1BQ1RK1 w - -,c1d2
7R/5p2/1p2pk2/r7/4K2P/P7/8/8 w - -,h8b8
8/4kp2/6p1/4K1P1/p1b1P3/8/2N5/8 w - -,c2a3
1R6/4kpp1/r1p4p/2p1P1nP/2Pp4/3P4/P2R1K2/8 b - -,e7e6
5rk1/pbr2pp1/2Nqpb1p/1p6/3PB3/4PQP1/PP3PP1/2R2RK1 w - -,c6e5
1r2B2k/p3q2p/bp5B/2p1bPp1/2Pp4/6Q1/P1P3PP/4RRK1 b - -,b8e8
2r2k2/r4pp1/pp2p2p/n7/2PP4/PP2P1P1/1K1NBPP1/7R b - -,f8e7
8/5ppk/1R2p2p/4P2P/P2R1P2/8/KP6/2r4r b - -,c1a1
r2q1rk1/p4ppp/3Pp3/3p3b/1Pn2B2/5N2/5PPP/R2Q1RK1 w - -,d1d4
r1b2rk1/ppq1bppp/4pn2/2n1N3/2B5/5N2/PPP2PPP/R1BQ1RK1 w - -,c1f4
r1b2r1k/1p1nq1pp/p1pbp3/3p1p2/1PPP4/PQn3P1/4PPBP/1RB1NRK1 w - -,b3c3
4rr1k/p1p1qppp/1pb5/n3p3/P2P4/2PBP1N1/Q4PPP/R4RK1 b - -,e8d8
8/2k2p2/7R/p1n2P2/1p4P1/P1n5/7P/5BK1 w - -,a3b4
2r3k1/2P3p1/1B5p/8/p1P5/R7/4nKPP/8 b - -,e2f4
1rb3k1/2p4p/4p1p1/p1ppN3/4qPKQ/P6P/6P1/5B1R b - -,h7h5
7r/3b4/1p1kp3/p2p1B2/P2P4/2P1K2R/1P3Pr1/R7 b - -,h8f8
rn1r2k1/p3qppp/5n2/2P1pP2/RPQpP1P1/5N1P/2P4K/R4B2 w - -,f1d3
r1b1k1nr/ppp1qppp/3p4/8/2BbP3/BQN5/P4PPP/R4RK1 b kq -,g8f6
8/r5p1/p1Rpkb2/1p3p1P/8/1P1K1P2/P2B4/8 w - -,c6c8
r4r1k/1pq3bp/3pB3/1p1Pp1Pb/p1P1Pp2/P4Q2/1P1N1P2/2KR4 w - -,f3h5
8/p4p2/3R4/2Pp1k2/3r2p1/8/7K/8 w - -,c5c6
8/5p2/p1k4p/Pn1p1pp1/NP1P4/3K1PP1/7P/8 b - -,b5c7
2r1r1k1/6pp/Np6/pP3p2/4nP2/P3PQ2/q4P1P/R2R3K b - -,a2f2
r5k1/1b3p1p/4p1p1/1P2P3/p2R1P2/N5PP/P4K2/8 w - -,f2e3
8/8/8/3k4/p3nBp1/P7/6K1/8 w - -,f4h6
5bk1/p4p2/1pp1bnpp/4p3/2P1P3/1PN1BP2/P3B1PP/3r2K1 w - -,c3d1
r1b2rk1/q4p1p/p1pp1bp1/Pp2n3/3NPN2/1PP3QP/1B3PP1/R3R1K1 w - -,f4h5
3k4/5pp1/B7/P3p3/4P1br/1NP4p/2K4b/R7 w - -,a6d3
r1b1r1k1/1pq2pbp/p2p1np1/2pPn1B1/2P5/2NB1PN1/PP4PP/R2Q1RK1 w - -,g3e4
r1bqrbk1/5pp1/pn1p3p/1ppPpNn1/4P1P1/2P2N1P/PPB2P1K/R1BQ2R1 w - -,f3g5
r5r1/1Q4bk/p3N2p/1n1pP3/p3nP2/2P1R3/1P4PP/R1B3K1 w - -,e6g7
2r5/5RP1/p7/k7/3K4/8/8/8 b - -,c8g8
5r1k/p3q1pp/P3pb2/3b1p2/3Pp3/2P3P1/5P1P/1RRQ1BK1 w - -,c3c4
5rk1/pb3ppp/1p6/2b1P3/P1pN1Pq1/2PnB3/2Q1R1PP/5RK1 w - -,h2h3
8/5pk1/P1K2Rp1/6Pp/6r1/8/8/8 w - -,a6a7
r3k2r/pq3p1p/2p1pPp1/8/P6Q/8/1P3PPP/2R1R1K1 b kq -,e8c8
8/R5p1/5pk1/7p/7P/p3K1P1/r4P2/8 b - -,a2a1
r1r3k1/1p2ppbp/3pb1p1/p1n1n3/P1PNP3/1PB2PP1/3N2BP/R3R1K1 w - -,e1e3
3r3k/3Bq2p/4P1p1/2pb2r1/Pp1ppQ2/1P5P/1R3PP1/4R1K1 b - -,d8f8
8/3B1k1p/1p1P1p2/p3pP2/P1K1P2P/8/2n5/8 b - -,c2d4
1q3rk1/4B1pp/p4p2/3PR3/P1P5/5b2/5PPP/4R1K1 w - -,e5e3
2k4r/p2n1ppp/1p1r1n2/2p5/1PP5/PN4P1/5PBP/R2R2K1 b - -,d6d1
2r1r1k1/3bbnpp/3p4/q2Pp3/P1p1Pp2/2N3PP/3B1P2/R2QRBK1 w - -,a1b1
r2qkb1r/pp1n1ppp/2p1bp2/3p4/3P4/4P1P1/PPP1NPBP/RN1QK2R w KQkq -,e1g1
1r2r1k1/p4pbp/n2p1np1/2pP1b2/N4B2/5NPP/PP2PPB1/R3R1K1 b - -,f6d5
1r2r1k1/1pqnnpp1/p3p1p1/3pP3/P7/2P1QNBP/1P3PP1/R3R1K1 w - -,g3h2
8/8/1p4kp/1P2P3/4K3/8/8/8 w - -,e4d5
r4rk1/pp3ppp/1Qp1b3/3n4/2P5/6P1/PP3PBP/R1B1R1K1 b - -,d5b6
5rk1/1p2qp1p/1P3bp1/3P1p2/2p5/R3P1P1/Q4P1P/5RK1 b - -,e7c5
1r1qk2r/5ppp/p1npb3/3Np1b1/1pP1P3/1P4P1/P1N2P1P/R2QKB1R w KQk -,h2h4
