8/8/8/2kpn3/8/2K5/2P5/1R6 w - -,b1b7
8/1p3k2/p1b2p1p/8/2np4/6R1/PPP2PPP/2K5 w - -,b2b3
7k/4p2p/6pb/3RP3/4Q1P1/8/1r6/r3K3 w - -,d5d1
r2q1rk1/pb1nbp1p/1p4pB/3p3n/2pP4/P1N1PN1B/1PQ2PPP/3R1RK1 b - -,f8e8
8/2nk4/p2p3R/n7/1p2K1p1/1P6/1BP5/8 w - -,h6g6
3r3r/1pk3pp/p1p2n2/5p2/2P2P2/1PN2K2/P5PP/R2R4 w - -,h2h3
2rqkb1r/1p1b1ppp/p1nppn2/6B1/3NP3/2N2P2/PPPQ2PP/2KR1B1R w k -,h2h4:d4c6:c1b1:g2g4
8/R6k/7p/1P3N1r/2P2b2/8/8/5K2 b - -,h7g6
rn1qkb1r/pp2p1pp/1np1p3/5b1Q/5P2/1BN5/PP1P2PP/R1B1K1NR b KQkq -,g7g6
r5k1/5p2/q2p2p1/2pP4/2nbPB2/2N2PPp/1P5P/1R3Q1K b - -,c4b2
r3k1nr/pp1qbppp/2npp3/8/2PpP3/2N2N2/PP3PPP/R1BQ1RK1 w kq -,f3d4
8/p5pk/1p6/4p3/1PP1r2p/2R5/P6K/8 b - -,e4d4
3r1rk1/1pR1pp2/p2p2pp/3Pn3/7P/1P4PN/P2RPP2/6K1 b - -,d8d7
8/p5r1/7p/2p1k3/2Pp1RPP/5R2/PrPK4/8 w - -,a2a3
5rk1/pq2bp2/4p3/1b4pp/1P1P4/P1Q3B1/B4PPP/2R3K1 b - -,b5d7
8/p1r2ppp/1pk5/8/1P6/6P1/5PKP/3R4 w - -,d1c1
6k1/pp2pp1p/2P1n3/4n1p1/1N6/P3B3/1PP3PP/3K4 b - -,e5c6
1r1q1rk1/2pbppbp/3p1np1/1p1P4/PPnNP3/2N3PP/5PB1/R1BQ1RK1 b - a3,b5a4
8/p7/1p1r1kp1/P2BNp1p/1P1K1P1P/6P1/8/8 b - -,d6d8
r5k1/pb1nq1pp/1p1p1r2/2pp1p2/2P1n3/P3PN2/1PQ1BPPP/3RBR1K w - -,c4d5
8/2r5/8/8/8/1R1bk3/8/3K4 w - -,b3a3
r2r4/pp3pkp/5np1/q7/5P2/PbNB4/1P3QPP/3R1R1K w - -,d1d2
r1q2rk1/4bpp1/p1n1pnp1/1p1pN3/3P1B2/1QP4P/PP1NRPP1/4R1K1 b - -,c6e5
7k/2p3b1/4N2p/1PPpPp2/1P1K1P2/3R2RP/1r5r/8 w - -,d4d5
