8/p4r2/1pbP3R/4P3/5Bk1/6P1/PP6/4K3 w - -,e5e6
rnbqk2r/pp3pbp/3p1np1/2pP4/4P3/2N2P2/PP4PP/R1BQKBNR w KQkq -,f1d3:c1g5:g1e2
r3kbnr/ppp2ppp/3pq3/1Q6/4P3/8/PPP2PPP/RNB1K2R b KQkq -,c7c6
1r3r2/p5kp/2bp2p1/2p2p2/1q1bPP2/1B1P3P/PPQ1N2K/4RR2 w - -,e2d4
r6r/2k2ppp/p1p1p3/2PpP3/PP1B1PPb/2P5/8/RR4K1 b - g3,h4e7
3r4/3p4/1R1P1k1p/p1pN1p2/4nP2/3BPb2/P6P/4K3 b - -,f6e6
8/5kP1/p1K2p2/Pp3P2/1P6/2P1n3/8/8 w - -,c6b7
r3k2r/ppqnbppp/2p1pn2/8/3PN3/3Q1N1P/PPP2PP1/R1B1R1K1 b kq -,f6e4
1rbk3r/p3p2P/1qp2b2/1B2p2Q/3p4/2N5/PPP3PP/2KRR3 b - -,c8d7
6k1/R2n3p/1p1r2p1/1P6/P2B4/2P2P2/6PP/6K1 w - -,g1f2
r1bqr1k1/pp1nbpp1/3p1n1p/2pPp3/P1B1P3/2N1B2P/1PPN1PP1/R2Q1RK1 b - -,d7f8
2q3k1/2Rb1pnp/3p2p1/1p1Pp3/nP2P3/5NPP/3N1P2/Q4BK1 b - -,c8c7
8/8/8/1k2p2p/P2p3P/1K4p1/2R2rP1/8 b - -,b5b6
r2q1rk1/ppp1nppp/3b4/3p4/3Pn3/2N1P1B1/PP2QPPP/R3NRK1 b - -,d6g3
1qr3k1/4npp1/1p2p1p1/p2pN3/3P4/1P2PPP1/P1RQ3P/6K1 b - -,f7f6
8/8/4k1p1/7p/5P2/2r4P/6K1/R7 b - -,e6f5
8/5p1k/6pp/3pPp2/1P1P1n2/6NP/2R3PK/r7 w - -,c2b2
5r1k/6pp/p3p1q1/1b1p1r2/1p1P4/PP3P1R/1BQ3B1/2R1K3 w - -,c2f2
4R3/p5p1/1p1B1p2/1Pn2k2/r1P5/5PK1/6P1/8 w - -,d6c5
r2q1rk1/4ppbp/5np1/p2b4/Np6/4PN2/PPQB1PPP/2RR2K1 b - -,d5f3
5rk1/1p3pbp/2p5/p4R2/Pq6/3P3P/1P4P1/3Q1R1K b - -,b4b2
6k1/6p1/1r1q4/3P4/R1pQ1P2/p1P4P/6PK/8 b - f3,g7g5
8/2q2r2/3P3P/r1k1Q3/5P2/2P1R3/6PK/8 b - -,c5b6
r4rk1/1p1q1pb1/2np1npp/p1pPp3/4P3/P2P1NP1/1P1B1PBP/1R1Q1RK1 b - -,c6e7
4r3/6k1/3p4/1P1B4/2P2ppr/3Kp3/6P1/4R3 b - -,g7f6
2r2nk1/pp3p1p/6p1/3p1n2/1P5P/P1q2NPB/4QP2/4R1K1 w - -,h3f5
3q1r2/4b1k1/Bn2b2p/2p1P1pQ/3p1p2/1N4N1/1PP3PP/2B2RK1 w - -,a6d3
5rk1/2q1p1np/3p4/2pP1P2/1rP5/2R5/4Q1P1/2B2RK1 w - -,c1h6
4k3/2q2p1p/4p2Q/2P1Pp2/8/3r3P/6PK/1R6 w - -,h6g7
1rq2r2/p2b1pk1/3p1nnp/1pp5/4Pp1N/2NP3P/PPP3Q1/2KR1B1R b - -,g7h7
5rk1/4rp2/n5pp/1pp2n1P/8/PP4PN/5PB1/2R2RK1 w - -,h5g6
3q1rk1/pBrn1pp1/1p3n1p/4p1B1/3P4/P1P2Q2/5PPP/R3R1K1 w - -,g5d2
8/5k2/4N3/3p2R1/1PbK3p/3N2n1/2P3P1/3r4 w - -,e6f4
rn1q1rk1/pbp1bppp/1p2p3/8/3P4/P1B2N2/1PQ1PPPP/3RKB1R b K -,d8d5
8/7p/6k1/pP2Kp2/3r3P/5PN1/6r1/R7 b - -,d4b4
r1b1kr2/ppp1q3/2n2bpp/8/2B1p1nP/4PNQ1/PPPN2PB/3RK2R w Kq -,e1g1
r1b2r1k/p3q2p/1p6/2p1p3/2PnNp2/P1R2P2/1P3QPP/1B4RK b - -,c8b7
r2qr1k1/3n1ppp/b1p1pn2/pp6/P1pPP3/B1P2PN1/2Q3PP/1R2KB1R w K -,f1e2
