1R6/6pk/p1r4p/7P/6K1/8/1P6/8 w - -,g4g3
2rr4/1p1pkppp/p1n1p3/q7/2P5/P1R1P3/1P3PPP/3QKB1R w K -,d1c2
r1k4r/p1p1b1p1/1pp1p3/5n1p/8/1P3N1P/PBP2PP1/3RR1K1 b - -,h8h6
2kr2r1/pppq3p/2np1p2/4p3/4P2P/2PPB1P1/PP3P2/R2QK2R b KQ h3,d7g4
4n3/pp4kp/2n3p1/3p1Rq1/8/P2B4/1PP3PP/7K w - -,f5g5
2k3q1/p1r4p/1p2b3/3pQP1p/4P3/6P1/1Br3B1/R5K1 b - -,c2e2
rn1qkb1r/pp2pppp/2pp1n2/8/2PP4/5PP1/PP3PBP/RNBQK2R b KQkq -,g7g6
1r1r4/4Rpk1/2p2qp1/7p/3P3P/2Q3P1/5P2/4R1K1 w - -,e1e4
3q1r1k/pp2p1bp/8/P1rPn3/4Qp2/2N4P/1P2BPP1/R2R2K1 w - -,e2d3
rn2r1nk/pp3p1p/2pN2p1/4q1Q1/4P3/P4P1P/1PPR4/2K2BR1 b - -,e5g5
2r4k/pp3Qpp/2q2b2/5n1P/5P2/2p2N2/PPR2P2/1K2R3 b - -,f5d6
8/2q1k1pp/p3bp2/1pN1p3/1P2P3/P3QP1P/6PK/8 b - -,c7b6
4qr2/6k1/3r1bp1/p3p3/Pp1pP1QP/1B1P1R2/1PP3P1/5RK1 b - -,g7h6
2rq1rk1/pb1npp1p/2p3pb/2pnB1N1/P2PN3/1B4QP/1P3PP1/3RR1K1 w - -,g3h4
rnbqk2r/p3ppb1/2pp1n1p/1p4p1/3PP2B/2NB1N2/PPPQ1PPP/R3K2R w KQkq -,h4g3
1rr3k1/3bppb1/n2p2p1/p1pP2P1/q3PP1R/2P1B1N1/PPQ5/2K2B1R b - -,a4c2
r3kb1r/pp3ppp/2n1bq2/1BPnp3/8/N1P1BP2/PP1QN2P/R4RK1 b kq -,a8d8
1r6/2Rb2p1/3k4/p3pp2/Pb1p4/3P1PP1/4PK2/2R5 b - -,b4c3
r1r2bk1/3b3p/1R2R1p1/p3p3/2p1P3/P1N1B1P1/P4P1P/6K1 w - -,e6e5
1R1R4/1r2r2p/2p1p1k1/p3Ppp1/P1P5/1P4P1/4KP1P/8 w - -,e2d3
r2qnrk1/pb1nbppp/1p6/3pP3/3p4/5NP1/PP2QPBP/R1BR1NK1 b - -,e8c7
rb1r2k1/4p2p/p3p1p1/1p6/4PP2/1P2B2P/4N1P1/2R3K1 w - -,g1f2
r1bqkb1r/3p1ppp/p3pn2/2p5/3NP3/2N5/PPP2PPP/R1BQ1RK1 w kq -,d4f3
