8/r7/P1B2k2/1p3p1p/1K6/4P3/4b3/R7 w - -,c6b7
3r2k1/p2N1pbp/4p1p1/8/8/1B2q3/P4RPP/3R1K2 b - -,g7d4
r2q1rk1/3nbppp/b3p3/p2p4/N7/P3B1P1/1P2PPBP/2RQ1RK1 w - -,d1d2
2rqkb1r/pp1bpppp/5n2/n2p4/3P1B2/2N1P3/PPQ2PPP/R3KBNR w KQk -,f1d3:g1f3
1r1r2k1/pp1b1p2/4pqpp/3P1n2/P1P1Q3/3B1N2/5PPP/R3R1K1 b - -,e6d5
3r2k1/p1nq2pp/p3p3/1bP1Pp1P/2Q2N2/6B1/P1P2PP1/1R4K1 w - -,c4b3
R7/5pkp/2p1p1p1/4r3/p3P1P1/2P2P2/5K1P/8 b - -,e5c5
r2qk2r/1p1n1pp1/p2ppnp1/3p4/3P4/2NBPQ2/PPP2PPP/R4RK1 b kq -,d8b6
4n1k1/pp1r1p2/2p1p2p/2P1P3/6QP/2PrP3/P5K1/5R2 b - -,e8g7
2r3k1/2q3pp/p1b1pr2/1p1p4/3Q1P2/P1PB4/1P4PP/R4RK1 w - -,a1e1
8/6b1/4q1k1/5pp1/8/5QB1/1n4PP/4R2K b - -,e6d7
8/p2rq1k1/Qp2ppp1/5n2/4N3/1PP5/1P1R1PP1/6K1 b - -,d7d2
8/1q3bk1/5pp1/4p2p/7P/4QPB1/6PK/8 b - -,b7b1
rn1q1rk1/p1n2ppp/1pp2b2/4Pb2/5BQ1/2p3P1/PP3PBP/3R1RK1 w - -,g4f5
6r1/1Nr1kp2/1bp4p/pp1p4/3PpNbP/PP2P1P1/2RK1P2/6R1 w - -,b7c5
2bqk2R/6b1/p2pp1P1/2p2Pn1/P2pPNp1/1B6/1PP3Q1/2K1B3 b k -,g7h8
8/5k2/3p1b1p/2pP4/1p2KP2/6B1/r6P/1R6 w - -,e4d3
r2b4/6k1/7p/p4R2/1pN2P2/1P4P1/1P5P/5K2 w - -,f5d5
r2qk2r/2p1bppp/p1np1n2/1p2p3/4P3/PbNP1N2/1PP2PPP/R1BQ1RK1 w kq -,c2b3
8/8/1p3p1p/p1b2k2/P4R2/1P2P1P1/3rBP1P/5K2 b - -,f5e5
r2q1r1k/p2n1pp1/1p2pb1p/2p3N1/3Pb2P/5N2/PPPQ1PP1/2KR3R w - -,g5e4
r1bq1rk1/pp2bppp/2n1p3/1B2p3/3P1B2/2P2N2/P4PPP/R2Q1RK1 w - -,f3e5
r4rk1/2pb1ppp/pbnp2qn/1p1B2B1/3PP3/5N2/PP3PPP/RN1Q1RK1 w - -,b1c3
1r6/4bpk1/R2p4/p1pP2p1/P1P3P1/6BP/6K1/8 w - -,a6a5
r1b2rk1/ppq1bppp/3p1n2/n1p1p3/4P3/1BP2N1P/PP1P1PP1/RNBQR1K1 w - -,b3a4
r3k2r/pp1qpp1p/2n2bp1/3p1b2/1P1P4/1NPB1N1P/P4PP1/R2QK2R b KQkq -,d7e6
5k2/5pp1/1p2p2p/p1b1P3/7P/1P1r1NP1/P4PK1/R7 b - -,a5a4
rn1qk2r/ppp2p2/4b2p/3p2p1/3b1p1P/3B4/PPP3P1/RNBQR1K1 w kq -,g1h1
2r4r/8/8/8/1P1K4/4Q1k1/P7/8 b - -,g3g2
5rk1/p2b1rpp/4p3/3pPn2/2qP1p1P/P1P2P1Q/3BN1P1/R4RK1 w - -,f1e1
rnb1kbnr/pppq1ppp/4p3/3pP1B1/3P2Q1/2N5/PPP2PPP/R3KBNR b KQkq -,b7b6
7k/1p1q2r1/1p4rp/pPb1Ppp1/P1Rp1P2/3P2PP/7K/R1B4Q w - -,h1e1
5k2/5p2/5Bp1/3K2P1/Bb6/8/8/8 w - -,d5c6
r3rnk1/1bq1bppp/p1npp3/1p6/4PP2/PNNB3Q/1PPB2PP/4RRK1 w - -,e1e3
r4rk1/1p1bqppp/p1n1p3/3p4/3Nn3/2PBPN2/PP3PPP/2RQ1RK1 b - -,e6e5
3n4/p1r2p2/R1p1k3/2P1P2p/3K4/5B1P/8/8 w - -,f3h5
r4rk1/pp1nbppp/1qp1pn2/3p1b2/2PP1B2/2N1PN1P/PP2BPP1/R1Q2RK1 b - -,d5c4
2r2rk1/p3bp1p/1p2p1p1/3b3Q/3P1N2/P3B3/4KP1P/q5R1 w - -,g1g6
8/5p2/4bkp1/4b2p/1R2P2P/5BP1/2r1PPK1/8 w - -,b4b6
1r3b1k/7p/5pp1/3Np3/1P6/7P/4KPnB/2R5 b - -,f8h6
r1bq1rk1/pp2bppp/2n2n2/2pp4/3P4/1PN1PN2/PB2BPPP/R2QK2R b KQ -,c8g4
r1b2rk1/pp2b1pp/4p3/3pP1Nq/2p1nBpP/2P1P3/PPB1QP2/2KR3R b - -,b7b5
r6r/p2n1pk1/1p2p1pp/n1ppP3/3P2N1/PqP1QN1P/1P2RPP1/4R1K1 b - -,a5c4
2k5/8/p2r1p2/1p6/2pqP3/8/1P2QP1P/6RK b - -,c8c7
