8/5p2/5k2/4pn2/p4K2/P4P2/1P3B1P/8 w - -,f4e4
rn1qk2r/1pp2ppp/pn1bp3/4P3/3P1B2/8/PPP2QPP/2KR1BNR b kq -,d6e7
r4rk1/p2nqppp/1p2p3/2p5/2PPQ3/5N2/PP3PPP/R4RK1 w - -,a1d1
r1bq1rk1/pp2ppbp/2np2p1/8/2PNP1n1/2N1B3/PP2BPPP/R2Q1RK1 w - -,e2g4
8/8/8/4K3/6k1/6p1/8/4R3 b - -,g4f3
r2q1rk1/pbpnb2p/1p1pp1p1/5p2/2PPP3/2PB1N1P/P1Q2PPB/R3K2R w KQ -,a1d1
r2q1rk1/2p2pbp/p1pp2p1/3P4/2P2B2/6P1/PP2PPKP/2RQ1R2 b - -,g7b2
r2qk3/1ppb1p1r/3p1np1/p1nPp2p/2P1P2P/2N3N1/PPBQ1PP1/R3K2R w KQq -,e1c1
2rq2k1/1p1n2bp/p2p2p1/P2Pnr2/2p1R3/R3N2P/1PQB1PP1/5BK1 b - -,f5f8
r4rk1/pb2nppp/2q5/1Qpp4/8/1P3N2/PBP2PPP/R3R1K1 w - -,b5c6
4rrk1/p2Q2pp/1p2p3/2b2q2/5N1P/3RP1P1/P3RK2/8 b - -,e8e7
r2nr1k1/pp2qpp1/2p2n1p/3p1P2/2P2B2/1P4PP/P4PBK/R2Q1R2 b - -,e7d7
r4rk1/1pq1ppbp/p2p1np1/5bB1/Pn1P4/2N2N1P/1PPQBPP1/R4RK1 w - -,f1c1
6bk/8/pp5p/2p1R3/P7/1PP5/7P/2K5 b - -,g8b3
r7/3k1p2/1PNp2p1/3P4/4P1P1/2K4P/8/8 b - -,d7c8
8/8/3n4/3k3p/p1p2p2/B1P2P2/6K1/8 w - -,g2h3
8/p7/1p2p1p1/2pk1p2/P1R2PP1/r1P2K2/8/8 w - -,g4f5
r1bqkb1r/1p4pp/p1np1n2/4ppB1/2B1P3/N1N5/PPP2PPP/R2QK2R b KQkq -,f8e7
2q4r/p2b1k1r/1p3p2/2p3pp/3pPpP1/3P1Q1P/PPP3KN/5R1R b - -,h5g4
r5k1/pbpp2pp/1pnbp2r/7q/2PPN3/P2Q1NP1/1P3PBP/R4RK1 w - -,h2h4
