5R2/5P2/2pkPK2/1p6/8/8/8/5r2 w - -,f6g7:f6g6
r2q1rk1/ppn3pp/2ppbb2/4p3/1PP1PpP1/P1NP3P/5PB1/1R1QK1NR b K -,d6d5
r4r1k/1bq1b2p/p4np1/2p1p3/1p2PP1P/1P1BB1NQ/P1P5/4RRK1 b - -,c5c4
r3r1k1/1qpn1ppp/5n2/Bp6/1P1R4/2N3P1/2Q1PP1P/3R2K1 b - -,d7e5
5k2/R5p1/7p/1B6/3pnPK1/P3r2P/8/8 w - -,a7a8
r3k2r/pp1bqp1p/2n1p3/2bp3Q/6P1/2N1P3/PPP1NP2/2KR1B1R b kq -,e8c8
3r2k1/2R2np1/1B3p1p/p2b4/8/6PP/PP3PB1/6K1 b - -,d5g2
5k2/R5Rp/3r1rp1/2p1p3/P3p3/2P3P1/5PKP/8 w - -,g7h7
5k2/8/1p1pP1KP/6bB/2P5/8/8/8 b - -,g5f4
8/2p2kp1/4n2p/1p1r4/p1p3RP/P1P1KN2/1P3PP1/8 b - -,e6c5
r1b2rk1/ppp1bppp/2n5/3q4/5B2/2NP1N2/PPP3PP/R2Q1RK1 b - -,d5a5
r2rq1k1/p5p1/4bpp1/1p1n4/2N4Q/1P2P3/PB1R1PPP/3R2K1 w - -,c4a3
4kb2/pp5R/q1r1p3/1b1p1pN1/3P1Pr1/4BK2/PP6/2R4Q b - -,b5e2
1r3r2/R4pkp/3ppnp1/8/8/1q1P2PP/1P1QPPB1/5RK1 w - -,f1b1
5rk1/3q1ppp/4b3/3pP3/n1pB4/3r2P1/RP2QPBP/3R2K1 b - -,f8c8
3r4/5ppk/3p3p/bp1NpP2/p1r1P3/P1P2KP1/1P2R2P/3R4 b - -,d8d7
r4r2/1ppbk2p/3p2q1/p1nP1pPN/2P1pP1P/2N5/PPBQ4/1K1R3R b - -,g6h5
8/5p1p/3K4/k3P1n1/P5B1/8/8/8 w - -,g4d1
2Q5/kpp1r2p/pq1b4/4p3/3P2B1/2P1P3/PP1n2PP/4RRK1 w - -,f1f8
2q1k2r/Q3b1pp/p1pppp2/8/4P3/1R2B3/PP3PPP/6K1 b k -,e8f7
r4rk1/pp2nppp/3qbn2/2bp4/1P5Q/2PB1N1P/P4PP1/RNB2RK1 b - b3,c5b6
3nr1k1/pb4p1/1pr1p2p/2b2pN1/B4B2/2P4P/PP3PP1/R3R1K1 w - -,g5f3
4q1k1/6pp/npr1pb2/p2p4/Pn1P4/NP4P1/1B2QPKP/R2N4 w - -,d1e3
r4rk1/6bp/bq1p2p1/2pPp3/2Bnp3/4B2P/PP1Q1PPN/1K1R3R w - -,d2c3
rn3rk1/pp4bp/2p1p1p1/3q1n2/3PNP2/2P2Q1P/PP1B4/R3KB1R w KQ -,e4g5
6n1/6k1/6B1/3N2KP/8/8/8/8 w - -,d5e3
1r3rk1/2pqbppp/p1p1p3/3n4/4N3/1P1P1Q2/PBP2PPP/R4RK1 b - -,f7f6
5r2/k7/2p1p2p/3n3r/PRpPNP2/5KP1/7P/1R6 b - -,d5b4
4Rnk1/4Qp1p/p7/2p5/P2b1p2/7P/1q4P1/6BK b - -,d4g7
rn1qk2r/pbpp2bp/1p2pnp1/5p2/2P5/1PNPPNP1/PB3P1P/R2QKB1R b KQkq -,c7c5
8/8/3b1k1p/p5pB/P1P5/4P3/5K1P/8 w - -,h2h3
3r2k1/p1qrnppn/1pp1p2p/7P/1PQPNP2/P5P1/2BR1PK1/3R4 w - -,a3a4
5rk1/5p1p/pr3Pp1/3pq3/RP5Q/2P5/6PP/R6K w - -,a1f1
3r1r1k/7p/3p1n2/1BqN1p2/2PRp3/P5PP/KP1Q1P2/8 b - -,f6d5
rr2n1k1/3nppbp/3p2p1/qNpP4/P3P3/R4NP1/1P2QPKP/2B4R b - -,e8c7
r4k1r/1bq1bpp1/p3pn2/1p6/2pPP2p/P1P1B2P/2B1NPP1/RQR3K1 b - -,c7c6
r1bqk1nr/pp2ppbp/2n3p1/3p4/3P4/1P3N2/PBP2PPP/RNQ1KB1R b KQkq -,g8f6
8/3k4/p2p3r/8/2R1P3/2P5/P1P5/2K5 w - -,c1b2
1k2r3/1b6/p6p/2p3p1/Pp1r4/4N1qB/1P2Q1P1/R4RK1 w - -,e3f5
r1b2rk1/ppq3bp/1n2p1p1/5p2/2pPP3/2P1BP2/P1BQN1PP/2R2RK1 b - -,f8f7
rnbqk2r/ppp1p1bp/3p1np1/5p2/2PP4/2N2NP1/PP2PPBP/R1BQK2R b KQkq -,c7c6:e8g8
8/8/8/p7/8/2pk4/P7/2K5 b - -,d3c4
3r2k1/5ppp/1p4b1/1Pn3P1/2R1p3/2N1P2P/5PB1/6K1 w - -,c3e4
1r2r1k1/pp1q1ppp/1n2bn2/8/P1pP1N2/2P5/2BB1PPP/RQ2R1K1 w - -,a4a5
4r2k/1R2b1pp/4P3/p2pp3/1p5P/3P4/PP3BP1/6K1 w - -,b7b5
rn5r/pN2kp2/1pp1p1p1/3nP3/3P4/1R3N2/P4PPP/2R3K1 b - -,b8d7
3n4/1pk3p1/5p2/3RNb1P/3P4/2r4P/6BK/8 w - -,e5g4
4r1k1/5p1p/p2p2p1/1p6/3pP3/3R1P2/PPr3PP/3R2K1 w - -,d1d2
r2qrbk1/ppp1npp1/3p3p/3np1P1/2B5/P2PBN1P/1PPQ1P2/R3K2R w KQ -,g5h6
5rk1/pp1qbpp1/5B1p/3p4/3r4/2N5/PPP2PPP/R3R1K1 w - -,f6d4
2q3k1/1p4pp/p2Q1p2/3b4/3Bp3/1P2P2P/P4PP1/6K1 b - -,d5c6
2Q5/4q1bk/4nnp1/2pp3p/1p5P/1P1N1P2/P4BP1/3N1K2 b - -,e7d7
1r2n1k1/3nppbp/1q1p2p1/1NpP4/2P2B2/R6P/1P2BPP1/1Q4K1 w - -,f4d2
2rqk2r/p2nbppp/bp2pn2/2p5/2PPp3/1PB2NP1/P2N1PBP/R2QR1K1 w k -,d2e4
2Q5/6kp/p2p4/2b1qp2/2b1p3/2P5/PP2N1B1/1K6 w - -,e2d4
8/5p1p/2p1rb2/ppPr1kp1/3P1p2/1P3P2/P2RRBPP/3K4 w - -,a2a3
8/6pp/2p2p2/4k3/2p1P3/2P3P1/4RK1P/r7 b - -,a1c1
r1bq1rk1/pp1n1ppp/5b2/4p3/3pPB2/6P1/PPP1NPBP/R2Q1RK1 w - -,f4d2
r3kb1r/pppq2pp/1nn1bp2/4pP2/4Q3/2N1P1P1/PP1PN1BP/R1B2RK1 b kq -,e6f7
r1b2rk1/pp1pnpbp/1q2pBp1/2p1n3/2B1PQ2/2NP4/PPP1NPPP/2KR3R b - -,e7c6
r1k2b1r/2p2pp1/1pp1b3/p3Pn2/2P2P1p/1P1R1N1P/PB2N1P1/3R2K1 w - -,d3d8
r4r2/1b2n1bk/p2p3p/P1p1pPp1/2B5/1PN2PPn/2P3KP/1RN1BR2 b - -,g5g4
2n1k1b1/1p4P1/5R2/2P1K3/5p2/2P5/6P1/8 b - -,g8f7
1r6/4kp2/p3b3/3p2p1/1P1PnpP1/2K5/P3B3/2R4R w - -,c3b3
rn1q1rk1/2ppb1pp/1p2p3/5p2/p1PPb3/1QB3P1/PP1NPPBP/R4RK1 w - -,b3d1
rn1q1rk1/3nbppp/p1p1p3/1p1p4/2PP4/1P1NP3/P1Q1NPPP/R1B2K1R w - -,c1b2
2Q5/p2rk1bp/1p1rpq2/8/8/P1P5/KP6/6R1 b - -,d6d2
5r2/1p3pk1/1pp3pp/4P1q1/4P3/1PP2P2/P3Q2P/3R2K1 w - -,g1h1
8/6p1/4p3/4P2p/pr3P1P/5kPK/1P1R4/8 w - -,d2c2
r1bq1rk1/pp1nppbp/2p2np1/3p4/1PPP4/4PN2/PB1N1PPP/R2QKB1R w KQ -,d1b3
7k/Q2n1q2/p1p1r2p/4P1p1/2pB2RP/5P2/P7/7K w - -,h1g2
r1bqkb1r/pppp2pp/2n2n2/5pB1/2PPp3/2N2N2/PP2PPPP/R2QKB1R w KQkq -,f3e5:f3d2
r1n1kb1r/pp1q2pp/2p1bp2/3p1p2/3P3P/2PBPNP1/PPQN1P2/R3K2R b KQkq -,c8d6
r1bqk1nr/pp1pppb1/6p1/2p5/3nPP1p/2NPB1P1/PPP1NKBP/R2Q3R w kq -,e4e5
3R4/p1r1p2k/1n2p1pB/8/8/6PP/4PP1K/8 w - -,h6f4
4r1k1/7p/4q1p1/2p2pPP/1p1b1P2/1PpP4/r1P3Q1/1RB2R1K b - -,e6e2
