8/8/4n1P1/Pk5P/4p3/6K1/8/8 w - -,h5h6
2rr2k1/pp2q2p/2pn1pp1/3p1n2/PP1P1P2/3NPB2/2Q2P1P/2R3RK b - -,f5h4
n1kr1b1r/Bp2p1pp/2p1n3/P3p3/2P3P1/2N5/1PK1BP1P/R6R b - -,e6d4
6k1/7p/1bpr2p1/1p2R3/pP6/P1P1P1P1/2N1K2P/8 b - -,g8f7
r3rbk1/5p1p/4bnp1/4N3/p1P1P3/6PP/1B3PB1/3R1RK1 b - -,a8b8
6k1/4Q3/5P2/1p3pK1/8/3p4/8/8 w - -,f6f7
8/8/4k3/3r1pp1/8/R6P/6K1/8 b - -,e6e5
5rk1/1p2nppp/4pn2/pP6/2BqpP2/R6Q/3B2PP/5RK1 w - -,h3e3
r1q1rbk1/pp1b1ppn/2ppn2p/4pN2/1PP1PP1N/3P2PP/P2B2BK/2RQ1R2 w - -,d1g4
1r6/4p1kp/1q1pBpp1/2r1nP2/4P3/1P5P/1P3QP1/3R1R1K w - -,d1a1
r7/1kprb1p1/pp3p2/4p3/1P1P3p/PNR1P1P1/5P1P/1R3K2 w - -,f1g2
r2q1rk1/1pn3bp/2p2pp1/p7/P1PPN3/4PQ2/3B2PP/1R3RK1 b - -,a8a7
5bk1/3q3p/1r2p1p1/pp3p2/P6P/1QP5/1P2BPP1/4R1K1 b - a3,b5b4
3r1rk1/bp4p1/p1nNR2p/8/P7/6B1/1P1R1PPP/6K1 b - -,a7c5
5k2/3P3Q/6p1/1p2P3/5pqb/2P5/r5P1/6RK b - -,f4f3
1r4k1/1p3pp1/1N2bn1p/pPR5/P3p3/4P1PP/3r1P2/2R2BK1 b - -,b8d8
r6r/pp3pk1/4p2p/1P1pb1p1/6PP/4B2q/PPR2P2/2RQ2K1 w - -,f2f3
2b5/2pr2kp/2p2pp1/p1p1q3/P1P1P1N1/1P1R1QPP/5P1K/8 b - -,e5b2
8/1p4p1/2p2k1p/2Pp4/P1n1r3/P2RP1N1/5K1P/8 b - -,e4h4
2r1r3/1p1n1pkp/p3p1p1/4P3/b3PP2/3B4/P3KBPP/2R4R b - -,e8d8
4n3/1p3pp1/2pk4/6p1/1PP5/5PP1/2BK3P/8 b - -,b7b6
r4rk1/3nppbp/q2p1np1/2pP4/4P3/2N1BPN1/PP4PP/R2QK2R w KQ -,d1e2
3r2k1/pp3pp1/2p3p1/3n4/3P3P/4q1P1/PP1RB2K/3RB3 b - -,d8e8
5rk1/1p1r3p/pq2n3/3pP1pP/Pb1P1pP1/1P1Q1B2/2R2B2/3R2K1 w - -,d1a1
8/1p2k3/p3p3/P2bPp1p/1P5P/6P1/4NK2/8 w - -,f2e3
r1bqkb1r/ppp2ppp/2n1pn2/8/3PP3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,a2a3
8/1b1R3p/6pk/2p1p3/r4p1P/P2B1P2/1P4P1/6K1 b - -,b7a8
4n2k/pp6/3pQn2/2pP4/2P2P2/1P3R1P/3q2PK/8 w - -,e6e3
3r1rk1/R4p1p/2p2p2/1p6/3P2b1/PB6/1PN1nPPP/R4K2 b - -,e2d4
8/7p/p6k/3pB2P/1b3PP1/1P4K1/8/8 w - -,g3f3
r1bq1rk1/ppp1bppp/5n2/3p2B1/3P4/P1NQ4/1PP1NPPP/R4RK1 b - -,c7c6
1rb3k1/p3bppp/1qn1p3/1p4PB/4pP1N/3r3P/PP2N3/R1B1QR1K b - -,c6b4
rnbqk2r/pp3p2/3p3p/2pPp1pn/2P5/2PBP1B1/P1Q2PPP/R3K1NR b KQkq -,e8g8
r1q1k2r/pp1b1pb1/3p1nnp/2pP2p1/2P1Pp2/2N1B1P1/PP1QBN1P/2KR3R w kq -,g3f4
8/1q6/k1b1p1p1/PpPpPpPp/1K1P1P1P/3B4/8/Q7 b - -,b7d7
4k3/1p3p1p/p2pbp2/4p3/q2PP3/2QK4/1PP1r2P/3R3R b - -,a4b5
4br2/pn2ppkp/6p1/r1pB4/5P1P/3N2P1/P3PK2/2RR4 b - -,a5b5
8/p2rkpp1/2p1pb2/3r3p/2pP4/P1P3BP/1P1R1PP1/3RK3 w - h6,h3h4
r1q1n1k1/1p2p2p/3p2p1/4b1P1/PQ1NP3/1P6/2P4P/2KR3R b - -,e8g7
2kr3r/pp1q2b1/3p2pp/3Pnp2/3p1B1P/2N5/PPPQ2P1/1K1RR3 w - -,d2d4
r1bq1rk1/ppp1ppbp/2np1np1/8/2BPP3/5N2/PPPNQPPP/R1B2RK1 b - -,e7e5
8/1k6/p3R2b/P7/1P4P1/1K2N1r1/8/8 w - -,e6h6
8/6pp/1k6/2R1p3/2p4P/8/r4PP1/4K3 w - -,c5c4
r5k1/4Bpp1/4p2p/1p1b4/8/8/3nNPPP/2R3K1 w - -,e2f4
Q7/2p3pk/1q1p3p/1p6/4pr2/1P1R4/1KP5/8 w - -,d3d5
r1bqkb1r/pp1pnppp/4p3/8/2BQP3/2N5/PPP2PPP/R1B1K2R b KQkq -,e7c6
r1bqk2r/1p2ppbp/1np2np1/p3N3/P2P1B2/2N5/1PPQBPPP/R4RK1 b kq -,e8g8
r1bq1r1k/pp4pp/2p1p3/2PpQp2/3P1P2/P1PB1P2/6PP/2R1R1K1 b - -,b7b5
5k2/5pp1/1b2p2p/1p2P3/pP2KPPP/Pr2N3/R7/8 w - -,e3c2
8/7p/R2p2p1/3Pb3/4P3/1r2N1kP/4K1P1/8 b - -,b3b4
3R1R2/4r1pk/1p5p/p6P/Prp5/2K5/8/8 b - -,g7g5
r2qnrk1/1p1bppbp/p2p2p1/4P3/2PB1P2/2N5/PP2B1PP/2RQ1RK1 w - -,c3d5
6k1/6bp/r3p1p1/2pp4/P4B2/1P2R1P1/4NPKP/2r5 w - -,e2c1
4r2k/p5rp/Pp2B1p1/1qbP1p2/8/2P4P/4Q1R1/4RK2 b - -,b5a5
5bk1/6pp/5p2/4p3/8/2qP1NP1/4PPKP/4R3 w - -,e1f1
R3nq2/5k1p/2Brppp1/1Q6/8/3P2PP/4PPK1/8 b - -,d6c6
rnb1k2r/1p3ppp/p3pn2/4q3/2BN4/B1P5/P4PPP/R2QR1K1 b kq -,e5a5
6k1/1p3p1p/p7/P1n1PB2/5P2/8/1p1r3P/R5K1 w - -,a1f1
2bq1rk1/p1p2p2/1r1p1n1p/2b3p1/B3P3/6B1/PPP2PPP/RN1Q1RK1 b - -,f6e4
3r2k1/5pbp/6p1/p2BP3/Rp1n1P2/1Q2K3/1P4PP/8 b - -,d4b3
r2qr1k1/1p1b2bp/n4np1/2pP1p2/2P2P2/3B3P/N1Q1NBP1/1R3RK1 b - -,d7a4
r1bq1r2/ppp2pk1/2n1pb1p/6p1/3P2PP/2PBBN2/PP1Q1P2/2KR3R w - -,h4g5
r3r1k1/1p2bppp/1q2bn2/4p1B1/p2pP1PP/5P2/PPP5/1KNRQB1R w - -,c1d3
8/8/R4Rpk/p4P2/2P5/3K3r/8/6r1 w - -,d3d4
8/4b3/6k1/3n1p1p/3P3P/6K1/5P2/2N5 b - -,f5f4
2brr1k1/1p3pp1/2pp3p/p5n1/Pq1BP3/2R1Q1PP/2P2PBK/4R3 b - -,c6c5
3qn3/1p3p1k/pN1p2pp/3Pp1b1/1P2P1P1/P2QBP1P/7K/8 w - -,e3g1
4r1k1/2qnrpbp/b2p1np1/p1pP4/PpP5/1P4N1/1B2BPPP/RN1QR1K1 b - -,h7h5
r1b1kn1r/pp3qpp/2nb4/3pP3/8/P2BBN2/1P2NPPP/R2QK2R b KQkq -,c6e5
r2qr1k1/pppbbppp/2np1n2/8/3PP3/5N1P/PP1NBPP1/R1BQ1RK1 w - -,f1e1
R7/5ppk/4p2p/1rppP3/1n6/2N1PP2/1B1n2PP/6K1 b - -,b5b7
2rr2k1/p3qppp/bp2pn2/n3N3/2PP4/3B2Q1/PB3PPP/2RR2K1 b - -,g7g6
1r4k1/p1p2ppp/3bp3/8/q2PNn2/Pr2P3/1PQ2P1P/R1B2RK1 w - -,e4c3
rn1qkb1r/5pp1/p1p1pn1p/1pPp1b2/3P4/1PN2NP1/P3PPBP/R1BQ1RK1 b kq -,b8d7
5k2/r1pR4/N1Pn1p2/1P6/1K2P1p1/6P1/7P/8 w - -,d7c7
rnb1kb1r/1pqp1ppp/p3pn2/6B1/3NP3/2N5/PPP1BPPP/R2QK2R b KQkq -,f8b4
3q1rk1/p5bp/8/4p1p1/3nN3/6B1/P1r2PPP/R2Q1R1K w - -,d1g4
r3kb1r/pp2pp1p/2n3p1/1Bp2b2/3P3B/2P1P3/P4PPP/R3K1NR w KQkq -,b5c6
r1b1k2r/1p1p1ppp/2n1pn2/4b3/4PPQ1/2P5/PP4PP/R3KB1R w KQkq -,g4f3
8/4p1kp/1Rn5/7P/1pr1P1K1/5P2/3B4/8 b - -,h7h6
r4rk1/2qn1ppp/p2p4/1p1P1B2/5b2/2P5/PP1Q2PP/4RR1K w - -,f1f4
3R4/5k1p/5p2/8/bP1Bpp1P/8/1r4P1/6K1 b - -,b2b1
2r2B2/1Rb3Pk/4p2p/2P1P3/5P2/8/2K5/8 w - -,c2d3
8/1p6/p3k3/P3p3/1PP1K2P/4B3/6pb/8 w - -,h4h5
8/4r1k1/pp2qrpp/2p2p2/P1P2Q1P/3P2P1/1RR1PP2/6K1 b - h3,e6c6
3rr1k1/1b1q1p2/1p4p1/pP1p1nb1/P1pP1N2/B3P1P1/3Q1PB1/1R2R1K1 w - -,g2f3
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/3P1B2/3BPN2/PPPN1PPP/R2QK2R b KQkq -,b8c6:f8e7
rn3rk1/pp1bbppp/1q2pn2/2ppN3/3P1B2/2N1P3/PPP1BPPP/1R1Q1RK1 b - -,c5d4
3R2k1/6bp/r4np1/4Np2/5P2/1P2B1PK/P1r4P/8 b - -,g7f8
4k2r/1q1n1ppp/p2Qpn2/1p6/2r5/2N1bNP1/PP2P1KP/R1B2R2 b k -,c4d4
1rb2rk1/1pqnppbp/p2p1np1/2p5/2PP4/1PN2NP1/P1Q1PPBP/R1BR2K1 w - -,a2a4
8/4k3/p1P4p/1p3p2/3R1p2/2P2P1P/P3p1PK/8 b - -,e2e1q
8/pp5p/6p1/1Pk5/4K3/P3P2P/5PP1/8 b - -,c5b5
8/p1p1r1rk/1p1p1qnp/PP1P1p2/1P3Q2/5BP1/2R4P/5R1K w - -,f4d2
3r1r1k/pp1b1p1p/2nRp3/q4p2/5Q2/4PN2/PP2BPPP/2R3K1 b - -,d7c8
2r4k/3r1pq1/1p2pbp1/1P5p/3P1Q1P/4B1P1/3R1P1K/3R4 w - -,d4d5
2r2rk1/pb1pq1pp/np1ppn2/3P1p2/1PPN4/P5P1/4PPBP/R1BQ1RK1 w - -,d1b3:d1d3
5r2/1R3p2/5P1k/4K1p1/4B1P1/6rp/P7/8 b - -,g3g4
8/5kb1/1p1r4/p1p1pp2/P1P2P1p/3P1N1P/4K3/1R6 b - -,e5f4
2br2r1/p2n2qk/1p3p1p/4p3/1PP1P1BQ/2P5/5RPN/3R2K1 w - -,g4f5
r1bk3r/pp1n3p/2pb1p1n/4p1pP/2B1P3/2N5/PPP1NPP1/2KR3R w - -,d1d6
5k2/p3r2p/2R3p1/b4p2/5P2/1B2P3/P3KP1P/8 w - -,h2h4
r3k2r/pp2p3/3pq1p1/8/1PPpPPp1/3P3p/P4Q2/R1N2R1K w kq -,c1e2
3rnrk1/1p1q4/pQ1p1b1p/3Pp1p1/1BN1P2n/6N1/PP4PP/R4RK1 w - -,a1c1
8/8/4k1p1/7p/3bp2P/8/2R1K1P1/r3B3 b - -,e6f5
3b4/2k5/1p6/1K2p1pB/PP2P2p/8/7P/8 b - -,c7b7
2kr3r/pppqnpp1/2nbb3/3p3p/3P1B2/2PB1Q1P/PP1NNPP1/R3K2R w KQ -,e1c1
