6R1/8/4pN2/2K1P3/p5pk/Pr3b2/8/8 b - -,g4g3
r1b2rk1/1q2bppp/pp6/3pP3/P3nP2/N3BNnP/1P4PK/R2QRB2 w - -,a3c2
r1rq2k1/5ppp/p1n1p3/1p3b2/3PnB2/Q1P2N2/P3BPPP/R1R3K1 w - -,a3b2
2kr3r/1ppqppb1/pn1p2pp/3PP3/3R1P1P/2N1QP2/PPP5/2K2B1R w - -,f1h3
1r1qr1k1/5pbn/p1N4p/4P1p1/1n3PP1/1P1bB1NP/3Q2B1/2RR2K1 b - -,b4c6
4r1k1/1q2r2p/3p2p1/3P4/Q7/P1P4P/1P3RPK/5R2 b - -,b7d5
8/p2k1p2/4pBp1/1pb2rP1/5R1P/P1P2K2/1P6/8 w - -,f3e4
3q1rk1/rp1nbppp/p3p3/3p4/N1nP4/3NPPB1/PPQ3PP/2R2RK1 w - -,f1e1:c2e2
6kq/1p1R1p2/3nr1p1/4p1Q1/3pP1Pp/P2B1P2/1P4KP/8 b - -,h8f6
5r2/6bk/p2q2pp/3P4/2Q1R1P1/P3R3/K7/8 w - -,c4b3
1k1r4/5bpp/2p2p2/4p3/4P2P/2Pr2PB/8/2KR3R w - -,d1d3
r3kb1r/pp1n1pp1/2p4p/8/3Pp3/1PN3P1/1Pb2PBP/R1B2RK1 w kq -,g2e4
6k1/5pp1/4b2p/R7/3p4/4PB1P/3r1PP1/6K1 w - -,a5a8
r5k1/bpp1nrp1/4b2p/1p1pPp2/1B1P4/P2B1N2/1P3PPP/R3R1K1 b - -,g7g5
2rq1rk1/1b3ppp/pp2nb2/3p4/P2Nn3/1P3NPB/2Q1PP1P/1R1RB1K1 w - -,c2d3
3r1rk1/1bq1np1p/p3pQp1/1p6/4PP2/5NN1/P1P3PP/1R3RK1 w - -,g1h1
7r/1pB1pnkp/2p3p1/8/2P3P1/5P2/P1R1B2P/5K1R w - -,f1f2
1rr3k1/3bbppp/q2pp3/6Pn/1p2P3/4BP2/BPPQ3P/1KNR2R1 b - -,d7a4
r1bq1rk1/ppp2nbp/3p4/3Np1p1/2PnP3/5NBP/PP2BPP1/R2Q1RK1 w - -,d5e3
rnbq1k2/pp3rbQ/3pp3/4P1p1/2B5/2p5/PPP3P1/R1B1K2R w KQ -,h7h8
8/8/2r1kp2/6p1/4P1P1/5PK1/1R6/8 w - -,g3f2
1nr2rk1/p1n1qpbp/bppp2p1/4p3/Q1PPP3/2N1BNPP/PP3P2/3RRBK1 w - -,b2b4
r2q3k/p1pn1Qbp/bp4p1/8/3PPB1P/2P2P2/P5P1/R3K2R b KQ h3,c7c5
rnbqkb1r/p1p2ppp/4pn2/1p6/P1p5/5NP1/1PQPPPBP/RNB1K2R b KQkq a3,b5b4
2kr2r1/pR3p2/2p1p1n1/2N1n3/3p4/P1p3B1/2P2PPP/1R4K1 b - -,d8d5
r1bqk2r/3nbppp/p2p1n2/2pP4/Q3PB2/5N2/1P1N1PPP/R3KB1R w KQkq -,a4c6
2R5/8/8/8/2p1n3/4k1P1/6K1/8 b - -,c4c3
r1bqk1nr/pppnppbp/3p2p1/8/3PP3/2N3P1/PPP2P1P/R1BQKBNR w KQkq -,c1e3:f1g2
2brr1k1/2q1bpp1/2p1p2p/1pPn4/pP1P4/P1BN2P1/2QR1PBP/3R2K1 w - -,c3b2
8/6p1/8/5p1P/1k6/8/2K5/8 w - -,c2d3
2rr2k1/pn2pp1p/2p3p1/qbP5/1p6/1P2PNPP/PQ3PB1/2R1R1K1 w - -,b2e5
1q2k1r1/1p1npp1p/p1p2n1B/Q7/3PP1p1/1P4P1/5PBP/2R3K1 b - -,b8d8
8/5ppk/rp1p4/2pPp2P/2P1P2b/2PB1P1b/PR1B3P/6K1 w - -,d3c2
1Bbqr1k1/5pbp/p4np1/8/2P1P3/1P3QPP/P4PB1/3R2K1 b - -,d8b6
k4r1r/pp1n1qb1/7p/3pn1pP/b2B2N1/PNP3P1/1RB1QPK1/7R b - -,f8e8
r1b2rk1/pp3ppp/2n1p3/q1Pp4/2P1n3/P3PN2/1PQ2PPP/R1B1KB1R w KQ -,f3d2
3rk2r/p2bbp2/2q3p1/1p1pPp1p/2nP1N1P/P1N3P1/1P2QPK1/R1B1R3 b k -,d7e6
6r1/3b1k1p/1p1b4/n2p1pp1/3Pp3/1P2P1P1/R2BBPKP/N7 w - -,f2f3
1r4k1/5pp1/4p2p/1p2P3/pN6/Pn3PP1/1P4KP/3R4 w - -,b4c6
rnb2rk1/pp1pppbp/5np1/q1P5/8/4PN2/PPPNBPPP/R1BQK2R w KQ -,a2a3
8/5pk1/6rp/5Q1K/7P/8/8/8 b - -,g7g8
6k1/pp4p1/2p1p2p/7b/3P3P/2PB4/P4K1P/8 w - -,f2g3
r1bq1rk1/pp1nppbp/2p3p1/3nP3/2B5/5N1P/PPPN1PPB/R2QK2R b KQ -,b7b5
4b3/4k3/3p1p1p/2pPp3/2P1P1K1/8/6PP/3B4 b - -,e8g6
r2q1rk1/p4pbp/1p1p2p1/3Pp3/1Q2P3/7P/PP3PP1/RN2K2R w KQ -,b1a3
r1bq1rk1/1p3pp1/2np3p/p1bNp3/2P1P2n/P2BBN2/1P1Q1PPP/R4RK1 w - -,f3h4
3r2k1/1pq2pp1/3rb2p/3p4/B2R4/4P1P1/P2Q1PKP/3R4 w - -,e3e4
8/6pk/4Kp1p/1P6/7P/3p4/8/8 w - -,b5b6
rnbqk2r/ppp2ppp/8/3pP3/8/2N2Nn1/PPPPQ3/R1B1KB1R w KQkq -,e2g2
r3rbk1/1q1n1p1p/pn1p2p1/3P4/1pp1PPN1/1P4QP/PBB3P1/2R1R1K1 w - -,b2d4
rn5k/3q2pp/4P3/p1p4P/3p4/1P2P1N1/PB4b1/2R2QK1 b - -,g2f1
4r1k1/1pp1np1p/5Bp1/1PN5/5P2/3r1B1P/5PP1/2R3K1 b - -,d3d6
6k1/pp2p2p/3p1rp1/4p3/2r1P3/5P2/PPPR2PP/1K2R3 w - -,d2d3
3r1rk1/3Rb2p/2p1npp1/1p2p3/p3P3/P1P2PP1/1PN2B1P/3R3K w - -,f2b6
7k/2p4p/1p1p3b/p2P1NP1/2P2P2/5K2/P3n3/8 b - -,e2c3
8/5k2/1nP4p/6p1/3B4/7P/6P1/7K b - -,b6d5
2r2rk1/3b2b1/p1nq2pp/1ppNp3/2P1Pp1Q/PP1P1N1P/4B1P1/1R3RK1 b - -,g6g5
2Q2rk1/3rRppp/pn1b4/8/3p4/1P3BP1/P1PB1P1P/R5K1 b - -,f8c8
r1bqkb1r/1p3p2/p2pp1n1/4n1p1/P2NP2p/2N4P/1PP1BPPB/R2QK2R b KQkq -,f8g7
3Qbk1r/1q2pp1p/p2p2p1/2p2PP1/3nP3/3B4/PPP4P/1K1R3R b - -,d4c6
8/5pk1/5p1p/R1p5/2P5/P3K1P1/2r2P2/8 w - -,a5c5
r1N1qr1k/pp3pbp/n1pp2p1/6B1/2PpP1n1/5N2/PP2BPPP/R2QR1K1 b - -,a8c8
r5k1/r3Rbpp/2pq1p2/8/1p1P1P2/3Q2P1/1P1B3P/4R1K1 w - -,e7e2
