5n2/4bp2/6k1/3R2P1/7P/p4K2/P7/8 w - -,f3g4
rq2r1k1/1bp2ppp/pbn5/2BN4/1P2PP2/5B2/1PQ3PP/R2R2K1 w - -,d5b6
8/3k4/4p3/1P2PpK1/8/4bPB1/8/8 w - -,g5f6
2r3k1/1p3ppp/2b5/B2p4/P2P4/6P1/1P3P1P/5RK1 b - -,c6a4
4k1r1/p2b1p1p/1p2pBp1/3pP3/2R5/3n1N2/PP2RPPP/6K1 b - -,d5c4
2r1r1k1/pp1bpp2/3p2pp/q7/2PQPP1B/1P5P/P5P1/3RR1K1 b - -,a5a2
r1bq1rk1/1ppnbppp/3p1n2/p2Pp3/2P1P3/PPN2N2/4BPPP/R1BQ1RK1 w - -,f3e1
8/3k4/3b2p1/6Pp/p3N3/7P/P4PK1/8 w - -,e4d6
r3qrk1/pn4p1/1p1p4/2pPpPQp/2P1P1pP/2P1N1P1/P5K1/R3R3 b - -,f8f6
r2qr1k1/pp3pbp/2ppnpp1/8/2P1P3/1PNQ2PB/P4P1P/2R2K1R w - -,f1g2
8/3b4/4P3/7k/1p1N3P/4K3/1P6/8 b - -,d7a4
3N1b2/5pkp/4p1p1/8/4B3/1P2P1P1/1rn2P1P/5RK1 b - -,c2b4
8/5p2/3n1p2/4pkP1/8/1Q3N2/P3qPK1/8 w - -,g5f6
r6r/1p3k2/2p1qp2/p2p4/P2PpP1p/1P2P1pP/2PQ2P1/3R1RK1 b - -,e6f5
3q1rk1/4bpp1/3p4/p2Pp3/P4PPp/2r4P/4Q1B1/R3R1K1 w - -,f4e5
8/1p5r/p1b3p1/3pkpp1/3R4/4PPKP/P5P1/3R4 b - -,h7e7
1q1b3r/4k1pp/p2p1p2/3Bn3/5B2/P1Q5/1P4PP/4R2K w - -,c3h3
8/7p/8/7k/1P6/n5KP/7P/8 w - -,h3h4
r1b2rk1/pp3pp1/2n1pq1p/2p5/2BP4/P1P1PN2/5PPP/R2QK2R w KQ -,c4b5
2kn3Q/pp2b1B1/2r3p1/2pn1q1p/3pN3/P2P1N2/1PP3PP/4R1K1 w - -,f3e5
7R/1r4p1/p4p2/b2k4/P2p1P2/1P1R1P2/2r2B1P/5K2 b - -,a5c3
5rk1/6p1/b1pPpnB1/p5p1/P2P1P2/1p6/6RP/4R2K w - -,f4g5
5q1k/p6p/4p2P/1b1pNp2/1p1P4/5P2/PP5P/2Q3K1 b - -,a7a6
6k1/1pR3pp/1p6/3P2qP/5pb1/5B2/P4PP1/4R1K1 b - -,g8f8
8/p3r1kp/6p1/4qb2/2Q5/P1N5/1P5P/K2R4 b - -,e7c7
r4rk1/p1qn1ppp/3b1nN1/4p1B1/1p1PP3/1BPQ4/1P1N2PP/R4RK1 b - -,h7g6
2r3k1/pq3pbp/1p2p1p1/1n4B1/3PP2Q/5N2/P4PPP/3R2K1 w - -,g5h6
8/4k3/3p3Q/2pPr2p/1p4pP/1P4P1/7K/8 w - -,h6g7
8/8/b7/8/2k5/3p3p/3K4/6B1 b - -,a6b7
3r2k1/5Bpp/1pR5/1n6/5Q2/3q2P1/P5KP/8 b - -,g8h8
r1q2r1k/p4pbp/1p4p1/3b4/8/3QB1P1/PPP2P1P/R3R1K1 w - -,d3d5
r4r2/2p1b2k/bnp3qp/3pPpp1/3P4/1PNNBPP1/3Q1R1P/6RK w - -,d3c5
3q2k1/5p2/1bP1p1p1/8/1P1p4/3B2QP/5P2/6K1 b - -,b6c7
r2qk2r/pp3pbp/2p1p3/3nNp2/3P4/1B3Q2/PPP2PPP/2KR3R b kq -,g7e5
r3k2r/1B3ppp/4p3/pPb5/5Pn1/2P1P3/P1K4P/RN5R b kq -,g4e3
r3k1r1/ppq1bppp/2n1p2n/2PpPb2/5B2/N1P2N1P/PP1QBPP1/R4RK1 b q -,a7a6
6k1/p2q1p2/6p1/1p2P3/1P1nB2P/PbQ3P1/2p2P1K/2R5 b - -,b3a4
3q1rk1/3rnpb1/1p2p1pp/p1p5/P1P1P2P/1QP1RNP1/5P2/2R2BK1 b - -,d8c7
r1b2rk1/1pqn1pbp/p2p1np1/8/4PBP1/1NN2Q1P/PPP5/2KR1B1R b - -,d7e5
8/5pk1/6p1/7p/1p5P/1Pq1p1PK/8/3Q4 w - -,h3g2
8/3r2p1/1nk2p2/p1p1p2p/P3P2P/1PK2PP1/3N4/R7 w - -,a1g1
1r1b2k1/R4pp1/1q1pb2p/1pn1pN2/1B2P2P/1P4P1/2P1QPB1/6K1 w - -,a7a1
R7/5pk1/3p1np1/3Pp1p1/4P3/2r1NPNP/6PK/8 b - -,c3e3
3r2k1/pbq4p/3r2p1/1p1p1p1P/1P1R4/2pQPBP1/P4PK1/3R4 b - -,a7a5
r1b1k2r/2qnbppp/p2pp3/2p5/N3PP2/1P1B4/P1P1Q1PP/R1B2R1K b kq -,e7f6
r4rk1/p1qnbppp/2pp1n2/1p2p1B1/3PP3/2PB1N1P/PP3PP1/R2QR1K1 w - b6,f3h4
rnbq1rk1/pp2ppbp/6p1/4N3/3p4/4P1P1/PP3PBP/R1BQ1RK1 w - -,e3d4
rnb3k1/3rBpbp/1q2p1p1/pN1p4/P2P4/1P6/4BPPP/R2Q1RK1 w - -,e7c5
r1bqk1nr/pp2ppbp/2n3p1/2ppP3/3P3P/2N5/PPP2PP1/R1BQKBNR w KQkq -,f1b5
r1bqk1nr/pp3ppp/2nb4/2pp4/3P4/2PB1N2/PP3PPP/RNBQ1RK1 b kq -,g8e7
2r1k3/1pq1bp2/8/nQ2Pb1r/3p1P2/P4Pp1/1B1N2B1/R3R1K1 b - -,f5d7
r1b1kbnr/pp1pqppp/2n5/3P4/1p6/8/PBP1BPPP/RN1QK1NR b KQkq -,c6e5
4r1k1/1pp2pRp/3p4/p1nPrP2/2P4P/1P6/P1q2PQ1/5RK1 b - -,g8h8
5rk1/p2nqp2/bN2p2p/6p1/1P2n3/P3P1B1/1Q2BPPP/2r2RK1 w - -,f1c1
