8/4KP2/8/8/8/8/6p1/k7 b - -,g2g1q
2r3k1/1p3pp1/4b2p/4Pn2/1p2RP2/8/P3NKPP/5B2 b - -,e6a2
8/7p/2k3pP/1p3PP1/1p2K3/1P2R3/8/2r5 b - -,g6f5
8/5k2/4b3/2r5/p7/4R3/2KR4/7r w - -,c2d3
4rrk1/p1ppq1pp/1p2bp2/2nnP1B1/8/5NP1/PP3PBP/R2Q1RK1 w - -,e5f6
r1bqk2r/ppp1ppbp/2np1np1/8/2BPP3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,e1g1:h2h3
r3r1k1/1p2qppp/2p5/2n1p3/P1P1P1b1/2N5/2Q2PPP/R2R1BK1 w - -,f2f3
2k1nb1r/p2r1q2/4p2p/1p1pP2P/2pP4/2P2Q2/Pn1BN1PN/5RK1 w - -,f3f7
2r2rk1/5p1p/6p1/1p4q1/p4p2/5P2/P1B1QBPP/b3R2K w - -,e1a1
8/1p4p1/7p/7P/3k4/3np1P1/4B3/3K4 b - -,d4c3
r4rk1/p2nppbp/6p1/qppP4/6b1/2P1PN2/P2NBPPP/2RQ1RK1 w - -,d1c2
rnbq1rk1/pp2bppp/3pp3/3nP3/2BP4/5N2/PP2QPPP/RNB2RK1 b - -,d6e5:b7b6:b8c6
r4rk1/pp4p1/1b3n1p/3PR3/8/2N1P3/PP3P1P/R1B1K3 b Q -,f6g4
8/5p2/2p1kPp1/P2p4/5KP1/2P5/1P2bB2/8 w - -,g4g5
r1b2rk1/pp2b1p1/2pp1n1p/2qPnp2/2P5/1PN2PP1/P2Q1NBP/R1B2RK1 b - -,c6d5
1r2br2/1p4k1/p1np1p1p/q1p1pPp1/2P1P1PP/2NP4/PP1Q1KB1/3R3R b - -,e8f7
4r3/8/1P6/2PB1n2/1K2p3/6p1/5k2/R7 w - -,d5c6
3n3r/r1qkbp2/1p2p1p1/2p1P1Np/PpPpNP1P/1P1P1Q2/6P1/R4RK1 b - h3,d7c8
r4rk1/pb2nppp/q7/2pp4/4n3/P1N2NP1/1PQ1PPBP/R2R2K1 w - -,c3e4
1k1r4/pp4p1/2p2p1p/3P4/1qP2PQ1/2N4P/P1P3P1/2KR4 b - -,b4c3
rnbqk1nr/pp1p1ppp/2p5/2bNp3/2P5/4P3/PP1P1PPP/R1BQKBNR w KQkq -,d5c3
r2qk2r/pp1n1ppp/2pbpn2/3p4/2PP2b1/1PN1PN2/P3BPPP/R1BQ1RK1 b kq -,f6e4
4r2k/6p1/R3pp1p/Nq6/3P1Q2/8/5P2/5K2 w - -,f1g1
2r2rk1/pp2qppp/2nb1n2/6N1/8/P1NQP2P/1P1B1PP1/R4RK1 b - -,f8d8
r3r1k1/pppn1pp1/3b2qp/1N1P1b2/3P4/8/PP1QBPPP/R3NRK1 b - -,d7b6
r2r2k1/pp2n1b1/4P1pp/1P2p3/4p3/B7/P4PPP/R3R1K1 w - -,a3e7
r7/p4k2/1p2r2p/2pb3p/4Pp1B/1P1P1P2/P3K2P/R5R1 w - -,h4e1
N2r2k1/pp4b1/3q2Np/8/8/8/PPQ3PP/5R1K b - -,d8a8
1r2k1nr/Q1pq2pp/4p3/4b3/3p4/8/PP3PPP/RNB2RK1 b k -,c7c6
