8/5k2/2R3p1/6P1/5P2/1r2B3/4K3/b7 b - -,a1b2
r7/8/8/p4R2/P6P/4p1K1/8/4k3 b - -,e3e2
rn1qk2r/ppp1ppbp/1n4p1/8/3PP3/4BQ1P/PP3PP1/RN2KB1R w KQkq -,f3d1
8/2n5/2k1p2p/1p3pp1/1PpP4/2N1P3/3K1PPP/8 w - -,f2f3
rn3rk1/1p3p1p/p3p1p1/4b3/b2PP3/3BB3/P2K1PPP/2R4R w - -,d4e5
8/5k2/2n1p1p1/bn1pP1Pp/p1pP3P/P1P2N2/1KN5/4B3 b - -,c6e7
8/8/ppk2pp1/7p/1P1K1P1P/P1N3Pb/8/8 b - -,h3g2
1r3qk1/1Pp3pp/b1p5/2Bp4/1Q6/1p6/rP3PPP/R3R1K1 b - -,f8d8
r2q1rk1/pb1nbppp/1p2p3/4P3/4pB2/6P1/PPQ2PBP/RN1R2K1 w - -,g2e4:b1c3
rnbr2k1/ppq1ppbp/6pn/2p5/5P2/N1PPBNP1/PP4BP/R2Q1R1K b - -,c8f5
3r2k1/1ppr1pp1/pbn1qn1p/4pN2/1P2P3/2P2N1P/1P1BQPP1/R4R1K b - -,c6e7
3rr3/5p1p/p1b2kp1/1p6/2n1PN2/5PP1/P5BP/3R1RK1 w - -,g1f2
1r2n3/2n1Pk1p/ppqp2p1/2p2PB1/P2b4/2N5/1P2Q1PP/R4RK1 w - -,g1h1
2k1r2r/1p1n1pp1/p6p/3p2P1/7P/2PN1P2/PP3K2/4R2R w - -,g5h6
rn1qkb1r/pp2pppp/2p5/5bB1/P1pPN3/5N2/1P2PPPP/R2QKB1R b KQkq -,f5e4
r4rk1/1bq2ppp/p1pbpn2/1p6/4P3/2N1BBP1/PPP2P1P/R2QR1K1 w - -,e3b6
3k4/p4p2/1ppr1b2/6pp/8/1P5P/P1P2PP1/1R2BK2 b - -,d8e7
r2qk2r/pb1n1ppp/1p1bpn2/3pN3/2PP4/1P1B4/PB1N1PPP/R2Q1RK1 b kq -,a8c8
2b1r1k1/2q2pp1/1pp2n1p/2P1p3/1P2P3/2QR1PN1/6PP/B5K1 b - -,c7a7
r2qk2r/ppp1bppp/2np1n2/8/4P1b1/2N3P1/PPP1NPBP/R1BQK2R b KQkq -,e8g8
r4rk1/1b1nqppp/p3p3/1p6/2pPP3/2n2N2/PPB1QPPP/2RR2K1 w - -,b2c3
4r1k1/2r1P1bp/p1p1R1p1/2Bp4/8/1PP2R1P/P4PP1/6K1 w - -,h3h4
4k3/7R/3rp3/pp3p2/2pBbP2/P1P1K3/2P3PP/8 b - -,e4c2
7R/2r3kp/3b2p1/3B4/8/4P3/5KPP/5R2 b - -,g7h8
2r3k1/6pp/3p1b2/4p3/R3P3/3KBP2/PrP4P/6R1 w - -,g1c1
rq2r1k1/p4ppp/5n2/2N5/N2b4/Q6P/1PR2PP1/1K5R w - -,h1d1
8/2k2r2/2p5/p1BbP1KP/1p1P4/5p2/5R2/8 w - -,h5h6
1rb2r1k/2q3pp/p2p4/1p1Bb3/3NP3/3Q4/PPP4P/1K1R3R w - -,d4c6
R1r5/1r1q2kp/3P1pp1/2pQp3/1p2P3/1P5P/5PP1/R5K1 b - -,c8a8
