8/6k1/4r1p1/1R1p4/8/2P4K/PP3r2/6R1 w - -,b5d5
3r1k2/pB3q2/5b1p/1P2Q1p1/8/6P1/P4P1P/2R3K1 w - -,e5f5
8/8/p3k3/3n2P1/PK6/8/2p5/2B5 w - -,b4b3
4r1k1/5p2/2p1r1p1/p1RnN3/Pn1Pq3/5NP1/4RPK1/3Q4 b - -,e4f5
7r/pk6/1pp4q/3nP3/3Q2P1/1P1P1R1P/1PP3K1/8 w - -,c2c4
3r4/8/1R3kpp/3P1p2/7P/3b1PN1/6P1/6K1 b - -,f6f7
rn3rk1/p4pp1/1ppqbb1p/3p4/1P1P4/2N1PN2/P2QBPPP/R4RK1 b - -,b8d7
2r3k1/5rp1/3B1p2/5P1Q/6PP/1p6/5P2/6K1 b - -,b3b2
8/1p6/1p1q2k1/1Bp1np2/P3p1p1/1PQ1P1P1/2P2PK1/8 w - -,b5e2
rnbq1rk1/pp2ppbp/2pp1np1/8/3PP3/5NP1/PPPN1PBP/R1BQK2R w KQ -,e1g1
r2qkb1r/ppp1pppp/5nn1/3P4/4PP2/2N2Q1P/PP4P1/R1B1KB1R b KQkq -,d8c8
6k1/7p/7P/5PP1/5K2/8/1Bb5/8 b - -,c2d3
7k/5p2/pp1p1Pp1/3N3p/P1Ppr3/4b1PP/1P6/3R3K w - h6,h1g2
5r1r/1p1k1p2/1q2p3/RpRpP3/1P1P2P1/7p/4Q2P/6K1 w - -,g4g5
2krr3/3b1pp1/1q1n1n1p/3pNP2/p2Pp3/PpP5/1P1Q1NPP/RB3RK1 w - -,c3c4
r1bqk2r/ppp2ppp/2n1pn2/3p4/3P4/1P1BPN2/P1Pb1PPP/RN1QK2R w KQkq -,b1d2
3rr1k1/1ppnqppp/2n5/p3p2b/2P5/PPB1PN1P/2Q1BPP1/3RR1K1 w - -,f3e5
4r1k1/7p/2qp2p1/P3pp2/1p2n3/1P3RPP/3B1PK1/3Q4 w - -,d2b4
2Q3b1/5pk1/P6p/4p2P/1K1bP3/6P1/2B5/r7 b - -,a1c1
6k1/7p/p2p4/2pP2p1/1pP2p1q/1P1Q3P/P4rPK/B7 b - -,h4g3
6r1/5p2/4pk2/R6p/5P2/5K2/4P3/8 b - -,g8h8
5rk1/1b3r1q/4p3/1B1pP2p/PQ4p1/6P1/2R2PP1/4R1K1 w - -,c2a2
r5rk/ppqn1p1p/2p2b2/4pP2/2B1P3/4BR1P/PPP2Q1K/R7 b - -,d7b6
r1Q1kb1r/p4pp1/2p1p1p1/6P1/2P1N2n/4B2P/PP3P2/R4R1K b kq -,a8c8
1r4k1/2pp2pp/8/r3nP2/6P1/2K3B1/PP2B3/R5Nb w - -,b2b3
8/6k1/6pp/8/1RNP4/2n1K3/6PP/r7 w - -,b4b7
r1b2rk1/p1q1bpp1/2p4p/n3p3/4Nn2/2NP4/PPP2PPP/R1BQRBK1 b - -,f7f5
4R3/r7/8/k5r1/2P1p3/8/1R3P2/5K2 w - -,b2a2
rnbq1rk1/1p4bp/2ppPnp1/p4p2/2P5/2N2NP1/PP2PPBP/1RBQ1RK1 b - -,c8e6
1q1rn1k1/2p2ppp/1pR1p3/pP1rP3/P2B3P/4P3/4QPP1/2R3K1 w - -,c1c4
2r5/2PR4/p3p1pk/1p2P3/6P1/7P/P6K/8 b - g3,g6g5
rnb1kbnr/pp3ppp/2p5/8/8/2N2N2/PPP1BPPP/R1B1K2R b KQkq -,g8f6
8/1p1kpb2/7R/n1P5/5pP1/2P5/5KP1/8 w - -,g4g5
b7/8/3k3K/8/2p1p3/2N1P3/5PP1/8 b - -,d6c5
r1b2rk1/1p1n1pb1/p3p1p1/q1p4n/2P1P2p/2N1BP2/PP1QB1PP/3R1RKN w - -,f3f4
2r5/6p1/4k3/2P1Pp2/8/2R2K2/8/8 b - -,e6e5
3RR3/1p3rrk/p4pp1/2Q4p/P5qP/1P6/5PP1/6K1 b - -,g6g5
5b2/3k4/R7/3r2p1/1P1Npp2/2P4P/4K1P1/8 w - -,a6f6
8/8/p3R3/1p2p1kp/1P2P3/r2NK3/2P5/8 b - -,h5h4
r4rk1/2p3pp/p3q3/1pP4b/4P1Nb/1P2BP1P/2Q3P1/R2R2K1 w - -,d1d5
6k1/6P1/6Rp/r7/5PK1/8/8/8 b - -,h6h5
2kqr3/pp3p2/4p1b1/3pQ2p/3P3P/1BP2P2/PP6/2K3R1 w - -,e5f4:e5g5
8/3r1p2/5kp1/p6p/7P/PP3BP1/2RbKP2/8 b - -,d2h6
