8/8/2Q5/1p6/k7/8/r1K5/8 w - -,c2c3
r5k1/p3pp2/3p2q1/3Pb3/2p2Bp1/1P2Q1P1/P5KP/5R2 w - -,f4e5
r1bq1rk1/2p1ppbp/p5p1/np2P3/1Q1P4/2N1PN2/PP2B1PP/R3K2R b KQ -,c7c6
3r1k2/1p1r1pp1/p1q4p/b1ppB3/5PP1/3BQ2P/PP1R4/1K1R4 w - -,d2c2
8/8/8/8/4k3/1pr3K1/1Rb5/2N5 w - -,g3f2
1rb2rk1/1p2qpbp/1Np2np1/p3p3/2P1P3/5NPP/PPQ2PB1/R4RK1 w - -,f3d2
8/7p/6p1/5p2/2n1k3/4BP1P/4K1P1/8 b - -,e4e5
3rr1nk/1pq2pp1/1bppb1np/p3pN2/3PP3/2P1BN1P/PPB2PP1/R1Q1R1K1 w - -,f3h4
r1b1n2r/1pq2pkp/p7/3pPPNQ/8/3Bn3/PPP4P/R4R1K b - -,h7h6
2R3k1/5n2/6p1/3p2P1/1B1PrP2/P4K2/8/8 b - -,g8h7
4r1k1/p5pp/1p4q1/n1pPp3/4P3/2PQ4/P5PP/1RB2K2 w - -,c1d2
b4rk1/3nb1pp/p2p4/P3pp2/1Bq5/5PP1/2N4P/1R1Q1R1K b - -,f5f4
3r3r/pk5p/1p3p2/2p1pn2/2P5/2K2NP1/PP1R1P1P/4R3 b - -,f5d4
rn1qkbnr/pp2pppp/6b1/2ppP3/3P3P/6N1/PPP2PP1/RNBQKB1R b KQkq h3,h7h6
r1b1r1k1/1p3ppp/2p2q2/2n1p3/p1P1P3/P4N1P/1PQ1BPP1/3RR1K1 b - -,h7h6
r3r1k1/1pp1pp2/7B/n3P3/8/P4Bp1/1n3P2/R3R1K1 w - -,e1e4
5rk1/2q1nppp/6r1/p1NpP3/1p6/1P3N2/P1PQ2PP/R4R1K b - -,c7c5
1rb1r1k1/5pp1/3p4/1ppPnP1q/4P1p1/1P1BN1P1/4Q2P/4RR1K w - -,f1f4
8/5p1p/5kp1/4p3/2r5/2P4P/2R2PP1/6K1 b - -,f6e6
2r1r3/5kb1/4ppp1/1p1p3p/p2P1P2/P1P4P/1P1BR1P1/3R2K1 w - -,d1e1
8/8/q7/8/2R5/2R3Pk/1K6/8 b - -,a6b6
r4rk1/p1p3pp/4p1n1/8/4P3/q1pB2QP/P4PP1/2R2RK1 w - -,d3c4
r1bqr1k1/1ppn1pbp/p2p1np1/4p3/2PP4/1PN1PNP1/PB3PBP/R2Q1RK1 b - -,c7c6
8/p2n2kp/1pp1r3/6NP/2P2R2/P3P3/4KP2/8 b - -,e6f6
8/6k1/8/4KPP1/4B2p/8/4b3/8 b - -,e2h5
rnb1k2r/pp2q1pp/2pbpn2/3p1p2/2PP1P2/2NBPNP1/PP5P/R1BQK2R w KQkq -,c4c5
5q1k/1p2nrpp/p1p3p1/3rB3/1P4Pb/1Q1PP2P/P1R2PB1/5RK1 w - -,d3d4
r2q1r1k/pp2b1pp/2pp4/5b2/8/1Q1B4/PPP2PPP/R1B2RK1 b - -,d8d7
1q1r1rk1/1b3pbp/pp1ppnp1/2n5/P1PNP3/BPN3P1/2QR1PBP/4R1K1 w - -,b3b4
r4rk1/pb1p2p1/1p2p2p/2n5/2P1Nn1q/P7/1PQN1PPP/3RRBK1 w - -,f2f3
r1bqkb1r/pp1ppp1p/5np1/2n5/2P5/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,b2b4
3k1b1r/r4pp1/1nP2n1p/R2p4/8/6P1/1P1B1PBP/4R1K1 w - -,a5a7
r4rk1/ppq1bppp/2b1p3/3pP1B1/4n2P/2N1QN2/PPP2PP1/1K1R3R b - -,e4c3
7r/2p1kp2/p3qnp1/Rp2p1Q1/1P2P3/2P3NP/1P3PP1/6K1 w - b6,g5e3
3k1r2/3b4/1r5p/4pP2/1p1pB1PP/1P6/P1P1Q3/1K6 w - -,e2c4
2k3rr/pp1bbp2/1q1ppp2/7p/4PP2/1nN3P1/PPPQB2P/1K1R1R2 w - -,c2b3
1rb2rk1/4npbp/3p2p1/1n2p3/R7/2NPN1P1/4PPBP/2B1K2R w K -,c3b5
2r3k1/pp2pp1p/1q1p1npQ/4n3/3NP1PP/2P5/P1PKB3/3R3R b - -,f6e4
rn1q2k1/5nbp/1p3pp1/1P1p1b2/3P1p1P/BP3N2/2P2PP1/R2QR1K1 w - -,c2c4
