8/5p2/P3p2k/4Bn2/r7/3B4/r6P/4R2K b - -,f5d4
2kr4/pp3pp1/2bp2r1/4n2p/7P/5P2/PPPR1BP1/2K2B1R b - -,b7b6
2rq1rk1/1p1nppbp/3p2p1/p7/Pnb1PP2/RNN1BB2/1PP2RPP/3Q2K1 w - -,f2d2
1rb1qr1k/p3p1bp/n2p1np1/1p3p2/1P1P4/P1N2NP1/1BQ1PPBP/R4RK1 b - -,c8b7
r2k4/1R4pp/5R2/pBn2p2/4p3/P4P2/1PP3PP/7K b - -,g7f6
r1b1k2r/1pq1bppp/pn1ppn2/8/3NPPP1/2N2B2/PPP4P/R1BQ1RK1 w kq -,g4g5
2rr1nk1/ppq2p1p/4p1p1/3p1n2/1PP4P/P4NPB/1Q3P2/3RR1K1 w - -,c4d5
r2qr1k1/ppp2p1p/2n3pP/3n4/3P1Pb1/5N2/PP1BBPP1/2RQ1K1R b - -,e8e4
8/2b1k3/8/p3P3/PpN5/1KPB2r1/1P6/8 w - -,d3f5
3r1r2/1p2ppbk/p1p2npp/q7/3PPP2/PbN1B2P/1P1Q2PN/R3R1K1 b - f3,e7e6
r4rk1/4bpp1/2p1pn1p/pp1qNP1P/3P4/8/PPPBQ1P1/1K1RR3 w - -,f5e6
8/8/1k2b3/1P6/PKP3p1/6B1/8/8 b - -,e6f7
2b2k2/5pp1/p1P1p2p/R7/3r4/P4BP1/5PKP/8 w - -,f3e2
5R2/4k3/pp1Nb1p1/6P1/8/2P5/PKP5/8 b - -,e7f8
2B2R2/pp3ppk/5n1p/8/8/1Pb3P1/r4PKP/2B5 b - -,c3d4
r4rk1/p2q2b1/1pnppn1p/2p2pp1/1PP5/P1NPPNP1/3B1PKP/1R1QR3 w - -,g2g1
1r4k1/pN3p1p/4p1n1/7q/1Q2P3/5PP1/PP4KP/3R4 w - -,d1d8
r1n2rk1/pp1nb1pp/1q4b1/P2pPp2/3p1PP1/1N6/1P2B1NP/R1BQ1RK1 b - -,b6e6
rnbqk2r/ppp1ppbp/6p1/3P4/3P1B2/2P5/P3PPPP/R2QKBNR b KQkq -,d8d5
3kb3/8/6p1/8/1KBPR2P/7r/P7/8 w - -,a2a4
2r1k2r/pp3ppb/3Bp2p/q6P/2B5/1Pn1Q3/P4PP1/K2R3R w k -,e3d2
2nr2k1/3npp2/1pR3p1/4P2p/1p2PP2/1b1NB3/R3B1PP/6K1 b - -,b3a2
r2qk2r/pp1nbppp/2n1p3/3pPb2/2pP4/1NP1BN2/PP2BPPP/R2Q1RK1 w kq -,b3d2
rq3rk1/3bppbp/n2p1np1/2pP4/2N1PB2/2N2P2/PP2B1PP/R2QK2R b KQ -,a6c7
