8/5K2/1p6/8/P3p3/5k2/8/8 w - -,f7e6
8/R6p/p1Nr1kp1/1p2p3/1P2Pp2/5P2/P3K1PP/8 b - -,d6c6
3Q4/p4p1k/1p2p1pn/1P2P3/2P2PP1/5NK1/P7/1q6 b - -,h7g7
5rk1/pp3pp1/3q2bp/2Rp4/1P1Pp3/4P3/P2N1PPP/1Q4K1 w - -,b1b3
r4rk1/1pp4n/3p4/1PNPqp1B/P4p2/4b3/6PP/R2QBR1K b - -,d6c5
r3b1nk/2qr2n1/p2b2R1/P1pPp2p/BpP1Pp2/3N1P1P/3NKBQ1/6R1 b - -,e8g6
r1b2rk1/pp4pp/1qnb1n2/3pp3/3P4/P4N2/1PB1NPPP/R1BQ1RK1 w - -,d4e5
8/1pk5/6R1/8/3K4/8/8/2r5 b - -,b7b6
7k/5r1b/1p6/pP1qP2p/P1RP2pP/4Q1P1/3K4/2R5 w - -,c4c8
1rbqk2r/pp1pppbp/2n2np1/8/3NP3/2N5/PPP1BPPP/R1BQ1RK1 w k -,c1e3
3r2k1/5pbp/2p3p1/Qp1npq2/2B5/P4NB1/1P3PPP/3R2K1 b - -,g7f6
3R4/7p/2P1k1p1/2K5/4p3/6P1/r6P/8 b - -,a2c2
8/6k1/4Np2/5Pp1/pP2p3/P6P/2p2P2/3rR1K1 b - -,g7f7
r2qk2r/pbpn1pp1/1p2p2p/3n4/3P4/3BPN2/PP1N1PPP/2RQ1RK1 w kq -,d3b5
2r2rk1/3b2p1/pp1p1q1p/3Pnp2/1PPN1R2/8/P2Q2PP/2R2BK1 w - -,f1e2
r3kb1r/Np1b1ppp/2n1pn2/3pN3/3P4/1P2P3/1P1B1PPP/R3KB1R w KQk -,e5c6
5qk1/Nr4p1/2r1p3/2PpPpb1/3P4/4P1P1/R3QK2/R7 b - -,c6c7
2r1r1k1/1p1n1p1b/1q3p2/pNp1p1PQ/PnPpP2p/3P4/1P3BB1/3R1RK1 w - -,g5f6
6B1/7p/6p1/b3k3/1p3pP1/1P3K1P/8/8 b - -,h7h6
2b2rk1/1p2qrn1/3p1p2/2pP2p1/PpP1P1p1/1P1B1N1P/5QR1/5RK1 w - -,h3g4
r2b1rk1/1p1q3p/2pp1pp1/p7/1PPpPN2/P2P2P1/5PKP/R2Q1R2 b - -,f6f5
r1b2rk1/6pp/1q2pn2/2bp4/1p1B1PPP/pP2R3/P1PQ1N2/1K1R1B2 b - -,h7h5
2r2rk1/pb1qb1pp/1pn1p3/5p2/2NP2Q1/1P4P1/PB3PBP/R4RK1 w - f6,g4h5
r1b1k2r/1pq1bppp/p1n1pn2/2p5/3P4/1BN1PN2/PP2QPPP/R1B2RK1 w kq -,c1d2
1qr1r1k1/pb1nbppp/1p2pn2/8/2PP4/3B1N1P/PB2QPP1/2RR1NK1 b - -,b8a8
8/p2n2n1/1p3k1N/1P3p2/5N1P/5PK1/2P3P1/8 w - -,g3f2
2r1r1k1/1p3ppp/1qp2n2/2nppb2/1PP5/3PP1P1/2Q1NPBP/1RBR2K1 b - -,c5e6
r4rk1/1p2bppp/pqb1pn2/8/1P3B2/P1N3Q1/4BPPP/R3R1K1 b - -,f6d5
r3k1nr/3b4/5pp1/1pp1b3/3p4/8/PPB3PP/RNB1R1K1 b kq -,e8f7
r4r2/1pp1k3/pn1p4/5P1Q/4PqN1/1P1R4/2P3P1/1K5R w - -,g2g3
7R/8/4p3/4k2P/6p1/7r/6K1/8 b - -,e5e4
3r1k2/6pp/1pR2p2/1n3r2/1p6/1b2R1P1/1N2B2P/4K3 b - -,b5d4
r1b1n3/1pq2rkp/3pppp1/1R6/1Q2P3/2N3P1/P1P2PBP/3R2K1 w - -,b4b3
r2r2k1/5ppp/2p2nb1/p3q3/PpB1P2P/1N3PPR/1P3Q2/2R2K2 w - -,g3g4
5k2/p5Rp/8/1p3N2/1b2K3/4P1P1/5r1P/8 w - -,g7a7
1r2k3/1q2Pp2/5Q2/3p4/p2r4/8/PPR5/1K2R3 b - -,d4e4
r1b2rk1/pp3ppp/4pn2/8/2qP4/1N2P3/P3BPPP/2R1K2R w K -,c1c4
r1b1kb1r/pp3p1p/2p1p1p1/q3P2Q/2p5/2P1P3/P3BPPP/R4RK1 w kq -,h5g5
1r1r3k/1P5p/3bq1p1/1Qp5/2n2P2/4P2P/3R2B1/3R2K1 w - -,d2d3
r1b1k2r/5ppp/p1p1pn2/8/4p3/5P2/PPPBB1PP/2KR3R b kq -,c8b7
r2r2k1/pp3p1p/4pnpQ/2qbR3/3N4/2P4P/PPB2PP1/4R1K1 b - -,c5f8
r1q2rk1/p4p1p/1p1p2p1/n1pPp3/Q1P3n1/2P1B1P1/P2NPPKP/2R2R2 b - -,f7f5
8/2p2p2/4p1k1/3nP3/R5P1/6r1/3BK3/8 b - -,d5c3
rr4k1/1b4pp/p4R2/8/1p6/1B3N1P/PP2nPP1/R4K2 b - -,g8h8
r1bqr1k1/ppp2ppp/2pb1n2/4p3/4P3/1P1P4/PBPN1PPP/R2QK1NR b KQ -,f6d7
2b3rk/1p4r1/pR6/P1pqpp1p/5b2/5PPP/6RN/4QN1K w - -,f1e3
rnbqkb1r/1ppn1ppp/p3p3/3pP3/3P4/2NB4/PPP2PPP/R1BQK1NR w KQkq -,c3e2
2n2bk1/8/1B1p1p2/PB1PpPp1/4P1P1/1P6/6K1/8 b - -,g8f7
2kr1b1r/pp1q1p1p/2p5/5b2/P4Q2/2N3P1/1P2PPBP/R3K2R b KQ -,f8d6
r3k2r/p1p2pbp/2pP2p1/3P4/8/BP6/P3KPPP/RN5R b kq -,g7a1
rn1qkb1r/pp1n1ppp/4p3/2ppP3/3P2Q1/2N4P/PPP1BPP1/R1B2RK1 w kq -,c1g5
r2r1nk1/p3q1pp/Ppb1p3/2ppPpbP/2P3Q1/1P6/1B1P1PP1/RB2RNK1 w - f6,e5f6
r1b1r1k1/pp3ppp/1qp5/2n1P3/3pP3/1B5P/PP3PPB/R2Q1RK1 w - -,d1d4
1R6/8/5pk1/7p/6r1/7K/8/8 b - -,f6f5
2r3k1/1B1r1pp1/3P4/ppP1Ppp1/8/6P1/P6P/2R3K1 b - -,d7b7
r2r2k1/3qbppp/ppnppn2/8/2PNP3/1PN5/PB3PPP/2RQR1K1 w - -,h2h3
r2qk2r/1pp2pp1/p1nbbn1p/4p3/4P3/1N3NP1/PPP1QPBP/R1B2RK1 w kq -,f1d1
q5k1/r4ppp/2rQp3/1p1p4/2bP4/P1R1P1PP/5P2/1R3BK1 w - -,d6b4
2nr1r2/p1R4p/1p1p2p1/3Bkp2/1P2P3/5R2/P4PPP/6K1 w - f6,d5b7
3kr3/1p2q3/3pB3/2pP4/8/P7/3QKP2/8 b - -,d8c7
8/1p1rk3/p1p1p3/P3P1R1/1PK2p2/2P5/3q4/6Q1 w - -,g5g7
r5k1/1bqn1pb1/pn2p1p1/4P2p/Pp2N3/1N1B4/1PP1Q1PP/4RRK1 w - -,e4f6
6k1/ppb2q1p/2pnnpp1/3p4/3P3P/2PN1QP1/PPBB1P2/6K1 w - -,d3f4
r1q2rk1/3nbpp1/p3pn1p/1b6/1PpPNB2/2P2N1P/R1B1QPP1/R5K1 b - -,f6d5
r7/4Np1k/1p4p1/7p/p6P/4QPP1/P2Rb2K/5q2 b - -,e2f3
6k1/5ppp/1n2n3/4p3/B1N1P3/1PP4P/5PP1/6K1 b - -,b6c4
3qn2k/4b2p/2Q3p1/1p6/1P1p1P2/3P3P/2PB3K/r5R1 w - -,g1a1
1k1rq1r1/ppp5/4p2Q/1bP1Np1p/3Pp1pP/1P4P1/P3PP2/1K1RR3 w - -,b1b2
2k4r/pp3ppp/4pb2/2P5/PP2N3/4PP2/4K2P/R1r5 w - -,a1c1
1r3rk1/p2n1pp1/7p/2p1p3/2PnN3/1P5P/P4PP1/2RR1BK1 w - -,e4c3
r1b2rk1/pp2npbp/2nq2p1/4p3/2Pp4/PN1P1NP1/1P3PBP/R1BQR1K1 b - -,a7a5
r1bq1rk1/1p3pb1/p1p1p2p/3n2pP/2NPP3/2N2QB1/PP3PP1/2KR3R b - -,d5c3
r2q1rk1/pp3pp1/2n1bn1p/3p4/1b1P3B/2NB4/PP2NPPP/R2Q1RK1 w - -,d3c2
8/4k1pp/1B2qp2/4b3/8/1Q4P1/PP3P1P/6K1 w - -,b3e6
6k1/1p3p2/1r2nqp1/R6p/8/P3PB1P/5PP1/3Q2K1 b - -,b6b2
8/8/3knp2/3Bp2p/2P1P1K1/8/8/8 w - -,g4h5
1r1bq1rk/Rpp2p1p/5p2/3PpN2/4P3/Q5P1/5PKP/2R5 b - -,g8f8
r3kbQ1/p4p1p/bq2p3/3pn3/P7/8/1P1B2PP/2RK1B1R w q -,f1a6
