8/8/5kp1/1p5p/1P2KP2/4N1PP/4b3/8 b - -,f6e6
r2r2k1/1q3pp1/1p2n2p/p3P3/3p1P2/1P1Q1NP1/P6P/2RR2K1 b - -,a8c8
r2qkb1r/pp1n1ppp/2pp1n2/4p2b/2PP4/2N2NPP/PP2PPB1/R1BQ1RK1 b kq -,f8e7
r2qr1k1/1b1nbpp1/pp1pp2p/2pn4/PP1P3B/2PBPN2/3NQPPP/R2R2K1 w - -,h4e7
4n3/4r3/1p1k4/p1p1p1Rp/P1P1P2P/2P2P2/4K2B/8 w - -,g5h5
5r2/1R3pk1/2p3pp/2n5/2N5/6P1/4PP1P/6K1 w - -,b7a7
2rr3k/pp3q1n/3pp1RQ/4p3/4P2P/2P2P2/PP6/2KR4 w - -,g6e6
r2q1rk1/1pp1b1pp/p1p1npb1/4pN2/4P1P1/3P1N1P/PPP2P2/R1BQR1K1 w - -,g1g2
2R5/5ppk/4p3/pp1r3p/2P5/P6P/1P3PK1/8 b - -,b5c4
r1bq1rk1/p2nppbp/1p3np1/2pp2B1/3P4/2PBPN2/PP1N1PPP/R2Q1RK1 w - -,d1e2:b2b4:a2a4
r1b2rk1/p1qnppbp/1p1p1np1/2p5/3PP3/2P2N2/PP1NBPPP/R1BQR1K1 w - -,e2d3
rnbq1rk1/pp4bp/2pp2p1/5p2/1PPPn3/2N1PNP1/PB4BP/1R1Q1RK1 b - -,d8e7
3q1rk1/1b1nbppp/pn2p3/1p6/3PP3/1P3NP1/1B1NQPBP/2R3K1 b - -,d8a8
r4rk1/1b3ppp/pp1qpnn1/8/2P1PP2/1NN5/PP2B1PP/R2R2K1 w - -,d1d6
k4r2/2R1p1b1/PP1p3p/3Pp1pP/4P1P1/4KP2/8/8 b - -,a8b8
1Q4R1/pp1r1kbp/8/3pn3/1B2p3/1P3pq1/P4R2/7K b - -,g3h3
8/5p1p/p4Npk/4Rb2/3p4/r5P1/5PKP/8 w - -,e5d5
r1b2rk1/pp1n2p1/2p2n1p/q4N2/2P1p3/1P4P1/N3PPBP/R2Q1RK1 w - -,f5e7
r2q1rk1/1p1nppbp/2p1b1p1/3n4/3P4/p1PN1Q2/PPBN1PPP/R1B1R1K1 b - -,e6f5
3r2k1/1b3pp1/pp2p2p/2qr4/P2N1P2/2P1Q2P/1P4P1/4RBK1 b - -,g8h8
r7/1p1k1p2/1prp2p1/7p/2pRPP2/2P5/PP4PP/R5K1 w - -,a2a3
2r2rk1/p2qbpp1/2p2n1p/3p4/8/1PNQ2P1/PB2PPKP/2RR4 b - -,d7b7
2r3k1/1Q1bqpbp/2p1p1p1/1p6/3PNP2/3BP3/1P4PP/R5K1 b - -,e7d8
8/8/6p1/3N1n2/6k1/K7/8/8 b - -,g4f3
r1bq1rk1/p1b3pp/2p1ppn1/2p1P3/3p1P2/NP1P1N2/P1P1Q1PP/R1B2RK1 b - -,f6e5
8/p3Bpk1/1p5p/6p1/3bP3/1P3P2/P3K1PP/8 b - -,d4e5
2r5/pp3p2/3pkp1p/3R2pP/4P3/1PP2P2/P5P1/1K6 w - -,b1c2
r4rk1/pp1q2bp/3N4/2P5/1P1p4/P2B1p1b/2Q2P2/R1B2RK1 w - -,d3c4
2b4r/4kp2/4p1pp/1N2P1P1/5P1b/2q5/PPPR3P/2KR4 w - -,b5c3
r1b3rk/p3nq1p/1p3p1b/3pp3/5PP1/1NP4P/PPQ1B1N1/1K1R3R w - -,h1f1
2r2k2/RBp2ppp/1p3n2/2P5/8/6PP/P4P2/5K2 b - -,c8d8
6k1/4Qn1p/2K5/1pP5/4B3/p6q/8/8 w - -,e4d5
4rrk1/ppp2qpp/1b1p4/3P1p1b/N3P3/1P2P1P1/P2Q1PBP/2R2R1K b - -,f5e4
r1b1r1k1/bp2qpp1/p1p4p/7N/4P3/1BP2Q1P/PP3PP1/2KR3R b - -,c8e6
r1bqkb1r/pp3ppp/2n1pn2/2ppN3/3P1B2/2P1P3/PP1N1PPP/R2QKB1R b KQkq -,d8b6
1r4k1/4rpp1/2Bp4/1P1PRb2/7P/6q1/5B2/R5K1 w - -,f2g3
1rbr2k1/p6p/2pbpp2/3q2p1/3P4/3NB3/PP3PPP/R1RQ2K1 w - -,d1h5
3r1rk1/p2qppbp/1p4p1/n1pP2B1/2P3bP/4PN2/P2QBPP1/2R2RK1 w - -,e3e4
r1bq1rk1/1pp1bppp/2n2n2/p2pp3/4P3/2PP1N2/PP1NBPPP/R1BQ1RK1 w - a6,a2a4
r7/7r/k1b5/1p6/3Bp1R1/PBP4P/1P3PP1/6K1 b - -,a8d8
