8/8/8/4k1Nb/6p1/4PP2/5K2/8 w - -,f3f4
5bk1/5ppp/4p3/1NpqP3/5P2/1P4PP/2P2QK1/8 w - -,g2h2
2rq1rk1/1b2ppbp/p2p1np1/1p6/3BP3/1BN2P2/PPP2QPP/3R1RK1 b - -,d8e8
8/7p/1K6/1P6/7Q/8/4pp1P/4k3 b - -,e1f1
r2qr1k1/p2b2pn/Pppb1pnp/4p3/4P3/2P2NB1/1PB2PPP/R2QR1K1 w - -,d1d6
5rk1/1pp2r2/p2pn1p1/P2Np2p/1P2P2P/2P2PP1/5RK1/5R2 b - -,g8g7
8/3k4/1P6/8/7p/4n2K/1B6/8 b - -,e3c4
8/8/1p6/6p1/P2bk1P1/1R6/4Kp2/8 b - -,e4f4
r3k2r/3q1pp1/p2Pp2p/8/1p1NbPP1/1P4B1/P1PQ4/2KR4 w kq -,f4f5
1rr1n2k/3b2bp/3pq1p1/5p2/2P1P3/3Q1P2/3NBBPP/R2R2K1 b - -,g7a1
2rqkb1r/1p1bnppp/p1n1p3/2ppP3/3P4/P1P2N2/1P2BPPP/RNBQ1RK1 w k -,d4c5
rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP4/1Q3NP1/PP2PPBP/RNB1K2R w KQ -,e1g1
2r1b1k1/8/2Nn1q1b/1p1Ppp1p/p7/P2Q2P1/1P1N1R1P/5BK1 w - -,f1h3
4b2k/pp4pp/2p5/8/3p1r2/P2P1P1B/1P2P2P/5RK1 w - -,f1c1
4r3/p1pq1kp1/1pp1bp2/3r3p/PP2R1P1/3PQP1P/1BP5/4R1K1 b - -,h5g4
r2q1rk1/pp2bppp/2p1pn2/5bB1/2BP4/5N1P/PPP2PP1/R2QR1K1 b - -,f6d5
8/5pp1/2k1p2p/4P3/1p1b1PPP/8/2bNK3/2N5 w - -,c1b3
3rn3/p4p2/2p2Pkp/2N3p1/1PP5/2K5/P5PP/5R2 w - -,a2a4
r2qkb1r/pbpn1ppp/1p1ppn2/8/8/1P3NP1/PBPPPPBP/RN1Q1RK1 w kq -,d2d4
3qn1k1/2nb1r1p/3p1pp1/2pP4/1rB1R3/1P3NNP/3Q1PP1/4R1K1 w - -,h3h4
4r3/pp5p/2p1k1p1/3p1p2/3R3P/2P2P2/PP3KP1/8 b - -,e6d6
k2r1q1r/pp3pp1/2p5/2PnR1Pp/3P1p1P/PB3PQ1/1P6/2KR4 w - -,g3e1
6k1/1rr3pp/p2b4/P2q1p2/1p1Pp3/1P2P3/R5PP/1Q2BRK1 b - -,c7c6
1r1R2k1/p1Q1Bp1p/6p1/8/8/1q4P1/5P1P/6K1 b - -,b8d8
8/pp1Q2p1/1np3kp/4p3/1P2P2P/P4PP1/4B1K1/8 b - -,b6d7
8/1p1k1ppp/p3b3/n7/4PN2/1P5P/2P2KP1/3B4 b - -,d7d6
4r1k1/p2q2pp/3np1b1/3pQ3/P1pP1PP1/1rP5/5NBP/2R1R1K1 b - -,g6f7
8/4k3/8/4Q3/6K1/6P1/7q/8 b - -,e7f8
3q1rk1/2n1pp1p/r2p2pb/2pP4/Pn2P3/2N2N2/1P1Q1PPP/R4RK1 w - -,d2h6
3n2Q1/pk1q4/1prb2p1/1NpnB2p/P2p4/1P1P4/2P3PP/5RK1 w - -,g8d5
r1bqkb1r/ppp2ppp/2np4/8/8/2P2N2/PPP2PPP/R1BQKB1R w KQkq -,c1e3:c1f4
1rbqk2r/2pp1ppp/p4n2/1pb1n3/P2PP3/1B6/1PP2PPP/RNBQ1RK1 b k d3,c5d4
6rr/2kqbp2/2p1p1p1/1p1pP2p/pPnP1P1P/P1P1B1PB/4R3/R1Q1K3 b - -,c7b7
r5k1/q4pb1/4p3/ppR1P1pp/2bQ4/P5PP/1P4P1/3RN1K1 w - -,c5c8
2r3k1/pp2q2p/1nr3p1/3p3n/7P/1QNBP3/PP3P2/1KR3R1 b - -,e7h4
r3rq2/p1kbb2p/Qppn4/5pp1/8/1BP1B1P1/PP3PNP/3RR1K1 b - -,d7c8
r4rk1/1p2bppp/p2p1n2/qN6/1PP1pB2/P5Pb/4BP1P/R2QR1K1 b - b3,a5b6
r3k1nr/1ppqbppp/p1n1b3/3pp3/1P6/P1PP1NPP/3NPPB1/R1BQK2R b KQkq -,f7f5
8/8/K1P4R/3k4/3p3P/1r6/8/8 b - -,d4d3
1k1r3r/pPb2p2/3q1n1p/3p2p1/1p2p3/7P/1BBNQPP1/1R3RK1 w - -,g2g3
r1bqrnk1/pp2bppp/2n1p3/2ppP3/3P1P2/2PB1N2/PP2N1PP/R1BQ1RK1 w - -,g1h1
rn3rk1/1pqb1pbp/3p2p1/2pP3n/4P3/2N1B3/PpQNBPPP/R3K2R w KQ -,c2b2
3r4/1p3k2/7p/pP1N1B2/8/1P3N1P/3K1b2/8 w - -,f5e4
6k1/3q3p/1pp1rQp1/3p1n2/p2Pr1P1/P2NP2P/1P3PK1/3RR3 w - -,d3e5
5rk1/2qR1pp1/Q4b2/p3rB2/1p2P2p/1P4PP/P4P2/3R2K1 b - -,c7c5
4r3/6kp/1p4p1/pBnPq3/P3p3/4Q2P/6P1/4R1K1 b - -,e8f8
r1q4k/1pp1b1pp/1n2np2/1r2p3/p1NPN1b1/P3P1P1/1B3P1P/1RQ1RBK1 b - -,g4f5
r1bqk1nr/1p1pppbp/p5p1/8/B2pP3/8/PPPPNPPP/R1BQ1RK1 b kq -,e7e6
8/7k/8/R3prpp/8/1P4RP/P1r3PK/8 w - g6,g3d3
r1b1k2r/pp3p2/2p3pp/2p1q3/3nP3/2NP3P/PPPQ2PN/4RRK1 w kq -,c3d5
