8/4r3/2p4p/5Bp1/P4kP1/1P6/2P2K2/8 w - -,f5c8
6k1/7p/ppr3p1/3pBpP1/b2P3P/2P2RK1/P7/8 b - -,a4c2
8/pp6/2p2k1p/2Pp1p2/1P6/3K2P1/P6P/8 b - -,f6e5
4q3/1p4b1/3kp1P1/p2p1pPQ/b2p1P2/2rB4/2P4R/4R1K1 b - -,e8f8
r2q1rk1/pp2ppbp/2p2np1/3p1b2/2PP4/1P2P1P1/PB1NQPBP/R4RK1 b - -,a8c8
4r2k/1b2q1bp/1p1r2p1/p1p5/P1PpPp2/1P1Q3P/3NBPP1/3RR1K1 w - -,e2g4
1k6/1pp5/p1p5/P4p2/2P2Pp1/3rn1Pp/1P3R1P/4R1K1 w - -,e1c1
3r1rk1/pp2bpp1/2p1pn1p/qPPb4/P1NP1B2/1Q6/3RBPPP/3R2K1 w - -,c4a5
rq5k/1p1r2bp/2bp2p1/p3p3/2PnB3/1P2BP2/P2RN1PP/3RQ1K1 b - -,d4f5
rnbqkb1r/pp3ppp/2p2n2/4p3/3pP1P1/3P4/PPP1QP1P/RNB1KBNR w KQkq -,g4g5
r1bq1rk1/ppb2pp1/4p2p/3n4/1P1PB3/P5P1/2Q1NP1P/R1B2RK1 w - -,e2c3
8/8/6k1/7p/4K3/6PR/4n3/8 w - h6,e4e3
4rr2/1bp2pk1/p5p1/1p1qp3/4N3/2PP1P2/PP2Q1PP/R3R1K1 w - -,b2b3
3r1r2/pb1qp1kp/1pn2pp1/2p5/2P5/2QP1NP1/P3PPBP/1R2R1K1 w - -,a2a3
4r1k1/5pbp/3qr1p1/p1pp1p2/5P2/2P2PP1/PP2RQKP/3NR3 b - -,d5d4
3r2k1/p2q1ppp/1p6/3p4/PQnP4/2P2BP1/4RP1P/6K1 b - -,a7a5
2rq1rk1/1b1n2bp/p2ppp2/1p4p1/1P2P3/1N2B3/PP1Q1PPP/R3RBK1 b - -,b7e4
8/8/pp2kn1p/3p1p1P/PPpPpP2/2P3N1/8/4K3 w - -,e1e2
r4rk1/pp1n1ppp/2nqp3/3p4/3P2b1/2PB1N2/PP1N1PPP/RQ3RK1 b - -,g7g6
5r1k/1p4p1/8/1Q6/6PK/4r2P/P7/8 b - -,f8f7
8/8/1p1N4/2pPpBk1/P3Prpp/2P3K1/8/8 w - -,g3h2
3b4/1N1k3p/6p1/1p1pBp2/1P3P2/2K1P3/b5PP/8 b - -,d8b6
r5k1/4p1bp/3p2p1/1NpP1r2/P7/1P1n3P/3B1PP1/1R3RK1 b - -,c5c4
r4rk1/1bqn1pbp/pp3np1/3p4/P2B4/2N2P1P/1PPQB1PN/3R1RK1 w - -,h2g4
1r1q1rk1/1p2ppbp/p2pb1p1/P3n3/2PBP3/1P2N1PP/R2Q1PB1/5RK1 b - -,d8c8
3r3k/6p1/p3P2p/1b2qp1P/8/4QB2/5PP1/1R4K1 b - -,e5e3
2r1r1k1/1bqn1pbp/pp1ppnp1/6N1/2P1PP2/1PN5/PBQ3PP/1B2RR1K w - -,c2d3
3rr2k/6p1/p1q1b2p/1pPp1p2/1P1RpPP1/P3Q2P/4BK2/3R4 b - -,e8f8
rn2kb1r/pp3pp1/1q2pn1p/3p1b2/8/1Q1P1NP1/PP1NPPBP/R1B1K2R w KQkq -,b3b6
1rbq1rk1/1p2npbp/p1npp1p1/2p5/P3PP2/2PPBNP1/1P4BP/RN1Q1RK1 w - -,g1h1
Q2b4/2r3kp/3qp1p1/1p3p2/nP1p1P2/3P1NP1/R1PB3P/6K1 w - f6,d2e1
5rnk/p7/2P4p/4PB2/8/7P/P3rPP1/2R3K1 w - -,c6c7
3r2k1/7p/2r1n1p1/P4p2/1p6/5P1P/1N1N2P1/R4RK1 b - -,d8d2
q4rk1/4ppbp/1r4p1/2Bp1b2/8/1Q2PN2/P4PPP/3R2K1 w - -,b3b6
6k1/pp3r1p/3p1Pp1/P2P2P1/1b2PB1n/2R3NP/8/3K4 w - -,c3c4
