8/8/8/6k1/5p2/5P2/2Q3P1/q5K1 w - -,g1f2
1r4k1/1p2p2p/p5p1/P5P1/8/8/6P1/1R5K w - -,b1b6
8/8/8/1R4p1/2P2b1p/p6P/2K5/k7 w - -,b5d5
1rr3k1/ppp1pp2/6pp/2NP4/1P2RB2/1P5P/P4PP1/b5K1 w - -,e4e7
1r2k3/5p2/r3p1pp/b3P3/RpRB1P2/6P1/4P1KP/8 w - -,c4c5
4rr1k/q5pp/3p4/P1b1p3/1pb1P3/6P1/1B1Q2BP/1KNR3R b - -,f8f2
8/p7/P7/4pp2/3b1k2/5P2/4K3/7R w - -,h1h4
8/8/8/3p2n1/3N2P1/5RK1/1r6/4k3 b - -,g5f3
1k1r4/pp3p1p/2p2qp1/3r4/2RPp3/1Q2P2P/PP3PP1/1K3R2 w - -,b3c2
3r2k1/1bb2pp1/p3p2p/2p3qP/PpNr4/1P1B1P1R/2PP1QP1/2KR4 w - -,c1b1
8/5p2/3kp3/3n1p1p/5P2/1P1K1NP1/7P/8 b - -,f7f6
r2r2k1/1p2ppbp/npp1b1p1/3p4/2PPnBP1/2N2N1P/PP2PPB1/R3R1K1 w - -,c4d5
5r2/pp1kb3/4p3/3p3p/1P1P1Pp1/P3B3/4K2P/5R2 w - -,h2h3
8/2n4p/2N2npk/2N2p2/8/4P1PP/5PK1/8 b - -,h6g7
1r4r1/2p2kp1/1b2bp2/p6p/2p2B1P/P1N3P1/1P1RPP2/5RK1 w - -,c3d5
Q7/7k/7p/p7/8/7P/Pq4P1/7K w - -,a8a5
5r2/1p2rpbk/p1p3pp/2P2b2/2BP4/1Q2P1qP/PP1N1RP1/5RK1 w - -,f2f3
8/3Q1k1r/p3p3/5q2/2p4R/6P1/5P1K/8 b - -,f7g8:f7f8
2b2r1k/2q2r2/p2p1bQ1/2pP3p/P1N2RP1/2P5/4B3/5RK1 b - -,c7e7
8/Np4pk/1P4q1/2r5/3prp2/5QP1/4PP1P/2R3K1 w - -,c1c5
2r2rk1/1b1nqpbp/pp1p1np1/8/2P1PP2/1PN5/PBN1Q1BP/R2R2K1 b - -,f8e8
2k4r/4np2/2q1pNrP/pp1pPnPB/b1pP1B2/2P5/2PQ2R1/R5K1 b - -,c6b6
r3rnk1/1pq2bpp/p4p2/2p1p3/P1P1P3/4BN1P/1PQ2PP1/R4RK1 w - -,f3h4
8/8/1b6/1P5B/3ppk2/5p2/5K2/8 b - -,d4d3
r2b1rk1/pp4pp/2pPB2q/4P3/4p2P/1P2P1P1/PBQN1n2/2KRR3 b - -,h6e6
8/6kp/1b1qppp1/8/3P3P/2Q2NP1/5P2/6K1 w - -,g3g4
4k3/rB1R1p2/P1K1p1p1/7p/8/4bPP1/7P/8 b - -,e3g1
3q4/3n1k2/2b1p1p1/1pp1p2p/4Pp2/1BPPNP2/1P2K1PP/1Q6 w - -,e3f1
rn3r2/4qpbk/2ppbnpp/p3p3/4P3/1PPB1NN1/P3QPPP/1RB1R1K1 b - -,b8d7
8/2P5/1q3p1k/6p1/K7/2Q5/5P2/8 b - -,b6a6
6k1/pp2rpp1/1q2pn1p/1N6/2P3P1/1P5P/P3QP2/3R2K1 w - -,e2e5
3Rr3/4k2p/1p2P1pB/p1n5/2p4P/2P1P3/8/6K1 w - -,h6g5
r1bq1rk1/1p1n1pbn/p2p2p1/3Pp3/4P1Pp/2N1BP1P/PP1Q4/R1N1KBR1 b Q -,g7f6
8/p1p3k1/2ppr2p/2n1P1p1/P2r4/1PR1R2P/2PN2P1/6K1 w - -,d2f3
r2q1rk1/pbp2ppp/1p6/3pP3/Q3n3/6P1/PP1BPPBP/R4RK1 w - -,d2e3
r4qk1/pp4pp/1P2N3/2pp1p2/8/1Pb3P1/4PPBP/R4RK1 w - -,e6f8
