8/8/pr4pK/7p/7P/4k1P1/8/R7 w - -,h6g5
8/2n5/1p2k3/P5p1/2N1p1pp/1K2P1P1/5P1P/8 w - -,c4b6
r2q1rk1/2pnbppp/2p1b3/p1n1p3/3pP3/P2P2P1/1P1NQPBP/R1B1NRK1 w - -,f2f4
rnq2r1k/p3p1bp/bp3pp1/3p4/1nNP3P/1B2PNB1/PP2QPP1/2R1K2R b K -,d5c4
5r1r/1p2p3/p2kP3/3p2pp/4B1Q1/4q2P/P1P3P1/R4R1K w - -,g4d1
1q4k1/1b3p2/pb2p1p1/4p2p/1P2P1BP/P5NN/5PP1/4Q1K1 b - -,h5g4
r4rk1/1p1b1ppp/1q2pn2/p1b5/2PN4/PP1B4/1B1NQPPP/R4RK1 b - -,c5d4
r3rk2/2q2ppQ/p3p3/1p1B2p1/3P4/2P4P/PP3P2/4R1K1 b - -,a8d8
8/5p2/R2Pk3/P1p3pp/r7/4K1PP/5P2/8 w - -,e3d3
4r1k1/p1p2pbp/1qpp2p1/8/4P3/1PPQ3P/P3NPP1/4R1K1 b - -,a7a5
6k1/ppp3b1/3p2pp/3P4/2P3P1/2Nb2K1/PP4Nr/4R3 b - -,g7e5
r1b2rk1/pp1nqpb1/3p2pp/2p2P2/4P3/2PB4/PPNN2PP/R2Q1RK1 w - -,c2e3
1k1r3r/1pp2pp1/p1p1qn1p/4p3/4P3/3PN3/PPP1QPPP/R4RK1 b - -,g7g6
8/4k3/2K5/1P6/8/8/5P2/7r b - -,e7d8
r7/4ppkp/p3bnp1/q3p3/2p2P2/1PN5/P2Q2PP/2RR3K w - -,f4e5
r4rk1/ppp1nppp/2n1b3/8/8/2P1NNP1/PP2BP1P/2R2RK1 w - -,e2c4
5k2/5p1p/2P3p1/1P1nP3/3P4/7P/6P1/7K w - -,h1h2
5bk1/pp3p2/5n1p/3p2p1/3P4/4PPB1/P2N2PP/6K1 b - -,f8b4
r2q1rk1/pbpn1ppp/1p1ppn2/6B1/2PP4/P1Q5/1P1NPPPP/R3KB1R w KQ -,f2f3
8/1pq3k1/3p1n2/P3p1p1/1Q2P2p/3B2PP/5P2/6K1 w - -,b4d2
1r3k2/1bq3p1/ppn1Pn1N/3p1N2/P7/8/1Q3PPP/1B1R2K1 w - -,b2a3
4r1k1/ppq1rp1p/b2p1b2/2pP1p2/6P1/2P1BN1P/PPQ2K2/R3R3 w - -,c2f5
5rk1/p4r1p/1p2p1pQ/2p1q3/2P2R2/3P2P1/4P1KP/1R6 w - -,f4e4
r2n4/ppp1kb1p/5pp1/5P2/1PP1B3/P1K1N1P1/3R3P/8 w - -,h2h4
3r1bk1/2pq1pp1/p3rn1p/1p2p3/4P3/3PBQNP/PP3PP1/2R1R1K1 b - -,g7g6
3rr1k1/ppq2pp1/1bppbnnp/4p3/3PP3/P1P1BNNP/1PB2PP1/R2QR1K1 b - -,a7a6
3r2k1/5pp1/p6p/2p5/2q5/4P2P/P4PP1/2R3K1 w - -,c1c4
3r2k1/3r2bp/1pq3p1/p1np1p2/N4Q2/1P3PP1/PBR1P1KP/3R4 b - -,g7b2
3nkb2/1p3p1p/p5r1/3Npp2/2B5/2P3P1/PP3P1P/2K4R w - -,h1e1
r3k2r/1bq2pbp/pn1p2p1/1pn3P1/4Pp2/PPN2B2/1BP1NQ1P/1K1R3R b kq -,e8g8
1r1q1rk1/1p2ppbp/p1npb1p1/3N4/P1P1P3/4B1PP/1P3PB1/R2Q1RK1 b - -,e6d5
8/R7/4p3/3b1r2/2p5/2P2k2/2P2B1P/5K2 b - -,d5e4
r1rq2k1/3nppbp/1p1p1np1/3P4/1pP1P3/1QN1B2P/4BPP1/1RR3K1 w - -,b3b4
rnbq1rk1/pp1pbppp/4pn2/2p5/2P5/5NP1/PP1PPPBP/RNBQ1RK1 w - -,b1c3
B4rk1/N2bppbp/n2p1np1/8/3P4/6P1/PP2PP1N/R1B3K1 w - -,a8c6
2r2rk1/pbqn1p2/1p1p1bpp/2p1p3/3PP3/2P2N2/PP1NBPPP/1QR1R1K1 w - e6,d4e5
r1b2rk1/1p2q2p/2n2p2/p3p1pP/4Q3/1NPB4/P1P2PP1/1KbR3R w - -,d1c1
r4b1k/pq6/5P1p/1p2PQ2/2p4p/3p2P1/PP3P1P/4R1K1 w - -,e5e6
r1b1kb1r/1pq3pp/p3pp2/4p3/4P3/2N1B3/PPPQ1PPP/R3R1K1 b kq -,c8d7
r5k1/3R1bpp/5p2/p3p3/8/P1n1P3/6PP/4R1K1 w - -,g1f2
3r2k1/p7/1p3n1p/3pRp2/3P2q1/P4QP1/BP4P1/6K1 w - -,f3g4
5r1k/3p1q1p/3p1Pp1/2rNn3/2P4P/pP6/P2Q4/2KR1R2 w - -,c1b1
1k3nrb/pbqnp3/8/2pPppN1/PpP4P/4B1P1/RPQ1N1B1/6K1 b - -,e5e4
4r2k/q6p/1ppQ4/4bp2/4p3/4P2P/4BP2/3R2K1 w - -,d6c6
r1r5/1p2p3/3p2k1/p2P4/4p1K1/1P6/P4P2/2RR4 b - -,a5a4
r2r2k1/pb1pqpb1/n1p1p2p/2P3p1/N7/4PN2/PP3PPP/1BRQ1RK1 b - -,a8b8
r2qr1k1/1bp2pbp/p1np1np1/1p2p3/P3P3/2PP1NN1/1PB2PPP/R1BQ1RK1 b - a3,c6b8
r4rk1/pb2bppp/q1n2n2/2pp2B1/8/P1N2NP1/1PQ1PPBP/R2R2K1 b - -,f6e4
bn1qr1k1/5pbp/3p1np1/1N1P4/Qpp1P3/5N1P/1P3PP1/2B1RBK1 b - -,a8b7
r1bq1rk1/2p1bpp1/p1np1n1p/1p2p3/4P3/1BP2N1P/PP1P1PP1/RNBQR1K1 w - -,d2d4:d2d3
r2qk2r/1bp1bppp/p2p1n2/n2Np3/Pp2P3/3P1N2/BPP2PPP/R1BQ1RK1 b kq -,f6d5
r4r2/1b1q2kp/p1np2p1/1pp2p2/5N2/3P2P1/PPPQ1PBP/4RRK1 b - -,f8e8
8/2n3pp/p1nkpp2/2N5/PPKB4/6PP/5P2/8 w - -,c5b7
5r1k/1p1bnr2/p2p1qp1/2pPpp1p/P1P1Pb2/1P1B1P1P/R5PN/1R2QN1K b - -,f5e4
