8/2KPBk2/p7/1br5/8/7P/8/8 w - -,e7c5
r1bq1rk1/pppn1pbp/3p1np1/4p3/2P4P/1PNBP3/PB1PNPP1/R2QK2R b KQ -,b7b6
rn3rk1/1bq2ppp/1p1p1n2/p3p3/1pPPP3/3Q2P1/PP1N1PBP/R3NRK1 w - a6,e1c2
r5k1/pppq1r2/4b1n1/4n1pp/3pP3/1P1P1P2/PB2Q1Bp/2R1NR1K w - -,b2a3
3r1k2/p4pp1/1p1r4/2pNb1p1/P1P5/3RPP2/5PKP/1R6 b - -,d6h6
r4rk1/p2nqpp1/1p2b2p/2pp4/3P4/Q3PN2/PP2BPPP/R4RK1 b - -,f8e8
r1bqrbk1/pp3pp1/3p1n1p/n1p1p3/4P3/2PP1N2/PPB2PPP/R1BQRNK1 w - -,f1g3
5k2/2r1pp2/3p1nP1/p1r4p/R2K4/2P3PP/1P2B3/3R4 w - -,a4a2
5r2/1r3P2/4R1P1/1pk2K2/3p4/2pP4/8/5R2 w - -,f5g5
r1r3k1/1p3pbp/4pnp1/p2p4/2PP1P2/1P2NKP1/PB5P/2R1R3 b - -,c8d8
5rk1/p4qpp/2pp4/8/6N1/1P5P/PbP1Q1P1/4R2K w - -,e2d3
3b4/5k2/1ppBp3/p3P1p1/P1K3P1/1P1P4/5P2/8 w - -,b3b4
r2qkb1r/pbpnppp1/1p3n1p/8/3P3B/2N1PN2/PP3PPP/R2QKB1R w KQkq -,f1e2
8/6pk/5p1p/8/4b2P/4B1Q1/4q1PK/8 w - -,e3d4
1R6/8/8/3K4/6k1/5p2/8/8 b - -,f3f2
8/2p2k2/1p3p2/p1pPp1n1/P1P1P1R1/1P3rN1/2K5/8 b - -,f3e3
r5k1/3nqp1p/1p1p2p1/3Pp3/1Q2P3/P5P1/5PBP/R5K1 w - -,a1c1
r5k1/5pp1/p1r4p/1p2p3/2p1P1b1/1BP5/P1PB1KPP/RR6 w - -,d2e1
r2r2k1/1b2np1p/p2q1bp1/3p4/Q2N1N2/P3P1PB/5P1P/2RR2K1 b - -,a8b8
rnb1kb1r/1p3ppp/2p2n2/3P4/pq2p3/1N1P2P1/PP1BPPBP/RN1QK2R b KQkq -,b4b6
3r1bk1/3R2pp/p4p2/1p2p3/1PP1RnP1/P6P/2qN1P2/2B2QK1 b - -,d8d7
r2q1rk1/4bpp1/p1bp1n1p/1p2p3/4PPP1/P1NQB3/1PP1B2P/2KR3R b - g3,f6d7
8/7Q/5p1p/7P/1p3k2/5q2/6K1/8 w - -,g2g1
3R4/1r3kpp/3Bb3/1p3p2/2p5/5P1P/1PP3P1/6K1 w - -,d6b4
8/8/2p5/4Q3/p7/7p/7P/K2q2k1 w - -,a1b2
8/4kp1p/1nPp2p1/4p1P1/p3P3/PpN2P1P/1P6/5K2 b - -,e7d8
3R4/1p4pk/p3ppp1/rn2P3/7P/2P1P1PN/1P3K2/8 w - -,e5f6
8/R3ppkp/p3q1p1/1p6/2P5/1P3R1P/5PPK/8 w - -,c4b5
3r1bk1/2q2p1p/P1p3p1/1p2p3/1P2P3/3nN3/1Q1N1PPP/R5K1 w - -,b2b3
1r6/5p1p/R3k3/1p3p2/5P2/6P1/5BKP/8 b - -,e6d5
2kr1bnr/1pp3pp/p1pqbp2/8/3NP3/4B3/PPPN1PPP/R2QK2R w KQ -,d4e6
rnbq1rk1/pp3ppp/4p3/3n4/3N4/P3P3/1P1N1PPP/2RQKB1R b K -,e6e5
3rrq1k/6bp/2R1B1p1/3P1p2/5B2/4PQ2/5P2/2R3K1 w - -,c6c7
3q1n2/1p1r1bk1/p3n1p1/P3p2p/1P2P2P/3BN1P1/4Q3/2N2RK1 b - -,e6d4
r1r3k1/1pq2p1p/1npbb1p1/5p2/pP1P4/P3P1P1/2QNNPBP/2R2RK1 b - -,h7h5
2r5/8/7p/pp2Pp2/P3kP2/1Pb1BN1P/4K3/8 b - a3,b5b4
3rq3/2r2Rpk/p1bp3p/1p2p1bQ/1P2P3/P1N5/BP5P/5RK1 w - -,h2h4
7r/4kpn1/1N2p3/8/1p6/6P1/1P2KP2/2R5 w - -,c1c4
2r2rk1/1b4pp/1p2p3/p2nNp2/PqBPn3/1P6/KB2QPPP/2R4R w - -,e2c2
1qr1r1k1/1bbn1ppp/pp1ppn2/8/1PP1P3/1NN2P2/P1RQB1PP/1R4BK b - -,d7e5
r1r4k/pp3p1p/3pp2P/6Pp/2b1P3/P1N2P2/1PP2K2/3R3R b - -,c8c6
r1bqkb1r/pp3ppp/2n1pn2/2pp4/4P3/3P1NP1/PPP2PBP/RNBQK2R w KQkq d6,b1d2
6k1/6B1/1pB3KP/p3b3/2P3P1/3n4/8/8 b - -,d3f4
3r4/5kq1/7Q/1N1p4/6P1/1P6/2PP4/1K6 w - -,b5d6
r3k2r/1pn1bppp/2pqpn2/8/1P1P4/6P1/2P1NPBP/1RBQ1RK1 w kq -,c2c4
r1q2rk1/ppp3bp/1nn1bpp1/3Np3/2P5/5NP1/PPQ1PPBP/2BRR1K1 b - -,f8f7
br1rn1k1/n3qppp/4p3/1p6/1bP1N3/1P2N1P1/1BR2PBP/Q2R2K1 w - -,d1d8
r4rk1/1ppqnppp/4pn2/p1b1N3/P1N1P3/2P4P/1P2QPP1/R1B2RK1 b - -,d7e8
r1bq1rk1/pp2nppp/2p5/8/2Bp4/3P4/PPP2PPP/RN1QR1K1 w - -,b1d2
r1bqr1k1/1p5p/4p1pB/p2pP1b1/Pn6/R5N1/1P3PPP/1B1QR1K1 w - -,b1g6
1k4r1/pr1bqpb1/1p1p2pp/1P1Pp3/R3P3/Q2B1NP1/P4PP1/K1R5 b - -,f7f5
2q5/5r1k/1R1p1n1b/4p2p/2PpP2N/1P4PP/4Q1B1/6K1 b - -,c8c5
3R4/1q4pk/5p2/p7/2P5/3nQpPK/4R2P/3r4 b - -,d3e5
8/7k/1p1Bp1p1/p4Q2/2P1b2P/8/P5PK/8 b - -,e6f5
r2q1rk1/1pp2pb1/p1n1b1pp/4p2n/P3P3/1NP2NPP/1PB1QP2/R1B1K2R b KQ -,b7b6
2kr3r/1p4p1/pbn1b2p/3p4/1P3PP1/P1P4P/3B2R1/R2BK3 w Q -,f4f5
2k5/p1p1r1p1/2b4p/8/3KP2P/P1R3P1/1P6/8 w - -,c3c6
2rk1b1r/8/p2p3p/1p1Rp1pB/4P3/8/PPP3PP/2KR4 w - -,d5e5
rnbqkb1r/2p1pppp/pn6/1p2P1N1/P1pP4/2N5/1P3PPP/R1BQKB1R b KQkq -,f7f6
8/8/8/p2r2p1/3kp1P1/1P5P/8/3K1R2 w - -,d1d2
2r2rk1/p2q1ppp/1p1ppn2/1b6/2PR4/P3P3/1P2BPPP/3QK2R w K -,d4d6
1r1qnrk1/3nbppp/3p4/1p1Pp3/8/1N2B3/PP1QBPPP/R2R2K1 b - -,b5b4
r2qkb1r/1p3p2/p1bpp3/6p1/4P1nB/2NQ4/PPP1B1PP/2KR3R w kq -,h4g3
