R7/2k5/2B5/P1p3p1/2P2b2/8/1PK5/8 b - -,c7c6
r3kbnr/pb3ppp/2qp4/1pp1P3/4P3/2P2N2/PP2QPPP/RNB2RK1 w kq -,f1e1
r4rk1/pp1bppbp/3p2p1/7n/2P1PP2/3B3P/P2BN1P1/1R3R1K w - -,b1b7
5B2/R6p/P5pk/5p2/8/3K2P1/r4P2/6b1 b - -,h6g5
8/8/8/pNp1k1b1/1nP3B1/1P6/P1K5/8 w - -,c2b2
4r1k1/1pq2r1p/4bB2/2PQ1n2/1P4p1/3NP2P/P4RP1/4R1K1 w - -,d5e5
4rrk1/pppn1ppp/3b1q2/4p3/2PP4/2P2b1P/P1B2PP1/1RBQ1RK1 w - -,d1f3
6k1/5p2/3b2p1/8/P3n2p/7P/4K1P1/4B3 b - -,g6g5
8/7k/2R4p/5pp1/P2b4/5KPP/1r3P2/4B3 b - -,b2b1
r1r1nbk1/1p1n1p1p/p3p1p1/3p4/3P1B2/1P1BPN1P/1P3PP1/2R2RK1 b - -,f8d6
r1b2rk1/3n1pb1/np1q2pp/pNpPp3/P1P1P3/1R1B1N2/1Q1B1PPP/1R4K1 b - -,d6f6
1R6/3r1pk1/pp2qnpp/8/PP6/2Q2BPP/5PK1/8 w - -,c3c8
8/7p/5Qpk/2q2p2/7P/5PPK/8/8 b - -,c5g1
3Q1b2/8/pr1p1P2/k2B4/1p2p3/8/PPP4P/1K6 b - -,f8h6
rn1qr1k1/p1p2ppp/bp1p1n2/3Pp3/Q1P1P3/2PN2P1/P4PBP/R1B2RK1 b - -,d8d7
r3r1k1/4qp1p/p1p3p1/Pp1p3n/1PnP4/2NQP2P/3N1PP1/1R3RK1 w - -,d2c4
r4rk1/pp3pp1/2pbpn1p/3q3P/2PP4/4BN2/PP2QPP1/1K1R3R b - c3,d5f5
r1bq1rk1/ppp1bppp/2p5/4Nn2/3P4/2P5/PP1N1PPP/R1BQR1K1 b - -,c6c5
2r3k1/r3q3/p3N1pp/P3P3/4pP2/2p1Q2B/6PP/2R3K1 b - -,a7d7
3r1rk1/pb2qpp1/7n/1p2P3/2pbNPPp/3B3P/PP2Q1K1/R1B2R2 w - -,d3c2
5k1r/5p1N/4p3/4P3/1p1rBPQ1/4N1P1/q2p4/3R2K1 b - -,f8e7
2b1r1k1/1p4p1/p3p2p/2Bp2q1/P1p1p1B1/2P3QP/2P3PK/5R2 w - -,c5e3
r4rk1/1p3p1p/p2p1pn1/3N4/4P2q/3B3P/PPPQ2P1/5R1K b - -,g8h8
q3r1k1/4rpbp/p2p2p1/2pPn3/4R3/1PB5/P1Q2PPP/3R1BK1 b - -,e5c6
8/n7/3kp1p1/P6p/1K1R4/8/8/r7 b - -,d6e5
1r4k1/4pp2/6p1/3N3p/3Q4/1P6/PK1R2P1/4q3 b - -,b8c8
r1bq1rk1/pp1n1pp1/2p1pb1p/3p4/2PP4/2NBPN2/PP3PPP/R2Q1RK1 w - -,e3e4
r1bq1rk1/pp2bpp1/2n1pn1p/2pp4/4P2P/2PP1NP1/PP2QPB1/RNB2RK1 b - h3,b7b5
2rr4/pp4k1/6p1/5n1p/8/P1N1Q3/1P4PP/3R1RK1 b - -,f5e3
6r1/5p1k/2r1pP2/pp2Bp2/3P4/5R1P/5PP1/6K1 w - -,f3f4
r2qr1k1/pb1n1pb1/3p1npp/1ppP4/4PP2/4B1P1/PP3NBP/RN1QR1K1 b - -,d7b6
6r1/p1kb4/1pn1p3/2Qp2q1/8/P3R1PP/2P2P2/4R1K1 w - -,c5b5
r3k2r/3nbppp/2qpb3/p3p3/PpP1P3/1P1QB1P1/4NPBP/3R1RK1 w k -,d3c2
2r3k1/pb3pp1/1p5p/r3p3/4P1B1/2n4Q/1q1N1PPP/1R1R2K1 b - -,c3b1
8/4k3/R7/5P2/p3PK2/r7/8/8 b - -,a3a1
8/8/4k3/pb1p4/3P4/2PN4/P2K4/8 b - -,e6d6
6r1/8/1p1p4/3P3k/1P1B2q1/3Q4/6pP/6K1 b - -,g8g6
R1b2rk1/1p3rbn/1B1p2p1/3Pp2p/4p2q/1R1B1P2/4N1P1/2Q3K1 w - -,d3e4
5rk1/r3bpp1/6bp/P1ppn3/1ppP2P1/2P2P2/1P1N3P/R2BR1K1 w - -,e1e5
8/4k3/7R/3p4/P1bKp3/2P5/8/8 b - -,e7d7
5k2/1Rr4p/3N2p1/5p2/8/6P1/1P3PKP/4n3 w - -,g2f1
3r2k1/3n2p1/1p2p2p/p2p4/R7/1P1NP2P/P4PP1/6K1 w - -,b3b4
8/5k2/3p4/1P1N1p1p/3bpP1P/6P1/4K3/8 b - -,f7e6
r2qnrk1/pp1nbp1p/2p1p3/6p1/4P2N/5NPP/PPP2P1K/R1B1QR2 w - g6,h4g2
5k2/8/2q5/p2p1P2/1p4P1/1P1QK1B1/n7/8 w - -,f5f6
r1b1k2r/1pp1nppp/1p4q1/3Pp3/1P2p3/P3BnP1/2P1NPBP/R2Q1K1R w kq -,c2c4
1kqr4/pb3p2/1p2pN1p/1Bb3p1/6P1/2P2P2/PPQ3P1/1K5R w - -,h1h6
2k2b1r/1p3pp1/2p1n1p1/6P1/2P5/4B2P/PP3P2/2Kr1B1R w - -,c1d1
3rrqk1/bpp2pp1/p2pbnnp/4pN2/3PP1N1/2P1B2P/PPB2PP1/2QR1RK1 b - -,f6g4
3r1r1k/4qppp/p1n2n2/1p2p1B1/4P3/2Pp1QPP/PP4BK/R4R2 b - -,d8d6
3k4/p1q1b3/2p2p2/2P2Q2/2Pp4/3P3P/P1N5/6K1 b - -,c7g3
r2q1rk1/ppp1npbp/3p1np1/3Pp3/P3P3/2N1BB1P/1PP2PP1/R2Q1RK1 b - a3,f6d7
r2q1rk1/3nppbp/p1np2p1/1pp5/4P3/2PPB2P/PP1N1PP1/R2QRBK1 w - -,d2f3
6k1/p4pp1/6q1/2p5/2Pp2Pp/P4P1P/1R2R1K1/8 b - -,g6d6
2r3k1/2nrnp2/1p2b2p/p1p3p1/6P1/P1B2PKP/1PN5/2R1RB2 b - -,e7d5
