1n6/1P6/4N3/6p1/5Pk1/8/5K2/8 b - -,g5f4
1r6/1p4k1/p2Np2R/2nbP3/5P2/1P4P1/P2N4/6K1 w - -,h6h2
2r1rnk1/1b4bp/p1q1p1p1/1p1p2P1/5P2/1P2R2Q/P1P2BBP/3NRK2 b - -,c6c2
6k1/2rp3p/p1n1p1p1/2rbPp2/PpN2P2/1P6/1P4PP/3RRBK1 b - -,c6a5
rnbqkbnr/pp4pp/2p1p3/3p1p2/2PP2P1/2N2N2/PP2PP1P/R1BQKB1R b KQkq g3,g8f6
4rk2/1R3Pr1/1P6/8/3p1pBp/2b5/5KP1/3R4 b - -,e8d8
3R1n1k/6p1/2p2n2/p4B2/pb2p1P1/2N4r/1P3P1P/4R1K1 w - -,c3e4
r1bq1nk1/1pb2r1p/2p1p3/1pPpPpp1/P2N1P2/3BP3/1BQ3PP/R4RK1 w - -,a4b5
4Rrk1/pp3qp1/2n4p/1B1b1p2/3p1p1B/PP5P/2PQ2P1/5K1R b - -,f8e8
r2r1k2/p4p2/1pp1Bn1p/6p1/4P3/4KPPP/PP2N3/R2R4 b - -,f7e6
r1bqkb1r/pp2pppp/2n2n2/1Bpp4/8/1P2PN2/PBPP1PPP/RN1QK2R b KQkq -,d8b6:c8g4:a7a6:d8c7:e7e6
8/1PR4p/4k1p1/5p2/1rN2P2/1b4P1/7P/6K1 w - -,c7c6
1rbq1rk1/pp1nppbp/3p2p1/2p2P2/P3P3/2NP1nPP/1PP3B1/R1BQ1RK1 w - -,d1f3
3br1k1/pprq1pp1/2n2n1p/3p4/3P3N/1PPQ2P1/5PBP/R1B1R1K1 w - -,e1e8
5rk1/pp4pp/3p4/3Pbb2/4N1p1/2N1q1P1/PP4QP/5R1K w - -,f1f2
3r4/1pr1kppp/p2p1n2/P2P4/3R4/8/1PP1B1PP/2KR4 b - -,f6d7
5rk1/1q4pp/Rp3b2/1n2pp2/3p4/PN1P1PP1/1Q1N2KP/8 w - -,a6a4
r1bq1rk1/pp3pbp/4p1p1/n1pP4/4PB2/2P2N2/P3BPPP/R2Q1RK1 w - -,d5d6
r2q1r1k/1pp1b1pp/p1npbn2/1B2p3/4P3/P1N1BN1P/1PP1QPP1/R4RK1 w - -,f3g5
4r1k1/7p/4p1p1/1n2P3/1R1P4/2p1B1P1/5P2/7K b - -,b5c7
8/4k3/1p1bP3/1p3p2/5r1p/pB1R3P/P7/3K4 b - -,f4f2
R2qkb1r/1bp2ppp/2np1n2/1p2p3/4P3/1B1P1N2/1PP2PPP/1NBQK2R b Kkq -,b7a8
r2q1rk1/p2n1ppp/bp3n2/3p4/2P5/1P1Q1NP1/P2N1PBP/R3R1K1 b - -,a8c8
2r2nr1/2N2k2/1RPp4/3P4/P3Pp2/2b5/4K3/7R w - -,b6b7
2r2rk1/p1n3pp/1p2qp2/n4N2/Q7/6P1/4PPBP/2R2RK1 w - -,a4g4
r7/p2r1kbp/Q3R1p1/3n4/3p1P2/1P4P1/P1P2P1P/4R1K1 w - -,e6d6
8/5Qpk/4P3/8/7P/6PK/8/4q3 w - -,f7h5
3nk1nr/p1R2ppp/3Pp3/3p4/2pP4/P3BN2/2b2PPP/1r1BK2R w Kk -,e1d2
rq3Nk1/pp6/2b2b2/6Pp/8/4Q2P/PP4P1/2RR3K b - -,b8f8
r2qk2r/1ppbnpbp/p1np2p1/4p3/B2PP3/2P2N2/PP3PPP/RNBQR1K1 w kq -,c1e3
6rk/5r2/2p1q1p1/1p1pPpPp/2nP1P2/PR4RP/7Q/2B3K1 w - h6,g5h6
5k2/R4ppp/6b1/p3r3/5R2/P5P1/7P/6K1 w - -,f4a4
8/8/8/1p3kp1/1R6/PK2r1P1/7P/8 w - -,b3a2
2k1r3/ppn3b1/2p5/3p1p1p/3P1PpP/PN4P1/KPP1R3/4rBR1 w - -,e2g2
rr4k1/3bbnpp/p2p1p2/qppPpP2/2P1P3/1P1QB2P/P1BN2PK/RR6 b - -,a5c7
1r4k1/5p1p/pp1rnqp1/2p1R3/P1P5/1P6/4QPPP/2B1R1K1 w - -,c1b2
2b2bk1/5p1p/1N1p2pP/p2P2P1/8/BP6/2P5/1K6 b - -,c8h3
b4rk1/4qpb1/1Qp4p/4p3/Np2P1p1/1B4PP/1PP3PK/3R4 b - -,g4h3
2rbr2k/3nqpp1/1p1p3p/p2PpP2/2P4P/1P4QR/2B2PP1/2B1R1K1 w - -,c1g5
r2k1b2/pp3prB/8/2pPQ1p1/2Pp2q1/P5Pb/1P1N1P1P/R5KR w - -,a1e1
8/8/1p1N4/2pPpBkp/P3Prp1/2P3K1/8/8 b - -,h5h4
r2qk2r/ppp2ppp/1nn1p3/1B2P2b/3P3b/2N2P2/PP2NBPP/R2QK2R b KQkq -,h4f2
rnbq1rk1/pp4pp/3p4/2p1pP2/6Qb/2NP4/PPP2PBP/R1B1K2R w KQ -,h1g1
2krr3/nppqn1p1/p4pp1/3p4/1P1P3P/1NPQ1NP1/P7/2K2RR1 w - -,b3c5
r1b2rk1/1p4pp/2n1pb2/p1q2p2/2P1p3/PQ2PPP1/1P1B2BP/1R2NRK1 b - -,f8d8
2r2rk1/p2qppb1/1pnp1npp/2p5/1PP5/P1NP1NPb/3BPP1P/1R1QR1KB w - -,b4b5
4r3/5k2/2R2b2/8/1pP1P3/1r4P1/3R1K2/8 w - -,d2d6
1r1qr1k1/1b1nppbp/p2p1np1/6B1/Pp1NP3/4NP2/1PPQB1PP/R4R1K b - -,d7c5
rn1qkb1r/pbpp1ppp/1p2p3/6P1/3PN3/5N2/PPP1PP1P/R1BQKB1R b KQkq -,b7e4
2Rqk2r/pp1nbpp1/1n4p1/3N2P1/P2pB2P/1Q6/1P1B1P2/4K2R b Kk -,b6c8
6k1/2n2pp1/3Np2p/pp1nP3/3QN2P/P5P1/1P2qPK1/8 w - -,d4a7
7r/pp2knb1/2p2nb1/4p2p/7P/2N2PNB/PP6/2KRR3 w - -,h3f5
r3k1nr/ppq2ppp/2nbp3/3pNb2/3P1P2/2P5/PP2B1PP/RNBQ1RK1 w kq -,c1e3
8/8/1p4N1/3B4/1P1kP1n1/8/6K1/8 w - -,g2f3
r4k2/4R3/5Np1/2p2bPp/3p1B2/pr3P2/7P/K3R3 w - -,f4d6
8/8/1p6/p2k1rpp/P7/1P4RP/5P2/5K2 w - -,g3c3
4r1k1/5pbp/6p1/p2bN3/1P6/2B1R1P1/r4P1P/4R1K1 b - -,a5a4
2b5/2K2pN1/1p6/3p1pP1/2kP4/P4P2/8/8 b - -,c4d4
rn3rk1/p3ppbp/1p1q1np1/1B1pNb2/1P1P4/1Q2P3/PB1N1PPP/R1R3K1 w - -,b2a3
r1bqkb1r/4nppp/2np4/p2Np3/1pP1P3/4B3/PPN2PPP/R2QKB1R b KQkq -,e7d5
2r5/r2nk1p1/4b2p/1Rp2p2/p1Pp1P2/P2N1B2/1P3KPP/2R5 b - -,e7d6
5k2/5n1p/1pb1p1p1/2p2p2/2P3P1/1PN1KP1P/P7/3B4 b - -,f8e7
5k2/pp1b1pp1/4n2p/3p4/3N3P/P2BPP2/1P4P1/2K5 b - -,e6d4
r1bq2k1/pp4p1/4p3/2bp1r1p/3P4/2N1PNQ1/PP4PP/R4RK1 b - -,c5d6
3rr1k1/pb1nqpp1/1pp1pn1p/3p4/2PP4/bPN1PNP1/PBQ2P1P/3RRBK1 w - -,b2a1
8/p1k1r3/2p5/4P1p1/pqpP4/6Pp/2P2Q1P/4R1K1 w - -,d4d5
2qr1rk1/p3ppb1/1p5p/3p1bp1/PnPPn3/NP2QN1P/1B3PP1/3RRBK1 w - -,d1c1
4k2r/6p1/7p/1pbP1p2/3np2q/2Q5/PP3PPP/R1B1R1K1 b k -,e8g8
