8/8/7p/5k2/1pB5/1P4PP/b2K4/8 b - -,f5e4
6k1/1R5p/p3bBp1/b7/5P2/5BP1/r3P2P/6K1 b - -,a2c2
8/1p2k2p/p1p1b1p1/2P2p2/5P2/1PK2BP1/P6P/8 w - -,h2h3
r2q1rk1/pb1nbppp/1pp1pn2/3p4/2PP1B2/2N2NP1/PP2PPBP/2RQ1RK1 w - -,c4d5
8/r7/2k2Bp1/2n1P3/1p4KP/4P3/8/3R4 b - -,a7a2
r2qk2r/pp1Bbppp/8/3p4/3n4/P3B3/1PP2PPP/R2Q1RK1 b kq -,d8d7
rnb1r1k1/1p3pp1/p1pp1q1p/1Pb1p3/P1P5/3P1NP1/3BPPBP/1R1Q1RK1 w - -,d2c3
5bk1/8/4p1p1/1B1pP1P1/3P1K2/p7/P7/8 b - -,f8b4
r1bqkb1r/pppn1ppp/3p1n2/4p3/2PP4/2N3P1/PP2PP1P/R1BQKBNR w KQkq -,g1f3
2r5/4kp2/q1p3pn/1rPp3p/pB1PpN1P/P1Q1PnP1/1R3P2/K1R5 w - -,c3c2
3r1rk1/1pq2ppp/p3pn2/8/P2R1P2/2N2Q2/1PP3PP/5R1K w - -,d4d8
r4rk1/4ppb1/3p2p1/Nq2n1Pp/3BP2P/1P3P2/1P1Q1K2/R1R5 w - -,f2g2
r7/p1r1qkpp/1p2p3/2PpPp2/1Q1P1P2/6R1/P3P2P/1R4K1 w - -,c5b6
r7/1kpr2p1/1p1b1p2/p7/1P1P4/PNR3P1/5PK1/7R w - -,b3c5
1nkr3r/1pp1p1b1/p3q2p/1P3pp1/P1PPb3/4PNP1/N2QB2P/R4RK1 w - -,a2c3
1r6/pN2k1pp/8/3pp3/P7/8/1P1K3P/2R5 w - -,c1c7
r1bqkbnr/pp1nppp1/3p3p/2pP2B1/8/5N2/PPP1PPPP/RN1QKB1R w KQkq -,g5c1
2r3k1/5p2/4pn2/1N4pp/4P3/5PPP/3R4/6K1 w - -,g1f2
6k1/3R1r1p/P3p3/4Q1p1/6q1/6P1/5P2/6K1 w - -,d7d8
r4rk1/pp2qp1p/4p1p1/2p1b3/2B1P3/2P3PP/PPQ2P2/4RR1K b - -,g6g5
1r1q3k/Q2b1rb1/1p2n2p/1PpNppp1/2P5/3PP1P1/3B2BP/1R3RK1 w - -,d2c3
r4rk1/1pq1bppp/p1n1pn2/3p4/2p1P3/2PP1NPP/PP2QP2/R1B1RBK1 w - -,d3c4
3r2k1/pp3ppp/2bNp3/4P2P/3P3n/1P6/P4KP1/R4B2 w - -,b3b4
R7/p3b1pr/1p2k2p/2p5/8/P1B3P1/1P3P1P/2K5 b - -,g7g6
r5k1/2R1n2p/4p1p1/1N3p2/r2PP3/4K1P1/p6P/R7 b - -,g8f8
1r1q1rk1/p4ppp/bn2p3/b2pP3/3P4/1PN1R1P1/P4PBP/R1BQ2K1 b - -,d8e7
2r4r/pp1b1kb1/3p1n1p/4p1p1/5p2/1NP1P2P/PP1N1PPB/3RR1K1 b - -,g7f8
8/5R1p/pb1q2p1/3p2k1/2pQ4/4P2P/P5P1/7K w - -,d4g4
r3r1k1/2q1b1P1/p2p1p1Q/1bnPpP2/2B4N/pP6/2P4P/R5RK w - -,h6h8
r3qrk1/pp1bp2p/n2p2pb/2pP1p2/2PB2n1/2N2NPP/PPQ1PPB1/R2R2K1 w - -,h3g4
8/7Q/4P3/kB1q4/P2b4/1pP3p1/6K1/3R1R2 w - -,f1f3
