8/1p5P/p5k1/6N1/4p3/P1P3n1/1P1K4/8 b - -,g6g7
7r/p2k2R1/Rr1Pp3/1P6/6p1/4K1P1/7P/8 b - -,d7d6
rnb2rk1/1pq1bppp/p3p3/3N4/3N1PP1/4B3/PPP1B2P/R2Q1RK1 b - -,e6d5
5k2/4bp2/6r1/2p1R3/2Nn4/P7/1P4P1/6K1 w - -,g1f1
1r4k1/1p1q1pp1/1Qnpbn1p/4p3/2P5/2BP1NP1/4PPBP/1R4K1 w - -,f3d2
r2q2k1/5pb1/2p1n3/1p2PRN1/2pP4/1n2B3/1P4PK/1Q6 w - -,b1e4
r4rk1/pb2b1pp/1pq1pn2/2pp4/3P1P2/2N1B3/PPPQB1PP/3R1R1K w - -,e2f3
r1b2rk1/1pqn1pb1/p2p1n2/4ppp1/4PP1B/2NB1Q2/PPP4P/2KR3R w - -,f4g5
4k1r1/1b1rbq2/p3p3/2ppBpP1/8/1PQ1PNR1/P1P3P1/3R2K1 b - -,d5d4
2r5/2p2kpp/4Rp2/1pB2P2/4P1n1/1P3N2/1PP1K3/8 w - -,e6e7
6k1/p7/7R/P4P2/8/r5P1/7P/6K1 b - -,a3a5
r6k/4R3/2p1N1B1/p7/Pn6/8/1bP2PPP/3b2K1 w - -,e6g5
4r1k1/1bpnq1pn/p4p1p/4p3/2NPP1PP/2P2Q2/P5B1/2B2RK1 w - -,c1a3
r1r3k1/5ppp/p1n1p3/1p1q1b2/3PnB2/Q1P2N2/P3BPPP/R4RK1 w - -,f1c1
8/1r3kp1/p2r4/1b2R1R1/1P1B4/P3P1K1/6P1/8 b - -,f7g8
8/5p2/8/3b3p/1p1k1K1P/5P2/8/3R4 b - -,d4c4
8/1r6/1P1p1rk1/p1pP1p1p/2P5/6KB/2PB1P2/1R6 b - -,a5a4
3r1rk1/q1n1pp1p/6p1/1pp2nN1/8/PP2P1P1/1Q3PBP/R4RK1 w - -,a1c1
R1r3k1/1q1bbppp/3ppn2/8/2P1P3/3NBP2/1P1QB1PP/2R3K1 b - -,c8a8
r1bq1rk1/1p1pppbp/1nn3p1/p1p1P3/P2P4/1BP2N2/1P2QPPP/RNB2RK1 b - d3,c5d4
r1bqk2r/p2nbppp/2n1p3/2ppP3/1p1P1B2/2P2N1P/PPB2PP1/RN1Q1RK1 w kq -,d4c5
3rk2r/2qnppbp/p2p2pn/1pp1P3/3PNP2/2P1BN2/PP4PP/R2Q1RK1 w k -,d1e2
8/pp5p/2b3p1/1k1pp3/1P6/P2KP1P1/7P/3B4 b - -,b5b6
r5rk/p2n1p1p/5R1Q/1p6/3qP2R/1P1B3P/1P4P1/7K b - -,d7f6
r4rk1/1bq1bppp/p1nppn2/1p6/4PP2/PNNBB3/1PP1Q1PP/4RRK1 w - -,g2g4
r7/2pk3p/1p1br1p1/p3Np2/3P3P/P3P3/1PR1KP2/2R5 b - -,e6e5
r4rk1/2qnbpp1/bpp1p2p/p1Pp4/1P1P1P2/P1NB1NP1/2Q2P1P/R4RK1 w - -,d3a6
1r4k1/2qb1pp1/2p1pb1p/2P5/3P4/pR4P1/P4PBP/BQ4K1 b - -,b8b3
2r2rk1/R5p1/2b1p2p/1pp4n/3bP1q1/1P1P2PP/R5BK/4BN2 w - -,h3g4
8/8/2k1p3/2p2p2/P1Nn1P2/8/5K2/8 w - -,f2e3
8/pk3p2/8/2P3q1/4R3/3K4/3N1P2/8 b - -,g5c5
3r3k/1p4p1/2b3qp/3p4/p2Q1P2/P4BP1/1P3PK1/2R5 b - -,d8e8
8/8/r6p/5Rp1/5p2/2Pk1P1P/1K3P2/8 w - -,h3h4
r3kb1r/pb4pp/1npp4/5p2/2P5/2N5/PP1BBPPP/2KR3R w kq f6,h1e1
1rbqk2r/3nppbp/p2p2p1/1Pp5/3PP3/2N1P1PP/PP1QN1B1/R3K2R b KQk -,a6b5
3r4/4kp1p/2Q1pp2/1Bn5/5P2/p3q2P/6P1/1R5K b - -,e3d4
3rr1k1/6bp/1Qnqpp2/p2p2p1/P2P4/1NP2N1P/1P3PP1/3RR2K b - -,d8b8
8/8/8/p4N2/2p3K1/R7/P2k4/7r b - -,c4c3
1b6/3k3p/5P2/p1p3pB/P7/1P4PP/3p4/5K2 w - -,f1e2
1r5k/1pR3p1/qP5p/p7/4N3/b7/3R1BP1/6K1 b - -,b8f8
8/2R5/6k1/5p2/6p1/1B4P1/P4PK1/4q3 b - -,e1e4
1k1rr3/ppqn1pb1/2p1p1bp/P2pPnp1/3P4/1NPN4/1P3PPP/R1BQRBK1 w - -,b3c5
