8/2pR4/2Nb1k2/1K6/1P6/8/2r5/8 w - -,d7h7
2r1k2r/1b1pbppp/pqn1pn2/1p6/3P1B2/3BPN2/PP1NQPPP/2R2RK1 w k -,a2a3
2brrn1k/2p2qpp/1p1p1p2/p7/2P1PP2/P1Q3B1/BP3RPP/4R1K1 w - -,a2b1
4r1k1/1p2rpp1/pNpn2p1/3p4/3P2P1/4PP2/PP3K1P/2R1R3 b - -,g6g5
2k5/pp5R/2n5/8/7b/P1PK4/1P2N3/3r4 w - -,d3c4
8/2p5/1p1pk1p1/1P5p/1bP1PP1B/7P/4K3/8 w - -,e2d3
1rb1r1n1/p4pk1/2qPpp1p/b1pN4/2p1P2P/p3N1PB/1P2QP2/3RR1K1 w - -,d5f4
2rr2k1/6pp/2npp3/4q3/1pP1P1Q1/1Pb1B2P/5NP1/2RR2K1 b - -,d8f8
4b3/4qnkp/pp2p3/2p2pp1/2P5/1P1NP1PP/P4PB1/3Q2K1 w - -,e3e4
r1bq1rk1/ppp1ppbp/1n3np1/3p2B1/3P1P2/2N1PN2/PPP1B1PP/R2QK2R w KQ -,f3d2
1r1q1rk1/2p2pp1/Q2pp2p/2Pb4/3Pn1n1/P2RBNP1/4PPBP/2R3K1 b - -,d8e7
r7/1p5k/p1pPp2P/4PppR/1P1P4/1P6/6K1/8 b - -,h7g6
2b1r3/1pQ3p1/4p1kp/1P1p4/3P2PP/5P2/7K/8 w - -,h4h5
1r6/2R1kp2/1p1n1p2/p2p3p/P2P1P1P/1b2P1NB/1r3P2/R3K3 b - -,e7f8
2bqr1k1/r5bp/p4ppn/1PNpp3/3P2P1/2PB1Q1P/1P2RP1B/R5K1 b - -,e5e4
8/nB3p1p/P4kp1/4R3/r4P2/2p4P/6P1/6K1 w - -,e5c5
8/8/3k1Pb1/1p4p1/1P1N4/P3K3/8/8 b - -,g6e8
r3kb1r/pp3ppp/2p1bn2/4q3/3QP3/2N1B3/PP3PPP/R3KB1R b KQkq -,e5d4
rnb2rk1/pp4pp/2pbp3/3p1p1n/2PP3q/2NBPP1P/PP1BN1P1/R2Q1RK1 b - -,b8d7
