8/7p/6B1/1p4PP/pPkp4/Pb3K2/8/8 b - -,c4c3
r4rk1/1p1b2pp/p1n1pn2/2qp4/5P2/2NB1N2/PPPQ2PP/2KRR3 w - -,e1e2:h2h3
q1r2rk1/Bb2bppp/p3pn2/1p1pn3/4P3/PNN2P2/1PP1BQPP/R4R1K w - -,a7d4
r1bqkbnr/pp1ppp1p/6p1/8/2BpPP2/8/PPPP2PP/RNBQK2R b KQkq -,f8g7
r1bqk2r/ppp2ppp/2nb4/1B6/3Pp3/2P1P3/P2N1PPP/R1BQK2R b KQkq -,d8g5
8/1k6/r2p4/P1p1nppp/R1P5/4P1PP/P3K3/1N6 b - -,a6c6
3r4/7P/R7/1p6/8/1k6/p5K1/8 w - -,a6d6
7k/2Q1n1p1/3p1b1B/4p3/4P2P/2RP1N2/5PPK/1r1q4 b - -,d1h1
3r1rk1/ppqnppbp/1np1b1p1/4P3/2P5/1P3NPP/PB1NQPBK/R4R2 w - -,a1e1
2r2rk1/pn2bppp/n3p3/2p1N3/N2P1B2/8/PP3PPP/R1R3K1 w - -,f4e3
8/8/5k1p/8/P4p2/5Prp/1R4PK/8 w - -,g2h3
r1b1kb1r/pp2q1pp/5p2/1N1QB3/8/8/PPP1BPPP/R3K2R b KQkq -,f6e5
rq2kb1r/3b1ppp/2p1p3/p7/P7/1PN5/2P1QPPP/R1B1K2R b KQkq a3,f8b4
1nr3rk/1qb2ppp/p3pn2/3p4/pP1NP3/5P2/P2QB1PP/1RR3BK w - -,b4b5
2kr1b1r/pppq1ppp/3p3n/3Pnb2/8/2NB1N1P/PPP2PP1/R1BQ1RK1 w - -,d3b5
r4r2/1p1b3k/1q2p1p1/2p1Qp1p/p1BpP3/3P3P/PPP2RP1/R6K b - -,b6b2
8/3Q4/6p1/p3pk2/3p4/KP5P/P3q3/8 b - -,f5e4
2r1n1k1/6pp/4pp2/4N3/3RP1PP/5P2/6K1/8 w - -,e5d3
r4qk1/5pp1/4p3/1Q1p3R/1P1P4/6P1/1P3PK1/8 b - -,a8b8
r1bqr1k1/2pp1ppp/p2b1n2/1p2p3/4P3/1P1P1NN1/1PP2PPP/R1BQ1RK1 b - -,d6f8
r1bqk2r/pp1nppbp/2p2np1/3P4/2BP4/2N1BP2/PPPQ2PP/R3K1NR b KQkq -,d7b6
3r2k1/2R1np2/4p2p/p3P1p1/3P4/bP3NPP/P1R5/6K1 b - -,g8g7
1bb3k1/6pp/p4p2/1p1p1Q2/1B6/1P2q1NP/6P1/5RK1 w - -,f5f2
r1b1k2r/2qnbppp/pp1ppn2/8/P2NPP2/2N5/1PP1B1PP/R1BQ1R1K w kq -,e2f3
r4rk1/pbpp2bp/2p3p1/4p3/qPP2P2/B7/3NBQPP/R3K2R w KQ -,e1g1
6k1/1q3p2/3p3p/1p2nPBQ/p7/7P/Pr3PP1/1B2R2K b - -,h6g5
2kr3r/1pp3bp/p1n2pp1/8/4NP2/2P5/PP3BPP/3R1RK1 b - -,d8d1
r1bqkbnr/pp1p1p1p/2n3p1/2p1p3/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq -,e1g1:c2c4
7R/pp1r4/5k1p/4pbp1/8/3pKP2/PP1R4/8 b - -,f5h7
3r1r2/pp2qpbk/2pp3p/8/4P3/1QPP1RB1/PP5P/5R1K b - -,d8d7
3n4/5pkP/1p2p3/6N1/2P2K2/8/8/8 b - -,f7f6
r1bq1rk1/pp2ppbp/2n3p1/1Bp5/3PP3/2P1BN2/P4PPP/R2Q1RK1 b - -,c5d4:c8g4
1k1r3r/1p2b2p/3qpp2/1b1p4/3P3N/8/Q4PPP/RR4K1 w - -,b1b5
1k3r2/pp1n1pp1/2pbp3/7r/2PP3p/P1N2P1P/1PKR1BP1/7R w - -,h1e1
5r2/k1p5/1pP1bn1N/p6P/8/PP2PBP1/1B2K3/8 b - -,e6b3
r1bq1rk1/ppp2ppp/3p1n2/2n1p3/2P1P3/P1PP1NP1/5PBP/R1BQ1RK1 w - -,c1e3
rn1q1rk1/pp2ppbp/2p3p1/3n4/3P2b1/2N1PN1P/PP2BPP1/R1BQ1RK1 b - -,g4f3:g4f5
6k1/p4ppp/1q6/2br4/7P/1P4P1/P1N3Q1/7K w - -,g2d5
r4rk1/4bppp/p1n5/1pN1p3/4b3/2P1B3/PP2BPPP/3R1R1K b - -,e4g6
2Rnk3/8/3P1bpp/2N1p3/1rB1P3/8/1P4PP/5K2 w - -,b2b3
r2qnrk1/1p1bbppp/p1n1p3/3p3P/3P1BP1/2NBPP2/PP2N3/2RQK2R b K -,e7d6
r1bq1rk1/p3b1pp/1pp1Nn2/2Pp1p2/PP1Pp3/2N3P1/4PPBP/1RBQ1RK1 b - -,c8e6
8/1k5q/2n2p2/2Q5/8/B4P2/2p3P1/6K1 b - -,h7d3
2r2rk1/p1qn1ppp/bp3n2/2bPp3/2P1N3/6P1/PB1N1PBP/R2QR1K1 b - -,f6e4
3r1rk1/3R3p/pb3pp1/2q1p3/4P3/PP5Q/1B3PPP/1K1R4 b - -,d8d7
8/6Bp/2n1k1p1/pp3p2/7P/P2R2P1/1P2KP2/2r5 w - -,e2d2
8/p5r1/2Pk4/4p3/P4p2/2R4K/8/8 w - -,c3c1
r4k2/pp3p1p/5ppb/1N6/8/3bn3/PPP3PP/1KR4R w - -,c2d3
2Q2rk1/p5pp/8/1Pnpq3/P1p1p3/8/1P3PPP/2RR2K1 w - -,c8c5
r1bqk2r/pp2ppbp/1n1p1np1/8/3PP3/2NB1N1P/PP3PP1/R1BQK2R b KQkq -,e8g8
1r2r1k1/2qn1pbp/p5p1/3Pn3/N1p2B2/R4N1P/1P4P1/3QR2K w - -,a3e3
r7/1p3kp1/2p3b1/p5p1/2Pp4/PP1P2KP/5P2/4RB2 b - -,f7f6
r1b1k2r/pp2pp1p/5bp1/1B1p4/3P3P/5N2/PPP2PP1/2KR3R b kq -,c8d7
3r1rk1/2p1nppp/1p1p1q2/n7/p2NPP2/2P1BQP1/PP1R3P/R4bK1 w - -,f3f1
3q2k1/1p3p2/6p1/p1p3Qp/2PP4/1P4RP/P4PPK/4r3 b - -,d8d4
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2BPP3/2P2N2/PP3PPP/RNBQ1RK1 b kq d3,c5b6:e5d4
3r1r1k/pp3ppp/1bp1P3/5q2/3P1N2/P1Q3P1/1P3R1P/5R1K b - -,b6d4
6k1/8/p3p3/3p2p1/2rn4/2N2P2/PP1R2PP/3K4 w - -,c3d5
1k4rr/p3p1b1/1qbp2n1/1p4pp/4P3/1BP3P1/PP1NQRPP/5RK1 w - -,b3g8
qr4k1/5p1p/p2pp3/Pbp1b1P1/1r2P1P1/1P1Q1B2/R1P3KP/3NR3 w - -,d3d2
1r2k2r/1p2ppb1/p6p/5bp1/2Pp4/1P3PP1/P2K1P1P/3R1B1R w k -,h2h4
r1bqk2r/4npbp/p2p4/1p1Npp2/4P3/N1PB4/PP3PPP/R2QK2R w KQkq -,d5e7
r4rk1/pR3ppp/3p4/8/2PQ3P/6P1/qP3PK1/4R3 b - -,a8b8
3r1bk1/5ppp/5n2/2p1pP2/1p2P3/1P1PB2P/1q1N2P1/2R2QK1 b - -,f6h5
8/1B3p2/5n2/4KP1k/4P3/4B1p1/8/8 b - -,f6g4
3q1bk1/5p1p/b1Qp2p1/3P4/8/4NBP1/5PK1/8 b - -,a6c8
8/6pp/8/1P2k3/8/PK5P/4rp2/5R2 w - -,a3a4
r1b1nrk1/pp1nqppp/2pbp3/3pN3/2PP4/1P1BP3/PBQN1PPP/R3K2R b KQ -,g7g6
3Rr1k1/1p4pb/pB3p2/4nB1p/2P1PK2/1P4P1/7P/8 b - -,e8d8
r4rk1/4Rpnp/p7/1p2pP2/8/P1N1B1P1/1PP3P1/7K b - -,g7f5
r1b1kb1r/pp1n1pp1/1n1qp2p/8/8/1BPpQN2/PP3PPP/RNB2RK1 b kq -,f8e7
1r4k1/8/2p1p3/P2pPp2/P1n2Pq1/3QP1Pp/5R1K/4B3 b - -,g8f7
r4rk1/pp1b1pbp/q2p2p1/3Pp3/PB6/1P4P1/3QPPBP/R3R1K1 w - -,e2e3
rnb1k1nr/ppqpppbp/6p1/8/4P3/2PBBN2/PP3PPP/RN1QK2R b KQkq -,b8c6:g8f6
r4rk1/ppq2ppp/2p2n2/2bP4/3Nn3/6P1/PPQ2PBP/R1B1R1K1 b - -,c6d5
3r2k1/1p2qppp/1Qnp4/r3p3/1p2P3/1P3N1P/P2R1PP1/3R2K1 b - -,a5a6
7r/5pk1/pp4p1/2p4P/8/1P1P1P2/P1P2K2/7R w - -,h1g1
4r1k1/5pp1/p1Rb3p/1p1p4/n7/P2PP1PB/5P1P/4B1K1 b - -,d6a3
