8/5pp1/K5k1/1N1n2P1/1P6/8/8/8 w - -,a6a5
1rb2qk1/1p1nnrb1/p2p3p/3Pppp1/NP2P3/4BPP1/P2QN1BP/2R2RK1 w - -,e4f5
7k/p3r2p/3p1q2/2pP1np1/P1P2p2/7P/1P1Q2BK/5R2 w - -,b2b4
8/8/2B1kp1p/p1B5/P6p/2b2PP1/8/3b1K2 w - -,g3h4
2r2n2/1pr1bk1p/p3p1p1/3pP2P/P1qP1PR1/4BN2/1P4R1/3Q3K w - -,h5g6
3n1rk1/1pR1pqbp/7r/p4pp1/3P1P2/PP2P1P1/1B1NQ2P/5RK1 b - f3,d8e6
8/5r2/2p3p1/p3p2p/P3P1k1/2P2qP1/1R3P1K/3Q4 w - -,d1d6
r2q1rk1/pp2bppp/2n1pn2/2pp4/2PP2b1/1P2PN2/PB1NBPPP/R2Q1RK1 b - c3,c5d4
r4rk1/1ppq2p1/1p1p1n1p/4p3/3QP3/P6P/1PP2PP1/R1B1R1K1 w - -,d4c4
1r3rk1/pbpnq3/3ppn1p/5pp1/2NP4/Q2BPP1P/PP3BP1/1K1R3R b - -,b7d5
k1r5/1n3p2/p3q1p1/1p4P1/5Q2/PPR5/K1P5/8 w - -,c3c7
r1br2k1/pp4p1/8/3p3p/3N2n1/2P3P1/PP2BP1b/R1B2R1K b - -,h5h4
r4rk1/4R1b1/3p3p/3P2p1/2p1N3/1P1b2P1/P2B1P1P/4R1K1 w - -,d2c3
6k1/1pb5/p2pb3/P4p1p/2NK1P2/1p4PP/8/5B2 b - -,g8g7
r3n1k1/3nbppp/q1p1p3/2Pp4/3P4/rRN1PPB1/2Q1N1PP/5RK1 b - -,e7g5
4r1k1/pp2rpbp/6p1/2p2q2/2Pp4/P2N1PP1/1PQ2P1P/R3R1K1 w - -,e1e7
4nnk1/1p2qppp/1pp5/4P3/r5B1/2B3PP/rPQ2P2/3RR1K1 w - -,e5e6
8/8/2k2nn1/4p2p/2K1Pp1P/5P2/4NB2/8 w - -,e2c1
rnb2rk1/pp2q2p/2p2b2/4ppp1/2P3n1/1PN1PPPN/PB1Q2BP/3R1RK1 b - -,g4h6
8/6b1/3k4/p7/P2pK1Bp/8/8/8 w - -,g4h3
r3k2r/1p1nbp1b/p3p1pp/q2pP3/3P1PQ1/1PN2N2/P5PP/R1B2RK1 w kq -,c1d2
r1bq1rk1/pppn1ppp/5n2/3p2B1/1b1P4/2N2NP1/PPQ1PP1P/R3KB1R b KQ -,h7h6
4r3/p2n1b1p/Ppp2Pk1/6p1/8/2N3QP/1PPq2P1/5R1K b - -,d7e5
5k2/5p2/p5pp/1p1q4/1Pn5/PQ1B3P/5PP1/3n2K1 w - -,b3d1
rnbqk1nr/ppp3bp/3p2p1/4pp2/2P5/1P2PN2/PB1P1PPP/RN1QKB1R w KQkq f6,d2d4
